file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Atelier_Talk_001ID	0	Marie			Marie	Huh?! What's going on?! Wasn't I just in the middle of a forest?	玛莉	咦？！怎、怎么回事？！\n我刚刚不是还还在森林里吗？	瑪莉	咦！？怎、怎麼回事！？\n我剛才不是還在森林裡嗎？
Atelier_Talk_001ID	1	Marie			Marie	I remember eating this weird candy I had, and then there was a sudden flash of light...	玛莉	对了，我舔了舔带在身上的奇怪的糖，\n然后突然有道光……	瑪莉	我想起來了，我把帶在身上的奇怪糖果拿來吃，\n然後就突然有一道光……
Atelier_Talk_001ID	2				Saskia	Oh, my. Another first-time visitor.	萨丝琪亚	哎呀，又是一个新面孔。	薩絲琪亞	哎呀，又是初次光臨的客人。
Atelier_Talk_001ID	3	Marie			Marie	Who's there?!	玛莉	什、什么人？！	瑪莉	妳、妳是誰！？
Atelier_Talk_001ID	4				Saskia	Welcome to my atelier, wanderer.	萨丝琪亚	欢迎来到我的炼金工房。\n你是异邦人吧？	薩絲琪亞	歡迎來到我的鍊金工房。\n妳是異邦人吧？
Atelier_Talk_001ID	5	Marie			Marie	"Wh-What? Where am I? Wait, did you just say ""atelier""?"	玛莉	你、你在说些什么啊？这里到底……\n咦，炼金工房？	瑪莉	妳、妳在說些什麼呢？這裡究竟是……\n等等，鍊金工房？
Atelier_Talk_001ID	6	Marie			Marie	So that must be an alchemy cauldron, and...you have a lot of synthesis materials, too.	玛莉	这么说来，那个难道是炼金术的釜？\n调和素材也有好多……	瑪莉	這麼說來，那個該不會是鍊金術的釜？\n而且還有好多調合用的素材……
Atelier_Talk_001ID	7				Saskia	Yes, I run this atelier. It has its quirks, but it serves me well.	萨丝琪亚	没错，这里是我负责管理的炼金工房。\n不过，和普通的地方有些不同。	薩絲琪亞	對，這裡是我負責管理的鍊金工房。\n地點比一般工房還要稍微偏僻一些就是了。
Atelier_Talk_001ID	8				Saskia	My name is Saskia. And you're not just any ordinary girl, are you?	萨丝琪亚	啊，我叫萨丝琪亚。\n话说回来，你不是一般人吧？	薩絲琪亞	啊，我叫薩絲琪亞。\n話說回來，妳不是普通人吧？
Atelier_Talk_001ID	9				Saskia	You were able to tell immediately that my cauldron and materials are for synthesis.	萨丝琪亚	你不仅能一眼认出用于调合的釜和素材，\n而且，最主要的是……	薩絲琪亞	畢竟妳一眼就能看出這些是用於調合的釜和素材。\n而且，最重要的是……
