romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Izana			Izana	Wow! The smithy in the capital is amazing. They have so many cool weapons and armor!	伊札娜	"哇～！果然王都的铁匠铺好厉害啊。
每个武器和防具都好棒！"	伊札娜	"哇～！王都的鐵匠鋪，果然很不得了啊。
武器和防具全都很精美！"
Izana			Izana	This axe is huge! And look at how pretty the pattern on that shield is!	伊札娜	"这把斧头看上去好重……
哇，那面盾牌的花纹好漂亮～"	伊札娜	"這把斧頭看起來好重……
哇！那面盾牌的花紋好漂亮喔～"
Izana			Izana	This hammer isn't bad, but I think mine is way stronger. Hehe, just kidding!	伊札娜	"啊，但是这把锤子
看上去没有我家的强呢～ 开个玩笑啦。"	伊札娜	"啊，但是跟這邊的錘子比起來，
我家的應該比較強吧～開玩笑的～"
Lent			Lent	Huh. This sword's pretty nice.	兰托	……嘿，这把剑真不错。	蘭托	……哦？真是把好劍。
Izana			Izana	Hey, you like weapons, too?	伊札娜	你也对武器感兴趣吗？	伊札娜	你也對武器感興趣嗎？
Lent			Lent	Huh? Yeah, I suppose.	兰托	嗯？啊，算是吧。	蘭托	嗯？對啊，沒錯。
Lent			Lent	Being armed properly is the key to successful adventuring and monster-slaying.	兰托	"毕竟不管是和魔物战斗还是出门冒险，
都需要防身的武器啊。"	蘭托	"畢竟，無論是對抗魔物還是出外冒險，
都需要一些防身的武器啊。"
Izana			Izana	Wait... Are you training to be a knight too?	伊札娜	"和魔物战斗……
难道说你也想成为骑士？！"	伊札娜	"對抗魔物……
該不會，你也想成為騎士吧！？"
Lent			Lent	A knight? Nah, just training in the sword.	兰托	"骑士？
没有啊，我只是在进行剑术修行。"	蘭托	"騎士？
不，我只是在修練劍術而已。"
Lent			Lent	I just want to get stronger than I am right now.	兰托	因为我想变得比现在更强。	蘭托	因為我想變得比現在更強。
Izana			Izana	Stronger, huh...	伊札娜	更强……	伊札娜	變強……
Izana			Izana	Me too! I want to get really strong and become a knight that protects all sorts of important people!	伊札娜	"我也一样！
我也想变强，成为骑士，守护重要的人！"	伊札娜	"我也是！
我也想變強，成為一個能夠守護重要之人的騎士！"
Lent			Lent	That's a pretty impressive goal. I better make sure I train hard so you don't beat me.	兰托	"嚯，这目标真了不起。
……我也不能输啊。"	蘭托	"哦？這真是遠大的目標啊。
……我也不能輸呢。"
Lent			Lent	Anyway, I have to get going. Say hi if you ever see me around again!	兰托	"那我先走了。
要是有机会再见面的话还请多多关照啦。"	蘭托	"那，我差不多該走了。
若在某處再度碰面，到時就請多多關照囉。"
Izana			Izana	I sure will! Bye!	伊札娜	嗯，再见！	伊札娜	嗯，再見～！
Izana			Izana	It's so exciting meeting all sorts of cool people in the capital. I'm so glad I came!	伊札娜	"王都果然聚集着各种各样的人啊。
能来王都真是太好了！"	伊札娜	"王都果然集結了形形色色的人呢～
能來到這裡真是太好了！"
Izana			Izana	Oh, wait. I don't think I asked that guy for his name... Oh well!	伊札娜	"啊，忘记问刚刚那个人的名字了……
算了。"	伊札娜	"啊，忘記問剛才那人的名字了……
算了，沒關係。"
Izana			Izana	Anyway, I should go meet up with Resna now.	伊札娜	那么，差不多该去和蕾斯娜会合了。	伊札娜	好～差不多該去跟蕾斯娜會合了。
Izana			Izana	One day, I'll be the strongest hammer wielder and knight in the world!	伊札娜	"目标是最强舞锤者！
还有最强骑士！"	伊札娜	"目標是成為最強的舞錘者！
然後當上最強的騎士！"
