file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
CharacterEvent_001_FIN_001ID	0	Mieke	ミーケ	（こうして、ミーケたちはこれまでの生活を捨て、\n　ララ・キングダムでの新たな生活を手にした）						
CharacterEvent_001_FIN_001ID	1	Mieke	ミーケ	（理想の国家を作るというララの言葉は\n　正直半信半疑だった）						
CharacterEvent_001_FIN_001ID	2	Mieke	ミーケ	（だからミーケは、自分のやりたいことができれば\n　それでいいと思っていた。だけど）						
CharacterEvent_001_FIN_001ID	3		農家	ララ様！　農地を広げる件ですが、\nやはり土の栄養が足りないようです						
CharacterEvent_001_FIN_001ID	4	Lara	ララ	ふむ。栄養剤を調合しますわ。\nそれにしても、土地の改善は急務ですわね						
CharacterEvent_001_FIN_001ID	5		女の子	ララ様ー！　お父さん、また咳が止まらなく\nなっちゃったみたい						
CharacterEvent_001_FIN_001ID	6	Lara	ララ	またお薬を用意しますわ。\n少しだけ待ってくださる？						
CharacterEvent_001_FIN_001ID	7	Diona	ディオーナ	ララさん、忙しそうね						
CharacterEvent_001_FIN_001ID	8	Mieke	ミーケ	うん。全部の困りごとに対応してるみたい。\nいくら錬金術が使えるとは言っても、働きすぎかなあ						
CharacterEvent_001_FIN_001ID	9	Diona	ディオーナ	元々地理的にも厳しい場所。理想の国以前に、\n国として成り立たせるのも難しいと思うけれど……						
CharacterEvent_001_FIN_001ID	10	Diona	ディオーナ	それでもあんなに、頑張ってる。\n本当にすごいことだわ						
CharacterEvent_001_FIN_001ID	11	Lara	ララ	あら、ミーケにディオーナ。\nこちらでの生活には慣れました？						
CharacterEvent_001_FIN_001ID	12	Mieke	ミーケ	うん！　住んでる人も優しくて、\n色々良くして貰ってるよ！						
CharacterEvent_001_FIN_001ID	13	Lara	ララ	ふふ、それはよかった。\nさすがはララ・キングダムの民ですわ						
CharacterEvent_001_FIN_001ID	14	Lara	ララ	もし困ったことがあれば必ず王を頼るように。\n民の不満を受け止めるのがわたくしの務め						
CharacterEvent_001_FIN_001ID	15	Diona	ディオーナ	分かりました。ただ、ララさんも私たちに\nできることがあればなんでも言ってください						
