file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
CharacterEvent_001_NPC9_001ID	0	Diona	ディオーナ	……ご清聴ありがとうございました	Diona	...Thank you, everyone.	蒂欧娜	……感谢各位观看演出。	蒂歐娜	……感謝各位的聆聽。
CharacterEvent_001_NPC9_001ID	1		観客A	うおおお今日も良かったぞー！　歌姫ー！	Fan A	What a diva! What a show! You're a star!	观众A	哦哦哦，今天也很棒！歌手小姐！	觀眾A	哇喔喔喔今天也很棒喔～！歌姬～！
CharacterEvent_001_NPC9_001ID	2		観客B	なんて魂を揺さぶる歌なんだ……\n涙が止まらねえぜ！	Fan B	I can't stop crying... It's like her voice reached into my heart and touched my soul!	观众B	多么直击灵魂的歌声啊……\n让人不禁热泪盈眶！	觀眾B	這是多麼動人心弦的歌聲啊……淚水都止不住了！
CharacterEvent_001_NPC9_001ID	3		観客C	ねえ知ってる？　ディオーナは歌う時の衣装も\n自分で作ってるんだって	Fan C	Get this! Did you know that Diona makes all of the costumes she performs in herself?	观众C	你知道吗？听说蒂欧娜演出时的服装\n都是自己做的。	觀眾C	你知道嗎？\n聽說蒂歐娜唱歌時的服裝也是自己做的喔。
CharacterEvent_001_NPC9_001ID	4		観客D	イケてるよね！　歌唱力だけじゃなくて、\n意匠設計の才能もあるなんて！	Fan D	Doesn't she look stunning? Not only is she an incredible singer, she's an amazing designer, too!	观众D	太厉害了！想不到她不仅唱歌唱得好，\n还有设计天赋！	觀眾D	很厲害對吧！不只是歌唱實力，居然還具備設計才能！
CharacterEvent_001_NPC9_001ID	5		観客E	次の公演も楽しみ！\nああ、早くディオーナにまた会いたいわ！	Fan E	Oh, I can't wait for her next performance! I'll be counting down the minutes until I can see her again...	观众E	下一次公演也让人十分期待！\n啊，好想快点再看到蒂欧娜啊！	觀眾E	下一場公演也好令人期待！\n啊啊，真想快點再見到蒂歐娜！
CharacterEvent_001_NPC9_001ID	6	Diona	ディオーナ	……	Diona	...	蒂欧娜	……	蒂歐娜	……
CharacterEvent_001_NPC9_001ID	7		劇場支配人	おお、ディオーナ。おつかれさま	Stage Manager	Great show out there, Diona.	剧场老板	哦，蒂欧娜。辛苦你了。	劇院經理	哦哦，蒂歐娜，表演辛苦了。
CharacterEvent_001_NPC9_001ID	8	Diona	ディオーナ	支配人。おつかれさまです	Diona	I couldn't have done it without your support.	蒂欧娜	老板，您辛苦了。	蒂歐娜	經理，您辛苦了。
CharacterEvent_001_NPC9_001ID	9		劇場支配人	いやー、今日も大盛況だね。歌姫さまさまだ。\nこの調子で今後ともよろしく頼むよ	Stage Manager	You had the crowd in the palm of your hand...but I expect nothing less from a singer of your caliber. Keep this up and there's no telling the heights you'll reach.	剧场老板	哎呀，多亏了你，今天也是座无虚席啊。\n以后也要麻烦你保持今天这个状态哦。	劇院經理	哎呀～今天也是高朋滿座呢，真是多虧了歌姬。\n麻煩妳今後也照這個狀態演出囉。
