file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
CityTalkEvent_01_main_001ID	0				レスナ	Wow, look at all the shops! I'd be able to shop at a different store every day if I lived here!	レスナ	哇啊，这里也有好多商店！\n住在王都就可以每天去不同的商店买东西了。	レスナ	哇，這裡也有好多商店喔！\n要是住在王都的話，每天都能去不同的店家買東西呢。
CityTalkEvent_01_main_001ID	1				レスナ	Hey, this is that medicinal herb I saw in the book I got from Master Saskia.	レスナ	啊，这是……！\n师傅给我的书里提到的药草！	レスナ	啊，這是……！\n是師傅給的書裡提到的藥草！
CityTalkEvent_01_main_001ID	2				レスナ	Ooh, I saw that in a book too! Wow, the capital's full of things I've only ever seen on paper.	レスナ	啊，这个也是！\n不愧是王都，有好多我只在书上见过的东西！	レスナ	啊，這裡也有！\n真不愧是王都，有好多只在書裡看過的東西！
CityTalkEvent_01_main_001ID	3	???			？？？	I wonder if these little guys were picked around here. I'd love to see them growing in person.	？？？	……这些药草都能在这附近采集到吗？\n好想看看它们生长着的样子……	？？？	……這些植物在這一帶採得到嗎？\n好想看看它們實際生長的模樣喔……
CityTalkEvent_01_main_001ID	4				レスナ	Eek!	レスナ	呀！	レスナ	啊！
CityTalkEvent_01_main_001ID	5	???			？？？	Whoa!	？？？	哎呀！	？？？	噢！
CityTalkEvent_01_main_001ID	6				レスナ	Ow...	レスナ	好痛……	レスナ	好痛……
CityTalkEvent_01_main_001ID	7	???			？？？	Are you all right?	？？？	喂，你没事吧？！	？？？	喂，妳沒事吧！？
CityTalkEvent_01_main_001ID	8				レスナ	Um, yeah? I think so?	レスナ	什、什么？！\n呃……那个……	レスナ	什、什麼！？\n呃……那個……
CityTalkEvent_01_main_001ID	9	???			？？？	Any scratches or scrapes? Sorry, I should have been watching the road instead of the plants.	？？？	有没有受伤？\n抱歉啊，我看药草看入了迷。	？？？	妳有沒有受傷？\n抱歉啦，我看藥草看得太入迷了。
CityTalkEvent_01_main_001ID	10				レスナ	I'm okay, thank you. No scratches or scrapes anywhere!	レスナ	谢、谢谢你。\n那个……我没事的！也没有哪里痛！	レスナ	謝、謝謝你。\n那個……我沒事！而且也沒有哪裡特別痛！
CityTalkEvent_01_main_001ID	11	???			？？？	That's good to hear.	？？？	是吗！那就好。	？？？	這樣啊！那就好。
CityTalkEvent_01_main_001ID	12				レスナ	What about you? Any bumps?	レスナ	你呢，有没有哪里受伤？！	レスナ	那你有沒有受傷呢！？
CityTalkEvent_01_main_001ID	13	???			？？？	I'm completely fine, as you can see. I'm tough, if nothing else!	？？？	我没事啦。\n你看了也知道吧，我身板很结实。	？？？	我完全沒事喔。\n就像妳看到的，我對自己強健的身體很有自信。
CityTalkEvent_01_main_001ID	14				レスナ	Haha, that's great.	レスナ	啊哈哈……那就好。	レスナ	哈哈……太好了。
CityTalkEvent_01_main_001ID	15				レスナ	I should apologize, too. I was also too fascinated by the herbs here.	レスナ	真的很抱歉。\n我也看药草看入迷了……	レスナ	真的很抱歉，\n我也看藥草看得太入迷了……
CityTalkEvent_01_main_001ID	16	???			？？？	Are you looking for something? Is someone you know sick or injured and need help?	？？？	你是在找什么吗？\n难道说有人受伤或者生病了？	？？？	妳在找什麼藥草嗎？\n該不會是有人受傷或生病了吧？
CityTalkEvent_01_main_001ID	17				レスナ	Oh, no, I was just curious. I just got excited seeing the real things and not just in my books.	レスナ	啊，不是的，只是出于兴趣……\n或者说亲眼见到在书本里学过的东西，有点兴奋……	レスナ	啊，不是的，單純算是興趣吧……\n我看到在書裡學到的東西就有點興奮……
