romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Ryza	ライザ	"（楽しみにしていたレスナとの依頼当日。
　釣り糸を垂らし始めて、早３時間……）"						
Resna	レスナ	あああ……また逃げられちゃった……						
Ryza	ライザ	"なら、こっちの練り餌でやってみて。
今日のために作ってきたんだよ"						
Resna	レスナ	はい！　お借りします！						
Resna	レスナ	出発してから、強い魔物にも遭遇しましたが						
Resna	レスナ	"もしかしたら、ここが一番の
難所かもしれませんね"						
Resna	レスナ	湖底に棲む、白銀の魚……その鱗なんて						
Ryza	ライザ	"まあ、のんびりやろうよ。
釣りってそういうものだからね"						
Resna	レスナ	"はい！　私、湖で何かあった時のために
色々と対応事項を調べてきました！"						
Resna	レスナ	来ました！						
Ryza	ライザ	よし、いっくよーーーーっ！！						
Resna	レスナ	やりましたね！　さすがライザ先輩です！						
Ryza	ライザ	"いや～、自分の才能が怖いよ～。
だけど……"						
Ryza	ライザ	これじゃ……ないんだよねー						
Resna	レスナ	ですが、とっても人気があるんですよ						
Ryza	ライザ	そうなの？						
Resna	レスナ	"はい！　少し赤みがかった身が
ぷりぷりとして美味しいんです！"						
Ryza	ライザ	ぷりぷり……じゅるっ						
Resna	レスナ	"綺麗な湖に生息するため、
くせも臭みもなく、上品なお味です"						
Resna	レスナ	"塩焼きや干し魚にするのはもちろん、
味付け次第で可能性は無限大！"						
Ryza	ライザ	ううっ……お腹空いてきた～！						
Ryza	ライザ	"お弁当食べたばっかりだけど……
レスナ、料理してもらえない？"						
Resna	レスナ	喜んで！　と言いたいところですが……						
Resna	レスナ	"一番美味しくいただけるのが、
「揚げ」なんです"						
Resna	レスナ	"香辛料と一緒に低温からじっくり
揚げていくと、身も骨もほろほろに……"						
Ryza	ライザ	"うわーっ！　やります！
持って帰って作ります！"						
Resna	レスナ	はい、ぜひ！						
Ryza	ライザ	"それにしても、レスナはすごいな。
こっちの分野はあたしより先輩だね"						
Resna	レスナ	わわわ私が！　ライザ先輩の先輩っ！？						
Resna	レスナ	"そんな、とんでもない！
イクセルさんには遠く及びませんし……"						
Ryza	ライザ	"関係ないよ。レスナのいいところは、
レスナだけのものでしょ"						
Ryza	ライザ	気負わずに、胸を張ってね						
Resna	レスナ	恐縮です……！						
Resna	レスナ	"私にも、先輩に教えて差し上げることが
あったなんて……"						
Ryza	ライザ	"（ねぇレスナ。先輩と後輩っていうのは、先輩が後輩に
　指導するだけの関係じゃなくてもいいと思うんだ）"						
Resna	レスナ	"もうメモでびっしりとノートを
埋めております！"						
Resna	レスナ	"ですから、ご安心ください！　釣りをしている間、
ライザ先輩のことは私が守ってみせます！"						
