romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Izana	イザナ	（冒険と冒険の合間……束の間のひと時）	Izana	(Finally, a break between missions.)	伊札娜	（在冒险的间隙……极短的一段时间内……）	伊札娜	（冒險與冒險的空檔……轉瞬即逝的一刻。）
Izana	イザナ	"（たまにはダラダラしたって、
　罰は当たらないよね！）"	Izana	(There's nothing wrong with being a little lazy every once in a while, right?)	伊札娜	（偶尔犯懒也没问题吧！）	伊札娜	（偶爾像這樣偷個閒，不會受到懲罰吧！）
Izana	イザナ	レスナちゃ～ん、そこのお菓子取って～	Izana	Resna, would you hand me those sweets? Pretty please?	伊札娜	蕾斯娜～帮我拿一下那边的零食～	伊札娜	蕾斯娜～幫我拿那邊的點心～
Resna	レスナ	"んん～眠くて動けないよぉ……
待ってねぇ……
３つ数える間に力をいれるから、いーち……"	Resna	*Yawn* Mm, I'm so sleepy I can't move... Hold on, Izana... Once I count to three, I promise I'll get up. One...	蕾斯娜	"唔～我困得动不了……等一下哦……
等数到三我就会打起精神来的，一……"	蕾斯娜	"嗯嗯～睏得動不了啊……等我一下……
在數到3之前，我會使力的，1……"
Marie	マリー	あら、２人とも久しぶり	Marie	Well, well, you two! It's been a while!	玛莉	两位，好久不见。	瑪莉	哎呀，兩位都好久不見了。
Resna	レスナ	"マルローネ先輩！！
お久しぶりです！"	Resna	Oh, Marlone! Long time no see!	蕾斯娜	"玛洛娜前辈！！
好久不见！"	蕾斯娜	瑪洛娜前輩！！好久不見！
Izana	イザナ	"（さすがレスナちゃん、
　先輩の前ではしっかりしてる！）"	Izana	(Resna perked right up once she saw Marlone!)	伊札娜	"（不愧是蕾斯娜，
　在前辈面前就正经起来了！）"	伊札娜	"（真不愧是蕾斯娜，
　在前輩面前很可靠的樣子！）"
Resna	レスナ	"しばらくお見掛けしませんでしたが、
どちらにいらっしゃったんですか？"	Resna	It's been a while since we last met! Were you on a trip?	蕾斯娜	"最近都没见过前辈，
之前都去哪里了呢？"	蕾斯娜	好一陣子沒見到妳了，請問是去了哪裡呢？
Marie	マリー	"ハイネ州よ。素材探しのついでに
バカンスも楽しんできちゃった"	Marie	Yes, to Haine. I was actually searching for some materials, but I decided to take a bit of time for a vacation, too.	玛莉	"是去海涅州找素材了，
顺便享受了一下假期。"	瑪莉	海涅州。我去找素材，順便度了個假。
Marie	マリー	"マリオンにお土産渡してるから、
適当に分けちゃって"	Marie	Plus, I brought some souvenirs back for all of you to share. I left them with Marion.	玛莉	"我也给玛丽翁带了特产，
你们就分一下吧。"	瑪莉	"伴手禮我已經交給瑪麗翁了，
妳們就隨意分一分吧。"
