romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Heidi	ハイディ	"（ある日、ふと目を醒ますと、ヴァレリアが
　こっそり出かけようとしていた）"	Heidi	(Early one morning, I woke to find Valeria trying to sneak out of the house.)	海蒂	"（某天，在我醒来的时候，
　瓦莱莉娅已经打算偷偷出门了。）"	海蒂	"（這天，我早上醒來時，
　發現瓦萊莉婭正打算偷溜出門。）"
Heidi	ハイディ	"（あんなに寝るのが好きなヴァレリアが、
　早起きしていったいどこへ行くんだろう）"	Heidi	(Seeing her up so early was weird in and of itself, especially since she's always sleeping in.)	海蒂	"（瓦莱莉娅这么爱睡觉，
　她起大早是要去做什么么呢？）"	海蒂	"（平時最愛睡覺的瓦萊莉婭竟然起了個大早，
　她究竟是要去哪裡呢？）"
Heidi	ハイディ	（気になった私は後をついていくことにした）	Heidi	(It was all awfully fishy, so I decided to tail her.)	海蒂	（我很在意，所以就跟着她过去了。）	海蒂	（出於好奇，我決定偷偷跟上去。）
Valeria	ヴァレリア	"むー……あの髪飾りとこの髪飾り、何が違うの？
全部一緒に見える……"	Valeria	Ngh... What's the difference between these two hair pins? They look exactly the same...	瓦莱莉娅	"唔……那个发饰跟这个发饰有什么不同啊？
看起来全都一样……"	瓦萊莉婭	"唔……那個髮飾和這個髮飾有什麼不同呢？
看起來都一樣啊……"
Valeria	ヴァレリア	"うーん、若い子の流行りは分からない！
まぁ、おじさんの流行りも分からないけど……"	Valeria	Hmm... I just don't get girly fads like this! Then again, I don't really know what guys are into, either.	瓦莱莉娅	"唔……我不清楚年轻人的时尚潮流啊！
不过，大叔的时尚潮流我也不懂就是了……"	瓦萊莉婭	"嗯～我不懂年輕人的流行！
不過，中年人的流行我也不太懂啦……"
Valeria	ヴァレリア	"装飾品がダメなら、仕事道具？
でも尚更何が良いか分からないわ"	Valeria	I guess I'll give up on accessories. Maybe something practical like a tool might be better, but...what?	瓦莱莉娅	"如果装饰品不行的话，那就选工作道具？
可是这我就更不懂了。"	瓦萊莉婭	"裝飾品不行的話，工作道具呢？
可是這就更不知道哪個好了。"
Valeria	ヴァレリア	"いっそ武器でも渡す？
でも好みもあるし……"	Valeria	How about a weapon? Although, most people would want to pick those out for themselves...	瓦莱莉娅	"干脆送武器吧？
可每个人的喜好都不一样……"	瓦萊莉婭	乾脆送武器呢？但也不一定用得順手……
Heidi	ハイディ	そこのお嬢さん、お困りかい？	Heidi	Hey there, missy! It looks like you're in a spot of trouble.	海蒂	这位小姐，你不知道该选什么吗？	海蒂	這位小姐遇到困難了嗎？
Valeria	ヴァレリア	そうなの。すごく困って……	Valeria	Way more than a spot! I can't decide on—	瓦莱莉娅	是呀，我很头疼……	瓦萊莉婭	是啊，我真的很煩惱……
Valeria	ヴァレリア	"うそ、ついてきてたの！？
全然気配感じなかったのに……"	Valeria	Wait, Heidi?! You followed me?! I didn't notice at all...	瓦莱莉娅	"不是吧，你跟着我过来了？！
我完全没发现……"	瓦萊莉婭	"等等，妳怎麼跟來了！？
我完全沒有發現……"
Heidi	ハイディ	"ふふふ、手練れの斥候を舐めてもらっちゃ
困りますぜ"	Heidi	Hehe, that'll teach you to underestimate a master scout like me.	海蒂	呵呵，别小瞧我这个侦察老手。	海蒂	哼哼哼，小看身手不凡的斥候可不行啊。
Valeria	ヴァレリア	"そうだったわ、こういうの大得意よね。
いつもお世話になってるわ"	Valeria	Right, that's your number one specialty... You're always getting us out of tough spots with your skills.	瓦莱莉娅	"也对，你很擅长做这些。
一直以来都受你照顾了。"	瓦萊莉婭	"對哦，這是妳最擅長的事。
平時還真受妳關照了。"
