romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Valeria	ヴァレリア	あ。いたいた。アーンチュ！						
Antje	アンチュ	げ						
Valeria	ヴァレリア	げ、ってなによ。げ、って						
Antje	アンチュ	うるさいのが来た……						
Valeria	ヴァレリア	なーに読んでるの？						
Antje	アンチュ	なんでもいいでしょ……どうせ貴方は読まないんだから						
Valeria	ヴァレリア	"読む！　読むから教えて！
アンチュが熱く語ってくれることで興味を持つかも！"						
Antje	アンチュ	"……そう言って、前薦めたものは読んでくれなかった。
私、忘れないから"						
Valeria	ヴァレリア	"う……あれはちょっと難しくて。
もっと簡単なものならいけるわ"						
Antje	アンチュ	本当かしら						
Valeria	ヴァレリア	教えてくれるまでここから離れないから！						
Antje	アンチュ	ルアッカ、助けて						
RUAKKA	ルアッカ	"だ、ダメだ……ガッチリ頭を膝で押さえつけてやがる。
オラ、動けねぇぞ……"						
Antje	アンチュ	ぐ……し、しょうがないわね						
Antje	アンチュ	"これは、ある金持ちの屋敷に入った盗賊が
不思議な体験をするお話で……"						
Izana	イザナ	"ヴァレリアとアンチュ、
なんだかすごく仲良くなったね"						
Resna	レスナ	"仲良くなった？　のかなあ、あれは。
言い争ってるようにも見えるけど……"						
Izana	イザナ	"あれは仲良くなったんだよ。
ケンカするほど仲がいいっていうしね！"						
