romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Sterk	ステルク	"（あれからしばらくリヒャルト殿下のご様子を
　見守っていたが……）"	Sterk	(I've been keeping a close eye on Prince Richard ever since, but...)	史特尔克	"（自上次一事后，
　我一直在默默守护着理查德殿下……）"	史特爾克	"（自那之後，我默默地觀察了
　理查德殿下好一陣子……）"
Sterk	ステルク	"（探してらっしゃる「答え」は
　まだ見つかっていないらしい）"	Sterk	"(It seems he hasn't found the ""answer"" he's been searching for just yet.)"	史特尔克	（但他似乎还没找到想要的“答案”。）	史特爾克	（他正在尋求的「答案」似乎還沒找到。）
Sterk	ステルク	（そこで、私は……）	Sterk	(And so, I made up my mind...)	史特尔克	（于是我……）	史特爾克	（於是，我……）
Roman	ロマン	"君から食事に誘うなんて珍しいじゃないか。
もちろん、大歓迎だけどね"	Roman	I never thought you'd be the one to invite me to a meal, but I'm happy to oblige!	罗曼	"没想到你居然会主动邀请我吃饭，真难得。
当然，我很高兴哦。"	羅曼	"你竟然約我吃飯，真是難得啊。
當然我是非常歡迎啦。"
Sterk	ステルク	（さて、どう聞き出したものか……）	Sterk	(Now, how should I bring it up...)	史特尔克	（接下来我该怎么问呢……）	史特爾克	（那麼，我該怎麼問才好呢……？）
	選択肢	最近、悩んでいることはありませんか？	Selection	Has anything been worrying you lately?	选项	您最近有烦恼吗？	選項	您最近有沒有什麼煩惱呢？
Sterk	ステルク	最近、悩んでいることはありませんか？	Sterk	Has anything been worrying you lately?	史特尔克	您最近有烦恼吗？	史特爾克	您最近有沒有什麼煩惱呢？
Roman	ロマン	"悩み？
うーん、悩みってほどのものはないな"	Roman	Worrying me? Hmm, not really, no.	罗曼	"烦恼？
唔……也称不上是烦恼吧。"	羅曼	"煩惱？
嗯～沒什麼稱得上是煩惱的事耶。"
Roman	ロマン	"ふふっ、私のことを心配してくれたのかい？
君を心配させるなんて罪な男だな、私は"	Roman	Haha, are you that worried about me? I must be more trouble than I thought.	罗曼	"呵呵，你是在担心我吗？
那我可真是个罪恶的男人啊。"	羅曼	"呵呵，你在擔心我嗎？
竟然讓你擔心了，我可真是個罪惡的男人啊。"
Sterk	ステルク	"（このままはぐらかされそうだ。
　仕方ない、単刀直入に訊くか……）"	Sterk	(He's dodging the question. I'll have to be more direct.)	史特尔克	"（再这样下去会被殿下搪塞过去的。
　没办法，我就开门见山地问吧……）"	史特爾克	"（這樣下去好像會被他岔開話題。
　沒辦法，我就直截了當地問吧……）"
Sterk	ステルク	たとえば王族としての在り方について、とか	Sterk	For example, something like what it means for you to be royalty?	史特尔克	比方说，为王之道，之类的。	史特爾克	比如說身為王族的理想姿態之類的。
