romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Juna	ユナ	（今日は天気がいい。見回り日和だな）	Juna	(What nice weather we're having today. Perfect for patrolling.)	尤娜	（今天天气很好，适合巡逻。）	尤娜	（今天天氣真好，正適合巡邏呢。）
Juna	ユナ	"（人々も穏やかだ……
　ん？　あそこにいるのはハイディか）"	Juna	(Everyone seems to be in a fine mood, too. Hm? Isn't that Heidi over there?)	尤娜	"（也没有人闹事……
　嗯？那个人是海蒂吧。）"	尤娜	"（人們之間的氣氛也很和平……
　嗯？在那邊的是海蒂吧。）"
Juna	ユナ	（なんだ、様子がおかしいな）	Juna	(Though, she doesn't appear to be acting like her usual self.)	尤娜	（看上去样子有点不太对劲。）	尤娜	（她看上去好像不太對勁。）
	選択肢	そこで何をしているんだ	Selection	What are you doing there?	选项	你在做什么？	選項	妳在那裡做什麼？
Juna	ユナ	ハイディ！　そこで何をしているんだ	Juna	Heidi! What are you doing there?	尤娜	海蒂！你在做什么？	尤娜	海蒂！妳在那裡做什麼？
Heidi	ハイディ	"うわあ！　って、ユナさんか。
びっくりしたー"	Heidi	Whoa! Oh, it's just you, Juna. Yeesh, give a girl more warning, would you?	海蒂	"哇！
原来是尤娜小姐啊，吓我一跳。"	海蒂	"唔哇！呃，原來是尤娜小姐啊。
嚇了我一跳～"
Juna	ユナ	"……なんだ、
何かやましいことでもあるのか"	Juna	You aren't up to any...dubious behavior, are you?	尤娜	怎么……你做了什么亏心事吗？	尤娜	……怎麼，難道妳做了什麼虧心事嗎？
Heidi	ハイディ	"ないない、ないです！
だからそんな怖い顔しないで！"	Heidi	Nope, not in the least! So please stop giving me that scary look!	海蒂	"没有没有，才没那回事呢！
你不要露出那么恐怖的表情啦！"	海蒂	"不不不，並沒有！
所以妳別擺出那麼可怕的表情啦！"
Juna	ユナ	……怖い顔をしているつもりはないんだが	Juna	My expression isn't any different from usual.	尤娜	我没有故意吓你吧……	尤娜	……我沒有想要擺出可怕的表情啊。
	選択肢	おい、どうした？	Selection	Hey, is something wrong?	选项	喂，怎么了？	選項	喂，妳怎麼了？
Juna	ユナ	おいハイディ、どうした？	Juna	Hey, Heidi? Is something wrong?	尤娜	喂，海蒂，怎么了？	尤娜	喂，海蒂，妳怎麼了？
Heidi	ハイディ	"あっ、ユナさん！ちょっと聞いてよー！
このハイディちゃんが、
してやられちゃったよー！"	Heidi	Oh, Juna! Perfect timing! This pure-hearted maiden has been hoodwinked something awful, I'm telling you!	海蒂	"啊，尤娜小姐！你听我说！
我居然被人摆了一道！"	海蒂	"啊，尤娜小姐！妳聽我說啦～！
海蒂我被人擺了一道～！"
Juna	ユナ	"なんだ。
いつもと様子が違わないか"	Juna	Never mind. You're clearly fine.	尤娜	但你看上去和平时没什么两样。	尤娜	怎麼回事？妳看起來有點反常。
Heidi	ハイディ	"これには、
山よりも深く海よりも高い訳があってね……"	Heidi	Hardly! Let me assure you, the reason for my disappointment runs deeper than the mountains and higher than the seas...	海蒂	这件事说来话长，三下五除二说不清……	海蒂	這背後的原因可說是比山深，比海高喔……
Juna	ユナ	"それを言うなら、
山よりも高く海よりも深い、じゃないか？"	Juna	...If you're going to be dramatic, at least get the expression right.	尤娜	应该是三言两语说不清吧？	尤娜	妳應該是要說比山高，比海深吧？
	選択肢	どうしたんだい、お嬢さん	Selection	What ails you, young lady?	选项	这位小姐，你怎么了？	選項	怎麼了呀，小姐？
Juna	ユナ	どうしたんだい、お嬢さん	Juna	What ails you, young lady?	尤娜	这位小姐，你怎么了？	尤娜	怎麼了呀，小姐？
Heidi	ハイディ	何？　お誘いならお断りだよ！	Heidi	Huh? Get lost, creep!	海蒂	干嘛？要搭讪的话麻烦去找别人！	海蒂	幹嘛？要邀約的話我拒絕喔！
Heidi	ハイディ	"……ってユナさん！？
何やってるの！？"	Heidi	Wait, Juna?! What are you doing here?!	海蒂	"尤娜小姐……？！
你在干嘛呢？！"	海蒂	"……咦、尤娜小姐！？
妳在做什麼啦！？"
Juna	ユナ	"お前が落ち込んでいるようだったから、
殿下のように明るく声をかけてみようかと
思ってだな……"	Juna	Well, you looked rather down, so I thought I'd try lifting your spirits with a more regal style of speech.	尤娜	"我看你情绪低落，就想试着
和殿下一样爽朗地打声招呼。"	尤娜	"妳看上去有點沮喪，
我就想說學殿下那樣開朗地
跟妳打個招呼看看……"
Heidi	ハイディ	"あはは！　今のロマンの真似？
ぜんっぜん似てない！
でも今のはいい励ましだったよ、うん"	Heidi	Ahaha! Were you imitating Roman? Sorry, but you don't sound like him at all! That did cheer me up, though.	海蒂	"啊哈哈！刚才那是在模仿罗曼？
一点也不像！不过我现在有精神了，嗯。"	海蒂	"啊哈哈！妳剛才那是在學羅曼？
一點也不像！不過倒是讓我的心情
好了不少喔，嗯。"
Heidi	ハイディ	いやー、実はさ	Heidi	Okay, so...	海蒂	哎呀，其实……	海蒂	哎呀～其實呢……
Heidi	ハイディ	"割りのいい依頼があったと思ったら、
騙されちゃっててさ……"	Heidi	I thought that I'd bagged a lucrative request, but I totally got cheated.	海蒂	"我以为接到了一个很划算的委托，
结果被骗了……"	海蒂	"原以為接到了很賺的委託，
結果竟是一場騙局……"
Heidi	ハイディ	"普段から十分気を付けてたんだけど、
久しぶりにしてやられたよ……"	Heidi	Usually, I'm way more wary about that kind of thing, but I guess I've gotten rusty.	海蒂	"平时我已经很注意了，
不过没想到还是久违地上了次当……"	海蒂	我平常都十分小心的，很久沒中計了……
Juna	ユナ	割りのいい依頼、か……	Juna	Lucrative in what way?	尤娜	划算的委托吗……	尤娜	很賺的委託啊……
Heidi	ハイディ	"そう！　命の危険なく、高報酬！
いい依頼見つけたって思ったんだけどな"	Heidi	Super high-paying, and not in the least bit life-threatening! That's like, the dream!	海蒂	"没错！没有生命危险且高报酬！
我还以为总算来了个好活呢。"	海蒂	"對！不會有性命危險，又是高報酬！
本來以為找到了一個不錯的委託呢。"
	選択肢	運が悪かったな	Selection	That's unfortunate.	选项	太不走运了	選項	運氣真不好。
Juna	ユナ	"それは運が悪かったな。
割りのいい依頼というのは
なかなかないだろう"	Juna	That IS unfortunate. Such requests truly are few and far between.	尤娜	"那真是太不走运了。
划算的委托应该很少吧。"	尤娜	"那妳運氣真不好呢。
很賺的委託沒那麼容易找到的吧。"
Heidi	ハイディ	だよねー。あーあ、残念	Heidi	I know, right? Ugh, I got my hopes up for nothing.	海蒂	就是说啊。哎，太遗憾了。	海蒂	就是說啊～唉，真遺憾。
Heidi	ハイディ	"私って、楽をしようとすると
いっつもどこかツイてないんだよね"	Heidi	It's always like that, though. Any time I think a request's going to be a piece of cake, something ends up being waaay tougher than it needs to be.	海蒂	每次我想赚点快钱就总是碰到倒霉事。	海蒂	"當我想要輕鬆一點賺錢的時候，
總是會不太走運呢。"
Juna	ユナ	"まず運に任せて楽をしようとするのが
間違いだろう"	Juna	I'd say that your first mistake was leaving things up to fate.	尤娜	首先，想赚快钱这种想法就不对吧。	尤娜	"首先想要靠運氣輕鬆賺錢
就是個錯誤吧。"
Heidi	ハイディ	うへえ、おっしゃる通りで……	Heidi	Ugh, yeah. I can't really argue with you there.	海蒂	呃，您说的是……	海蒂	唔呃，妳說得很有道理……
	選択肢	どう考えても怪しいだろう	Selection	Surely that raised all sorts of red flags.	选项	不管怎么想都很可疑	選項	不管怎麼想都很可疑吧。
Juna	ユナ	"楽で高報酬？
そんな依頼、どう考えても怪しいだろう。
危険と報酬が釣り合っていない"	Juna	A simple AND high-paying task? Surely that raised all sorts of red flags. A proper request pays proportionally to the amount of risk required to complete it.	尤娜	"轻松又钱多？这种委托怎么想都很可疑吧。
它的风险和报酬不成正比。"	尤娜	"輕鬆又高報酬？
這種委託不管怎麼想都很可疑吧。
風險和報酬根本就不對等。"
Heidi	ハイディ	もー、ユナさんは真面目だなー	Heidi	Ugh, you're so serious, Juna!	海蒂	哎，尤娜小姐太正经啦。	海蒂	真是的～尤娜小姐妳很一板一眼耶～
Heidi	ハイディ	"ハイディちゃん的には、
これが黄金バランスなんだけどな"	Heidi	I don't know, it seemed like the perfect balance to me.	海蒂	对我来说，这就是工作的黄金比。	海蒂	"在海蒂我看來，
這種委託才是黃金比例喔。"
Juna	ユナ	"お前的に、ではなく
世間一般で見たバランスを言っているんだ"	Juna	To you, maybe. But I'm talking about what most people would think.	尤娜	"我说的是普罗大众的看法，
而不是你那套歪理。"	尤娜	"妳怎麼看不重要，
我說的是社會大眾眼中的比例。"
Heidi	ハイディ	はーい、ごめんなさーい	Heidi	Yeah yeah, sooorry.	海蒂	好啦，我知道错了。	海蒂	是～對不起～
	選択肢	慰めてやろう	Selection	Comfort her	选项	我来安慰你吧	選項	我來安慰妳吧。
Juna	ユナ	"それは残念だったな……
私が慰めてやろう"	Juna	That is a shame. Here, I'll cheer you up.	尤娜	"那真是太遗憾了……
我来安慰你吧。"	尤娜	那還真是遺憾……我來安慰妳吧。
Heidi	ハイディ	え、ええっ！　ユナさん！？	Heidi	Huh! Juna?!	海蒂	什、什么？！尤娜小姐？！	海蒂	咦、咦咦！尤娜小姐！？
Juna	ユナ	"人を騙すような不埒な輩は、
王国が放っておかない"	Juna	The kingdom won't let such deceiving scoundrels run wild.	尤娜	王国不会放任无良之辈到处骗人。	尤娜	"那些欺騙他人的不肖之徒，
王國是不會輕易放過的。"
Juna	ユナ	"必ず罰せられる。
そう考えると溜飲も下がるだろう"	Juna	They will be punished, I promise. I hope that serves as some comfort to you.	尤娜	"他们一定会受到惩罚。
这样想心里有没有舒服一点？"	尤娜	"我必定會嚴懲他們。
這樣一想，妳應該心情會暢快一點吧。"
Heidi	ハイディ	"うわぁお……
ユナさんかっこいー！"	Heidi	Wow... Juna, you're so cool!	海蒂	"哇……
尤娜小姐好帅啊！"	海蒂	唔哇……尤娜小姐真是帥氣～！
Juna	ユナ	"だが、どう見ても怪しい依頼に飛びつく
お前もどうかと思うぞ"	Juna	That being said, you need to be careful of such obviously shady requests.	尤娜	不过，明知委托有鬼还凑上去的你也有问题。	尤娜	"不過，貿然接下那種不管怎麼看都很可疑的委託，
妳也有不對的地方。"
Juna	ユナ	"楽して稼ごうとすると、
失敗するぞ"	Juna	Going after easy money never ends well.	尤娜	想挣快钱只会失败。	尤娜	打著輕鬆賺錢的主意，可是會跌跤的喔。
Heidi	ハイディ	"そうかもしれないけど、
楽して稼げたら一番いいじゃん！"	Heidi	Yeah, you're probably right. But you can't beat high pay for simple work!	海蒂	话是这么说，但要是真能赚到肯定是最好啊！	海蒂	"或許是這樣沒錯啦，
但如果能輕鬆賺錢當然是最好的嘛！"
Heidi	ハイディ	家族のためにも、手早く稼ぎたいんだよ	Heidi	And I want to make money fast for my family, too.	海蒂	就算是为了家人，我也想快点多赚点钱。	海蒂	為了家人，我想要快點賺到錢啊。
Juna	ユナ	"（志は悪くないが、
　楽して稼ぐというのは、難しい話だろう）"	Juna	(Her intentions aren't bad, but easy money isn't usually so easy.)	尤娜	"（她的出发点不坏，
　但钱不是轻轻松松就能赚来的。）"	尤娜	"（雖然志向是對的，
　但要輕鬆賺錢根本是天方夜譚吧。）"
	選択肢	大きな事件に巻き込まれてしまうかも	Selection	You might get into big trouble.	选项	可能会被卷入麻烦事	選項	可能會被捲入重大事件。
Juna	ユナ	"それで怪しい依頼に手を出してしまい、
事件にでも巻き込まれたらどうする"	Juna	What happens if you go for a shady request and get caught up in some mess?	尤娜	"就因为这样去接奇怪的委托，
万一被卷入了麻烦事怎么办。"	尤娜	"要是因此去做可疑的委託而導致自己
被捲入事件裡，妳要怎麼辦？"
Juna	ユナ	家族に心配をかけることになるぞ	Juna	You'd end up troubling your family.	尤娜	家人会担心你啊。	尤娜	這樣可是會害家人擔心的喔。
Heidi	ハイディ	それは……絶対嫌だけどぉ……	Heidi	That...would be horrible...	海蒂	这……我不想让她们担心……	海蒂	這……我絕對不要……
Heidi	ハイディ	"でも、
家族に貧乏暮らしもさせたくないし……"	Heidi	But I don't want them to live a poor life, either.	海蒂	但我也不想让家人过苦日子……	海蒂	"可是，我也不想讓家人過著
貧窮的生活啊……"
	選択肢	地道に稼いだ方が確実だ	Selection	It's better to earn a steady pay than an easy one.	选项	脚踏实地挣钱才稳妥	選項	腳踏實地賺錢比較實際。
