romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Roman	ロマン	"（ああ、なんて穏やかな日だろうか。
　天気も良く、散策にうってつけの日だ）"	Roman	(Ahh, what a lovely day. The weather is just perfect for a stroll.)	罗曼	"（哎呀，今天可真是平静。
　天气又好，太适合出门逛逛了。）"	羅曼	"（啊啊，多麼寧靜的日子啊。
　天氣也很好，出來散步最適合不過了。）"
Roman	ロマン	（おや？　あれは……）	Roman	(Oh? What do we have here?)	罗曼	（咦？那是……）	羅曼	（哦？那是……）
Geron	ジェロン	俺は暇ではない。どこかへ行け	Geron	I'm busy. Get lost.	杰隆	一边去，我没空。	傑隆	我沒空，走開。
Roman	ロマン	"（あの様子は、もしや……
　どうしようか）"	Roman	(Geron and...a lady friend? What is he up to?)	罗曼	"（看这情况，难道说……
　该怎么办呢。）"	羅曼	"（看那情況，莫非……
　我該怎麼做呢？）"
		声をかける		Call out to him		出声搭话		向他打聲招呼
Roman	ロマン	やあ、待たせたね	Roman	So sorry to have kept you waiting!	罗曼	你好啊，让你久等了。	羅曼	嗨，讓你久等了。
Geron	ジェロン	……ああ。遅かったな	Geron	Uh... Right. Almost thought you weren't going to show up.	杰隆	……嗯，你来晚了。	傑隆	……嗯，你來得真慢。
Roman	ロマン	急がないと、予定に遅れるよ	Roman	We must be going now, or we'll be late.	罗曼	不赶快走的话要迟到了。	羅曼	不快點走的話，就趕不上行程了。
Geron	ジェロン	見ての通り、俺達は暇じゃない	Geron	See? Like I said. I don't have the time to be dealing with you.	杰隆	如你所见，我们没空。	傑隆	如妳所見，我們很忙。
Roman	ロマン	私たちも場所を移そうか	Roman	Perhaps we should take this conversation elsewhere.	罗曼	我们也换个地方吧。	羅曼	我們也換個地方吧。
		声をかけず、通り過ぎる		Say nothing and keep walking		不搭话，直接走过去		不出聲，直接走過去
Roman	ロマン	"（二人が本当に知り合いの可能性もある。
　触れぬが吉、かな）"	Roman	(They might know each other... If that's the case, maybe I shouldn't interrupt them.)	罗曼	"（这两个人没准是熟人。
　还是别扯上关系为妙。）"	羅曼	"（他們兩人可能真的認識。
　還是別干涉為妙吧。）"
Geron	ジェロン	おい	Geron	Hey!	杰隆	喂。	傑隆	喂。
Roman	ロマン	ん？	Roman	Hm?	罗曼	嗯？	羅曼	嗯？
Geron	ジェロン	俺はこいつに用があるから付き合えん	Geron	My business is with him, not you.	杰隆	我找这家伙有事，没法陪你。	傑隆	我找他有事，沒空搭理妳。
Geron	ジェロン	少し面を貸してくれ	Geron	We need to talk.	杰隆	陪我一下。	傑隆	你跟我過來一下。
		遠くから見守る。		Watch them from afar		在远处观察		在遠處觀望
Roman	ロマン	"（二人が本当に知り合いの可能性もある。
　少し様子を見ようか）"	Roman	(They might know each other... Let's wait and see what happens.)	罗曼	"（这两个人没准是熟人。
　还是先观察一下吧。）"	羅曼	"（他們兩人可能真的認識。
　觀望一下情況好了。）"
Roman	ロマン	"（これは……
　助けを求められているのか？）"	Roman	(It looks almost like he wants someone to bail him out.)	罗曼	"（这是在……
　向我求助么？）"	羅曼	（他這是……在向我求助嗎？）
Roman	ロマン	やあ、ジェロン	Roman	Hello there, Geron.	罗曼	你好啊，杰隆。	羅曼	嗨，傑隆。
Geron	ジェロン	ちょっと付き合え	Geron	Hey. Real quick, just come with me.	杰隆	陪我一下。	傑隆	你過來一下。
Geron	ジェロン	助かった	Geron	Thanks, I owe you one.	杰隆	谢了。	傑隆	勞你相助了。
Geron	ジェロン	"知らない女に声をかけられていてな……
断っても、なかなか諦めようとせん"	Geron	That woman started hitting on me out of nowhere. Even after I told her to get lost, she still wouldn't leave me alone.	杰隆	"有个陌生女人跟我搭话……
就算我拒绝她，她也不依不饶。"	傑隆	"有個陌生女人來找我攀談……
我都拒絕了，她還是不死心。"
Roman	ロマン	君が対応に困ることがあるとはね	Roman	I must say, it was a little surprising to see you so out of your element.	罗曼	世上居然还有你不擅长应付的事啊。	羅曼	真沒想到會有你應付不了的事啊。
Roman	ロマン	"お茶に誘われていたようだけれど……
初対面の女性に声をかけられることは
よくあるのかい？"	Roman	From what I heard, it sounded like she wanted to go on a date with you. Do you get approached by ladies like that often?	罗曼	"她似乎是要邀请你喝茶……
经常有陌生女性跟你搭话吗？"	羅曼	"我看她似乎在邀請你去喝茶……
常常會有初次見面的女性找你說話嗎？"
Geron	ジェロン	"……ああ。
だが正直、女は苦手だ"	Geron	I guess. But I'm not great with women.	杰隆	"……是啊。
说实话，我不擅长应付女人。"	傑隆	……是啊。但坦白說，我不善於應付女人。
Geron	ジェロン	"こちらが冷たくすると、喜ぶやつもいる
どうなっているんだかな"	Geron	There are some real weirdos out there. Telling them off just makes them try even harder.	杰隆	"就算我冷言相待，也有人会为此开心。
这到底是怎么回事啊。"	傑隆	"我要是態度冷淡，有些人還會很開心。
這到底是怎麼一回事？"
Geron	ジェロン	"そもそも俺は少し前まで
指名手配犯だったんだが……"	Geron	I'd tell them I was a wanted criminal until recently, but something tells me that wouldn't stop them either...	杰隆	而且我之前还是个通缉犯啊……	傑隆	更何況，我在不久之前還是個通緝犯啊……
		犯罪者以前に、君は男前だからな		Because you're so handsome.		你是犯人，可更重要的是你很有男人味		你這麼帥氣，是不是罪犯都是其次了
Roman	ロマン	"犯罪者以前に、君は男前だからな。
魅力的に見えるんだろう"	Roman	You may have been a wanted criminal, but you were a handsome wanted criminal. I suppose that's the first thing they notice.	罗曼	"你是犯人，可更重要的是你很有男人味。
你看起来很有魅力吧。"	羅曼	"你這麼帥氣，是不是罪犯都是其次了。
在女性眼中你應該很有魅力吧。"
Geron	ジェロン	……迷惑な話だな	Geron	I'd rather be ugly than deal with all of this.	杰隆	……真叫人头疼。	傑隆	……真是麻煩。
Roman	ロマン	私も言ってみたいね、そんな台詞は	Roman	Do you know how many people wish they had that problem?	罗曼	我也好想说这种话啊。	羅曼	我也好想說說看這句話呢。
Geron	ジェロン	女が考えていることはわからん	Geron	I just don't get women at all...	杰隆	我不懂女人脑子里的想法。	傑隆	我不懂女人在想什麼。
		こうしたことには動じないと思っていた		I didn't think anything could phase you.		我还以为你不会为这种事动摇		還以為你遇到這種事也能處變不驚。
Roman	ロマン	"女性が苦手とは……意外だな。
こうしたことには動じないと思っていたよ"	Roman	I'm surprised. To be honest, I didn't think anything could phase you, let alone the opposite sex.	罗曼	"你居然不擅长应付女性……好意外啊。
我还以为你不会为这种事动摇呢。"	羅曼	"竟然不擅長應付女性……真是意外。
我還以為你遇到這種事也能處變不驚呢。"
Geron	ジェロン	今は立場的に強くでにくいというのもある	Geron	Well, I'm in a tricky situation right now.	杰隆	站在如今的立场，我也不好强硬回应。	傑隆	以我現在的立場也不好表現得太強硬。
Geron	ジェロン	"何か問題を起こして
ティムと引き離されるわけにはいかん"	Geron	I need to be careful not to get mixed up in any trouble since I have Tim to think about.	杰隆	"毕竟我要是惹了麻烦，
被迫跟提姆分开可就不好了。"	傑隆	不能惹出什麼麻煩害提姆和我分開。
Roman	ロマン	その心がけはこちらとしてもありがたいよ	Roman	Hearing you say that so earnestly puts even me at ease.	罗曼	很感谢你能有这种想法。	羅曼	你能如此警惕自己，我也很感激。
		女性が苦手と言うが、ララはどうなんだ？		You say that, but what about Lara?		你说你不擅长应付女性，那拉拉呢？		你說自己不善於應付女性，那麼拉拉呢？
Roman	ロマン	"女性が苦手と言うが、ララはどうなんだ？
よく一緒に行動しているね"	Roman	You say you aren't good with women, but what about Lara? The two of you made a good team.	罗曼	"你说你不擅长应付女性，那拉拉呢？
你们总是一起行动的吧。"	羅曼	"你說自己不善於應付女性，那麼拉拉呢？
你們經常一起行動吧。"
Geron	ジェロン	"あいつとは
利害の一致した協力関係というだけだ"	Geron	Oh, her? We only worked together because it benefited us both.	杰隆	我跟她仅仅是利害一致的合作关系。	傑隆	我跟那傢伙只是利害一致的合作關係罷了。
Geron	ジェロン	"何度言っても
ララ・キングダムに
勝手に就職させようとするしな……"	Geron	But she's tried to swear me into the service of the Kingdom of Lara about a hundred times now...	杰隆	"不管我说多少遍，
她都想擅自让我在拉拉王国就职……"	傑隆	"而且不管我拒絕多少次，
她都要擅自授予我拉拉王國的職位……"
Roman	ロマン	"そうか。
仲いいようでなによりだよ"	Roman	Is that so? Well, it's good to know the two of you are so close.	罗曼	"这样啊。
你们相处得融洽就好。"	羅曼	"這樣啊。
看來你們關係很好，真是萬幸。"
Geron	ジェロン	今の話のどこにそう思う要素があった……？	Geron	What part of what I said would give you that impression...?	杰隆	到底是我说的哪句话让你产生了这种误会……？	傑隆	剛才那些話哪裡讓你感覺到我們關係很好……？
Roman	ロマン	"そうだ！　女性に声をかけられた際の
対応に困っているのなら、
私が対策を教えよう！"	Roman	Here's an idea! Since you have so much trouble dealing with women, I'll help you come up with a way to handle these situations.	罗曼	"对了！如果你不知道该如何应付女性的搭讪，
那就由我来告诉你对策吧！"	羅曼	"對了！既然你不知該如何應付前來攀談的女性，
那我來教你一招吧！"
		ひたすら無視する		Just ignore them.		无视就好		只管無視對方
Roman	ロマン	"声をかけられても、
ひたすら無視すればいい"	Roman	If they give you that much trouble, why don't you just ignore them?	罗曼	"就算被人搭话，
你只要通通无视就好。"	羅曼	就算有女性來攀談，你只管無視對方就行了。
Geron	ジェロン	しているんだが	Geron	I already do.	杰隆	我已经在无视她们了。	傑隆	我一直都是這麼做的。
Roman	ロマン	そうか、完全に無視しても駄目か	Roman	Drat, I thought that would work for sure...	罗曼	是吗，就算无视也没用啊。	羅曼	這樣啊，徹底無視她們也沒用嗎？
Geron	ジェロン	うむ	Geron	Nope.	杰隆	是的。	傑隆	嗯。
Roman	ロマン	"……君はもともと
そういう雰囲気の人物だから、
逆効果になってしまうのか……"	Roman	Well, since you're the brooding, mysterious type, perhaps ignoring them just makes them all the more attracted to you.	罗曼	"……你本来就挺冷漠的，
所以反而会产生反作用吧。"	羅曼	"……你這個人本來就帶有那樣的氣質，
所以造成反效果了嗎……"
Roman	ロマン	"そういうところも
女性は魅力に感じるんだろうね"	Roman	After all, women do love bad boys.	罗曼	对女性来说，你这一点也很有魅力。	羅曼	可能這一點也會讓女性感到很有魅力吧。
		逆にこちらから親しげに声をかける		Act overly enthusiastic to see them!		反客为主，亲密搭话		反過來主動親暱搭話
Roman	ロマン	"そういう時は、
逆にこちらから親しげに声をかければいい。
久しぶり、ってね"	Roman	"If someone strikes up a conversation with you, try acting overly happy to see them. You could even say something like, ""Oh, it's so good to see you again!"""	罗曼	"这种时候要反客为主，
主动上前亲密搭话就好。
跟她们问候一句“好久不见”。"	羅曼	"像這種時候，
你只要反過來主動向她們親暱搭話就行了。
說聲「好久不見」這樣。"
Roman	ロマン	"きっと相手は驚いて
去っていくんじゃないかな"	Roman	I imagine that would scare them right off!	罗曼	她们肯定会在受到惊吓后离开的。	羅曼	對方肯定會受到驚嚇而離開吧。
Geron	ジェロン	"相手が去らずに、話に
乗ってきたら、どうするんだ？"	Geron	But what if it backfires? It might just make me seem like I want to talk to them.	杰隆	"那她们要是不离开，
接茬继续讲下去了呢？"	傑隆	要是對方不離開，順著我的話聊下去該怎麼辦？
Roman	ロマン	そこは臨機応変に……	Roman	You have to learn to play it by ear!	罗曼	那就得靠你随机应变了……	羅曼	這就需要臨機應變了……
Geron	ジェロン	"臨機応変か。わりと苦手な言葉
なのかもしれんな"	Geron	"""Playing it by ear"" doesn't sound like my strong suit."	杰隆	"随机应变啊。
这对我来说也挺困难的。"	傑隆	"臨機應變啊。
我可能還滿怕聽到這幾個字的。"
Roman	ロマン	弱気な君は、珍しいねぇ	Roman	What happened to the cool, confident Geron I know?	罗曼	很少见你有这么消极的时候。	羅曼	你會這麼軟弱真是少見呢。
		ロマン式荒療治		The key is exposure therapy.		罗曼式暴露疗法		羅曼式下猛藥治療
Roman	ロマン	"ロマン式荒療治さ！
私と一緒に舞踏会へ行こう"	Roman	I know just the thing to cure you of your womanly woes: practice! You and I shall go to a ball.	罗曼	"试试罗曼式暴露疗法好了！
跟我一起去舞会吧！"	羅曼	"羅曼式下猛藥治療！
跟我一起去參加舞會吧。"
Roman	ロマン	"きっと、君と踊りたい人はたくさんいる。
それをいなし続けていれば、
女性相手にも慣れるんじゃないか？"	Roman	The ladies will be lining up to dance with you. By the time the ball ends, you'll have so much experience that talking to women will be a walk in the park.	罗曼	"肯定有不少人想跟你跳上一曲。
假以时日，就能习惯与女性交流了吧？"	羅曼	"到時一定會有很多人想跟你跳舞。
只要和她們持續周旋，
不就能習慣應付女性了嗎？"
Geron	ジェロン	おい、冗談じゃないぞ	Geron	Quit messing with me.	杰隆	喂，开什么玩笑。	傑隆	喂，這可不是在開玩笑。
Geron	ジェロン	"ああいった場はただでさえ
視線が集まって落ち着かない。
絶対にお断りだ"	Geron	I'm not going anywhere close to a ball. I can't stand that kind of thing. It always feels like everyone is watching me...	杰隆	"本来待在那种地方，
就会受人瞩目让我静不下心。
我是绝对不会去的。"	傑隆	"那種場合本來就會引來許多矚目，
讓人坐立難安的。
我絕對不去。"
Roman	ロマン	"はは、もちろん冗談さ。
だがもし本当に荒療治でもいいのなら、
いつでも声をかけてくれたまえよ"	Roman	Haha, that was just a joke. But if you do want me to help cure you of your little problem, you need only say the word.	罗曼	"哈哈，我当然是在跟你说笑了。
可你要是能接受暴露疗法了，
随时都可以来找我帮你。"	羅曼	"哈哈，當然是開玩笑啦。
但如果你真的想試試下猛藥治療，
隨時都可以來跟我說一聲哦。"
Roman	ロマン	"いやあ、まさか。こんな形で君の新たな
一面が見られるとはね……"	Roman	But really, what a surprise... I never thought I'd see a side like this to you.	罗曼	"哎呀，真没想到会通过这种方式
见到你的另一面……"	羅曼	"哎呀，真沒想到呢。
居然會在這種情況下看到你的另一面……"
Geron	ジェロン	他の奴には言うなよ	Geron	Just don't go blabbing to anyone else about it.	杰隆	你可别告诉别人啊。	傑隆	不准告訴其他人。
Roman	ロマン	"口の堅さには定評があるよ。
むしろ、また同じようなことで困った時は
私を頼ってくれて構わないよ"	Roman	Discretion is something I'm known for! Just remember that you can count on me if you ever run into any trouble like this again.	罗曼	"你放心，大家都夸我口风紧。
不如说，如果你再遇上麻烦事，
大可以找我帮忙。"	羅曼	"我可是公認的口風很緊。
反倒是你如果又因這類事情
傷腦筋的話，儘管來找我幫忙吧。"
Geron	ジェロン	"……感謝する。
借りはいつか返す"	Geron	Thanks. I'll be sure to return the favor.	杰隆	"……谢了。
我会报答你的。"	傑隆	……謝謝你。這份恩情必定回報。
Roman	ロマン	そこまで恩に着なくても。真面目だね	Roman	That's very kind of you, but there's no need to feel obligated.	罗曼	倒也不必为这个跟我道谢。你太正经啦。	羅曼	不用那麼感謝我啦，你還真是正經呢。
Roman	ロマン	"（まさか女性が苦手とは……
　驚いたな）"	Roman	(Who would've thought that Geron was shy around women?)	罗曼	"（没想到他不擅长应付女性……
　真叫人惊讶。）"	羅曼	"（沒想到他會不擅長應付女性……
　真是令我驚訝啊。）"
Roman	ロマン	"（よく考えたら私は
　彼と顔を合わせる機会は多々あったが、
　彼のことをほとんど知らないんだな……）"	Roman	(Come to think of it, even though he and I have crossed paths a number of times, I still don't know much at all about him.)	罗曼	"（仔细一想，我跟他打照面的机会虽多，
　对他本人却不甚了解……）"	羅曼	"（仔細想想，
　我雖然跟他碰面的機會很多，
　但對他這個人幾乎是一無所知呢……）"
