romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Izana	イザナ	"いやぁ……ララとお父さん、
盛り上がってたねー……！"						
Lara	ララ	やはり道を極めた方は尊敬に値しますわ						
Lara	ララ	"何を訊ねても澱みなく答えてくださるので、
記録が捗って仕方ありませんでした"						
Izana	イザナ	"お父さんも、ララに感心してたよ。
資料も試作品も、どっちもすごいって！"						
Izana	イザナ	特に、資料の熱量に当てられちゃってさ						
Izana	イザナ	勢い余って、新作ができたみたい！						
Lara	ララ	なんて光栄なんでしょう						
Lara	ララ	"ふふ。まだ火照りが治まりませんわ。
とても熱気に溢れたひとときでしたから"						
Lara	ララ	わたくし、思わずはしゃいでしまいましたわ						
Lara	ララ	良い風……						
Izana	イザナ	よかった。そんなに楽しかったんだ！						
Lara	ララ	"ええ。素性の知れぬ相手だというのに、
温かくもてなしていただきましたわ"						
Izana	イザナ	そうかな？　いつもと同じだよ						
Lara	ララ	"優しい微笑み、気兼ねのない会話……
わたくしには得難きものでしたわ"						
Lara	ララ	"それは、どんなお茶よりも
心にぬくもりを与えてくれるのです"						
Lara	ララ	"ただ、今日はそれ以上の情熱を
頂戴しましたけれど"						
Izana	イザナ	"うん！　お父さんもララの資料に
ずーっと釘付けだったもん"						
Izana	イザナ	ねえ、このまま本にしちゃおうよ						
Lara	ララ	……誘惑しますのね						
Lara	ララ	ですが、これではとても						
Lara	ララ	それに……						
Lara	ララ	"もう一度、本を書くことがあるならば、
以前と異なる思いで向き合いたいのです"						
Izana	イザナ	前は、つらい時期だったんだよね……						
Lara	ララ	"ええ。ただ、誰かに認めてもらいたい……
その一心で、叫ぶように綴りましたわ"						
Lara	ララ	……なのに、不思議なものですわね						
Lara	ララ	"そのように生まれた本が共感され、
長く愛されることになるなんて"						
Izana	イザナ	"うん。レスナちゃんにとっては、
宝物みたいな本なんだよ"						
Lara	ララ	"彼女のような読者が現れようとは、
思ってもみませんでしたわ"						
Lara	ララ	"本を書くことで、
そんな相手に届くのなら……"						
Lara	ララ	次は、誰かに呼びかけるように						
Lara	ララ	"彼女たちの背中を押せるような、
１冊にしたいものですわね"						
Izana	イザナ	（レスナちゃんの情熱が、ララに響いてる）						
Izana	イザナ	"（お父さんがそうだったように、
　共鳴してるんだ！）"						
Izana	イザナ	"ん？　じゃあ、あの資料より分厚くなるの？
頭がぐるぐるになっちゃうよー！"						
Lara	ララ	"ふふ。安心なさいな。
本にすることはありませんわ"						
Lara	ララ	"今のわたくしの研究はあくまでも、
ララ・キングダム発展のため……"						
Lara	ララ	皆の喜びのためにあるのですから						
Izana	イザナ	"（初めて会ったときは嫌な奴だったのに、
　今日のララはすごく優しい顔をしてる）"						
Izana	イザナ	"（お父さんたちに会わせるなんて、
　前のアタシが知ったら驚くだろうな）"						
Izana	イザナ	"（だけど今のララなら……
　もっと応援したいって気持ちになるよ）"						
