romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Resna	レスナ	本日は、お招きにあずかり誠に光栄ですっ！	Resna	Thank you for this opportunity, Your Majesty! I am most honored by your gracious invitation!	蕾斯娜	今日承蒙款待，不胜荣幸！	蕾斯娜	今天能榮獲邀請，讓我深感光榮！
Lara	ララ	ふふ、緊張しすぎですわよ	Lara	*Chuckle* Don't be so stiff, my dear.	拉拉	呵呵，你也太紧张了。	拉拉	呵呵，妳太緊張了。
Resna	レスナ	"えへへ、昨日は楽しみと緊張で
なかなか寝られませんでした……"	Resna	Ehehe... Sorry. I was so excited for today that I couldn't sleep a wink last night.	蕾斯娜	"嘿嘿，昨天因为期待和紧张，
都没怎么睡着……"	蕾斯娜	"嘿嘿，昨天太期待又很緊張，
結果怎麼也睡不著……"
Lara	ララ	あら、体調は大丈夫ですの？	Lara	Oh my! I hope you're feeling all right.	拉拉	哎呀，那你的身体没事吗？	拉拉	哎呀，妳的身體狀況還好嗎？
Lara	ララ	"わたくし、本日のために
とびっきりの茶葉を調合したのですが……"	Lara	I've synthesized the finest tea leaves for the occasion.	拉拉	我为了今天调合了特别好的茶叶……	拉拉	我本來為了今天特意調合了上等的茶葉……
Lara	ララ	"寝不足なら、また体調が万全な日に
日程を変更してもよろしくてよ"	Lara	But they're meant to be enjoyed when you're feeling your best. If you're unwell, perhaps it would be best for us to reschedule.	拉拉	"不过，如果你睡眠不足，
也可以改天身体状态好了再说。"	拉拉	"但如果妳睡眠不足也可以改期，
等妳身體狀況恢復再過來。"
Resna	レスナ	"いえ！　体調は万全です！　普段から読書のために
夜更かしすることも多いですから、問題ありません！"	Resna	No, no! I'm more than all right, really! I'm used to staying up late reading books, anyway.	蕾斯娜	"没事！我的身体状态很好！
我平时就经常为了读书熬夜，所以没问题！"	蕾斯娜	"不！我身體狀況很好！
平時就經常熬夜讀書，所以沒問題的！"
Lara	ララ	"そうですか。
ですが夜更かしはいけませんわね"	Lara	Is that so? Well, that simply won't do. You need your rest.	拉拉	"是吗。
但是熬夜可不好哦。"	拉拉	這樣啊，但熬夜可是不行的喔。
Lara	ララ	"今日は夜更かしせず寝ると、約束してくださる？
わたくしはあなたの体調が心配ですわ"	Lara	I'm concerned that all of those late nights will take a toll on your health. Please promise me that you'll get enough sleep tonight.	拉拉	"今天可不要熬夜了，你能答应我吗？
我很担心你的身体。"	拉拉	"妳能答應我今天會準時上床睡覺嗎？
我很擔心妳的身體。"
Resna	レスナ	"ララさん……
はい、約束します！"	Resna	Aw, Lara... I will, I swear!	蕾斯娜	"拉拉小姐……
好的，我答应！"	蕾斯娜	拉拉小姐……好的，我答應妳！
Lara	ララ	"改めて、先日はララ・キングダムの問題解決に
協力してくれて感謝いたしますわ"	Lara	Once again, allow me to thank you for your assistance in keeping the Kingdom of Lara safe.	拉拉	"那么，再次感谢你
前些日子协助解决拉拉王国的问题。"	拉拉	再次感謝妳前幾天協助我們解決拉拉王國的問題。
Lara	ララ	"早くも効果が現れて、
皆も喜び、感謝しておりましたわ"	Lara	Your methods proved to be extremely effective. My subjects are delighted, as am I. You have our gratitude.	拉拉	"你的方法已经初见成效，
大家都很高兴，很感激你。"	拉拉	"妳的方法很快就奏效了，
大家都欣喜若狂，十分感激妳。"
Resna	レスナ	"よかったです！
お力になれたようで、何よりです！"	Resna	I was glad to help. I'm just happy that I could be of service!	蕾斯娜	"太好了！
能帮上忙真是太好了！"	蕾斯娜	"太好了！
我能幫上忙真的再好不過了！"
Resna	レスナ	"（おいしそう……！
　これって手づかみで食べていいのかな？）"	Resna	(Wow, this looks tasty! But I wonder... Am I supposed to eat it with my hands?)	蕾斯娜	"（感觉好好吃……！
　这个可以用手拿着吃吗？）"	蕾斯娜	"（看起來好美味……！
　這個可以直接用手抓著吃嗎？）"
Resna	レスナ	"（お茶の作法は予習してきたけれど、
　食べ方の作法は忘れちゃった……！）"	Resna	(Oh no. I read up on teatime etiquette to prepare for today, but I can't remember the proper way to eat this!)	蕾斯娜	"（我虽然预习了喝茶的礼仪，
　但是忘记学吃东西的礼仪了……！）"	蕾斯娜	"（雖然預習過怎麼喝茶，
　但卻忘記預習吃東西的禮儀了……！）"
Lara	ララ	レスナ、これは手で食べていいんですのよ	Lara	Resna, you may use your hands to eat these.	拉拉	蕾斯娜，这个可以用手拿着吃哦。	拉拉	蕾斯娜，這個妳可以直接用手拿來吃喔。
Resna	レスナ	"ララさん！
私、声に出してしまっていましたか？！"	Resna	Wait, did you just read my mind?!	蕾斯娜	"拉拉小姐！
我刚刚说出声了吗？！"	蕾斯娜	拉拉小姐！我不小心把內心話說出來了嗎？
Lara	ララ	ふふ、いいえ。でも分かりましたわ	Lara	Hehe, no. But it was quite obvious what you were thinking.	拉拉	呵呵，没有。但我猜到了。	拉拉	呵呵，沒有。不過我能看得出來。
Lara	ララ	"こういった場では、みっともなくがっついたり、
相手を不快にさせたりしなければ問題ありません"	Lara	At times like this, you'll be fine as long as you don't behave like a glutton or offend your guests.	拉拉	"这种场合，只要不粗俗地一把抓起来，
或者让对方不愉快就没问题。"	拉拉	"在這種場合，只要別吃得太狼吞虎嚥，
讓他人感到不快就沒有關係。"
Lara	ララ	"こうした作法は地域によって様々で、
唯一の答えはないですから。お好きに食べなさいな"	Lara	"Since the rules of etiquette differ by culture, there is no single ""correct"" way to take tea. Just relax and enjoy."	拉拉	"各个地域都有不同的礼仪，
没有一个统一的答案。你就随意吧。"	拉拉	"這類禮儀因地區而有所不同，沒有絕對的正確答案。
所以就用妳喜歡的方式來吃吧。"
Resna	レスナ	"大変勉強になります！　さすが、ララさんです！
では、お言葉に甘えて！"	Resna	Thank you for all of your help! I just knew a queen like you would have excellent table manners. I'll go ahead and try a bite...	蕾斯娜	"受教了！不愧是拉拉小姐！
那我就恭敬不如从命了！"	蕾斯娜	"學到了一課！不愧是拉拉小姐！
那麼我就恭敬不如從命了！"
Resna	レスナ	とっても美味しかったです！	Resna	Mm, that was delicious!	蕾斯娜	太好吃了！	蕾斯娜	真的非常美味！
Resna	レスナ	……ララさんが私のお姉ちゃんだったら、	Resna	If only I had a big sister like you...	蕾斯娜	如果拉拉小姐是我的姐姐……	蕾斯娜	……如果拉拉小姐是我的姊姊，
