romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Criselda	クリセルダ	綺麗な景色ね						
Valeria	ヴァレリア	ええ、まあ、そうね						
Criselda	クリセルダ	"普段は渇望を満たすために
戦いへ身を投じることが多いけれど"						
Criselda	クリセルダ	"たまにはこういう時間も
悪くないと思わない？"						
Valeria	ヴァレリア	"それは……私もそう思うけど……
ねえ、クリセルダ"						
Valeria	ヴァレリア	"わざわざ外に連れ出すってことは、
何か話でもあるんじゃないの？"						
Criselda	クリセルダ	"あら、特別な話がなければ、
デートに誘っちゃいけないの？"						
Valeria	ヴァレリア	そういうわけじゃないけど……						
Criselda	クリセルダ	"ふふふ、悪かったわ。
意地悪はここまでにしておくわ"						
Criselda	クリセルダ	"まあ、あなたの直感は正しいわ。
少し確かめたいことがあるの"						
Valeria	ヴァレリア	なに？						
Criselda	クリセルダ	あなたの、正直な気持ちよ						
Valeria	ヴァレリア	？						
Criselda	クリセルダ	"ヴァレリア。
あなた、私と一緒にいてどう？"						
Valeria	ヴァレリア	どうって……						
	選択肢	楽しい						
	選択肢	嬉しい						
	選択肢	癒される						
Valeria	ヴァレリア	"あんたと会話してると楽しいし、
あんたが喜んでると私も嬉しい"						
Valeria	ヴァレリア	"それに一緒にいるだけでも
落ち着いて、癒されるというか……"						
Valeria	ヴァレリア	"とにかく、私にとって
プラスになることは確かよ"						
Criselda	クリセルダ	"なるほど。
そう答えるのね"						
Criselda	クリセルダ	"（未だ本心を覆い隠そうとするのね……
　ふふふ、見くびられたものね）"						
Criselda	クリセルダ	"それじゃあ、聞くけど……
私は何を渇望していると思う？"						
Criselda	クリセルダ	"そこまで私を慕ってくれているのなら、
分かっているはずよね？"						
Valeria	ヴァレリア	"あんたの渇望？
それは――"						
	選択肢	復讐						
Valeria	ヴァレリア	"復讐に決まっているわ。
いうまでもない答えだと思うけど？"						
Criselda	クリセルダ	"確かに、そばから見ていれば、
そう見えるのかもしれないわね"						
Criselda	クリセルダ	けど、それは本質ではないわ						
	選択肢	自由						
Valeria	ヴァレリア	"自由。
それ以外の何ものでもない"						
Criselda	クリセルダ	"そう。
よく分かっているじゃない"						
Criselda	クリセルダ	"囚われず、縛られず、
ただ己のために生きる自由"						
Criselda	クリセルダ	それが私の渇望						
Criselda	クリセルダ	"だからね、ヴァレリア。
そうでないものを見るのは嫌なの"						
Criselda	クリセルダ	"私と一緒にいるのであれば、
あなたも自由でなければならない"						
Criselda	クリセルダ	それだけは心に留めておいて						
	選択肢	力						
Valeria	ヴァレリア	"力でしょ？
力がなければ、あんたの渇望は――"						
Criselda	クリセルダ	"ヴァレリア。
それは手段であって目的ではないわ"						
Valeria	ヴァレリア	！						
Valeria	ヴァレリア	私も、自由でなければならない……？						
Valeria	ヴァレリア	"クリセルダと一緒にいるためには……
私も、自由に……"						
???	？？？	（クリセルダの望む答えを――）						
Valeria	ヴァレリア	"（あの指示に従わなくちゃ……
　でも、それは自由じゃない……？）"						
Criselda	クリセルダ	…………						
Criselda	クリセルダ	ねえ、もう一度聞かせて？						
Criselda	クリセルダ	あなたの、本当の、渇望は？						
	選択肢	レスナたちと共に夢を叶えること						
	選択肢	レスナたちと共に夢を叶えること						
	選択肢	レスナたちと共に夢を叶えること						
Valeria	ヴァレリア	"私の、本当の、渇望は……
レスナ……うう……"						
Criselda	クリセルダ	"（いいわ、その調子よ。
　それならあなたはいずれ自由になれる）"						
Criselda	クリセルダ	"（どこの誰かは分からないけど、
　糸を引いている者の企みは潰える）"						
Valeria	ヴァレリア	"私は……レスナたちと……
くっ……！"						
Criselda	クリセルダ	"そうよ、ヴァレリア。
あなたはそうでないと"						
Criselda	クリセルダ	"レスナたちを想う姿こそ、
一番あなたらしくて――"						
Criselda	クリセルダ	一番美しいのだから						
Criselda	クリセルダ	"だから、惑わされないで。
己の心のままにいなさい"						
Valeria	ヴァレリア	心の、ままに……						
Criselda	クリセルダ	"ねえ、ヴァレリア。
本当のところはどうなの？"						
Criselda	クリセルダ	"私と一緒にいることは
あなたにとっていいことなの？"						
Criselda	クリセルダ	"あなたの渇望は？
それはどこにあるの？"						
Valeria	ヴァレリア	だ、だから、それは……						
	選択肢	クリセルダのためになること						
	選択肢	クリセルダのためになること						
	選択肢	クリセルダのためになること						
???	？？？	（お前の意思はいらない）						
???	？？？	"（クリセルダに取り入ることだけを考え、
　それを実行しろ）"						
Valeria	ヴァレリア	"クリセルダ……
あんたのためになること……"						
Valeria	ヴァレリア	"それ以外にはない……
それが私の心からの渇望……"						
Criselda	クリセルダ	…………						
Criselda	クリセルダ	そう……この期に及んで……						
Criselda	クリセルダ	"（思った以上に強固な洗脳ね。
　なかなかの芸当だわ）"						
Criselda	クリセルダ	"（他人の心の中にある渇望すら
　抑え込んでしまうとはね……）"						
Criselda	クリセルダ	"本当に美しかったあなたは、
いったいどこへ行ってしまったのかしらね？"						
Criselda	クリセルダ	ヴァレリア						
