romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Rorona	ロロナ	"（今日もいい天気。
　お客さん、たくさん来るかも！）"						
Rorona	ロロナ	よーし、今日も美味しいパイを焼くぞー！						
Rorona	ロロナ	あ、いらっしゃいませー！						
Rorona	ロロナ	（あれ？　アンチュさんだ）						
	選択肢	いらっしゃいませ						
Rorona	ロロナ	いらっしゃいませー						
Rorona	ロロナ	空いているお好きな席、どうぞー						
Antje	アンチュ	……食事をしに来たんじゃないわ						
	選択肢	どうしましたか？						
Rorona	ロロナ	"どうしましたか？
何か、お困りですか？"						
Antje	アンチュ	……						
Rorona	ロロナ	アンチュさん？						
Antje	アンチュ	"！　わ、私……？
ど、どうもしないわ"						
	選択肢	誰か探してるんですか？						
Rorona	ロロナ	アンチュさん、誰か探してるんですか？						
Antje	アンチュ	"べ、別に……
貴方には関係ないでしょ"						
Rorona	ロロナ	あの、もしかしたら力になれるかなって						
Antje	アンチュ	……						
Rorona	ロロナ	"ア、アンチュさん……？
あれれ……"						
Rorona	ロロナ	"（アンチュさん、
　お話したくないのかな……
　無理に話しかけるのは、ダメだよね）"						
AONA	アオナ	せっかく来たけれど、レスナ、いないね						
MURASAKI	ムラサキ	"そんな都合よく会えるなんてこと
あるわけないよ"						
RUAKKA	ルアッカ	"アンチュが探してるってのによぉ……
レスナのやつ、どーこいっちまったんだぁ？"						
YELLO	イェーロ	"キット、レスナハ　忙シイノヨ。
仕方ナイワ"						
Rorona	ロロナ	（わ、わぁ……！）						
Antje	アンチュ	……何？						
	選択肢	かわいい！						
Rorona	ロロナ	かわいい！						
RUAKKA	ルアッカ	"なんだぁ！？
それってオラたちのことか！？"						
Rorona	ロロナ	"うん！　おしゃべりするみんな、
すっごーくかわいい！"						
	選択肢	すごい！						
Rorona	ロロナ	すごい、すごーい！						
Antje	アンチュ	な、何よ、急に						
Rorona	ロロナ	"みんな仲良くおしゃべりしてる！
すごーい！"						
MURASAKI	ムラサキ	"何当たり前のこと言ってるんだろう。
別にすごくないのにね"						
	選択肢	お人形さんたちも、いらっしゃいませ！						
Rorona	ロロナ	お人形さんたちも、いらっしゃいませ！						
AONA	アオナ	ア、アオナたちにも挨拶してくれるの？						
YELLO	イェーロ	ナンダカ　嬉シイワネ						
Rorona	ロロナ	"アンチュさんのお人形も、
おしゃべりするんだね"						
Antje	アンチュ	……も？						
Rorona	ロロナ	"うん。わたしの友達の、りおちゃんにも、
ホロくんとラニャちゃんっていう
お人形のお友達がいるんです"						
Antje	アンチュ	……へぇ						
Rorona	ロロナ	みんなの名前はなんていうんですか？						
YELLO	イェーロ	"黄色ノ私ガ　イェーロ。
紫ノ兎ガ　ムラサキ。青イ猫ガ　アオナ。
赤クテ好戦的ナノガ、ルアッカ　ヨ"						
Rorona	ロロナ	"わたしはロロナです！　えーっと、
イエちゃん、サキくん、アオちゃん、
ルアくん！　よろしくね！"						
AONA	アオナ	よろしく、ロロナ						
Yksel	イクセル	ロロナ―！　パイの注文入ったぜ！						
Rorona	ロロナ	は、はーい！						
Antje	アンチュ	……お邪魔したわ						
Rorona	ロロナ	あ、アンチュさん！						
	選択肢	またお話ししたいです！						
Rorona	ロロナ	またお話ししたいです！						
Antje	アンチュ	気が向いたらね……						
AONA	アオナ	またね、ロロナ						
	選択肢	パイ、食べていきませんか？						
Rorona	ロロナ	パイ、食べていきませんか？						
Antje	アンチュ	"たった今、他の客から注文入ったじゃない。
そっちに集中しなさいよ"						
MURASAKI	ムラサキ	"パイは嫌いじゃないんだけどね。
また誘ってくれるようなら、食べるよ"						
	選択肢	またのお越しをお待ちしてます						
Rorona	ロロナ	またのお越しをお待ちしてまーす						
Antje	アンチュ	別に私は客じゃないのだけど……						
RUAKKA	ルアッカ	"まぁうまそうなのは確かだ。
腹ぁ減ったら、来るかもな！"						
Rorona	ロロナ	"（アンチュさんとも、イエちゃんたちとも
　仲良くなりたいな）"						
