romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Logy	ロジー	本当に見てもいいんだな？						
Walther	ワルター	"ええ。ロジー殿のことは信頼して
いますから。
それに……"						
Walther	ワルター	"あなたの物だって見せてもらうのです。
その信頼には答えねばなりません"						
Logy	ロジー	分かった、それじゃあ見せてもらうぞ						
Walther	ワルター	"おお、これがロジー殿の錬金剣……。
想像していた通り、素晴らしい出来です"						
Logy	ロジー	"ワルターの剣もすごいな……。複雑な機構だとは
思っていたが、それぞれにちゃんと意味がある"						
Walther	ワルター	"調合品には錬金術士の個性が出ますからね。
自分だけが使う武器となればなおさらです"						
Walther	ワルター	"これを見るだけでロジー殿の人となりが
伝わってきますよ"						
Logy	ロジー	そう言われるとなんだか恥ずかしいな						
Walther	ワルター	"恥ずかしがることはないでしょう。
あなたのまっすぐな心が見えているのですから"						
Walther	ワルター	それに私だってあなたにさらけ出しているのですよ						
Logy	ロジー	まあ、そうか……						
Walther	ワルター	そうだ、これを受け取ってください						
Logy	ロジー	これは……？						
Walther	ワルター	"ロジー殿の錬金剣用に調合した特製の砥石です。
私の見立てに間違いがなければ切れ味が上がるはず"						
Logy	ロジー	いいのか？						
Walther	ワルター	"ええ。あなたには色々お世話になりましたから。
あなたが監視役で良かったです"						
Logy	ロジー	そう言ってもらえるならこっちも良かったよ						
Walther	ワルター	"いやはや、ありがとうございました。
異邦人の調合したものをじっくり観察
できるなんて夢のようです"						
Walther	ワルター	"ぜひこれからも色々お話を
聞かせてください。
あなたとは長い付き合いになりそうですから"						
Logy	ロジー	ああ。こちらこそよろしく頼むよ						
Logy	ロジー	"（……こうして彼と接してみて
　分かったことがある）"						
Logy	ロジー	"（元極夜の錬金党、ワルター。
　知らない知識に目を輝かせる彼は、
　根っからの悪い奴ではない）"						
Logy	ロジー	"（大丈夫。遅くはない。
　罪はきっと、償えるはずなのだから）"						
