file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_MCHARA_A_01ID	0	Izana	イザナ	（冒険と冒険の合間……束の間のひと時）	Izana	(Finally, a break between missions.)	伊札娜	（在冒险的间隙……极短的一段时间内……）	伊札娜	（冒險與冒險的空檔……轉瞬即逝的一刻。）
Date_MCHARA_A_01ID	1	Izana	イザナ	（たまにはダラダラしたって、\n　罰は当たらないよね！）	Izana	(There's nothing wrong with being a little lazy every once in a while, right?)	伊札娜	（偶尔犯懒也没问题吧！）	伊札娜	（偶爾像這樣偷個閒，不會受到懲罰吧！）
Date_MCHARA_A_01ID	2	Izana	イザナ	レスナちゃ～ん、そこのお菓子取って～	Izana	Resna, would you hand me those sweets? Pretty please?	伊札娜	蕾斯娜～帮我拿一下那边的零食～	伊札娜	蕾斯娜～幫我拿那邊的點心～
Date_MCHARA_A_01ID	3	Resna	レスナ	んん～眠くて動けないよぉ……\n待ってねぇ……\n３つ数える間に力をいれるから、いーち……	Resna	*Yawn* Mm, I'm so sleepy I can't move... Hold on, Izana... Once I count to three, I promise I'll get up. One...	蕾斯娜	唔～我困得动不了……等一下哦……\n等数到三我就会打起精神来的，一……	蕾斯娜	嗯嗯～睏得動不了啊……等我一下……\n在數到3之前，我會使力的，1……
Date_MCHARA_A_01ID	4	Marie	マリー	あら、２人とも久しぶり	Marie	Well, well, you two! It's been a while!	玛莉	两位，好久不见。	瑪莉	哎呀，兩位都好久不見了。
Date_MCHARA_A_01ID	5	Resna	レスナ	マルローネ先輩！！\nお久しぶりです！	Resna	Oh, Marlone! Long time no see!	蕾斯娜	玛洛娜前辈！！\n好久不见！	蕾斯娜	瑪洛娜前輩！！好久不見！
Date_MCHARA_A_01ID	6	Izana	イザナ	（さすがレスナちゃん、\n　先輩の前ではしっかりしてる！）	Izana	(Resna perked right up once she saw Marlone!)	伊札娜	（不愧是蕾斯娜，\n　在前辈面前就正经起来了！）	伊札娜	（真不愧是蕾斯娜，\n　在前輩面前很可靠的樣子！）
Date_MCHARA_A_01ID	7	Resna	レスナ	しばらくお見掛けしませんでしたが、\nどちらにいらっしゃったんですか？	Resna	It's been a while since we last met! Were you on a trip?	蕾斯娜	最近都没见过前辈，\n之前都去哪里了呢？	蕾斯娜	好一陣子沒見到妳了，請問是去了哪裡呢？
Date_MCHARA_A_01ID	8	Marie	マリー	ハイネ州よ。素材探しのついでに\nバカンスも楽しんできちゃった	Marie	Yes, to Haine. I was actually searching for some materials, but I decided to take a bit of time for a vacation, too.	玛莉	是去海涅州找素材了，\n顺便享受了一下假期。	瑪莉	海涅州。我去找素材，順便度了個假。
Date_MCHARA_A_01ID	9	Marie	マリー	マリオンにお土産渡してるから、\n適当に分けちゃって	Marie	Plus, I brought some souvenirs back for all of you to share. I left them with Marion.	玛莉	我也给玛丽翁带了特产，\n你们就分一下吧。	瑪莉	伴手禮我已經交給瑪麗翁了，\n妳們就隨意分一分吧。
Date_MCHARA_A_01ID	10	Resna	レスナ	お心遣い恐縮です！\nありがたくいただきます！	Resna	Oh, how nice of you! Thank you so much for thinking of us!	蕾斯娜	感谢你的心意！\n那我们就收下了，谢谢！	蕾斯娜	不好意思讓妳費心！\n那我們就心懷感激地收下了！
Date_MCHARA_A_01ID	11	Marie	マリー	じゃ、また来るわね	Marie	Enjoy! I'll see you around, then.	玛莉	那我下次再来。	瑪莉	那麼，我會再來的。
Date_MCHARA_A_01ID	12	Resna	レスナ	え、もうご出発されるんですか？	Resna	Wait, you're leaving already?	蕾斯娜	咦，你这就要走了？	蕾斯娜	咦，妳已經要走了嗎？
Date_MCHARA_A_01ID	13	Marie	マリー	うん、ルクルク州に行こうと思って	Marie	Afraid so. I'm on my way to Lukluk Province next.	玛莉	嗯，我想去路克尔克州。	瑪莉	嗯，我打算去盧庫魯克州。
Date_MCHARA_A_01ID	14	Resna	レスナ	なんとっ、即刻ですか！？	Resna	You mean, right now?!	蕾斯娜	什么，现在就要出发了吗？！	蕾斯娜	什麼，馬上出發嗎！？
Date_MCHARA_A_01ID	15	Marie	マリー	火薬に使える良い鉱物があるんですって。\n居ても立ってもいられないわ！	Marie	I heard that there was a special mineral there that can be used for gunpowder, so there's no time to waste!	玛莉	听说那边有能做火药的优质矿物，\n我根本坐不住啊！	瑪莉	聽說那裡有一種不錯的礦物能拿來製作火藥，\n我已經等不及了！
Date_MCHARA_A_01ID	16	Marie	マリー	またお土産買ってくるから！\nじゃあね～	Marie	But don't worry, I'll be sure to bring you back something nice. Bye for now!	玛莉	我还会带特产回来的！\n再见～	瑪莉	我會再買伴手禮回來的！那我走囉～
Date_MCHARA_A_01ID	17	Izana	イザナ	ハイネ州からアトリエに立ち寄って、\n休む間もなくルクルク州か。すごいねぇ	Izana	She's amazing! After Haine, she only stopped back to drop off souvenirs. She didn't even rest before setting out for Lukluk.	伊札娜	从海涅州来到炼金工房，\n都不休息一下就要去路克尔克州，真厉害啊。	伊札娜	從海涅州回來就跑到鍊金工房，\n然後沒有休息就前往盧庫魯克州啊，真厲害。
Date_MCHARA_A_01ID	18	Resna	レスナ	やっぱり立派な錬金術士になるには\nあのくらいの体力が必須なのかなぁ	Resna	If I'm going to be a great alchemist one day, I wonder if I'll need that kind of stamina too...	蕾斯娜	想要成为出色的炼金术士，\n还是得有那样强大的体力吧。	蕾斯娜	要成為出色的鍊金術士，\n果然必須要有那種程度的體力嗎？
Date_MCHARA_A_01ID	19	Izana	イザナ	まぁ、あるに越したことはないだろうねえ	Izana	Well, it definitely wouldn't hurt!	伊札娜	确实，有体力总比没有强。	伊札娜	嗯，有是最好不過的吧。
Date_MCHARA_A_01ID	20	Resna	レスナ	だよね～……もっと休みなく動きたいなぁ	Resna	You're right... I wish I could just keep moving without needing to take so many breaks.	蕾斯娜	对吧……真希望我能持续活动更长时间。	蕾斯娜	也對……好希望我有更多體力可以不用休息喔。
