file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_MCHARA_A_00_01ID	0	Ryza	ライザ	（まずいなあ……\n　この依頼、まだ残ってる）						
Date_MCHARA_A_00_01ID	1	Ryza	ライザ	（期日も迫ってるし、\n　断るくらいなら、いっそ……）						
Date_MCHARA_A_00_01ID	2	Resna	レスナ	こんにちは、ライザ先輩！\nあれ、難しい顔ですね、どうしました？						
Date_MCHARA_A_00_01ID	3	Ryza	ライザ	いやー、期日の近い依頼があるんだけど、\n受ける人がいないんだよね						
Date_MCHARA_A_00_01ID	4	Resna	レスナ	わっ。ここは、強い魔物が出るという！？						
Date_MCHARA_A_00_01ID	5	Ryza	ライザ	そう……レスナ、どう？						
Date_MCHARA_A_00_01ID	6	Resna	レスナ	ライザ先輩直々のご指名、\n身に余る光栄です！ 欣喜雀躍！						
Date_MCHARA_A_00_01ID	7	Resna	レスナ	でもですね、いささか自信が……\n失敗したら、ご迷惑をおかけしてしまい\nそうで……						
Date_MCHARA_A_00_01ID	8	Ryza	ライザ	そっかぁ。……じゃあ、\nあたしが受けちゃおうかな						
Date_MCHARA_A_00_01ID	9	Resna	レスナ	おぉ！！\nさすがライザ先輩、なんて頼もしい！						
Date_MCHARA_A_00_01ID	10	Resna	レスナ	その腕前を間近で拝見したく、\n恐怖心が吹き飛んでしまいました！						
Date_MCHARA_A_00_01ID	11	Resna	レスナ	若輩者で恐縮ですが、\nこのレスナ・シュテルネンリヒト！\nお供させてください！						
Date_MCHARA_A_00_01ID	12		選択肢	用心棒に任命						
Date_MCHARA_A_00_01ID	13	Ryza	ライザ	うむ！　では用心棒に任命しよう！						
Date_MCHARA_A_00_01ID	14	Resna	レスナ	恐悦至極！						
Date_MCHARA_A_00_01ID	15	Resna	レスナ	すぐに爆弾や薬を大量に用意しますね！						
Date_MCHARA_A_00_01ID	16		選択肢	荷物持ちに任命						
Date_MCHARA_A_00_01ID	17	Ryza	ライザ	いい心がけだ！ 荷物持ちを頼む！						
Date_MCHARA_A_00_01ID	18	Resna	レスナ	お任せください！						
Date_MCHARA_A_00_01ID	19	Resna	レスナ	あらん限りの！　かごや容器をば！！\nかき集めてまいります！！！　やー！！！！						
Date_MCHARA_A_00_01ID	20		選択肢	お弁当係に任命						
Date_MCHARA_A_00_01ID	21	Ryza	ライザ	ならば、お弁当係に任命する！\nレスナの手料理、楽しみだな～						
Date_MCHARA_A_00_01ID	22	Resna	レスナ	料理なら、少しは覚えがあります！\n腕によりをかけて、ご用意しますね						
Date_MCHARA_A_00_01ID	23	Resna	レスナ	一部の材料は、現地調達してもいいですね。\n調味料はどうしようかな……						
Date_MCHARA_A_00_01ID	24	Ryza	ライザ	いやいや、冗談だって！\nちゃんと頼りにしてるからね						
Date_MCHARA_A_00_01ID	25	Resna	レスナ	えへへ。勇み足でしたね						
Date_MCHARA_A_00_01ID	26	Resna	レスナ	難所の不安はありますが、ライザ先輩との\n旅程を思うだけで胸が高鳴ります						
Date_MCHARA_A_00_01ID	27	Resna	レスナ	ですが、ほんの少し心配なんです。\nちゃんとお供できるかどうか						
Date_MCHARA_A_00_01ID	28	Ryza	ライザ	え、どうして？						
Date_MCHARA_A_00_01ID	29	Resna	レスナ	私、まだまだ未熟者ですから……\nライザ先輩のお役に立てるでしょうか						
Date_MCHARA_A_00_01ID	30		選択肢	力を合わせれば問題ない！						
Date_MCHARA_A_00_01ID	31	Ryza	ライザ	力を合わせれば問題ないよ！						
Date_MCHARA_A_00_01ID	32	Ryza	ライザ	レスナの不安はわかるけど、\n強ければ一人でも万全ってわけじゃないし						
Date_MCHARA_A_00_01ID	33	Ryza	ライザ	だから、一緒に頑張ろ！						
Date_MCHARA_A_00_01ID	34	Resna	レスナ	はい！　不肖の後輩ではありますが、\n精一杯ついてゆきます！						
Date_MCHARA_A_00_01ID	35	Resna	レスナ	とはいえ、９割方は先輩のお力に\nなりそうな気はしますが……						
Date_MCHARA_A_00_01ID	36	Ryza	ライザ	まさか～！　頼りにしてるよ！						
Date_MCHARA_A_00_01ID	37		選択肢	自分で考えてるよりも、実力があるよ！						
Date_MCHARA_A_00_01ID	38	Ryza	ライザ	なーに言ってるの！\n自分で考えてるよりも、実力があるよ！						
Date_MCHARA_A_00_01ID	39	Resna	レスナ	ええっ！？　私がですか？						
Date_MCHARA_A_00_01ID	40	Resna	レスナ	まだ成功しない調合も、\n噛み砕けない理論もたくさんあるのに……						
Date_MCHARA_A_00_01ID	41	Ryza	ライザ	みんなそうだって！						
Date_MCHARA_A_00_01ID	42	Ryza	ライザ	出会ったときからレスナはぐんぐん\n成長してるよ						
Date_MCHARA_A_00_01ID	43	Resna	レスナ	ライザ先輩……\nまだまだ先輩には遠く及びませんが……						
Date_MCHARA_A_00_01ID	44	Resna	レスナ	ご期待に沿えるよう、\n粉骨砕身の覚悟で挑みます！						
Date_MCHARA_A_00_01ID	45	Ryza	ライザ	その意気、その意気～！						
Date_MCHARA_A_00_01ID	46		選択肢	この世界の知識が必要						
Date_MCHARA_A_00_01ID	47	Ryza	ライザ	もちろん！　レスナの持ってる、\nこの世界の知識が必要なんだから						
Date_MCHARA_A_00_01ID	48	Ryza	ライザ	そりゃあたしはレスナより\n長く錬金術に触れてるけど						
Date_MCHARA_A_00_01ID	49	Ryza	ライザ	この世界のことは\n知らないことが多いもん						
Date_MCHARA_A_00_01ID	50	Ryza	ライザ	だから、助けてくれないかな？						
Date_MCHARA_A_00_01ID	51	Resna	レスナ	私が、ライザ先輩を……！？						
Date_MCHARA_A_00_01ID	52	Resna	レスナ	ですが、仰るとおりかもしれません						
Date_MCHARA_A_00_01ID	53	Resna	レスナ	私のほうがすこーしだけ長く\nこの世界に住んでますもんね……						
Date_MCHARA_A_00_01ID	54	Ryza	ライザ	いや、少しどころじゃないけどね？						
Date_MCHARA_A_00_01ID	55	Resna	レスナ	しかし！　それに甘んじることなく、\n念入りに下調べしておきます！						
Date_MCHARA_A_00_01ID	56	Ryza	ライザ	おっ、やる気になってきたね～						
Date_MCHARA_A_00_01ID	57	Resna	レスナ	……ふふ。本当に楽しみです						
Date_MCHARA_A_00_01ID	58	Resna	レスナ	ライザ先輩には、私よりずっと\n多くのものが見えているんでしょうね						
Date_MCHARA_A_00_01ID	59	Resna	レスナ	同じ素材でも、土地によって\n形や生育度が異なりますし……\nあっ、魔物も違いますよね						
Date_MCHARA_A_00_01ID	60	Resna	レスナ	一緒に、研究できたら嬉しいです！						
Date_MCHARA_A_00_01ID	61	Ryza	ライザ	そうだね、レスナ。だけど……						
Date_MCHARA_A_00_01ID	62		選択肢	早く寝るんだよ						
Date_MCHARA_A_00_01ID	63	Ryza	ライザ	早く寝るんだよ						
Date_MCHARA_A_00_01ID	64	Resna	レスナ	えっ！　ど、どうしてご存じなんですか？						
Date_MCHARA_A_00_01ID	65	Resna	レスナ	次の日が楽しみすぎると、\nなかなか寝付けないって！						
Date_MCHARA_A_00_01ID	66	Ryza	ライザ	あはは。なんとなーく、ね						
Date_MCHARA_A_00_01ID	67		選択肢	しっかり食べておいでね						
Date_MCHARA_A_00_01ID	68	Ryza	ライザ	しっかり食べておいでね。\n魔物も出るし、体力には気をつけよう						
Date_MCHARA_A_00_01ID	69	Resna	レスナ	それはもう！\n起き抜けに、１日分食べてきます！						
Date_MCHARA_A_00_01ID	70	Ryza	ライザ	そ、それは食べすぎなんじゃ……						
Date_MCHARA_A_00_01ID	71	Resna	レスナ	もちろん、おやつも持っていきます！						
Date_MCHARA_A_00_01ID	72	Ryza	ライザ	あっ。それはよろしく！						
Date_MCHARA_A_00_01ID	73		選択肢	依頼内容を確認しておいてね						
Date_MCHARA_A_00_01ID	74	Ryza	ライザ	依頼の内容はちゃんと確認しておくこと！						
Date_MCHARA_A_00_01ID	75	Resna	レスナ	そ、そうでした！						
Date_MCHARA_A_00_01ID	76	Resna	レスナ	自分のことで舞い上がってましたが、\n依頼あってのお供ですもんね						
Date_MCHARA_A_00_01ID	77	Resna	レスナ	苦難の渦中にいる方のため、\nしっかり頑張ります！						
Date_MCHARA_A_00_01ID	78	Ryza	ライザ	うん。二人で喜んでもらおう！						
Date_MCHARA_A_00_01ID	79	Resna	レスナ	では、しばしお暇をちょうだいいたします。\n当日までに、準備しておきますね！						
Date_MCHARA_A_00_01ID	80	Ryza	ライザ	うーん！　張り切ってるね～						
Date_MCHARA_A_00_01ID	81	Ryza	ライザ	（だけどあたしも、レスナとの旅に\n　やっぱりドキドキしてる。\n　それに……久しぶりの冒険だ）						
Date_MCHARA_A_00_01ID	82	Ryza	ライザ	よーし！　楽しむぞ～！						
Date_MCHARA_A_00_02ID	0	Ryza	ライザ	うーん。絶好の採取日和！\n明日のレスナとの依頼に向けて、\nお目当てが見つかりますように！						
Date_MCHARA_A_00_02ID	1	Resna	レスナ	ライザ先輩！　見てください！						
Date_MCHARA_A_00_02ID	2	Resna	レスナ	この花なんですが、アーシャ先輩が\n探してませんでしたか！？						
Date_MCHARA_A_00_02ID	3	Ryza	ライザ	あー。ちょーっと違うかも。\nアーシャは甘い匂いのする花だって\n言ってたけど、この花は匂いがしないし						
Date_MCHARA_A_00_02ID	4	Resna	レスナ	た、確かに！\n本を読むだけでは想像もできないことが\n実際の採取では起こるんですね……						
Date_MCHARA_A_00_02ID	5	Resna	レスナ	ああ……せっかく先輩がたの\nお役に立てると思ったのに						
Date_MCHARA_A_00_02ID	6	Ryza	ライザ	まあまあ、よく似てたし。次、次！						
Date_MCHARA_A_00_02ID	7	Resna	レスナ	うう……私も早く、一人前の\n錬金術士になりたいです。\n近道って、あるんでしょうか？						
Date_MCHARA_A_00_02ID	8		選択肢	経験を積みまくる						
Date_MCHARA_A_00_02ID	9	Ryza	ライザ	とにもかくにも経験を積むことだね。\nどんなことにも意味があると思って、\nなんでも挑戦してみる……かな						
Date_MCHARA_A_00_02ID	10	Resna	レスナ	挑戦……今回の依頼もそうですね。\n力不足なんて思わず、挑戦しなくちゃ						
Date_MCHARA_A_00_02ID	11	Resna	レスナ	……ちょっと怖いですけど						
Date_MCHARA_A_00_02ID	12		選択肢	助けたい人を思い浮かべる						
Date_MCHARA_A_00_02ID	13	Ryza	ライザ	助けたい人を思い浮かべるというのはどう？\nこの人のために頑張るんだ、って思うと、\n力が湧いてこない？						
Date_MCHARA_A_00_02ID	14	Resna	レスナ	わかります！　絶対にやり遂げるぞって						
Date_MCHARA_A_00_02ID	15	Resna	レスナ	そう考えると、依頼を受けることは\n上達への近道なのかもしれません						
Date_MCHARA_A_00_02ID	16	Resna	レスナ	必要とされてこそ一人前、ですもんね！						
Date_MCHARA_A_00_02ID	17		選択肢	近道なんかない						
Date_MCHARA_A_00_02ID	18	Ryza	ライザ	近道なんかなーい！\nなんでもそうだけど、\n結局は地道にやるしかないよ						
Date_MCHARA_A_00_02ID	19	Ryza	ライザ	だけど積み上げてきたものは\n後になって必ず役に立つ						
Date_MCHARA_A_00_02ID	20	Resna	レスナ	基本あってこその応用ですもんね						
Date_MCHARA_A_00_02ID	21	Resna	レスナ	それに、地道にやるのは得意ですから、\nかえって希望が見えてきました！						
Date_MCHARA_A_00_02ID	22	Ryza	ライザ	だけど、重要なのはレスナ自身だからね。\n大事なのは、人と比べないこと						
Date_MCHARA_A_00_02ID	23	Resna	レスナ	はい、ライザ先輩！						
Date_MCHARA_A_00_02ID	24	Ryza	ライザ	でね、落ち込むことも\nあるだろうけど……あっ						
Date_MCHARA_A_00_02ID	25	Ryza	ライザ	（これ、欲しかった薬草だ～！\n　根っこまで綺麗に採って……）						
Date_MCHARA_A_00_02ID	26	Ryza	ライザ	そういうときは、喜んでくれた人の\n顔を思い出すとー……ん？						
Date_MCHARA_A_00_02ID	27	Ryza	ライザ	（この石、ロロナが探してたやつだ。\n　割れやすいし、別にしとこ）						
Date_MCHARA_A_00_02ID	28	Ryza	ライザ	あ～、ちゃんとやれてたな～って\n実感が……						
Date_MCHARA_A_00_02ID	29	Resna	レスナ	お話し中、失礼します！						
Date_MCHARA_A_00_02ID	30	Ryza	ライザ	な、なに！？						
Date_MCHARA_A_00_02ID	31	Resna	レスナ	今の手さばき、もう一度\nお願いできますか！？						
Date_MCHARA_A_00_02ID	32	Ryza	ライザ	手さばきって？						
Date_MCHARA_A_00_02ID	33	Resna	レスナ	ご助言の最中に、葉と根を\n一瞬で仕分けてましたよね！？						
