file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_MCHARA_B_01ID	0	Valeria	ヴァレリア	はー、久しぶりの帰宅ね	Valeria	Phew... Finally, it feels good to be back home.	瓦莱莉娅	呼，好久没回家了。	瓦萊莉婭	呼～好久沒有回家了。
Date_MCHARA_B_01ID	1	Heidi	ハイディ	ここのところ、討伐依頼とか色々\n立て続いてたもんね	Heidi	Yeah, we've been swamped with hunting requests lately.	海蒂	最近不是讨伐委托就是别的事情，\n忙得根本没空回家。	海蒂	畢竟最近各種委託多得讓人應接不暇呢。
Date_MCHARA_B_01ID	2	Valeria	ヴァレリア	道端でもどこでも寝られるけど、\nやっぱり我が家は落ち着くわね	Valeria	I could fall asleep anywhere, but nothing beats sleeping in your own bed at home.	瓦莱莉娅	在路边倒是也能睡觉，\n可回了家才能放松休息啊。	瓦萊莉婭	雖然我不管在什麼地方都能睡著，\n但果然還是自己家最放鬆。
Date_MCHARA_B_01ID	3	Valeria	ヴァレリア	ところで、フロッケとランツェは？	Valeria	Speaking of home, I wonder if Flocke and Lanze are around.	瓦莱莉娅	说起来，芙洛可跟兰泽呢？	瓦萊莉婭	是說，芙洛可和藍澤呢？
Date_MCHARA_B_01ID	4	Heidi	ハイディ	出かけてるっぽい？\n中見て来るね	Heidi	It doesn't seem like it, but I'll check inside.	海蒂	他们好像不在家？\n我去屋里看看。	海蒂	似乎出門了？我進去看看。
Date_MCHARA_B_01ID	5	Valeria	ヴァレリア	どうだった？	Valeria	Find anyone?	瓦莱莉娅	怎么样？	瓦萊莉婭	如何？
Date_MCHARA_B_01ID	6	Heidi	ハイディ	こんな書置きがあったんだけど……	Heidi	All I found was this note.	海蒂	他们留下了这张字条……	海蒂	只有這樣一張紙條……
Date_MCHARA_B_01ID	7	Valeria	ヴァレリア	……なるほど。\nランツェは航海、フロッケも行商で\nしばらく出払ってるのね	Valeria	Okay, so Lanze is out sailing, and Flocke is out selling her wares. It sounds like they won't be back for a while.	瓦莱莉娅	原来是这样，\n兰泽出海了，芙洛可出门经商，\n暂时都离家了。	瓦萊莉婭	……原來如此，藍澤是因為航海、\n芙洛可則是為了經商都暫時外出了。
Date_MCHARA_B_01ID	8	Valeria	ヴァレリア	なんだか新鮮ね、二人きりって。\nずっと三人か、四人暮らしだったから	Valeria	We don't usually get the place all to ourselves. I'm used to having three or four of us at home.	瓦莱莉娅	家里只剩下我们两个，很难得呢。\n毕竟之前都是三四个人一起生活的嘛。	瓦萊莉婭	只有我們兩個感覺好新鮮喔，\n平常都是三、四個人待在這屋子裡。
Date_MCHARA_B_01ID	9	Heidi	ハイディ	呑気なこと言ってる場合じゃないよ	Heidi	Too bad we won't have time to relax!	海蒂	现在可不是闲话家常的时候。	海蒂	現在可不是悠悠哉哉說這些話的時候吧。
Date_MCHARA_B_01ID	10	Valeria	ヴァレリア	え？	Valeria	Huh?	瓦莱莉娅	啊？	瓦萊莉婭	咦？
Date_MCHARA_B_01ID	11	Heidi	ハイディ	家事、どうすんのさ。フロッケもいない\nランツェもいない	Heidi	Think about it! How are we going to do all of the chores without Flocke and Lanze?	海蒂	家务活要怎么办？\n芙洛可跟兰泽都不在啊。	海蒂	家務要怎麼辦？現在藍澤跟芙洛可都不在。
Date_MCHARA_B_01ID	12	Valeria	ヴァレリア	ハイディ様、ありがとうございます	Valeria	Benevolent Queen Heidi, thank you for your sacrifice...	瓦莱莉娅	海蒂小姐，谢谢你！	瓦萊莉婭	海蒂大人，小的感激不盡。
Date_MCHARA_B_01ID	13	Heidi	ハイディ	ちょいちょいちょーーい！！\nこっちに全部押しつける気かい！	Heidi	Nope! Nuh-uh! Not happening! I'm not going to let you push all of the chores onto me!	海蒂	慢着慢着慢着——！！\n你是要把家务活全塞给我来干吗！	海蒂	給我等一下──！！\n難不成妳打算全部丟給我嗎！？
Date_MCHARA_B_01ID	14	Valeria	ヴァレリア	むむむ、どうしよう……	Valeria	Curses... Then what are we going to do?	瓦莱莉娅	唔……怎么办啊……	瓦萊莉婭	唔唔唔，該怎麼辦呢……
Date_MCHARA_B_01ID	15		選択肢	早く帰ってくるのを星に願う	Selection	Pray to the stars the others come back soon	选项	向星星许愿，希望他们早些回家	選項	向星星祈禱他們早日歸來
Date_MCHARA_B_01ID	16	Heidi	ハイディ	早く帰ってくるのを星に願うとか……	Heidi	I guess all we can do is pray to the stars above that Flocke and Lanze come back soon.	海蒂	要不向星星许愿，希望他们早些回家吧……	海蒂	向星星祈禱他們早日歸來之類的……
Date_MCHARA_B_01ID	17	Valeria	ヴァレリア	罰当たりなお願いじゃない？	Valeria	That sounds kind of blasphemous.	瓦莱莉娅	许下这种愿望你就不怕遭天谴吗？	瓦萊莉婭	許這種願望會被懲罰吧？
Date_MCHARA_B_01ID	18	Heidi	ハイディ	大丈夫大丈夫。\n広い心で受け入れてくれるよ	Heidi	You worry too much. One of the stars up there will be sure to take pity on us.	海蒂	没事的，人家心胸宽广，会接纳的。	海蒂	沒事沒事，星星會心胸寬大地接受的。
Date_MCHARA_B_01ID	19	Heidi	ハイディ	それに本場仕込みのとっておきのお祈りが\nあってね。\n抜群に効くのよ、これが	Heidi	See, I have a very special prayer that I save for times just like this. It works perfectly every time.	海蒂	而且我还知道个压箱底的正宗祈祷，\n效果超级好哦。	海蒂	而且我有正宗的獨門許願祕方，效果保證滿意。
Date_MCHARA_B_01ID	20	Valeria	ヴァレリア	なんか薬みたいね	Valeria	Sounds kind of like medicine, in a way.	瓦莱莉娅	听起来好像药物啊。	瓦萊莉婭	聽起來好像什麼藥方。
Date_MCHARA_B_01ID	21	Valeria	ヴァレリア	でもすぐに効くわけじゃないわよね。\nそれまでどうしようかしら	Valeria	But even prayers take time to see results. What are we going to do about the chores until then?	瓦莱莉娅	但它的作用不是立竿见影的，\n在那之前该怎么做呢？	瓦萊莉婭	但是許願也無法立刻實現，\n在那之前要怎麼辦呢？
Date_MCHARA_B_01ID	22		選択肢	誰かに頼む	Selection	Get someone else to do them	选项	拜托别人来帮忙	選項	拜託其他人
Date_MCHARA_B_01ID	23	Heidi	ハイディ	誰かに頼むとか？	Heidi	Maybe we could get someone else to do them for us?	海蒂	拜托别人来帮忙吧？	海蒂	拜託其他人幫忙呢？
Date_MCHARA_B_01ID	24	Valeria	ヴァレリア	誰かって誰？	Valeria	Like whom?	瓦莱莉娅	“别人”是谁啊？	瓦萊莉婭	其他人是誰？
Date_MCHARA_B_01ID	25	Heidi	ハイディ	……レスナ？	Heidi	How about Resna?	海蒂	……蕾斯娜？	海蒂	……蕾斯娜？
Date_MCHARA_B_01ID	26	Valeria	ヴァレリア	確かに頼んだら快く引き受けてくれそう\nだけど……	Valeria	If we asked her, she'd definitely give it her all, but...	瓦莱莉娅	她应该会爽快答应，可是……	瓦萊莉婭	如果是她的話，確實感覺會很爽快地答應……
Date_MCHARA_B_01ID	27	Valeria	ヴァレリア	さすがにタダでお願いするのもね。\nそれにそんなお金があったら、\n私が欲しいくらいよ	Valeria	We can't just ask her to do it for free, so... It seems like kind of a waste of money, don't you think?	瓦莱莉娅	总不能让人免费给我们当苦力吧。\n而且要是有那么一笔雇人的钱，\n我倒想据为己有呢。	瓦萊莉婭	但是總不能要她免費幫忙吧。\n而且有那個錢的話，還不如讓我來呢。
Date_MCHARA_B_01ID	28	Heidi	ハイディ	そりゃそーだ	Heidi	I guess you're right.	海蒂	说得也是。	海蒂	說的也是。
Date_MCHARA_B_01ID	29		選択肢	耐える	Selection	Just do our best	选项	忍耐	選項	忍耐
