file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_MCHARA_B_04_01ID	0	Valeria	ヴァレリア	レスナー！　ってあら。\n今日は出かけてるのかしら	Valeria	Resnaaa! Oh, wait. Looks like she's out today.	瓦莱莉娅	蕾斯娜！啊，今天她出门了啊。	瓦萊莉婭	蕾斯娜──！哎呀， 她今天外出了嗎？
Date_MCHARA_B_04_01ID	1	Antje	アンチュ	（……うるさいのが来た。\n　クリセルダの気を引く、不届き者）	Antje	(Ugh, the nuisance is here. I'll never forgive her for snatching away Criselda's attention.)	安洁	（烦人的家伙来了……\n　抢走克莉赛尔达注意力的坏东西。）	安潔	（……吵死人的傢伙來了，\n　引起克莉賽爾達注意的無禮之徒。）
Date_MCHARA_B_04_01ID	2	Valeria	ヴァレリア	あ、そこにいるのはアンチュじゃない。\nねえ、レスナどこに行ったか知らない？	Valeria	Ah, is that Antje over there? Hey! Do you know where Resna went?	瓦莱莉娅	啊，这不是安洁吗！\n你知不知道蕾斯娜去哪了？	瓦萊莉婭	啊，在那邊的不是安潔嗎？\n妳知道蕾斯娜去哪裡了嗎？
Date_MCHARA_B_04_01ID	3		選択肢	正直に知らないと答える	Selection	Be honest and say you don't know	选项	老实回答不知道	選項	老實回答不知道
Date_MCHARA_B_04_01ID	4	Antje	アンチュ	知らないわ……。\n私があの子のことを知るわけないじゃない	Antje	I have no idea. It's not like I care about what she does.	安洁	不知道……她的事情我怎么可能知道。	安潔	我不知道……我怎麼可能知道她的事。
Date_MCHARA_B_04_01ID	5	Valeria	ヴァレリア	でも、最近レスナと仲いいわよね？\nだから何か聞いてたりしないかと思って	Valeria	Aw, haven't you guys been getting along pretty well lately? I figured she would have told you something.	瓦莱莉娅	但你最近不是和蕾斯娜关系挺好的吗？\n我就想说她会不会跟你说过什么。	瓦萊莉婭	但妳最近跟蕾斯娜關係不錯吧？\n所以我才以為妳可能有聽說什麼。
Date_MCHARA_B_04_01ID	6	Valeria	ヴァレリア	今日アトリエにいるのだって、\nレスナに会いに来たんじゃないの？	Valeria	Anyway, if you're here today, does that mean you also came to see Resna?	瓦莱莉娅	而且你今天来炼金工房\n不就是为了见蕾斯娜吗？	瓦萊莉婭	今天妳在鍊金工房裡，不也是來找蕾斯娜的嗎？
Date_MCHARA_B_04_01ID	7	Antje	アンチュ	違う……本を読みに来ただけ	Antje	No... I'm only here to read.	安洁	才不是……我只是来看书的。	安潔	不是……我只是來看書的。
Date_MCHARA_B_04_01ID	8		選択肢	教えないと言って意地悪する	Selection	Give her a snarky, unhelpful reply	选项	故意使坏说不告诉她	選項	故意使壞說不告訴她
Date_MCHARA_B_04_01ID	9	Antje	アンチュ	知ってたとしても、教える義理はないわ	Antje	That's for me to know and you to find out. And I have no reason to tell you.	安洁	就算知道，我凭什么告诉你。	安潔	我就算知道，也沒有義務告訴妳。
Date_MCHARA_B_04_01ID	10	Valeria	ヴァレリア	確かにそうかもしれないけれど……。\n意地悪しないでよ	Valeria	I guess, but...do you have to be so mean about it?	瓦莱莉娅	话是这么说……你不要捉弄我啦。	瓦萊莉婭	的確是這樣沒錯……但別故意為難我嘛。
Date_MCHARA_B_04_01ID	11	Antje	アンチュ	ふん……貴方に優しくする\n理由なんか、ない。ふ、ふふふ	Antje	Hmph. Why should I bother being nice to you? Heh. You know there's no reason for me to do that either. Hehehe...	安洁	哼……我没必要给你好脸色。\n呵，呵呵呵。	安潔	哼……我沒理由對妳親切。呵、呵呵呵。
Date_MCHARA_B_04_01ID	12	Valeria	ヴァレリア	そんなこと言わずに。\nねえ、アンチュ～	Valeria	Aw, c'mon. Don't be like that, Antje. Pleeease?	瓦莱莉娅	别这样嘛。告诉我啦，安洁～	瓦萊莉婭	別這麼說嘛，拜託啦，安潔～
Date_MCHARA_B_04_01ID	13	Antje	アンチュ	……う。すり寄らないで	Antje	Urk. Quit cozying up to me.	安洁	唔……别靠过来。	安潔	……唔，別湊過來。
Date_MCHARA_B_04_01ID	14		選択肢	貴方から逃げた	Selection	Say she didn't want to see Valeria	选项	从你身边逃走了	選項	她在躲妳
Date_MCHARA_B_04_01ID	15	Antje	アンチュ	きっと貴方から逃げたのよ。\n近くにいると、持っている食べ物\n全部取られてしまうから……	Antje	She obviously ran away from you. After all, you inhale every piece of food anyone ever has on them.	安洁	她肯定是从你身边逃走了。跟你在一起的话，\n吃的东西都会被你抢走……	安潔	她一定是在躲妳，因為一接近妳，\n身上的食物就會被洗劫一空……
Date_MCHARA_B_04_01ID	16	Valeria	ヴァレリア	う……レスナ、怒ってたのかしら	Valeria	Nooo... Resna's mad at me?	瓦莱莉娅	唔……蕾斯娜不会生气了吧。	瓦萊莉婭	唔……蕾斯娜她生氣了嗎？
Date_MCHARA_B_04_01ID	17	Antje	アンチュ	（思ったよりしゅんとしているわ……）	Antje	(Whoa, that made her a lot more depressed than I thought it would.)	安洁	（居然这么失落……）	安潔	（她比想像中還沮喪……）
Date_MCHARA_B_04_01ID	18	Antje	アンチュ	……とにかく、今日はレスナは見てないわ。\n残念だったわね	Antje	Well, anyway, I haven't seen her all day. Tough luck.	安洁	总之……今天我没见过蕾斯娜。\n真遗憾呢。	安潔	……總之，我今天沒看到蕾斯娜，真遺憾呢。
Date_MCHARA_B_04_01ID	19	Valeria	ヴァレリア	そっか。最初からそう言ってくれれば\nいいのに。アンチュ、私のこと嫌いなの？	Valeria	Oh, right. I probably should have asked this earlier, but... Antje, do you hate me?	瓦莱莉娅	是吗。那你一开始这么说不就好了。\n难道安洁你讨厌我？	瓦萊莉婭	這樣啊，妳一開始就這樣說不就好了。\n安潔，妳討厭我嗎？
Date_MCHARA_B_04_01ID	20	Antje	アンチュ	……好きになれないのは確かよ	Antje	I won't ever like you, that's for sure.	安洁	……确实喜欢不起来。	安潔	……我的確沒辦法喜歡妳。
Date_MCHARA_B_04_01ID	21	Valeria	ヴァレリア	どうして？\n何か恨まれるようなことしたかしら	Valeria	Why? It sounds like you've got some kind of grudge against me.	瓦莱莉娅	为什么？\n我做过什么招你记恨的事吗？	瓦萊莉婭	為什麼？我有做什麼讓妳記恨的事嗎？
Date_MCHARA_B_04_01ID	22	Antje	アンチュ	（どうして……か。\n　そんなの、私にも分からないけど……）	Antje	(Huh... I wonder? I'm not too sure myself.)	安洁	（问我为什么……\n　这……我也说不清楚……）	安潔	（為什麼……嗎？這個我自己也不清楚……）
Date_MCHARA_B_04_01ID	23	Antje	アンチュ	とにかく気に食わないのよ。\n特に……	Antje	Does it really matter? I just can't stand you. Especially...	安洁	反正我就是看你不顺眼。\n尤其是你还……	安潔	總之我就是看妳不順眼，尤其是……
