file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_NPC3_01_01ID	0	Marie	マリー	あっ、ザスキアさん！						
Date_NPC3_01_01ID	1	Saskia	ザスキア	あら、マルローネさん。奇遇ね						
Date_NPC3_01_01ID	2	Marie	マリー	それ、新年の挨拶用の衣装ですか？\n似合ってますね！						
Date_NPC3_01_01ID	3	Saskia	ザスキア	そう？　ありがとね。\nまじまじと見つめられるほど\nじゃないと思うのだけれど						
Date_NPC3_01_01ID	4	Marie	マリー	そんなに謙遜しないでくださいよ。\n綺麗なのは本当なんですから						
Date_NPC3_01_01ID	5	Saskia	ザスキア	もう、口が上手なんだから。\nそれよりあなたその衣装って……						
Date_NPC3_01_01ID	6	Marie	マリー	あ、やっぱり覚えてます？\n去年ザスキアさんからもらった衣装ですよ。\nあたしのお気に入りなんです						
Date_NPC3_01_01ID	7	Saskia	ザスキア	ふふ、嬉しいわ。見立てには自信あるのよ。\n大事だからね、見立て						
Date_NPC3_01_01ID	8	Marie	マリー	これからも大切に着させてもらいますよ。\nところでザスキアさんは……						
Date_NPC3_01_01ID	9		選択肢	今年１年はどうでした？						
Date_NPC3_01_01ID	10	Marie	マリー	今年１年はどうでした？						
Date_NPC3_01_01ID	11	Saskia	ザスキア	そうねぇ、一言でいえば激動の１年。\nってところかしら？						
Date_NPC3_01_01ID	12	Marie	マリー	激動の１年……						
Date_NPC3_01_01ID	13	Saskia	ザスキア	そうよ。\nだって色々なことがあったじゃない？						
Date_NPC3_01_01ID	14	Saskia	ザスキア	頂獣と戦ったり、\n極夜の錬金党を追い詰めたり。\n大変だったわ						
Date_NPC3_01_01ID	15	Marie	マリー	そう言われれば１年間だけで\nとんでもないことばかり起こりましたね……						
Date_NPC3_01_01ID	16	Saskia	ザスキア	だから激動の１年。\n私にとっても、レスナにとっても、ね						
Date_NPC3_01_01ID	17		選択肢	何かやり残したことは？						
Date_NPC3_01_01ID	18	Marie	マリー	今年何かやり残したことってあります？						
Date_NPC3_01_01ID	19	Saskia	ザスキア	色々あるわよ？						
Date_NPC3_01_01ID	20	Marie	マリー	えっ、そうなんですか？\n意外な事実だわ……！						
Date_NPC3_01_01ID	21	Saskia	ザスキア	当たり前じゃない。\nもっとレスナの頭を撫でたりとか、\n一緒にお茶したりとかね						
Date_NPC3_01_01ID	22	Marie	マリー	あ～、なんだそういうことかぁ……。\nてっきりやり残して後悔してるとか、\nそういうものだと思ったじゃないですか						
Date_NPC3_01_01ID	23	Saskia	ザスキア	ふふふ、そうね。\nもしかしたら忘れているだけで\nそういうのもあるかもしれないわね						
Date_NPC3_01_01ID	24		選択肢	あたしの１年の評価は？						
Date_NPC3_01_01ID	25	Marie	マリー	あたしの１年の評価は？						
Date_NPC3_01_01ID	26	Saskia	ザスキア	もちろんサイッコーよ						
Date_NPC3_01_01ID	27	Marie	マリー	あたしそこまでザスキアさんに\nしてあげられたことあったっけ……？						
Date_NPC3_01_01ID	28	Saskia	ザスキア	いつもレスナの支えになってくれたり、\n錬金術について教えてくれてるじゃない						
Date_NPC3_01_01ID	29	Saskia	ザスキア	それだけで十分助かってるわ。\nありがとうね、マルローネさん						
Date_NPC3_01_01ID	30	Marie	マリー	い、言い出しっぺのあたしがいうのも\n少し変だけど、なんだか照れくさいなぁ……						
Date_NPC3_01_01ID	31	Saskia	ザスキア	うふふっ						
Date_NPC3_01_01ID	32	Saskia	ザスキア	そうだ。あなたの手が空いていたら、\n去年に続いてちょっとお手伝いを\n頼みたいのだけれど、いいかしら？						
Date_NPC3_01_01ID	33	Saskia	ザスキア	といっても私じゃなくて、\nレスナを手伝ってあげてほしいのだけど						
Date_NPC3_01_01ID	34		選択肢	快諾する						
Date_NPC3_01_01ID	35	Marie	マリー	もちろんですよ！\nあたしに任せちゃってください！						
Date_NPC3_01_01ID	36	Saskia	ザスキア	本当に？\n助かるわ～、さすがマルローネさんね						
Date_NPC3_01_01ID	37	Marie	マリー	困ったときはお互いさまですし、\nアトリエも使わせてもらってますから						
Date_NPC3_01_01ID	38	Marie	マリー	色々お世話になってるザスキアさんには\n恩返ししないといけないですからね						
Date_NPC3_01_01ID	39	Saskia	ザスキア	あら、嬉しいこと言ってくれるわね。\nそんなに言っても、なでなでくらいしか\nできないわよ？						
Date_NPC3_01_01ID	40	Marie	マリー	な、なでなではいいです！						
Date_NPC3_01_01ID	41		選択肢	何かご褒美をねだる						
Date_NPC3_01_01ID	42	Marie	マリー	いいですよ！\nその代わり、何かご褒美が欲しいな～						
Date_NPC3_01_01ID	43	Saskia	ザスキア	ちゃっかりしてるわねぇ。\nいいでしょう、終わったらご褒美に\n美味しいお菓子をご馳走してあげるわ						
Date_NPC3_01_01ID	44	Marie	マリー	本当ですか？　やったー！						
Date_NPC3_01_01ID	45	Saskia	ザスキア	でも、その代わりちゃんとお手伝いしてね？\nどこかでさぼったりなんかしたら……						
Date_NPC3_01_01ID	46	Marie	マリー	だ、大丈夫ですって。\nご褒美が出るなら手抜きなんかしません！						
Date_NPC3_01_01ID	47	Saskia	ザスキア	現金な子ねぇ						
Date_NPC3_01_01ID	48		選択肢	面倒くさがる						
Date_NPC3_01_01ID	49	Marie	マリー	うぇ、ちょっと年末年始はゆっくりしたい\nなあって……						
Date_NPC3_01_01ID	50	Saskia	ザスキア	そうよね～。できればこんな面倒なこと\nしないでおきたいわよね						
Date_NPC3_01_01ID	51	Saskia	ザスキア	けどだからこそこうしてお願いしてるのよ。\nお願い！　レスナのためなの						
Date_NPC3_01_01ID	52	Marie	マリー	まぁ……ザスキアさんがそこまでいうなら\n仕方ないですね。お手伝いしますよ						
Date_NPC3_01_01ID	53	Saskia	ザスキア	そうしてくれると助かるわ、マルローネさん						
Date_NPC3_01_01ID	54	Marie	マリー	でも、そこまでレスナが大変なら\nザスキアさんが手伝ってあげればいいのに						
Date_NPC3_01_01ID	55	Saskia	ザスキア	私は私で、お守り配りに\n行こうと思ってるの						
Date_NPC3_01_01ID	56	Saskia	ザスキア	今年も色んな人と知り合ったわ。\n来年の年始から始めると遅くなってしまい\nそうだから、今から始めようと思ってるの						
Date_NPC3_01_01ID	57		選択肢	そんなに急がなくても						
Date_NPC3_01_01ID	58	Marie	マリー	そんなに急がなくても。\n少しくらい年始から遅れたって、\n気にしないですよ！						
Date_NPC3_01_01ID	59	Saskia	ザスキア	でも、そろそろ極夜の錬金党との\n決戦に挑もうとしているじゃない？\nその前に渡しておきたいって思うの						
Date_NPC3_01_01ID	60	Saskia	ザスキア	みんなが無事に新年を迎えられるように						
Date_NPC3_01_01ID	61		選択肢	準備万端ですね！						
Date_NPC3_01_01ID	62	Marie	マリー	おお、準備万端ですね！\nこういうの、面倒くさがって動かない\n印象がありました						
Date_NPC3_01_01ID	63	Saskia	ザスキア	ふふ、私だってやるときはやるのよ？\n始めれば早いんだから						
Date_NPC3_01_01ID	64	Saskia	ザスキア	でも、誰も早く動いてもほめて\nくれないんだもの。\nだからいつもはゆっくりしてるのよ						
Date_NPC3_01_01ID	65	Marie	マリー	じゃあ、今日はあたしがほめてあげます！						
Date_NPC3_01_01ID	66	Saskia	ザスキア	あらあら。いいのよ？　なでなでしても						
Date_NPC3_01_01ID	67	Marie	マリー	なでなではしません！						
Date_NPC3_01_01ID	68		選択肢	お手伝いが必要なのはザスキアさんなのでは						
Date_NPC3_01_01ID	69	Marie	マリー	もしかして、お手伝いが必要なのは\nザスキアさんなんじゃないですか？						
Date_NPC3_01_01ID	70	Saskia	ザスキア	そうなのよ。たくさんの人に配る必要が\nあるから、本当は手伝ってほしいところ\nだけれど……						
Date_NPC3_01_01ID	71	Saskia	ザスキア	でも、私なんかより今はレスナを\n手伝ってあげて						
Date_NPC3_01_01ID	72	Saskia	ザスキア	それじゃ、まずはお守りをたくさん\n用意してこないと。\nまたね、マルローネさん						
Date_NPC3_01_01ID	73	Marie	マリー	（年末ってこともあって\n　やっぱりみんな忙しそうにしてるなあ）						
Date_NPC3_01_01ID	74	Marie	マリー	（ザスキアさんは自分が忙しくても、\n　レスナのことを心配して気にかけてる）						
Date_NPC3_01_01ID	75	Marie	マリー	（いい師匠だなあ）						
Date_NPC3_01_01ID	76	Marie	マリー	（もういくつ寝ると新年ね。\n　せっかくだし、新年の衣装で\n　街を歩こうかしら）						
Date_NPC3_01_02ID	0	Marie	マリー	はあ～……大掃除面倒くさいなぁ……。\nザスキアさん、手っ取り早く終わらせる\n方法とかってないんですか～？						
Date_NPC3_01_02ID	1	Saskia	ザスキア	まだ始めたばかりでしょう？\nそんなに早く音を上げちゃダメよ						
Date_NPC3_01_02ID	2	Marie	マリー	ってザスキアさん休憩長すぎ！\nもうお掃除再開の時間ですよ！						
Date_NPC3_01_02ID	3	Saskia	ザスキア	あぁ……こんな時レスナがいたら\nてきぱき動いてくれるのに……						
Date_NPC3_01_02ID	4	Saskia	ザスキア	本当に、何か他にいい方法とかないのかしら						
Date_NPC3_01_02ID	5	Marie	マリー	う～ん……。\nいい方法かぁ……						
Date_NPC3_01_02ID	6		選択肢	生きているホウキを調合する						
Date_NPC3_01_02ID	7	Marie	マリー	あっ！　生きているホウキを\n調合するのはどうでしょう？						
Date_NPC3_01_02ID	8	Saskia	ザスキア	……それ、なかなか妙案ね。\nちょっと調合して来るわ！						
Date_NPC3_01_02ID	9	Marie	マリー	本当にちょっとで調合してきちゃった……						
Date_NPC3_01_02ID	10	Saskia	ザスキア	ふふふ、私にかかればこんなものよ。\nさぁ私たちに代わってお掃除を……						
Date_NPC3_01_02ID	11	Marie	マリー	あれっ？　ザスキアさんを\n掃いているような……？						
Date_NPC3_01_02ID	12	Saskia	ザスキア	あらら……私たちがごみだって\n言いたいのかしら？　ショックだわぁ						
Date_NPC3_01_02ID	13	Marie	マリー	わわわっ！　こっちに来る～！						
Date_NPC3_01_02ID	14		選択肢	自力で掃除を続ける						
Date_NPC3_01_02ID	15	Marie	マリー	やっぱりこのまま頑張りましょう！\n楽な道なんて考えずに！						
Date_NPC3_01_02ID	16	Saskia	ザスキア	そうなるわよね……。\n仕方ないわ、本腰入れていきましょうか						
Date_NPC3_01_02ID	17	Marie	マリー	あ、あの……。ザスキアさん？						
Date_NPC3_01_02ID	18	Saskia	ザスキア	なにかしらマルローネさん						
Date_NPC3_01_02ID	19	Marie	マリー	さっきよりも部屋が散らかっている気が\nするのはあたしだけ……？						
Date_NPC3_01_02ID	20	Saskia	ザスキア	そうね……残念ながらそれは私も同感よ						
Date_NPC3_01_02ID	21	Marie	マリー	な、なんでこうなるの～！？						
Date_NPC3_01_02ID	22		選択肢	じゃんけんをして負けたほうが頑張る						
Date_NPC3_01_02ID	23	Marie	マリー	じゃんけんをして負けたほうが頑張る！\nっていうのはどうですか？						
Date_NPC3_01_02ID	24	Saskia	ザスキア	いいわね、面白いじゃない。\n負けないわよ～？						
Date_NPC3_01_02ID	25	Marie	マリー	じゃあ負けたら１０分間掃除して\n１０分経ったらもう一度じゃんけんをする。\nってことでいいですか？						
Date_NPC3_01_02ID	26	Saskia	ザスキア	構わないわ。それじゃ……。\nじゃんけん……						
Date_NPC3_01_02ID	27	Marie	マリー	まっ、また負けた！？						
Date_NPC3_01_02ID	28	Saskia	ザスキア	うふふ。それじゃあまた１０分間、\nお掃除お願いね～						
Date_NPC3_01_02ID	29	Marie	マリー	こんなに連敗するなんて聞いてないわよ～！\nいんちきだぁ～！						
Date_NPC3_01_02ID	30	Marie	マリー	インチキだぁ～！						
Date_NPC3_01_02ID	31	Saskia	ザスキア	こうなったら、いったんアトリエのお掃除は\n諦めて不用品の整理をしましょうか						
Date_NPC3_01_02ID	32	Saskia	ザスキア	整理整頓くらいなら簡単だし\nやらないよりはましだものね						
Date_NPC3_01_02ID	33	Marie	マリー	わ、分かりました……。\nそれならまずは、\nここらへんからやりましょうか？						
Date_NPC3_01_02ID	34	Saskia	ザスキア	そうね、レスナのものは本人に聞かないと\n何を捨てちゃいけないか分からないし\nそうしましょう						
Date_NPC3_01_02ID	35	Marie	マリー	さーて、あたしが整理できそうなものは\nどこかにあるかしら……						
Date_NPC3_01_02ID	36		選択肢	書き損じのレシピの紙						
Date_NPC3_01_02ID	37	Marie	マリー	ん～、これって何かの記録かしら？\nでも、途中で書くことを間違えちゃって\nそのまま置いておいたものみたい						
Date_NPC3_01_02ID	38	Saskia	ザスキア	誰でも間違えることはあるわ。\n書いてるだけ偉いじゃない						
Date_NPC3_01_02ID	39	Marie	マリー	ザスキアさんは、\nよくこうして記録するんですか？						
Date_NPC3_01_02ID	40	Saskia	ザスキア	たまにはね。この前思いついた\nレシピだって、ほらここに……						
Date_NPC3_01_02ID	41	Saskia	ザスキア	……あら、どこにやったかしら						
Date_NPC3_01_02ID	42	Marie	マリー	書いても、その書いた紙をどこにやったか\n忘れちゃう人ですね……						
Date_NPC3_01_02ID	43		選択肢	失敗した調合品						
Date_NPC3_01_02ID	44	Marie	マリー	これは……なんだろう。燃えかす？						
Date_NPC3_01_02ID	45	Saskia	ザスキア	あ、そこに置いてあるのは失敗した\n調合品だから捨てちゃっていいわよ						
Date_NPC3_01_02ID	46	Marie	マリー	え、でもこういう燃えかすでも\n素材として使えるときはありますよ？						
Date_NPC3_01_02ID	47	Saskia	ザスキア	必要ならまた作ればいいわ。\n調合に失敗すればいいだけなんだから						
