file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_NPC4_01ID	0	Juna	ユナ	（今日は天気がいい。見回り日和だな）	Juna	(What nice weather we're having today. Perfect for patrolling.)	尤娜	（今天天气很好，适合巡逻。）	尤娜	（今天天氣真好，正適合巡邏呢。）
Date_NPC4_01ID	1	Juna	ユナ	（人々も穏やかだ……\n　ん？　あそこにいるのはハイディか）	Juna	(Everyone seems to be in a fine mood, too. Hm? Isn't that Heidi over there?)	尤娜	（也没有人闹事……\n　嗯？那个人是海蒂吧。）	尤娜	（人們之間的氣氛也很和平……\n　嗯？在那邊的是海蒂吧。）
Date_NPC4_01ID	2	Juna	ユナ	（なんだ、様子がおかしいな）	Juna	(Though, she doesn't appear to be acting like her usual self.)	尤娜	（看上去样子有点不太对劲。）	尤娜	（她看上去好像不太對勁。）
Date_NPC4_01ID	3		選択肢	そこで何をしているんだ	Selection	What are you doing there?	选项	你在做什么？	選項	妳在那裡做什麼？
Date_NPC4_01ID	4	Juna	ユナ	ハイディ！　そこで何をしているんだ	Juna	Heidi! What are you doing there?	尤娜	海蒂！你在做什么？	尤娜	海蒂！妳在那裡做什麼？
Date_NPC4_01ID	5	Heidi	ハイディ	うわあ！　って、ユナさんか。\nびっくりしたー	Heidi	Whoa! Oh, it's just you, Juna. Yeesh, give a girl more warning, would you?	海蒂	哇！\n原来是尤娜小姐啊，吓我一跳。	海蒂	唔哇！呃，原來是尤娜小姐啊。\n嚇了我一跳～
Date_NPC4_01ID	6	Juna	ユナ	……なんだ、\n何かやましいことでもあるのか	Juna	You aren't up to any...dubious behavior, are you?	尤娜	怎么……你做了什么亏心事吗？	尤娜	……怎麼，難道妳做了什麼虧心事嗎？
Date_NPC4_01ID	7	Heidi	ハイディ	ないない、ないです！\nだからそんな怖い顔しないで！	Heidi	Nope, not in the least! So please stop giving me that scary look!	海蒂	没有没有，才没那回事呢！\n你不要露出那么恐怖的表情啦！	海蒂	不不不，並沒有！\n所以妳別擺出那麼可怕的表情啦！
Date_NPC4_01ID	8	Juna	ユナ	……怖い顔をしているつもりはないんだが	Juna	My expression isn't any different from usual.	尤娜	我没有故意吓你吧……	尤娜	……我沒有想要擺出可怕的表情啊。
Date_NPC4_01ID	9		選択肢	おい、どうした？	Selection	Hey, is something wrong?	选项	喂，怎么了？	選項	喂，妳怎麼了？
Date_NPC4_01ID	10	Juna	ユナ	おいハイディ、どうした？	Juna	Hey, Heidi? Is something wrong?	尤娜	喂，海蒂，怎么了？	尤娜	喂，海蒂，妳怎麼了？
