file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_VILLAIN_A_01ID	0	Roman	ロマン	（ああ、なんて穏やかな日だろうか。\n　天気も良く、散策にうってつけの日だ）	Roman	(Ahh, what a lovely day. The weather is just perfect for a stroll.)	罗曼	（哎呀，今天可真是平静。\n　天气又好，太适合出门逛逛了。）	羅曼	（啊啊，多麼寧靜的日子啊。\n　天氣也很好，出來散步最適合不過了。）
Date_VILLAIN_A_01ID	1	Roman	ロマン	（おや？　あれは……）	Roman	(Oh? What do we have here?)	罗曼	（咦？那是……）	羅曼	（哦？那是……）
Date_VILLAIN_A_01ID	2	Geron	ジェロン	俺は暇ではない。どこかへ行け	Geron	I'm busy. Get lost.	杰隆	一边去，我没空。	傑隆	我沒空，走開。
Date_VILLAIN_A_01ID	3	Roman	ロマン	（あの様子は、もしや……\n　どうしようか）	Roman	(Geron and...a lady friend? What is he up to?)	罗曼	（看这情况，难道说……\n　该怎么办呢。）	羅曼	（看那情況，莫非……\n　我該怎麼做呢？）
Date_VILLAIN_A_01ID	4			声をかける		Call out to him		出声搭话		向他打聲招呼
Date_VILLAIN_A_01ID	5	Roman	ロマン	やあ、待たせたね	Roman	So sorry to have kept you waiting!	罗曼	你好啊，让你久等了。	羅曼	嗨，讓你久等了。
Date_VILLAIN_A_01ID	6	Geron	ジェロン	……ああ。遅かったな	Geron	Uh... Right. Almost thought you weren't going to show up.	杰隆	……嗯，你来晚了。	傑隆	……嗯，你來得真慢。
Date_VILLAIN_A_01ID	7	Roman	ロマン	急がないと、予定に遅れるよ	Roman	We must be going now, or we'll be late.	罗曼	不赶快走的话要迟到了。	羅曼	不快點走的話，就趕不上行程了。
Date_VILLAIN_A_01ID	8	Geron	ジェロン	見ての通り、俺達は暇じゃない	Geron	See? Like I said. I don't have the time to be dealing with you.	杰隆	如你所见，我们没空。	傑隆	如妳所見，我們很忙。
Date_VILLAIN_A_01ID	9	Roman	ロマン	私たちも場所を移そうか	Roman	Perhaps we should take this conversation elsewhere.	罗曼	我们也换个地方吧。	羅曼	我們也換個地方吧。
Date_VILLAIN_A_01ID	10			声をかけず、通り過ぎる		Say nothing and keep walking		不搭话，直接走过去		不出聲，直接走過去
Date_VILLAIN_A_01ID	11	Roman	ロマン	（二人が本当に知り合いの可能性もある。\n　触れぬが吉、かな）	Roman	(They might know each other... If that's the case, maybe I shouldn't interrupt them.)	罗曼	（这两个人没准是熟人。\n　还是别扯上关系为妙。）	羅曼	（他們兩人可能真的認識。\n　還是別干涉為妙吧。）
Date_VILLAIN_A_01ID	12	Geron	ジェロン	おい	Geron	Hey!	杰隆	喂。	傑隆	喂。
Date_VILLAIN_A_01ID	13	Roman	ロマン	ん？	Roman	Hm?	罗曼	嗯？	羅曼	嗯？
Date_VILLAIN_A_01ID	14	Geron	ジェロン	俺はこいつに用があるから付き合えん	Geron	My business is with him, not you.	杰隆	我找这家伙有事，没法陪你。	傑隆	我找他有事，沒空搭理妳。
Date_VILLAIN_A_01ID	15	Geron	ジェロン	少し面を貸してくれ	Geron	We need to talk.	杰隆	陪我一下。	傑隆	你跟我過來一下。
Date_VILLAIN_A_01ID	16			遠くから見守る。		Watch them from afar		在远处观察		在遠處觀望
Date_VILLAIN_A_01ID	17	Roman	ロマン	（二人が本当に知り合いの可能性もある。\n　少し様子を見ようか）	Roman	(They might know each other... Let's wait and see what happens.)	罗曼	（这两个人没准是熟人。\n　还是先观察一下吧。）	羅曼	（他們兩人可能真的認識。\n　觀望一下情況好了。）
Date_VILLAIN_A_01ID	18	Roman	ロマン	（これは……\n　助けを求められているのか？）	Roman	(It looks almost like he wants someone to bail him out.)	罗曼	（这是在……\n　向我求助么？）	羅曼	（他這是……在向我求助嗎？）
Date_VILLAIN_A_01ID	19	Roman	ロマン	やあ、ジェロン	Roman	Hello there, Geron.	罗曼	你好啊，杰隆。	羅曼	嗨，傑隆。
Date_VILLAIN_A_01ID	20	Geron	ジェロン	ちょっと付き合え	Geron	Hey. Real quick, just come with me.	杰隆	陪我一下。	傑隆	你過來一下。
Date_VILLAIN_A_01ID	21	Geron	ジェロン	助かった	Geron	Thanks, I owe you one.	杰隆	谢了。	傑隆	勞你相助了。
