file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_VILLAIN_C_01ID	0	Resna	レスナ	（今日は大好きな文学作品の新刊発売日！\n　書店までもう少し！ るんるん、やー！）	Resna	(Today's the day my favorite book series gets its newest release! Ooh, I can hardly wait!)	蕾斯娜	（今天是我最喜欢的文学作品新刊发售日！\n　马上就到书店了！开心开心～！）	蕾斯娜	（今天是我最喜歡的文學作品的新書發售日！\n　就快到書店了！啦啦啦～！）
Date_VILLAIN_C_01ID	1	Resna	レスナ	（！　あ、あの姿は……）	Resna	(Huh? Is that who I think it is?)	蕾斯娜	（那、那背影是……！）	蕾斯娜	（！那、那個身影是……）
Date_VILLAIN_C_01ID	2			ララさん		Lara		拉拉小姐		拉拉小姐
Date_VILLAIN_C_01ID	3	Resna	レスナ	ララさん！	Resna	Lara!	蕾斯娜	拉拉小姐！	蕾斯娜	拉拉小姐！
Date_VILLAIN_C_01ID	4	Lara	ララ	あら、レスナ。ごきげんよう	Lara	Well if it isn't Resna. How do you do?	拉拉	啊，蕾斯娜。贵安。	拉拉	哎呀，蕾斯娜。妳好呀。
Date_VILLAIN_C_01ID	5	Resna	レスナ	ごきげんよう、です！	Resna	Uh, h-how do you do too!	蕾斯娜	贵安！	蕾斯娜	妳、妳好！
Date_VILLAIN_C_01ID	6	Lara	ララ	ふふ。あなたのごきげんようは、\n赤子が初めてくしゃみをするような\nたどたどしさがあってかわいいですわね	Lara	Hehe. Listen to you, putting on airs! Somehow it doesn't quite suit you, but you still manage to look cute as a button.	拉拉	呵呵，你的“贵安”，\n就好像婴儿第一次打喷嚏一样稚拙呢。	拉拉	呵呵。妳的那句「妳好」\n感覺好像小嬰兒第一次打噴嚏一樣\n有種生澀感，真可愛呀。
Date_VILLAIN_C_01ID	7			ララちゃん		Miss Lara		小拉拉		拉拉
Date_VILLAIN_C_01ID	8	Resna	レスナ	ララちゃん！	Resna	Hi, Miss Lara!	蕾斯娜	小拉拉！	蕾斯娜	拉拉！
Date_VILLAIN_C_01ID	9	Lara	ララ	あら、新鮮な呼ばれ方ですわね	Lara	My, my. It's been quite a while since someone last called me that.	拉拉	哎呀，真是新奇的称呼。	拉拉	哎呀，這稱呼還真新奇呢。
Date_VILLAIN_C_01ID	10	Resna	レスナ	す、すみません！　噛みました！	Resna	Oh, I'm really sorry! It just kind of slipped out...	蕾斯娜	对、对不起！我说错了！	蕾斯娜	抱、抱歉！我叫錯了！
Date_VILLAIN_C_01ID	11	Lara	ララ	ふふ、あなたになら別に構いませんのに	Lara	*Chuckle* You're more than welcome to call me whatever you like, Resna.	拉拉	呵呵呵，你可以这么称呼我哦。	拉拉	呵呵，我不會介意妳這麼叫我的。
Date_VILLAIN_C_01ID	12	Lara	ララ	ララちゃんと呼ばれたのはいつぶりかしら。\nなんだか少しむず痒いですが、\n悪い気はしませんわね	Lara	But now that I'm a queen, hardly anyone refers to me that way... I don't dislike it, mind you. It'll just take some getting used to.	拉拉	上次有人叫我小拉拉是什么时候的事了呢。\n感觉有些不好意思，不过我并不讨厌。	拉拉	已經好久沒人叫我拉拉了呢。\n總覺得有點肉麻，不過我不討厭喔。
Date_VILLAIN_C_01ID	13			ララ様		Queen Lara		拉拉大人		拉拉大人
