file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_VILLAIN_C_01_01ID	0	Izana	イザナ	（ふう……素材も集まって\n　ようやく一段落。\n　レスナちゃんも頑張ってる）						
Date_VILLAIN_C_01_01ID	1	Izana	イザナ	（みんなの力を結集させて、\n　ヴァレリアを治す。\n　絶対に成功させなくちゃ）						
Date_VILLAIN_C_01_01ID	2	Izana	イザナ	（だけど、意外だったのが……）						
Date_VILLAIN_C_01_01ID	3	Lara	ララ	ごきげんよう、イザナ						
Date_VILLAIN_C_01_01ID	4	Izana	イザナ	わっ、ララ！？						
Date_VILLAIN_C_01_01ID	5	Lara	ララ	あら。どうしましたの、そんなに驚いて。\n何かやましいことでも？						
Date_VILLAIN_C_01_01ID	6	Izana	イザナ	違うよ。この間のことを思い出してたんだ						
Date_VILLAIN_C_01_01ID	7	Izana	イザナ	ヴァレリアが大変な時、レスナちゃんに\n情報を提供してくれてありがとう						
Date_VILLAIN_C_01_01ID	8	Lara	ララ	何かと思えば……						
Date_VILLAIN_C_01_01ID	9	Lara	ララ	あの時は、皆さんの叡智を\n１つにする必要がありましたから						
Date_VILLAIN_C_01_01ID	10	Lara	ララ	あなたも、よく頑張ってらしたわね						
Date_VILLAIN_C_01_01ID	11	Lara	ララ	ハンマーを２つに増やした時よりも\nずっと成長したように見えましてよ						
Date_VILLAIN_C_01_01ID	12	Lara	ララ	……ハンマーは最強、２つならもっと最強。\nあの結論には、意表を突かれたものですわ						
Date_VILLAIN_C_01_01ID	13	Izana	イザナ	でも、ますますアタシが\n欲しくなったって言ってたよ！						
Date_VILLAIN_C_01_01ID	14	Lara	ララ	ええ。今も変わりありませんわ						
Date_VILLAIN_C_01_01ID	15	Lara	ララ	ですが、叶わぬ望みでしょうから……						
Date_VILLAIN_C_01_01ID	16	Lara	ララ	せめて、そのハンマーを見せて\nいただけませんこと？						
Date_VILLAIN_C_01_01ID	17	Izana	イザナ	え、興味あるの！？\nハンマーに目を付けるとは、\nさすが王様だね！　ハンマーキング！						
Date_VILLAIN_C_01_01ID	18	Izana	イザナ	じゃあ、これどうぞ！\nハンマーに敬意を払って気を付けて持ってね						
Date_VILLAIN_C_01_01ID	19	Lara	ララ	ええ。丁重に拝見しますわ						
Date_VILLAIN_C_01_01ID	20	Lara	ララ	ふむ……目算よりずっと重く、\n密度は内部に至るまで均質を保っている						
Date_VILLAIN_C_01_01ID	21	Izana	イザナ	どうどう？　どんな感じ？						
Date_VILLAIN_C_01_01ID	22	Lara	ララ	大変興味深いですわ。\n鋳造もまた、錬金術の範囲にあるもの						
Date_VILLAIN_C_01_01ID	23	Lara	ララ	あれだけ振るっても欠けず、粘りがあるなら\nさぞ高名な錬金術士の手によるものかしら？						
Date_VILLAIN_C_01_01ID	24	Izana	イザナ	錬金術士！？　いやぁ……						
Date_VILLAIN_C_01_01ID	25	Lara	ララ	ふふ。大体の察しはつきますわ						
Date_VILLAIN_C_01_01ID	26	Lara	ララ	ただ、なぜハンマーを使うことになったかは\n気になるところですわね						
Date_VILLAIN_C_01_01ID	27		選択肢	ハンマーが最強だから！						
Date_VILLAIN_C_01_01ID	28	Izana	イザナ	だって、ハンマーが最強だから！						
Date_VILLAIN_C_01_01ID	29	Lara	ララ	あの時も仰ってましたわね。\nこれだけ立派な武器があれば頷けますわ						
Date_VILLAIN_C_01_01ID	30	Izana	イザナ	ユナさんみたいな槍や、ロマン君みたいな\n剣もかっこいいとは思うよ						
Date_VILLAIN_C_01_01ID	31	Izana	イザナ	だけどハンマーはぴかぴかしてみっちりで、\nいつだってアタシを最強にしてくれるんだ！						
Date_VILLAIN_C_01_01ID	32	Lara	ララ	なるほど……興味深い考えですわ						
Date_VILLAIN_C_01_01ID	33	Lara	ララ	美しい造形と逞しさを併せ持つ相棒は、\n使い手をも強くするということかしら						
Date_VILLAIN_C_01_01ID	34		選択肢	物心ついた時から一緒だから						
Date_VILLAIN_C_01_01ID	35	Izana	イザナ	物心ついた時から一緒だからね						
