file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_VILLAIN_D_01ID	0	Valeria	ヴァレリア	…………						
Date_VILLAIN_D_01ID	1	Valeria	ヴァレリア	ここは……						
Date_VILLAIN_D_01ID	2	Criselda	クリセルダ	真正面から堂々とやって来る\n人影があると思ったら……						
Date_VILLAIN_D_01ID	3	Criselda	クリセルダ	まさか、あなただったとはね。\nヴァレリア						
Date_VILLAIN_D_01ID	4	Valeria	ヴァレリア	…………						
Date_VILLAIN_D_01ID	5	Criselda	クリセルダ	よく来てくれたわね。\n歓迎するわ						
Date_VILLAIN_D_01ID	6	Criselda	クリセルダ	けど、どういう風の吹き回しかしら？\n何か心境の変化でもあったの？						
Date_VILLAIN_D_01ID	7		選択肢	すべて話してくれると約束したから						
Date_VILLAIN_D_01ID	8	Valeria	ヴァレリア	人造頂獣の戦いが片付いたら、\nいくらでも話をするって約束だったでしょ？						
Date_VILLAIN_D_01ID	9	Criselda	クリセルダ	ふふ……そうね。\n確かにそういったわ						
Date_VILLAIN_D_01ID	10	Criselda	クリセルダ	嬉しいわ。\n私の言葉、覚えていてくれたのね						
Date_VILLAIN_D_01ID	11	Valeria	ヴァレリア	…………						
Date_VILLAIN_D_01ID	12		選択肢	あんたのお弁当の味が忘れられない						
Date_VILLAIN_D_01ID	13	Valeria	ヴァレリア	あんたにもらったお弁当の味……\nあれが忘れられなかっただけ						
Date_VILLAIN_D_01ID	14	Criselda	クリセルダ	あら、ふふふ……\nお弁当の味が、ね……						
Date_VILLAIN_D_01ID	15	Criselda	クリセルダ	どうやら、あなたのお腹は\n思った以上に正直みたいね						
Date_VILLAIN_D_01ID	16	Criselda	クリセルダ	本能に忠実な渇望があることは\n分かりやすくて好きよ						
Date_VILLAIN_D_01ID	17		選択肢	どうしてここにいるんだろう						
Date_VILLAIN_D_01ID	18	Valeria	ヴァレリア	…………						
Date_VILLAIN_D_01ID	19	Valeria	ヴァレリア	分からない。\n私も、よく……						
Date_VILLAIN_D_01ID	20	Criselda	クリセルダ	自分でも分からない……？\n不思議なことをいうのね						
Date_VILLAIN_D_01ID	21	Criselda	クリセルダ	けど、人の心は複雑怪奇。\n自分で自分が分からない時もあるでしょう						
Date_VILLAIN_D_01ID	22	Criselda	クリセルダ	それでも何かしらの理由を付けるなら……\nきっと、あなたは私に導かれたのよ						
Date_VILLAIN_D_01ID	23	Criselda	クリセルダ	とはいえ、あなたにとって私は敵のはず。\nそして、その逆もまた然り						
Date_VILLAIN_D_01ID	24	Criselda	クリセルダ	なのに、あなたはのこのこと\n一人でここへやって来た						
Date_VILLAIN_D_01ID	25	Criselda	クリセルダ	何か企みでもあると\n考えるのが普通だと思うけど……						
Date_VILLAIN_D_01ID	26	Criselda	クリセルダ	そんな状況で、どうして私が\nあなたを信じられるのかしらね？						
Date_VILLAIN_D_01ID	27	Valeria	ヴァレリア	それは……						
Date_VILLAIN_D_01ID	28		選択肢	考えが変わったの						
Date_VILLAIN_D_01ID	29	Valeria	ヴァレリア	考えが変わったの						
Date_VILLAIN_D_01ID	30	Valeria	ヴァレリア	知りたいことを知るには\n今のままではダメだって						
Date_VILLAIN_D_01ID	31	Criselda	クリセルダ	……なるほど。\n私たちといたほうが得だと						
Date_VILLAIN_D_01ID	32	Criselda	クリセルダ	確かに、それは間違いないわね						
Date_VILLAIN_D_01ID	33	Criselda	クリセルダ	レスナたちと一緒にいるよりも\nたくさんの知識が得られるでしょうね						
Date_VILLAIN_D_01ID	34		選択肢	こっちこそ信じていいんでしょうね？						
Date_VILLAIN_D_01ID	35	Valeria	ヴァレリア	それはお互いさま。\nこっちこそ信じていいんでしょうね？						
Date_VILLAIN_D_01ID	36	Criselda	クリセルダ	それはもちろんよ。\nあなたの望むものを渡せるはずだわ						
Date_VILLAIN_D_01ID	37	Criselda	クリセルダ	そこに偽りはないわ						
Date_VILLAIN_D_01ID	38		選択肢	もちろん企みはある						
Date_VILLAIN_D_01ID	39	Valeria	ヴァレリア	あんたが疑っている通り、\nもちろん企みはある						
Date_VILLAIN_D_01ID	40	Valeria	ヴァレリア	でも、クリセルダはそれを知ったとしても\n私を置いてくれるんじゃないかと思ってね						
Date_VILLAIN_D_01ID	41	Criselda	クリセルダ	あら……正直にいうのね。\nふふふ、面白いじゃない						
Date_VILLAIN_D_01ID	42	Criselda	クリセルダ	いいわ。\nその企みすらねじ伏せてあげる						
Date_VILLAIN_D_01ID	43	Criselda	クリセルダ	まあ、それにしても……\nあなたがここに来たことは喜ばしいこと						
Date_VILLAIN_D_01ID	44	Criselda	クリセルダ	知りたい、というのなら、\nその渇望を満たしてあげるわ						
Date_VILLAIN_D_01ID	45	Valeria	ヴァレリア	それなら――						
Date_VILLAIN_D_01ID	46	Criselda	クリセルダ	ただし、１つだけ条件があるわ						
Date_VILLAIN_D_01ID	47	Valeria	ヴァレリア	……なに？						
Date_VILLAIN_D_01ID	48	Criselda	クリセルダ	そんなに警戒しなくても大丈夫。\n別に難しいことじゃないわ						
Date_VILLAIN_D_01ID	49	Criselda	クリセルダ	あなたはただ、\n私に協力してくれればいいの						
Date_VILLAIN_D_01ID	50	Valeria	ヴァレリア	協力……						
Date_VILLAIN_D_01ID	51		選択肢	ええ、いいわよ						
Date_VILLAIN_D_01ID	52	Valeria	ヴァレリア	ええ、いいわよ。\nそのくらいなら						
Date_VILLAIN_D_01ID	53	???	？？？	（奴の信頼を得て、懐に潜り込め）						
Date_VILLAIN_D_01ID	54	Valeria	ヴァレリア	――ッ！						
Date_VILLAIN_D_01ID	55	Criselda	クリセルダ	……詳しい話を聞く前に、\n二つ返事をしていいのかしら？						
Date_VILLAIN_D_01ID	56	Criselda	クリセルダ	まあ、こちらとしては\n都合がいいのだけれど						
Date_VILLAIN_D_01ID	57		選択肢	誰があんたのいうことなんか！						
Date_VILLAIN_D_01ID	58	Valeria	ヴァレリア	そんな……協力だなんて……\n誰があんたのいうことなんか――						
Date_VILLAIN_D_01ID	59	???	？？？	（奴に協力するのだ。\n　信頼を得て、懐に潜り込め）						
Date_VILLAIN_D_01ID	60	Valeria	ヴァレリア	――ッ！						
Date_VILLAIN_D_01ID	61	Criselda	クリセルダ	…………						
Date_VILLAIN_D_01ID	62	Criselda	クリセルダ	大丈夫なの？\n具合が悪いようだけど？						
Date_VILLAIN_D_01ID	63	Valeria	ヴァレリア	別に……大丈夫。\n心配するようなことじゃないわ						
Date_VILLAIN_D_01ID	64	Valeria	ヴァレリア	そんなことより、\n協力……するわ						
Date_VILLAIN_D_01ID	65	Criselda	クリセルダ	……あら、いいの？\nこちらとしては嬉しい限りだけど						
Date_VILLAIN_D_01ID	66		選択肢	従ったふりをする						
Date_VILLAIN_D_01ID	67	???	？？？	（余計なことは考えるな。\n　信頼を得て、懐に潜り込め）						
Date_VILLAIN_D_01ID	68	Valeria	ヴァレリア	――ッ！						
Date_VILLAIN_D_01ID	69	Valeria	ヴァレリア	……ええ、いいわよ。\n協力するわ						
Date_VILLAIN_D_01ID	70	Criselda	クリセルダ	……いいの？						
Date_VILLAIN_D_01ID	71	Valeria	ヴァレリア	約束を果たしてもらうためならね						
Date_VILLAIN_D_01ID	72	Criselda	クリセルダ	なるほど……						
Date_VILLAIN_D_01ID	73	Valeria	ヴァレリア	とにかく、協力はする。だから\n知っていることはすべて教えてもらうわよ						
Date_VILLAIN_D_01ID	74	Criselda	クリセルダ	何度もいってる通り、\nそれについては構わないけど……						
Date_VILLAIN_D_01ID	75	Criselda	クリセルダ	あなた……やっぱり						
Date_VILLAIN_D_01ID	76	Valeria	ヴァレリア	なに……？						
Date_VILLAIN_D_01ID	77	Criselda	クリセルダ	いいえ、なんでもないわ						
Date_VILLAIN_D_01ID	78	Criselda	クリセルダ	改めて、ようこそ――\n極夜の錬金党へ						
Date_VILLAIN_D_02ID	0	Valeria	ヴァレリア	ただいま						
Date_VILLAIN_D_02ID	1	Valeria	ヴァレリア	ご所望の素材、採ってきたわよ。\nはい、これ						
Date_VILLAIN_D_02ID	2	Criselda	クリセルダ	おかえりなさい。\n意外と早かったわね――						
Date_VILLAIN_D_02ID	3	Criselda	クリセルダ	って、その脇腹……\nケガしてるわね？						
Date_VILLAIN_D_02ID	4	Valeria	ヴァレリア	してるけど……だから、なに？\nこれくらい平気だし、あんたには関係ない						
Date_VILLAIN_D_02ID	5	Criselda	クリセルダ	素材の採取をお願いしたのは私よ？						
Date_VILLAIN_D_02ID	6	Criselda	クリセルダ	そのせいでケガをしたのなら、\n気にするのは自然じゃないかしら？						
Date_VILLAIN_D_02ID	7	Valeria	ヴァレリア	…………						
Date_VILLAIN_D_02ID	8	Criselda	クリセルダ	そうでなくても、今のあなたは私たち、\n極夜の錬金党の一員なんだもの						
Date_VILLAIN_D_02ID	9	Criselda	クリセルダ	組織の長として、仲間として、\n心配になるでしょう？						
Date_VILLAIN_D_02ID	10		選択肢	正直に答える						
Date_VILLAIN_D_02ID	11	Valeria	ヴァレリア	採取の途中、魔物に出くわしたの。\nそこで、少し無茶をしただけよ						
Date_VILLAIN_D_02ID	12	Criselda	クリセルダ	はぁ……どうしてそんなことを？						
Date_VILLAIN_D_02ID	13	Criselda	クリセルダ	確かにお願いしたのは私だけど、\nそこまでして欲しいものでもなかったわ						
Date_VILLAIN_D_02ID	14	Criselda	クリセルダ	まったく……あまり無茶はしないで。\nあなたが傷つくのは悲しいわ						
Date_VILLAIN_D_02ID	15		選択肢	ごまかす						
Date_VILLAIN_D_02ID	16	Valeria	ヴァレリア	これは元々あったケガ。\nそれがちょっと悪化しただけ						
Date_VILLAIN_D_02ID	17	Criselda	クリセルダ	なるほど……\nあなた、そうやってごまかすタイプなのね						
Date_VILLAIN_D_02ID	18	Criselda	クリセルダ	けど、嘘が下手。\n分かりやすく目が右上に泳いだわ						
Date_VILLAIN_D_02ID	19	Valeria	ヴァレリア	そ、そんなことは――						
Date_VILLAIN_D_02ID	20	Criselda	クリセルダ	似合わないわよ。\nあなたは素直な姿が一番なんだから						
Date_VILLAIN_D_02ID	21		選択肢	ケガは勲章						
Date_VILLAIN_D_02ID	22	Valeria	ヴァレリア	これくらいどうってことないし、\nケガは勲章みたいなものでしょ						
Date_VILLAIN_D_02ID	23	Valeria	ヴァレリア	だから、心配しなくてもいいわ						
Date_VILLAIN_D_02ID	24	Criselda	クリセルダ	その勲章の価値がいかほどか、\n甚だ疑問に思えるわ						
Date_VILLAIN_D_02ID	25	Criselda	クリセルダ	それが大義のある戦いで\n負ったケガならいざ知らず、ね						
Date_VILLAIN_D_02ID	26	Valeria	ヴァレリア	…………						
Date_VILLAIN_D_02ID	27	Criselda	クリセルダ	せっかく顔も身体も綺麗なんだから、\n台無しにするようなことはしないの						
Date_VILLAIN_D_02ID	28	Criselda	クリセルダ	分かった？						
Date_VILLAIN_D_02ID	29	Valeria	ヴァレリア	…………						
Date_VILLAIN_D_02ID	30	Criselda	クリセルダ	とにかく、手当てしてあげる。\nこっちに来なさい						
Date_VILLAIN_D_02ID	31	Valeria	ヴァレリア	え？						
Date_VILLAIN_D_02ID	32	Criselda	クリセルダ	どうかした？\nまさか脇腹以外にもケガしてるの？						
Date_VILLAIN_D_02ID	33	Valeria	ヴァレリア	いや、そういうわけじゃないけど……						
Date_VILLAIN_D_02ID	34	Criselda	クリセルダ	変な子ね。\nいいから、早くこっちに来なさい						
Date_VILLAIN_D_02ID	35	Valeria	ヴァレリア	……分かった						
Date_VILLAIN_D_02ID	36	Criselda	クリセルダ	さてと……こんなところね。\nというか、あなた……						
Date_VILLAIN_D_02ID	37	Criselda	クリセルダ	このケガでよく歩いて帰ってきたわね。\n心配を通り越して呆れてきたわ						
Date_VILLAIN_D_02ID	38	Valeria	ヴァレリア	いったでしょ。\nこれくらい平気だって						
Date_VILLAIN_D_02ID	39	Criselda	クリセルダ	気丈なところは\nあなたの美徳かもしれないけど……						
Date_VILLAIN_D_02ID	40	Criselda	クリセルダ	それは無理や無茶をしていい\n免罪符にはならないのよ？						
Date_VILLAIN_D_02ID	41	Criselda	クリセルダ	次、同じようなことがあれば、\nお仕置きをするからね						
Date_VILLAIN_D_02ID	42		選択肢	面倒見がいいのね						
Date_VILLAIN_D_02ID	43	Valeria	ヴァレリア	……あんた、面倒見がいいのね						
Date_VILLAIN_D_02ID	44	Criselda	クリセルダ	そうよ、ワルターなんか初めて\n会った時は己に無頓着すぎて\n見ていられなかったぐらい						
Date_VILLAIN_D_02ID	45	Criselda	クリセルダ	まぁ、\nせっかく仲間になったんだもの						
Date_VILLAIN_D_02ID	46	Criselda	クリセルダ	けど、それはそれ。\nせっかく仲間になったんだもの						
Date_VILLAIN_D_02ID	47	Criselda	クリセルダ	それぞれが助け合って、\n全員が幸せになるべきじゃない？						
Date_VILLAIN_D_02ID	48		選択肢	そんなに心配？						
Date_VILLAIN_D_02ID	49	Valeria	ヴァレリア	お仕置きって……まるで子ども扱いね。\nそんなに心配なの？						
Date_VILLAIN_D_02ID	50	Criselda	クリセルダ	子ども扱いしているつもりはないわ。						
Date_VILLAIN_D_02ID	51	Criselda	クリセルダ	けど、さっきいったでしょ？\n素材の採取をお願いしたのは私						
Date_VILLAIN_D_02ID	52	Criselda	クリセルダ	心配の１つもすると思うし、\n責任を感じるのは当然よ						
Date_VILLAIN_D_02ID	53		選択肢	お仕置きしてほしい						
Date_VILLAIN_D_02ID	54	Valeria	ヴァレリア	あんたがそうしたいなら、\nそうすればいいじゃない						
Date_VILLAIN_D_02ID	55	Criselda	クリセルダ	あら……。\nもしかして、そういうのが好みなの？						
Date_VILLAIN_D_02ID	56	Criselda	クリセルダ	それなら、その渇望を満たしてあげるのも\nまた一興ね……うんうん						
Date_VILLAIN_D_02ID	57	Criselda	クリセルダ	だけど、それはまた後で。\n今はゆっくり休みなさい						
Date_VILLAIN_D_02ID	58	Criselda	クリセルダ	戦う事が本当に好きなのねヴァレリア						
Date_VILLAIN_D_02ID	59	Valeria	ヴァレリア	素材を手に入れるためには\n戦わざるを得なかった、それだけの話よ						
Date_VILLAIN_D_02ID	60	Criselda	クリセルダ	それほどまでに頑張ってくれる、\nその根源は？						
Date_VILLAIN_D_02ID	61	Criselda	クリセルダ	その根源は？						
Date_VILLAIN_D_02ID	62	Valeria	ヴァレリア	根源……それは……						
Date_VILLAIN_D_02ID	63	Valeria	ヴァレリア	（レスナたちとの旅を続けるため……\n　だから、すべて聞き出して――）						
Date_VILLAIN_D_02ID	64	Valeria	ヴァレリア	――ッ！？						
Date_VILLAIN_D_02ID	65	???	？？？	（クリセルダに取り入るのだ。\n　お前の意思はいらないぞ）						
Date_VILLAIN_D_02ID	66		選択肢	クリセルダのため						
Date_VILLAIN_D_02ID	67		選択肢	クリセルダのため						
Date_VILLAIN_D_02ID	68		選択肢	クリセルダのため						
Date_VILLAIN_D_02ID	69	Valeria	ヴァレリア	……簡単な話よ。\nすべてはあんたのため						
Date_VILLAIN_D_02ID	70	Valeria	ヴァレリア	あんたに喜んでほしいから無茶をしたのよ						
Date_VILLAIN_D_02ID	71	Criselda	クリセルダ	私に、喜んでほしいから……？						
Date_VILLAIN_D_02ID	72	Valeria	ヴァレリア	ここで過ごした時間は\nそう長くないわ						
Date_VILLAIN_D_02ID	73	Valeria	ヴァレリア	だけど、今までよりあんたを知る機会は\n確実に多くなった						
Date_VILLAIN_D_02ID	74	Valeria	ヴァレリア	結果、シンプルにあんたのことが\n好きになった……それだけよ						
Date_VILLAIN_D_02ID	75	Valeria	ヴァレリア	だから、無茶だと分かっていても\nあんたのために頑張ったの						
Date_VILLAIN_D_02ID	76	Criselda	クリセルダ	…………						
Date_VILLAIN_D_02ID	77	Criselda	クリセルダ	もし、それが本音だとして……\n１つだけ覚えていて						
Date_VILLAIN_D_02ID	78	Criselda	クリセルダ	私たちはそれぞれの渇望を満たすために\nここにいる						
Date_VILLAIN_D_02ID	79	Criselda	クリセルダ	一緒にいるのも、あくまで自分のため。\nだけどね、ヴァレリア……						
Date_VILLAIN_D_02ID	80	Criselda	クリセルダ	私はそれと同時にみんなの渇望が\n満たされることも願っているの						
Date_VILLAIN_D_02ID	81	Valeria	ヴァレリア	…………						
Date_VILLAIN_D_02ID	82	Criselda	クリセルダ	私のためを想うのなら、\nもう少し自分を大切にして						
Date_VILLAIN_D_02ID	83	Criselda	クリセルダ	渇望を満たす前に\n倒れてしまっては意味がないんだから						
Date_VILLAIN_D_03ID	0	Criselda	クリセルダ	さあ、準備はできたわ。\n早速食事にしましょうか						
Date_VILLAIN_D_03ID	1	Antje	アンチュ	相変わらず、美味しそう						
Date_VILLAIN_D_03ID	2	Criselda	クリセルダ	ふふ、今日はいつもより美味しいはずよ。\n腕によりをかけたからね						
Date_VILLAIN_D_03ID	3	Valeria	ヴァレリア	そうなの？						
Date_VILLAIN_D_03ID	4	Criselda	クリセルダ	ピクニックに誘ったのは私だから。\nゲストを楽しませるのは当然じゃない						
Date_VILLAIN_D_03ID	5	Valeria	ヴァレリア	そういうものなのかしら……						
Date_VILLAIN_D_03ID	6	Criselda	クリセルダ	そういうものよ						
Date_VILLAIN_D_03ID	7	Criselda	クリセルダ	そんなことより、\nこのサンドイッチを食べてみて						
Date_VILLAIN_D_03ID	8	Criselda	クリセルダ	焼きたてのパンに新鮮なレタス、\n昨日から仕込んでいたローストビーフ……						
Date_VILLAIN_D_03ID	9	Criselda	クリセルダ	それとソースのハニーマスタードは\n今朝作った特製よ						
Date_VILLAIN_D_03ID	10	Valeria	ヴァレリア	今朝？\nみんなの朝ご飯を作りながら？						
Date_VILLAIN_D_03ID	11	Criselda	クリセルダ	ええ、そうよ						
Date_VILLAIN_D_03ID	12	Valeria	ヴァレリア	手際がいいのね						
Date_VILLAIN_D_03ID	13	Criselda	クリセルダ	積み重ねの結果よ。\nねえ、アンチュ						
Date_VILLAIN_D_03ID	14	Antje	アンチュ	そう。\nクリセルダは毎日ご飯を作ってくれる						
Date_VILLAIN_D_03ID	15	Antje	アンチュ	そして、私はそれを毎日食べてきた。\n貴方よりもずっと、長くね						
Date_VILLAIN_D_03ID	16	Antje	アンチュ	というか、それだけじゃない。\nこの前、ほつれたボタンを縫ってくれた						
Date_VILLAIN_D_03ID	17	Antje	アンチュ	他にも髪を梳かしてくれたりもするし、\n部屋の掃除もしてくれる						
Date_VILLAIN_D_03ID	18	Antje	アンチュ	全部、私のために						
Date_VILLAIN_D_03ID	19	Valeria	ヴァレリア	そ、そうなのね……						
Date_VILLAIN_D_03ID	20	Antje	アンチュ	とにかく、貴方よりも私のほうが――						
Date_VILLAIN_D_03ID	21	Antje	アンチュ	って、クリセルダ……！\nこれ、美味しい……！						
