file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_VILLAIN_E_01ID	0	Rorona	ロロナ	（今日もいい天気。\n　お客さん、たくさん来るかも！）						
Date_VILLAIN_E_01ID	1	Rorona	ロロナ	よーし、今日も美味しいパイを焼くぞー！						
Date_VILLAIN_E_01ID	2	Rorona	ロロナ	あ、いらっしゃいませー！						
Date_VILLAIN_E_01ID	3	Rorona	ロロナ	（あれ？　アンチュさんだ）						
Date_VILLAIN_E_01ID	4		選択肢	いらっしゃいませ						
Date_VILLAIN_E_01ID	5	Rorona	ロロナ	いらっしゃいませー						
Date_VILLAIN_E_01ID	6	Rorona	ロロナ	空いているお好きな席、どうぞー						
Date_VILLAIN_E_01ID	7	Antje	アンチュ	……食事をしに来たんじゃないわ						
Date_VILLAIN_E_01ID	8		選択肢	どうしましたか？						
Date_VILLAIN_E_01ID	9	Rorona	ロロナ	どうしましたか？\n何か、お困りですか？						
Date_VILLAIN_E_01ID	10	Antje	アンチュ	……						
Date_VILLAIN_E_01ID	11	Rorona	ロロナ	アンチュさん？						
Date_VILLAIN_E_01ID	12	Antje	アンチュ	！　わ、私……？\nど、どうもしないわ						
Date_VILLAIN_E_01ID	13		選択肢	誰か探してるんですか？						
Date_VILLAIN_E_01ID	14	Rorona	ロロナ	アンチュさん、誰か探してるんですか？						
Date_VILLAIN_E_01ID	15	Antje	アンチュ	べ、別に……\n貴方には関係ないでしょ						
Date_VILLAIN_E_01ID	16	Rorona	ロロナ	あの、もしかしたら力になれるかなって						
Date_VILLAIN_E_01ID	17	Antje	アンチュ	……						
Date_VILLAIN_E_01ID	18	Rorona	ロロナ	ア、アンチュさん……？\nあれれ……						
Date_VILLAIN_E_01ID	19	Rorona	ロロナ	（アンチュさん、\n　お話したくないのかな……\n　無理に話しかけるのは、ダメだよね）						
Date_VILLAIN_E_01ID	20	AONA	アオナ	せっかく来たけれど、レスナ、いないね						
Date_VILLAIN_E_01ID	21	MURASAKI	ムラサキ	そんな都合よく会えるなんてこと\nあるわけないよ						
Date_VILLAIN_E_01ID	22	RUAKKA	ルアッカ	アンチュが探してるってのによぉ……\nレスナのやつ、どーこいっちまったんだぁ？						
Date_VILLAIN_E_01ID	23	YELLO	イェーロ	キット、レスナハ　忙シイノヨ。\n仕方ナイワ						
Date_VILLAIN_E_01ID	24	Rorona	ロロナ	（わ、わぁ……！）						
Date_VILLAIN_E_01ID	25	Antje	アンチュ	……何？						
Date_VILLAIN_E_01ID	26		選択肢	かわいい！						
Date_VILLAIN_E_01ID	27	Rorona	ロロナ	かわいい！						
Date_VILLAIN_E_01ID	28	RUAKKA	ルアッカ	なんだぁ！？\nそれってオラたちのことか！？						
Date_VILLAIN_E_01ID	29	Rorona	ロロナ	うん！　おしゃべりするみんな、\nすっごーくかわいい！						
Date_VILLAIN_E_01ID	30		選択肢	すごい！						
Date_VILLAIN_E_01ID	31	Rorona	ロロナ	すごい、すごーい！						
Date_VILLAIN_E_01ID	32	Antje	アンチュ	な、何よ、急に						
Date_VILLAIN_E_01ID	33	Rorona	ロロナ	みんな仲良くおしゃべりしてる！\nすごーい！						
Date_VILLAIN_E_01ID	34	MURASAKI	ムラサキ	何当たり前のこと言ってるんだろう。\n別にすごくないのにね						
Date_VILLAIN_E_01ID	35		選択肢	お人形さんたちも、いらっしゃいませ！						
Date_VILLAIN_E_01ID	36	Rorona	ロロナ	お人形さんたちも、いらっしゃいませ！						
Date_VILLAIN_E_01ID	37	AONA	アオナ	ア、アオナたちにも挨拶してくれるの？						
Date_VILLAIN_E_01ID	38	YELLO	イェーロ	ナンダカ　嬉シイワネ						
Date_VILLAIN_E_01ID	39	Rorona	ロロナ	アンチュさんのお人形も、\nおしゃべりするんだね						
Date_VILLAIN_E_01ID	40	Antje	アンチュ	……も？						
Date_VILLAIN_E_01ID	41	Rorona	ロロナ	うん。わたしの友達の、りおちゃんにも、\nホロくんとラニャちゃんっていう\nお人形のお友達がいるんです						
Date_VILLAIN_E_01ID	42	Antje	アンチュ	……へぇ						
Date_VILLAIN_E_01ID	43	Rorona	ロロナ	みんなの名前はなんていうんですか？						
Date_VILLAIN_E_01ID	44	YELLO	イェーロ	黄色ノ私ガ　イェーロ。\n紫ノ兎ガ　ムラサキ。青イ猫ガ　アオナ。\n赤クテ好戦的ナノガ、ルアッカ　ヨ						
Date_VILLAIN_E_01ID	45	Rorona	ロロナ	わたしはロロナです！　えーっと、\nイエちゃん、サキくん、アオちゃん、\nルアくん！　よろしくね！						
Date_VILLAIN_E_01ID	46	AONA	アオナ	よろしく、ロロナ						
Date_VILLAIN_E_01ID	47	Yksel	イクセル	ロロナ―！　パイの注文入ったぜ！						
Date_VILLAIN_E_01ID	48	Rorona	ロロナ	は、はーい！						
Date_VILLAIN_E_01ID	49	Antje	アンチュ	……お邪魔したわ						
Date_VILLAIN_E_01ID	50	Rorona	ロロナ	あ、アンチュさん！						
Date_VILLAIN_E_01ID	51		選択肢	またお話ししたいです！						
Date_VILLAIN_E_01ID	52	Rorona	ロロナ	またお話ししたいです！						
Date_VILLAIN_E_01ID	53	Antje	アンチュ	気が向いたらね……						
Date_VILLAIN_E_01ID	54	AONA	アオナ	またね、ロロナ						
Date_VILLAIN_E_01ID	55		選択肢	パイ、食べていきませんか？						
Date_VILLAIN_E_01ID	56	Rorona	ロロナ	パイ、食べていきませんか？						
Date_VILLAIN_E_01ID	57	Antje	アンチュ	たった今、他の客から注文入ったじゃない。\nそっちに集中しなさいよ						
Date_VILLAIN_E_01ID	58	MURASAKI	ムラサキ	パイは嫌いじゃないんだけどね。\nまた誘ってくれるようなら、食べるよ						
Date_VILLAIN_E_01ID	59		選択肢	またのお越しをお待ちしてます						
