file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
Date_VILLAIN_F_01ID	0	Logy	ロジー	（元極夜の錬金党の一員、ワルター……）						
Date_VILLAIN_F_01ID	1	Logy	ロジー	（その研究者としての腕を買われ、\n　王国に利のある研究のためであれば一定の\n　監視下において行動を許されている）						
Date_VILLAIN_F_01ID	2	Logy	ロジー	（その監視役の依頼が俺のもとにも\n　舞い込んできた。\n　最初は断ろうかと思ったが……）						
Date_VILLAIN_F_01ID	3	Logy	ロジー	（あの頂獣ウェルテックスを素材に\n　人造頂獣を生み出した人物だ）						
Date_VILLAIN_F_01ID	4	Logy	ロジー	（そばにいれば、俺が調べている\n　頂獣そのものについてもより理解が\n　深まるかもしれない……）						
Date_VILLAIN_F_01ID	5	Logy	ロジー	（そう思い、監視役を引き受けることに\n　した。そろそろ手続きが終わって\n　城から出てくるはずだが……）						
Date_VILLAIN_F_01ID	6	Walther	ワルター	……おや。推察するに、あなたが今日の\n監視役、ですか						
Date_VILLAIN_F_01ID	7	Logy	ロジー	（さて……相手は要注意人物だ。\n　どこまで自分の素性を明かしたものか）						
Date_VILLAIN_F_01ID	8		選択肢	名乗るだけに留める						
Date_VILLAIN_F_01ID	9	Logy	ロジー	俺はロジーだ。よろしくな						
Date_VILLAIN_F_01ID	10	Walther	ワルター	私はワルターと申します。\n以後お見知りおきを						
Date_VILLAIN_F_01ID	11	Walther	ワルター	ところで、そのお名前……\nもしかして異邦人の方ではないですか？						
Date_VILLAIN_F_01ID	12	Logy	ロジー	！　ああ、そうだ						
Date_VILLAIN_F_01ID	13	Logy	ロジー	（知っていたのか……油断ならないな）						
Date_VILLAIN_F_01ID	14		選択肢	監視役であると肯定する						
Date_VILLAIN_F_01ID	15	Logy	ロジー	そうだ。お前の監視役を任されている						
Date_VILLAIN_F_01ID	16	Walther	ワルター	ご存じかとは思いますが、\n私はワルター・マン						
Date_VILLAIN_F_01ID	17	Walther	ワルター	ところで……その出で立ち。\n錬金術士はおやめになったのですか？\nロジー殿						
Date_VILLAIN_F_01ID	18	Logy	ロジー	！　俺のことを知っているのか						
Date_VILLAIN_F_01ID	19	Walther	ワルター	はい。異邦人の情報はある程度聞き及んで\nいますので、もしかして、と						
Date_VILLAIN_F_01ID	20	Logy	ロジー	（研究者なだけある。情報集めと推測は\n　お手の物というわけか）						
Date_VILLAIN_F_01ID	21		選択肢	異邦人であることまで明かす						
Date_VILLAIN_F_01ID	22	Logy	ロジー	俺はロジー。別の世界から来た錬金術士だ。\n異邦人なんて呼ばれているな						
Date_VILLAIN_F_01ID	23	Walther	ワルター	私はワルター・マン。\nこの世界の錬金術士です						
Date_VILLAIN_F_01ID	24	Walther	ワルター	あなたのお噂はかねがね。\nお会いできて光栄です、ふふふ						
Date_VILLAIN_F_01ID	25	Logy	ロジー	（……この様子、一目見た時から\n　俺のことは分かっていたんだろう。\n　油断は禁物だ）						
Date_VILLAIN_F_01ID	26	Logy	ロジー	改めてだが、俺は今王国騎士に協力を\nしている。この出で立ちはその証だ						
Date_VILLAIN_F_01ID	27	Logy	ロジー	俺がお前の監視をすることになったのも\nその延長線上だが、引き受けた以上\n手を抜くつもりはない						
Date_VILLAIN_F_01ID	28	Walther	ワルター	私としても研究ができないのは困ります。\n逆らうことはしません						
