romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Lydie	リディー	スーちゃん！　見てあれ！	Lydie	Sue! Look over there!	莉迪	小苏！快看那个！	莉迪	小蘇！妳看那個！
Suelle	スール	"うわー、すごい！
これがハイネライトの光ってやつ！？"	Suelle	Whoa! Is that light coming from the hainlight?	苏瑞	"哇，好厉害！
这就是海涅之光吗？！"	蘇瑞	"哇～太驚人了！
這就是海涅之光的光芒嗎！？"
Flocke	フロッケ	わあ……どこを見ても光っていますね！	Flocke	Oh wow... There are glowing spots everywhere!	芙洛可	哇……四面八方都在发光呢！	芙洛可	哇……四周都閃閃發光呢！
Heidi	ハイディ	"絶景ってやつだね！　こんな景色、
私たち以外は誰も見たことないんじゃない？"	Heidi	This is such a gorgeous scene! Do you think that maybe we're the only people who've ever seen it?	海蒂	"这就是极致美景吧！
除了我们之外应该没人看过这一幕吧？"	海蒂	"太壯觀了！
除了我們之外，應該沒人見過這種光景吧？"
Suelle	スール	"……はっ！？　いけない、
あまりに幻想的で、つい目的を忘れるところだった！"	Suelle	Wh-Whoa! For a second, I was totally lost in this fabulous sight! That's no good, that's not what we came here for!	苏瑞	"……啊？！不好，
这场景太梦幻，看得差点忘了本来的目的！"	蘇瑞	"……啊！？糟糕，這景色太過夢幻，
我差點就把目的給忘了！"
Lydie	リディー	急いで石を集めよう、スーちゃん！	Lydie	Let's hurry and gather those stones, Sue!	莉迪	快去收集石头吧，小苏！	莉迪	快來蒐集礦石吧，小蘇！
Flocke	フロッケ	暗いからみんな気を付けてください！	Flocke	It's dark, so watch your step, everyone!	芙洛可	这里很暗，大家小心点！	芙洛可	周遭很暗，請大家小心！
Suelle	スール	"リディーのほうはどんな感じ？
あたしはすごいでっかいの見つけたよ。ほら！"	Suelle	How are things on your end, Lydie? I found a super big one! Here, look!	苏瑞	"莉迪那边怎么样？
我找到了好大一块，看！"	蘇瑞	"莉迪妳那邊情況如何？
我找到了很大顆的礦石喔，妳看！"
Lydie	リディー	走ると危ないよ、スーちゃん！	Lydie	Don't run, Sue! You'll trip!	莉迪	别跑那么快，注意安全，小苏！	莉迪	小蘇不要跑，太危險了！
Suelle	スール	大丈夫だって！	Suelle	Don't worry, I'm fine!	苏瑞	没事的啦！	蘇瑞	放心啦！
Suelle	スール	わわっ	Suelle	Wh-Whoops!	苏瑞	哇啊！	蘇瑞	哇啊！
Lydie	リディー	スーちゃん！　言ったそばから……	Lydie	Sue! Honestly, what did I just say?	莉迪	小苏！我话刚说完你就这样……	莉迪	小蘇！我不是才提醒過你……
Suelle	スール	いやあ。あたしとしたことが、失敗……	Suelle	Goodness, I can't believe I slipped like that.	苏瑞	哎呀，我居然摔跤了……	蘇瑞	哎呀，是我大意了……
Lydie	リディー	ス、スーちゃん……！	Lydie	S-Sue!	莉迪	小、小苏……！	莉迪	小、小蘇……！
Valeria	ヴァレリア	スー！	Valeria	Watch out!	瓦莱莉娅	苏！	瓦萊莉婭	蘇！
Suelle	スール	へ？	Suelle	Huh?	苏瑞	啊？	蘇瑞	咦？
Lydie	リディー	やぁぁぁっ！	Lydie	Yaaaaaah!	莉迪	不要啊——！！	莉迪	呀啊啊啊！
Suelle	スール	お、おわぁぁぁぁっ！？	Suelle	Wh-Whoaaaaaa!	苏瑞	哇啊啊啊啊？！	蘇瑞	嗚、嗚哇啊啊啊啊！？
Valeria	ヴァレリア	"二人とも、下がって！
魔物は私がどうにかするから！"	Valeria	Get back, you two! I'll handle this monster!	瓦莱莉娅	"你们两个退后！
我会处理魔物的！"	瓦萊莉婭	"妳們兩個退下！
魔物交給我來解決！"
Lydie	リディー	"ヴァレリアさん、ありがとうございます。
だけど……スーちゃん！"	Lydie	Thank you Valeria, but... Sue!	莉迪	"瓦莱莉娅小姐，谢谢你。
但是……小苏！"	莉迪	"瓦萊莉婭小姐，謝謝妳。
可是……小蘇！"
Suelle	スール	"うん！　魔物なんかに、邪魔されてたまるかっての！
てやーーっ！"	Suelle	Right! We're not going to let that beast get in our way! Taaake that!	苏瑞	"嗯！我才不会让魔物来碍事呢！
喝！"	蘇瑞	"嗯！怎麼可以被區區魔物阻撓！
看我的──！"
Lydie	リディー	こ、怖いことは怖いけど……やぁぁぁっ！	Lydie	I-I'm a little scared, but... Raaaaaah!	莉迪	虽、虽然很害怕……但是……呀——！	莉迪	雖、雖然很可怕……喝啊啊啊！
Suelle	スール	こちとら錬金術士ーーーーっ！	Suelle	We'll show you what alchemists can doooooo!	苏瑞	我好歹也是炼金术士——！	蘇瑞	我可是鍊金術士────！
Valeria	ヴァレリア	"へえ、いい動き！
なかなかやるじゃない！"	Valeria	Hey, not bad! You guys have some skill!	瓦莱莉娅	"哦，干得不错！
你们还挺行的嘛！"	瓦萊莉婭	"哦，動作真俐落！
身手挺不錯的嘛！"
Valeria	ヴァレリア	それじゃ、私も――はぁぁぁっ！	Valeria	Now it's my turn! Yaaaaaah!	瓦莱莉娅	那我也来——哈！	瓦萊莉婭	那我也──喝啊啊啊！
Valeria	ヴァレリア	リディー！　スー！　行きましょ！	Valeria	Lydie! Sue! Let's go!	瓦莱莉娅	莉迪、苏！我们上！	瓦萊莉婭	莉迪！蘇！我們上！
Lydie	リディー	はいっ！	Lydie	Okay!	莉迪	好！	莉迪	好！
Suelle	スール	お任せっ！	Suelle	We've got this!	苏瑞	交给我吧！	蘇瑞	包在我身上！
