file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
LegendEvent_02_001ID	0	Empel	アンペル	（誰にでも忘れたい記憶がある）	Empel	(Everyone has things they would rather forget.)	安佩尔	（任谁都有想要忘却的回忆。）	安佩爾	（每個人都有想要忘掉的記憶。）
LegendEvent_02_001ID	1	Empel	アンペル	（決して忘れてはならない記憶も）	Empel	(As well as memories they want to hold onto as long as possible.)	安佩尔	（也有绝对不能忘却的回忆。）	安佩爾	（也有絕對不能忘掉的記憶。）
LegendEvent_02_001ID	2	Ryza	ライザ	うん。じゃ……門を閉じるね	Ryza	Yeah. Okay, I'm going to close the gate.	莱莎	嗯。那么……我要关上门了。	萊莎	嗯。那……我要關門了喔。
LegendEvent_02_001ID	3	Lent	レント	なんだ！？	Lent	What the...?!	兰托	怎么回事？！	蘭托	這是怎麼回事！？
LegendEvent_02_001ID	4	Tao	タオ	門の向こうから魔物が……！	Tao	There are more monsters coming this way!	塔奥	从门里面钻出了魔物……！	塔奧	魔物從門的另一邊……！
LegendEvent_02_001ID	5	Lila	リラ	門を閉じさせないつもりか！	Lila	What, so they think they can stop us from closing it?	莉拉	是不想让我们关上门吗？！	莉拉	打算阻止我們關門嗎？！
LegendEvent_02_001ID	6	Empel	アンペル	させるか！	Empel	Just try it!	安佩尔	休想得逞！	安佩爾	別想得逞！
LegendEvent_02_001ID	7	Empel	アンペル	う、おおおおおおっ！	Empel	Ngh... Haaaaaah!	安佩尔	唔——哦哦哦哦哦哦！	安佩爾	喝、喝啊啊啊啊啊！
LegendEvent_02_001ID	8	Ryza	ライザ	アンペルさん！　大丈夫！？	Ryza	Empel! Are you all right?!	莱莎	安佩尔先生！你没事吧？！	萊莎	安佩爾先生！沒事吧！？
LegendEvent_02_001ID	9	Empel	アンペル	心配いらん！	Empel	Don't worry about me!	安佩尔	不用担心！	安佩爾	不用擔心我！
LegendEvent_02_001ID	10	Empel	アンペル	（分かっているはずだ。私がどうすべきなのかは）	Empel	(I already know what I have to do. At least, I should.)	安佩尔	（我应该明白自己要做什么。）	安佩爾	（我應該很清楚自己該做什麼才對。）
LegendEvent_02_001ID	11	Empel	アンペル	ぐ……！　まだまだ……！	Empel	Khh! This isn't over yet...!	安佩尔	呜……！我要撑住……！	安佩爾	唔……！還沒完呢……！
LegendEvent_02_001ID	12	Empel	アンペル	（思い出せ。この世界での出来事を）	Empel	(Come on, remember! Remember what happened in this world...)	安佩尔	（快想想在这个世界的经历吧。）	安佩爾	（快想起來……快想起在這個世界的各種經歷。）
LegendEvent_02_001ID	13	Empel	アンペル	（本当にかけがえのないものはなんなのかを）	Empel	(And what is truly irreplaceable.)	安佩尔	（想想真正无可替代的究竟是什么。）	安佩爾	（還有真正重要的事物是什麼。）
LegendEvent_02_001ID	14	Empel	アンペル	ようやく人の痕跡を見つけられた。\nどこかしらの街に近づいてきたということか	Empel	Finally, traces of human life. There must be a town or a village nearby.	安佩尔	终于来到有人烟的地方了。\n看来是靠近哪座城镇了吧。	安佩爾	終於發現人類留下的痕跡了。\n也就是說……城鎮大概不遠了吧？
LegendEvent_02_001ID	15	Empel	アンペル	どうやら生き延びることはできそうだ	Empel	At the very least, it looks like I should have no trouble staying alive.	安佩尔	看来是能活下去了。	安佩爾	看來我似乎能活下去了。
LegendEvent_02_001ID	16	Empel	アンペル	（それにしても……私は旅をしていたはず。\n　しかし、このような景色には見覚えがない）	Empel	(That being said... I was supposedly traveling. And yet I don't recognize any of this scenery.)	安佩尔	（不过……我明明是在旅行途中，\n但怎么到了这么个陌生的地方。）	安佩爾	（話說回來……我原本應該在旅行才對。\n　然而，我卻對這種景色毫無印象。）
LegendEvent_02_001ID	17	Empel	アンペル	（眠っている間に何者かに連れ去られたのか？\n　妙なことに巻き込まれたものだ）	Empel	(Did someone drag me away in my sleep? Either way, I seem to be caught up in something rather unusual.)	安佩尔	（我是在睡着的时候被人掳走了吗？\n　看来是碰上了麻烦事啊。）	安佩爾	（難道有人在我睡著時趁機擄走我？\n　所以才會被捲入怪事之中嗎？）
LegendEvent_02_001ID	18	Empel	アンペル	やれやれ……\nひとまず、少し辺りを調べてみるか	Empel	Oh well. I suppose I'll start by taking a look at my surroundings.	安佩尔	唉……\n先调查一下附近吧。	安佩爾	算了……\n來調查一下周遭吧！
LegendEvent_02_001ID	19	Empel Vollmer	アンペル・フォルマー	流浪の錬金術士。ある使命を背負って旅をしている。\n見た目は若いが、不思議な貫禄がある	Empel Vollmer	A wandering alchemist burdened with a particular mission. While he might look young, he has a strangely dignified aura.	安佩尔·沃尔默	浪迹天涯的炼金术士，肩负着某种使命踏上旅途。\n年轻的外表下有着不可思议的威严感。	安佩爾‧沃爾默	流浪的鍊金術士。背負著某個使命踏上旅途。\n擁有年輕的外貌，卻散發出一股不可思議的威嚴。
LegendEvent_02_002ID	0	Empel	アンペル	近くに街があって助かったな。\nここで情報収集をしてみよう	Empel	Thank goodness there was a town nearby. I should be able to get some information here.	安佩尔	还好附近有城镇，\n就在这里收集情报吧。	安佩爾	幸好城鎮就在附近。\n先在這裡收集一些消息好了。
LegendEvent_02_002ID	1	Empel	アンペル	（しかし、この街並みもまったく見覚えがない）	Empel	(The townscape doesn't look at all familiar, though.)	安佩尔	（可我对这座城镇也毫无印象。）	安佩爾	（不過，這景色對我來說相當陌生。）
LegendEvent_02_002ID	2	Empel	アンペル	（規模はロテスヴァッサの王都にも劣らないようだが、\n　そこまで大きな都市が近くにあっただろうか……）	Empel	(It doesn't seem to be much smaller than Roteswasser, but...was there always a city this big around here?)	安佩尔	（城镇规模与罗特斯瓦塞的王都相比也毫不逊色，\n　原来附近有这么大规模的都市吗……）	安佩爾	（規模似乎不亞於羅德士瓦瑟的王都，\n　附近有那麼大的都市嗎……）
LegendEvent_02_002ID	3	Rorona	ロロナ	あのー……	Rorona	Excuse me...	萝乐娜	你好……	蘿樂娜	請問……
LegendEvent_02_002ID	4	Empel	アンペル	ん？　私に何か用か？	Empel	Hm? Can I help you with something?	安佩尔	嗯？找我有什么事吗？	安佩爾	嗯？妳有事情找我嗎？
LegendEvent_02_002ID	5	Rorona	ロロナ	いえ、何か悩んでいるみたいだったので、\nどうしたのかなあって。道に迷っちゃったとか？	Rorona	No, you just looked distressed, so I was wondering why. Are you lost, maybe?	萝乐娜	没有，我只是看你好像面露难色，\n所以想问问你怎么了，是迷路了吗？	蘿樂娜	不，我看你似乎相當煩惱，\n所以有點好奇。莫非你迷路了？
LegendEvent_02_002ID	6	Empel	アンペル	まあ……似たようなものだな。\n初めて来る場所に少し戸惑っていたんだ	Empel	Well... Something like that. It's my first time here, and I'm feeling slightly disoriented.	安佩尔	嗯……差不多可以这么说。\n我第一次来这里，有些摸不着头脑。	安佩爾	嗯……可以這麼說。\n我第一次來這裡，正感到有些困惑。
LegendEvent_02_002ID	7	Rorona	ロロナ	大きな街ですもんね！\n行きたい場所があるなら案内しますよ？	Rorona	It sure is a big town, huh? Is there anywhere you'd like to go? I can lead the way!	萝乐娜	毕竟这个城镇很大嘛！\n如果你有想去的地方，我可以带你去。	蘿樂娜	畢竟這座城鎮很大嘛！\n你打算去哪裡？我可以帶你過去！
LegendEvent_02_002ID	8	Empel	アンペル	ふむ、そうだな。人が多く集まるような場所……\nたとえば酒場のような場所があれば案内してほしい	Empel	Hm, in that case... Someplace where a lot of people gather would be helpful. Perhaps a bar?	安佩尔	嗯，我想想。能告诉我哪里有很多人聚集的地方吗……\n比如酒馆之类的。	安佩爾	嗯，這個嘛。請帶我去人們聚集的地方……\n例如像是酒館之類的場所。
LegendEvent_02_002ID	9	Rorona	ロロナ	でしたら、うちのお店にご案内します！	Rorona	Then I'll take you straight to my cafe!	萝乐娜	那我就带你去我们店里吧！	蘿樂娜	這樣的話，我帶你去我們的店吧！
LegendEvent_02_002ID	10	Empel	アンペル	店？	Empel	Your cafe?	安佩尔	店？	安佩爾	店？
LegendEvent_02_002ID	11	Rorona	ロロナ	はい。すぐそこにあるカフェなんです。\n色んな冒険者の方が集まる場所なんですよ	Rorona	Yup, I work there! It's really close by, and all sorts of adventurers drop in regularly.	萝乐娜	是的，是一家咖啡厅，离这里很近。\n有许多冒险者都会聚集在这里。	蘿樂娜	對，就是附近的咖啡廳。\n很多冒險者會聚在那裡。
LegendEvent_02_002ID	12	Rorona	ロロナ	ただいま戻りましたー	Rorona	Hellooo!	萝乐娜	我回来了——	蘿樂娜	我回來了～
LegendEvent_02_002ID	13	Ryza	ライザ	ロロナおかえりー……って、ええっ！？	Ryza	Oh, Rorona, you're ba—whoa! What?!	莱莎	萝乐娜，你回来啦……咦？！	萊莎	蘿樂娜，歡迎回來……呃，咦！？
LegendEvent_02_002ID	14	Ryza	ライザ	ア、アンペルさん！？	Ryza	Empel?!	莱莎	安、安佩尔先生？！	萊莎	安、安佩爾先生！？
LegendEvent_02_002ID	15	Empel	アンペル	ん……？	Empel	Huh?	安佩尔	嗯……？	安佩爾	嗯……？
LegendEvent_02_002ID	16	Klaudia	クラウディア	お久しぶりです、アンペルさん！	Klaudia	Hello, Empel! It certainly has been a while, hasn't it?	科洛蒂娅	好久不见，安佩尔先生！	科洛蒂婭	安佩爾先生，好久不見！
LegendEvent_02_002ID	17	Lila	リラ	なんだ。お前もこちらに来ていたのか	Lila	What, you're here too?	莉拉	原来你也来到这里了啊。	莉拉	搞什麼，連你也來這裡了啊？
LegendEvent_02_002ID	18	Tao	タオ	何はともあれ、会えてよかった！	Tao	It's so good to see you again!	塔奥	总之能见到你真是太好了！	塔奧	無論如何，能見到你真是太好了！
LegendEvent_02_002ID	19	Lent	レント	これでまた全員集合、だな	Lent	Well, I guess the gang's all here.	兰托	这下大家都到齐了。	蘭托	這樣又全員到齊了呢。
LegendEvent_02_002ID	20	Rorona	ロロナ	ライザさんたちのお知り合いだったんですね！\n再会できてよかったです！	Rorona	Oh, so you're one of Ryza's friends! It's so great that you all managed to meet back up here!	萝乐娜	原来你是莱莎小姐他们的熟人啊！\n能重聚太好了，真为你们高兴！	蘿樂娜	原來你認識萊莎小姐她們呀！\n能重逢真是太好了！
LegendEvent_02_002ID	21	Empel	アンペル	……待ってくれ。お前さんたちは誰なんだ？	Empel	Wait just a moment. Who are all of you?	安佩尔	……等等，你们都是什么人？	安佩爾	……慢著，你們是誰？
LegendEvent_02_002ID	22	Ryza	ライザ	え……？	Ryza	Huh?	莱莎	咦……？	萊莎	咦……？
LegendEvent_02_002ID	23	Empel	アンペル	なぜ私の名前を知っている。\nどこかで会ったことがあったか？	Empel	You seem to know my name for some reason, but have we met before?	安佩尔	你们怎么知道我的名字。\n我在哪里见过你们吗？	安佩爾	為什麼知道我的名字？\n我們曾經見過嗎？
LegendEvent_02_002ID	24	Ryza	ライザ	ちょ、ちょっとアンペルさん。冗談はやめてよ	Ryza	Come on, Empel. Quit pulling our legs, okay?	莱莎	不、不是吧安佩尔先生，别开玩笑啊。	萊莎	等、等一下，安佩爾先生，別開玩笑了。
LegendEvent_02_002ID	25	Lent	レント	冗談にしても面白くないぜ。\n感動の再会だってのに	Lent	Yeah, that's not funny. This is supposed to be a touching reunion!	兰托	这个玩笑一点都不好笑。\n好不容易又见面了，应该是感动的时刻啊。	蘭托	這種玩笑可一點都不有趣。\n久別重逢明明是很感人的事情。
LegendEvent_02_002ID	26	Lila	リラ	それとも、起きたばかりで寝ぼけているのか？	Lila	Unless you just woke up and you're still half-asleep?	莉拉	难道说你刚起来，还没睡醒？	莉拉	是不是因為你剛睡醒，腦袋還不太清楚？
LegendEvent_02_002ID	27	Empel	アンペル	いや、そんなつもりはないんだが……	Empel	No, I don't believe that's the case.	安佩尔	不，并不是那样……	安佩爾	不，應該不是這樣……
LegendEvent_02_002ID	28	Empel	アンペル	悪いが、お前さんたちのことはまったく知らないんだ。\nええと今、彼女が「ライザ」と呼んでいたが……	Empel	"I'm sorry, but I genuinely don't know any of you. Er... I believe that lady mentioned a ""Ryza,"" though?"	安佩尔	不好意思，我对你们全无印象。\n唔，刚才你叫她“莱莎”……	安佩爾	抱歉，我對你們一無所知。\n呃，她剛才提到「萊莎」……
LegendEvent_02_002ID	29	Ryza	ライザ	あたしがライザ！　それにこっちが、クラウディア、\nレント、タオ、リラさん……	Ryza	That's me! I'm Ryza! And this is Klaudia, Lent, Tao, and Lila.	莱莎	我就是莱莎！他们是科洛蒂娅、\n兰托、塔奥、莉拉小姐……	萊莎	我就是萊莎！然後這位是科洛蒂婭、\n蘭托、塔奧、莉拉小姐……
LegendEvent_02_002ID	30	Ryza	ライザ	本当に……分からないの？	Ryza	You really don't remember any of us?	莱莎	你真的……不认识我们？	萊莎	你真的……沒印象嗎？
LegendEvent_02_002ID	31	Empel	アンペル	ああ……	Empel	No, I'm afraid not.	安佩尔	是的……	安佩爾	對……
LegendEvent_02_002ID	32	Lila	リラ	アンペル……お前、まさか記憶がないのか？	Lila	Empel, did you lose your memories?	莉拉	安佩尔……你该不会是失忆了吧？	莉拉	安佩爾……你該不會失憶了吧？
LegendEvent_02_002ID	33	Klaudia	クラウディア	そんな……！	Klaudia	Oh no!	科洛蒂娅	什么……！	科洛蒂婭	怎麼會……！
LegendEvent_02_002ID	34	Empel	アンペル	すまない……少し頭を整理させてくれ	Empel	Sorry, I need a minute to get my thoughts in order.	安佩尔	抱歉……给我点时间梳理一下情况。	安佩爾	抱歉……讓我整理一下思緒。
LegendEvent_02_002ID	35	Ryza	ライザ	アンペルさん……	Ryza	Empel...	莱莎	安佩尔先生……	萊莎	安佩爾先生……
LegendEvent_02_002ID	36	Reisalin Stout	ライザリン・シュタウト	カフェで受付をしている錬金術士。\n明るく行動的で、いつも新しい冒険を探している	Reisalin Stout	An alchemist who works as a hostess at the cafe. She's cheerful and always on the lookout for new adventures.	莱莎琳·斯托特	在咖啡厅接待客人的炼金术士。\n阳光开朗，行动力强，总是在追寻全新的冒险。	萊莎琳‧斯托特	在咖啡廳當櫃檯小姐的鍊金術士。\n開朗積極，總是在尋求全新的冒險。
LegendEvent_02_002ID	37	Klaudia Valentz	クラウディア・バレンツ	商家の一人娘。ライザとは親友同士。\n以前、ライザやアンペルたちと一緒にある冒険をした	Klaudia Valentz	The only daughter of a merchant, and Ryza's close friend. She has gone on adventures with Ryza and Empel in the past.	科洛蒂娅·巴兰茨	商人的独生女，莱莎的好朋友。\n以前曾与莱莎、安佩尔等一行人一起冒险过。	科洛蒂婭‧巴蘭茨	商人家庭的獨生女，和萊莎是好朋友。\n曾和萊莎及安佩爾等人一起冒險。
LegendEvent_02_002ID	38	Lila Decyrus	リラ・ディザイアス	冷静沈着な流浪の戦士。かつてはアンペルと共に\n行動しており、ライザたちの故郷に訪れていた	Lila Decyrus	A cool and collected wandering warrior. She once traveled with Empel to visit Ryza's hometown.	莉拉·德西亚斯	沉着冷静的流浪战士。\n曾与安佩尔一起造访过莱莎等人的故乡。	莉拉‧德西亞斯	冷靜沉著的流浪戰士。曾和安佩爾一同行動，\n造訪了萊莎等人的故鄉。
