file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
SeasonalEvent_009_BTL_001ID	0	Resna	レスナ	ふう、やっとプレゼントが作り終わったー！\n何とかギリギリ星誕祭に間に合ったよ						
SeasonalEvent_009_BTL_001ID	1	Patricia	パトリツィア	お疲れ様です、レスナさん。\nあとは星誕祭当日に、皆さんに届けるだけですね						
SeasonalEvent_009_BTL_001ID	2	Resna	レスナ	はい！　パトリツィアさんもお手伝い\nありがとうございました！						
SeasonalEvent_009_BTL_001ID	3	Juna	ユナ	レスナ、大丈夫か？\nプレゼント作りが難航していると聞いたが……						
SeasonalEvent_009_BTL_001ID	4	Resna	レスナ	ユナさん！　大丈夫です！\nつい先程作り終えたところでして						
SeasonalEvent_009_BTL_001ID	5	Juna	ユナ	それは良かった。何か手伝えることはあるか？						
SeasonalEvent_009_BTL_001ID	6	Resna	レスナ	でしたら、これからプレゼントを配りに行くのですが、\nそれを手伝っていただけないでしょうか！						
SeasonalEvent_009_BTL_001ID	7	Juna	ユナ	もちろん構わないぞ。それで、プレゼントはどこに？						
SeasonalEvent_009_BTL_001ID	8	Patricia	パトリツィア	ひとまずフリーゲンまで来ていただけますか？\n作ったプレゼントを倉庫にしまっていますので						
SeasonalEvent_009_BTL_001ID	9	Juna	ユナ	了解した						
SeasonalEvent_009_BTL_001ID	10	Juna	ユナ	それで、運ばなければならないプレゼントは\nどのくらいあるんだ？						
SeasonalEvent_009_BTL_001ID	11	Patricia	パトリツィア	実は、街の人々に配るプレゼントは\n既にあらかた各街まで運び終えているんです						
SeasonalEvent_009_BTL_001ID	12	Resna	レスナ	私達の旅の仲間や異邦人の方へのプレゼントだけ\nまだ残ってまして。それをこれから配りに行ければなと						
SeasonalEvent_009_BTL_001ID	13	Izana	イザナ	あ、レスナちゃんたち！　大変たいへーん！！！						
SeasonalEvent_009_BTL_001ID	14	Resna	レスナ	どうしたの？　そんなに慌てて						
SeasonalEvent_009_BTL_001ID	15	Izana	イザナ	プレゼントをしまってた倉庫に\n大量の魔物が押し寄せて来たんだよ！						
SeasonalEvent_009_BTL_001ID	16	Juna	ユナ	何だと！？　被害の状況は？						
SeasonalEvent_009_BTL_001ID	17	Izana	イザナ	急いで追い払ったから怪我人はいなかったんだけど、\nその……						
SeasonalEvent_009_BTL_001ID	18	Izana	イザナ	みんなの分のプレゼントが\n全部持って行かれちゃったんだ！						
SeasonalEvent_009_BTL_001ID	19	Resna	レスナ	え……全部？　あんなに頑張って作った物が、\n全部……？						
SeasonalEvent_009_BTL_001ID	20	Patricia	パトリツィア	プレゼントにはお菓子もあったので、\nその匂いに釣られて来てしまったのでしょうか						
SeasonalEvent_009_BTL_001ID	21	Juna	ユナ	しかし、これでは星誕祭のプレゼントが……。\nどうすれば……						
SeasonalEvent_009_BTL_001ID	22	???	？？？	催し物にすればいいのさ！						
SeasonalEvent_009_BTL_001ID	23	Juna	ユナ	はっ！？　リヒャルト殿下！？						
SeasonalEvent_009_BTL_001ID	24	Roman	ロマン	聖誕祭特別企画！\nフリーゲン周辺の魔物をみんなで倒そう！						
SeasonalEvent_009_BTL_001ID	25	Roman	ロマン	魔物はプレゼントを持っている。倒した魔物が落とした\nプレゼントは、倒した人の物になるよ！						
SeasonalEvent_009_BTL_001ID	26	Roman	ロマン	さあ、早い者勝ちだ！　急いで参加しよう！						
SeasonalEvent_009_BTL_001ID	27	Roman	ロマン	……ってね						
SeasonalEvent_009_BTL_001ID	28	Juna	ユナ	なるほど……さすが殿下です。\nそのようなことは思いつきもしませんでした						
SeasonalEvent_009_BTL_001ID	29	Roman	ロマン	何事も楽しまないとね。\nそれがたとえ逆境だったとしても						
SeasonalEvent_009_BTL_001ID	30	Roman	ロマン	さ、こうしちゃいられないよ。\n急いで皆にこのことを告知しないと！						
SeasonalEvent_009_BTL_001ID	31	Juna	ユナ	了解しました！						
