romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Eren	エレン	はああああああああっ！！！	Eren	Haaah!	艾莲	喝啊啊啊啊啊啊啊啊！！！	艾蓮	喝啊啊啊啊啊啊啊啊！！！
Rorona	ロロナ	…………	Rorona	...	萝乐娜	……	蘿樂娜	…………
Eren	エレン	先輩……	Eren	Rorona...	艾莲	前辈……	艾蓮	學姐……
Rorona	ロロナ	"ご、ごめんね。エレンちゃんが、
どうしても心配で……"	Rorona	I-I'm sorry, I was worried about you, so I...	萝乐娜	"对、对不起。
因为我实在不放心你……"	蘿樂娜	對、對不起，因為我實在太擔心妳了……
Eren	エレン	っ……	Eren	...	艾莲	……	艾蓮	……！
	住民Ａ	なに、あの人……	Citizen A	Just what IS she...?	居民A	她是什么人……	居民A	那個人是怎麼回事……
	住民Ｂ	魔物をあっという間に……	Citizen B	She got rid of those monsters in the blink of an eye...	居民B	居然一瞬间就把魔物给……	居民B	一瞬間就把魔物給……
	住民Ａ	ひいっ！	Citizen A	Eeek!	居民A	咦！	居民A	噫！
Eren	エレン	"（……もう、終わりだ。
　先輩にも知られてしまった）"	Eren	(There's no going back now. She knows.)	艾莲	（……完了。被前辈知道了。）	艾蓮	（……全都完了。連學姐都知道了。）
Eren	エレン	（やはり、私は……）	Eren	(Still, I...)	艾莲	（果然，我……）	艾蓮	（我果然……）
Rorona	ロロナ	――エレンちゃん！	Rorona	Eren!	萝乐娜	——艾莲！	蘿樂娜	──艾蓮！
