file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
SeasonalTalkEvent_006_001ID	0	Heidi	ハイディ	温泉に行きたい！	Heidi	Man, I'd love a dip in a hot spring!	海蒂	我想去泡温泉！	海蒂	好想去泡溫泉！
SeasonalTalkEvent_006_001ID	1	Flocke	フロッケ	温泉……ですか？	Flocke	Did you say hot spring?	芙洛可	温泉……？	芙洛可	溫泉……嗎？
SeasonalTalkEvent_006_001ID	2	Valeria	ヴァレリア	どうしたの、いきなり？	Valeria	Where'd that come from?	瓦莱莉娅	怎么突然提起这个？	瓦萊莉婭	怎麼這麼突然？
SeasonalTalkEvent_006_001ID	3	Heidi	ハイディ	いきなりじゃないよ。みんなだって疲れてるでしょ？	Heidi	You know exactly where it came from! Aren't you all beat?	海蒂	不突然啊。大家也都已经很疲惫了吧？	海蒂	才沒有很突然呢。大家應該都很累了吧？
SeasonalTalkEvent_006_001ID	4	Heidi	ハイディ	ウェルテックスが現れてから、\nずーっと戦ってばかりだったんだからさ	Heidi	Ever since Weltex showed up, we've been doing nothing but fighting, brawling, and more fighting!	海蒂	自从威尔特克斯出现后，\n我们一直都在战斗。	海蒂	自從威爾特庫斯現身之後，\n我們就一直打個不停。
SeasonalTalkEvent_006_001ID	5	Resna	レスナ	確かに、疲労がたまっている気がしますね	Resna	That's true enough. I can't say I'm not starting to feel the fatigue...	蕾斯娜	是啊，艰苦战斗那么久，疲劳也越积越多。	蕾斯娜	的確，感覺累積了不少疲勞。
SeasonalTalkEvent_006_001ID	6	Heidi	ハイディ	だからさ、温泉に行こう！\nシュネール州の温泉が忘れられないんだよ	Heidi	Which is exactly why we need to go for a soak! Seriously, I've been thinking about the one we went to in Schnell this whole time.	海蒂	所以我们去泡温泉吧！\n我一直对施内尔州的温泉念念不忘。	海蒂	所以，我們去泡溫泉吧！\n雪內爾州的溫泉真的讓我很難忘。
SeasonalTalkEvent_006_001ID	7	Valeria	ヴァレリア	あれは気持ち良かったわね	Valeria	Yeah, that felt really nice.	瓦莱莉娅	那次确实泡得好舒服。	瓦萊莉婭	那個真的很舒服。
SeasonalTalkEvent_006_001ID	8	Heidi	ハイディ	でしょ！　今こそ浸かって疲れを取りたい！\nそんな年頃なのよ	Heidi	Right?! Don't you just want to go soak all our weariness away? All the cool people are doing it.	海蒂	你也这么觉得吧！我现在就想再去泡一泡消除疲劳！\n我已经到这种年纪了。	海蒂	對啊！現在正是去泡一泡舒緩疲勞的時候！\n我已經到這種年紀了呢。
SeasonalTalkEvent_006_001ID	9	Izana	イザナ	いいねー！　アタシものんびりしたーい！	Izana	That sounds great! I want to relax with you too!	伊札娜	好主意——！我也想休闲一下——！	伊札娜	不錯耶！我也想放鬆一下～！
SeasonalTalkEvent_006_001ID	10	Klaudia	クラウディア	皆さん、どこかへ行くんですか？	Klaudia	Where are you all off to?	科洛蒂娅	你们是准备出门吗？	科洛蒂婭	大家要去哪裡呢？
SeasonalTalkEvent_006_001ID	11	Resna	レスナ	クラウディアさん、こんにちは！\nお仕事ですか？	Resna	Hello, Klaudia! Are you here for work?	蕾斯娜	科洛蒂娅小姐，你好！\n你在忙工作吗？	蕾斯娜	妳好，科洛蒂婭小姐！\n妳來這裡工作嗎？
