romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Resna	レスナ	かき氷用の素材、補充してきました！	Resna	We're all restocked with everything we need for shaved ice!	蕾斯娜	刨冰的素材补充完了哦！	蕾斯娜	補充好刨冰用的素材了！
Resna	レスナ	わぁ、すごい行列……！	Resna	Oh my goodness... Look at all of those customers!	蕾斯娜	哇，好多人排队……！	蕾斯娜	哇，大排長龍耶……！
Klaudia	クラウディア	屋台のおかげで、ますますお客さんが増えたんです	Klaudia	Now that we have a stall, we're getting even more popular!	科洛蒂娅	建好小摊后，来买东西的顾客更多了。	科洛蒂婭	拜攤位所賜，上門的客人越來越多了呢。
Ryza	ライザ	そろそろあたしたちの接客だけじゃ間に合わないかも	Ryza	Pretty soon we're going to need more servers! We won't be enough!	莱莎	光靠我们来接待，人手可能不太够。	萊莎	只靠我們幾個接待客人，好像快要應付不過來了。
Ryza	ライザ	そうだ、レスナもここに立ってみる？	Ryza	Hey, Resna! Could you come here and help out?	莱莎	对了，蕾斯娜你也来试试？	萊莎	對了，蕾斯娜要不要也站在這裡看看？
Resna	レスナ	ええっ、私がですか！？	Resna	What?! M-Me?!	蕾斯娜	什么，我吗？！	蕾斯娜	什麼，我嗎！？
Resna	レスナ	"（うう、自信ないけど、
　皆さんの力にはなりたい……！）"	Resna	(Oh no, I'm so nervous... But I have to come through for everyone!)	蕾斯娜	"（呜，我对接待工作没什么信心，
　但是我想帮大家分担压力……！）"	蕾斯娜	"（唔唔，雖然沒有自信，
　但我想要幫上大家的忙……！）"
Resna	レスナ	いらっしゃいませ、海の家へようこそー！	Resna	Welcome to our beach house!	蕾斯娜	欢迎光临海边小屋～！	蕾斯娜	歡迎光臨海之家～！
	客A	かき氷を注文したいんだけど……	Customer A	Hey, shaved ice sounds pretty good.	客人A	我想要个刨冰……	顧客A	我想要點刨冰……
Resna	レスナ	"はい、ありがとうございます！
シロップはいかがいたしますか？"	Resna	Yes, great choice! What kind of syrup would you like?	蕾斯娜	"好的，谢谢惠顾！
您想要配哪种糖浆呢？"	蕾斯娜	"好的，感謝您！
糖漿要選哪一種的呢？"
	客A	"うーん、色々あって迷うなあ。
お姉さんのおすすめとかある？"	Customer A	Hmm, that's tough. There are a bunch of flavors... Which one is your favorite?	客人A	"唔，种类好多啊。
小姐姐你有什么推荐吗？"	顧客A	"唔～種類好多，不知道要挑哪種耶。
小姐有推薦的嗎？"
