romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Heidi	ハイディ	お、あんたはあのときの	Heidi	Oh, hey, you're that girl I met earlier.	海蒂	啊，你是那时候的……	海蒂	啊，妳是那時候的……
Resna	レスナ	こんにちは。フロッケさんの荷物は大丈夫でした？	Resna	Hello there. Did you get Flocke's bag to her safely?	蕾斯娜	你好。芙洛可小姐的失物交给她了吗？	蕾斯娜	妳好，東西有順利交給芙洛可小姐了嗎？
Heidi	ハイディ	バッチリ。すごく感謝してたよ	Heidi	Sure did. She was really grateful.	海蒂	顺利转交啦。她很感谢你。	海蒂	順利轉交啦，她很感謝妳喔。
Resna	レスナ	ふふ、それならよかったです！	Resna	Oh good. Haha! That's a relief!	蕾斯娜	呵呵，那太好了！	蕾斯娜	呵呵，那真是太好了！
Resna	レスナ	"そうだ、もしご存じだったら
教えていただきたいのですが……"	Resna	By the way, I don't know if you would know, but...	蕾斯娜	"对了，我想打听一件事，
你要是知道些什么的话，希望你能告诉我……"	蕾斯娜	"對了，我想打聽一件事，
要是妳知道些什麼，希望妳能告訴我……"
Resna	レスナ	アラルさんって作家の方を知らないでしょうか？	Resna	Have you ever heard of an author named Allar?	蕾斯娜	你听没听说过一个叫阿拉尔的作家？	蕾斯娜	請問妳認不認識一位叫亞拉爾的作家呢？
Heidi	ハイディ	アラル……聞いたことないねえ	Heidi	Allar? Sorry, doesn't ring a bell.	海蒂	阿拉尔……没听说过。	海蒂	亞拉爾……我沒聽過哦。
Resna	レスナ	そうですか……	Resna	Oh...	蕾斯娜	这样……	蕾斯娜	這樣啊……
Heidi	ハイディ	悪いね、力になれなくて	Heidi	Sorry I couldn't help.	海蒂	抱歉啊，没帮上你的忙。	海蒂	抱歉啊，沒能幫上妳的忙。
Resna	レスナ	"いえ、ありがとうございました！
別の場所をあたってみます！"	Resna	Oh, not at all. Thank you! I'll go ask somewhere else!	蕾斯娜	"不会，还是谢谢你！
我再去其他地方问问！"	蕾斯娜	"沒關係，還是很謝謝妳！
我再去別的地方問問！"
