romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Valeria	ヴァレリア	"へえ……それじゃあ、レスナたちは別の村から
王都に来たのね。どんなとこ？"	Valeria	Huh... So, you moved to the capital from another village. What's your hometown like?	瓦莱莉娅	"哦……蕾斯娜你们是从其他的村子来到王都的啊。
你们的故乡是个什么样的地方？"	瓦萊莉婭	"哦……所以蕾斯娜妳們是從其他的村子來到王都的啊。
妳們的故鄉是什麼樣的地方？"
Resna	レスナ	"なんにもない村ですよ。山の中で、森しかなくて
この洞窟から、わりと近いです"	Resna	There's not much to tell. It's in the mountains, and it's got nothing but trees. It's not too far from this cave, actually.	蕾斯娜	"那是个什么都没有的小村子。坐落在大山里，
除了森林什么也看不见。那里离这个洞窟不算很远。"	蕾斯娜	是個坐落於深山的小村莊，那裡除了森林以外什麼都沒有。這個洞窟還算滿近的。
Valeria	ヴァレリア	"そういう場所も楽しそうじゃない。
なんか、美味しいご飯もありそうだし"	Valeria	That doesn't sound too bad. I'll bet the food's really good.	瓦莱莉娅	"听起来就是个有趣的地方！
总觉得在那里能吃到美味的饭菜……"	瓦萊莉婭	"那樣的地方聽起來也不錯啊，
感覺會有很好吃的飯菜。"
Izana	イザナ	"王都のほうが美味しいものばっかりじゃない？
カフェの料理とか毎日食べたいもん！"	Izana	No way! The capital's got way better stuff! I'd eat at the cafe every day if I could!	伊札娜	"王都的美食才是多得数不清吧！
我真想每天都吃到咖啡厅的料理！"	伊札娜	"王都才遍地都是美食吧？
我每天都想吃咖啡廳的那種料理！"
Valeria	ヴァレリア	"ちゃんとした場所で食べればね。
王都でも貧乏人は毎日ありもので我慢よ"	Valeria	They're great if you've got the means. Even in the capital, if you're poor, you have to make do with what you have.	瓦莱莉娅	"前提是在像样的餐馆吃啊。
即使是在王都，穷人们平时也只能弄到什么吃什么。"	瓦萊莉婭	"前提是得在像樣的地方吃飯吧。
就算在王都，窮人每天也只能湊合著吃而已。"
Valeria	ヴァレリア	"見たでしょ、海沿いの区域。
王都でもあっちのほうはあんまり華やかじゃないのよ"	Valeria	You've seen the docks, right? It might be in the capital, but it's not exactly what you'd call fancy.	瓦莱莉娅	"你们也见过沿海地区的样子吧。
虽然也在王都，但那里可称不上繁华。"	瓦萊莉婭	"你們應該有見過沿海地區的樣子吧。
那裡也在王都，但生活環境可稱不上繁華。"
Resna	レスナ	そうなんですね……	Resna	I guess so...	蕾斯娜	确、确实是这样……	蕾斯娜	確實是這樣……
Valeria	ヴァレリア	"華やかじゃないけど、いっつも賑やかなの。
出店の声も絶えないし、道端には酔っ払いが転がってる"	Valeria	It's not the nicest place, but it's always lively. Like, all the vendors calling out noon and night or the drunks that have stumbled by the roadside.	瓦莱莉娅	"不过那里虽然不繁华，但总是一副热热闹闹的样子。
小摊的叫卖声从不间断，还能看到酒鬼醉倒在路边。"	瓦萊莉婭	"不過，那裡雖不繁華，但總是熱熱鬧鬧的。
攤販的叫賣聲不絕於耳，還能見到醉漢倒在路邊。"
Valeria	ヴァレリア	だから毎日飽きない	Valeria	I'll never get tired of it.	瓦莱莉娅	所以才叫人每天都看不厌。	瓦萊莉婭	所以我每天都看不膩。
Judie	ユーディー	気に入ってるんだね。そこでの暮らし	Judie	You sure do like living there, huh?	优蒂	听上去你很喜欢那里的生活。	優蒂	聽起來妳很喜歡那裡的生活呢。
Valeria	ヴァレリア	そうね。うん、気に入ってる	Valeria	Yeah, I really do.	瓦莱莉娅	嗯，我很喜欢。	瓦萊莉婭	妳說對了。嗯，我很喜歡。
Judie	ユーディー	あたしも住み慣れた場所が一番いいって思うよ	Judie	I think the best place to live is the one I've gotten used to, as well.	优蒂	我也觉得住惯了的地方才是最好的。	優蒂	我也覺得自己住習慣的地方才是最好的。
Valeria	ヴァレリア	"……食べものの話をしてたら、
お腹が空いてきたわ"	Valeria	Talking about food is making me hungry.	瓦莱莉娅	"……一聊起吃的话题，
感觉肚子都饿了。"	瓦萊莉婭	"……一聊到吃的話題，
就感覺肚子餓了。"
Valeria	ヴァレリア	"スンスン……あんたから美味しそうな匂いがする。
何か隠してない？"	Valeria	*Sniff* *Sniff* And I can smell that one of you is hiding something tasty. C'mon, come clean.	瓦莱莉娅	"嗅嗅……我从你身上闻到了美食的香气！
说吧，都藏了些什么？"	瓦萊莉婭	"嗅嗅……我聞到你身上有股很香的味道。
你藏著些什麼嗎？"
Roman	ロマン	"隠しているわけではないが、干し肉は持っているよ。
このロマン、備えの良さには定評があるのさ"	Roman	I wasn't trying to hide it, but I do have some jerky. I have a reputation for always being prepared, you know.	罗曼	"虽然不是故意藏起来的，但我的确带了一点肉干。
毕竟大家都说我是有备无患大师罗曼。"	羅曼	"我也沒有故意藏著，就是帶了些肉乾在身上。
畢竟我羅曼在事前準備上可是周全得頗有口碑喔。"
Valeria	ヴァレリア	じー	Valeria	Hm...	瓦莱莉娅	盯——	瓦萊莉婭	（緊盯……）
Roman	ロマン	おいおい、そんなに見つめられると照れてしまうな	Roman	Hey, now. If you keep staring at me like that, you'll make me blush.	罗曼	喂喂，你这样盯着我我都要不好意思了。	羅曼	喂喂，妳這樣盯著我看，我都要害羞起來了啊。
Valeria	ヴァレリア	じー	Valeria	Hm...	瓦莱莉娅	盯——	瓦萊莉婭	（緊盯……）
Roman	ロマン	わ、分かった。あげるよ。お近づきのしるしに	Roman	A-All right, I get it. You can have some, as a sign of our friendship.	罗曼	知、知道了，我给你就是了。就当是我们友好的象征。	羅曼	知、知道了啦。給妳就是了，就當作是見面禮。
Valeria	ヴァレリア	"わーい。
あんたはロマンね、覚えたわ"	Valeria	Yaaay! You're Roman, right? I'll remember this.	瓦莱莉娅	"耶——
你是叫罗曼吧，我记住了！"	瓦萊莉婭	"耶～
你是叫羅曼吧，我記住了。"
Roman	ロマン	"随分たくましい人が仲間になったようで。
心強いね……"	Roman	Mm, it's reassuring to have such a tough person on our side.	罗曼	"有这么强大的人做我们的同伴，
感觉还挺安心的……"	羅曼	"看來我們多了一個這麼強大的夥伴。
真是讓人放心……"
