file	id	romanized_name	localized_name	text	localized_name_en	text_en	localized_name_zh-CN	text_zh-CN	localized_name_zh-TW	text_zh-TW
TalkEvent_04_001ID	0	Resna	レスナ	ただいま帰りましたー	Resna	Hello! I'm hooome!	蕾斯娜	我回来了——	蕾斯娜	我回來了～
TalkEvent_04_001ID	1	Valeria	ヴァレリア	レスナ、おかえり！　……無事、よね？	Valeria	Welcome back, Resna! You're all right, right?	瓦莱莉娅	蕾斯娜，欢迎回来！你……没事吧？	瓦萊莉婭	蕾斯娜，歡迎回來！……應該沒事吧？
TalkEvent_04_001ID	2	Resna	レスナ	うん。そんなに心配しなくても、\n私は大丈夫だよ、ヴァレリア	Resna	Yep! You really don't need to worry so much, Valeria. I'm always fine!	蕾斯娜	嗯，瓦莱莉娅你不用担心，\n我没事的。	蕾斯娜	嗯，不用那麼擔心啦，\n我沒事的，瓦萊莉婭。
TalkEvent_04_001ID	3	Valeria	ヴァレリア	だって、結局あの依頼がどうなったのか\n分からないから	Valeria	I know, but there was that one request, so I...had my doubts.	瓦莱莉娅	因为我也不知道那份委托最后是怎么处理的。	瓦萊莉婭	畢竟我不知道那件委託\n最後到底怎麼樣了啊。
TalkEvent_04_001ID	4	Resna	レスナ	そう、だね。\nあの時、まさかあんなことになってたなんて……	Resna	Oh, right. I didn't think that things would turn out like that...	蕾斯娜	是啊。\n没想到居然发生了那种事……	蕾斯娜	也是呢。\n當時壓根沒想到事情會變成那樣……
TalkEvent_04_001ID	5	Valeria	ヴァレリア	（「錬金術士レスナの討伐」という依頼を渡された\n　私たちは、どうにか依頼を取り消そうとした）	Valeria	(When we got the request to exterminate Resna, we did what we could to get out of that one.)	瓦莱莉娅	（我们接到“讨伐炼金术士蕾斯娜”的委托后，\n　想尽办法想让委托人取消委托。）	瓦萊莉婭	（我們接到「討伐鍊金術士蕾斯娜」的委託，\n　於是想設法取消這件工作。）
TalkEvent_04_001ID	6	Valeria	ヴァレリア	（それを鴉にとがめられ、戦いになり……\n　結局私は倒れ、鴉はそのまま去ってしまった）	Valeria	(Which got us in trouble with Crow, and that turned into a fight...that I lost.)	瓦莱莉娅	（然后被鸦非难，又经历战斗……\n　最终我被打倒，鸦就那么离开了。）	瓦萊莉婭	（我們因此受到烏鴉責難，雙方展開了對戰……\n　結果我被打倒，烏鴉就這樣離開了。）
TalkEvent_04_001ID	7	Valeria	ヴァレリア	（レスナたちのおかげでなんとか命は助かったけれど、\n　しばらくはアトリエで休ませてもらうことになった）	Valeria	(Resna and the others somehow managed to save my life, but I'm still going to have to rest up here for a while.)	瓦莱莉娅	（全靠蕾斯娜她们我才捡回一条命，\n　还暂时留在这间炼金工房里疗养。）	瓦萊莉婭	（雖然多虧蕾斯娜他們，我勉強撿回了一命，\n　但目前還得在鍊金工房裡休養一陣子。）
TalkEvent_04_001ID	8	Valeria	ヴァレリア	（レスナにも事情を説明して、しばらくは王都に\n　近づかないよう注意してもらうことにした）	Valeria	(I explained the situation to her and warned her to stay away from the capital.)	瓦莱莉娅	（我向蕾斯娜说明了原委之后，\n　提醒她暂时不要接近王都。）	瓦萊莉婭	（我也向蕾斯娜說明了原委，\n　要她小心一些，暫時不要靠近王都。）
TalkEvent_04_001ID	9	Valeria	ヴァレリア	（ただあれ以来、「月影の会」や鴉からの干渉はない。\n　特に事件もなく、時間が過ぎていった）	Valeria	(There hasn't been any other trouble from Crow or the Moonlight Society since then, though. Actually, nothing's really happened at all.)	瓦莱莉娅	（但从那之后，“月影会”和鸦都没有再来找麻烦。\n　没有发生任何事，就这么平静地过了好一阵。）	瓦萊莉婭	（然而在那之後，「月影會」與烏鴉並沒有來干涉我們，\n　也沒發生什麼事件，時間就這麼過去了。）
TalkEvent_04_001ID	10	Valeria	ヴァレリア	（私たちを訪ねてきた人といえば、鴉から逃げるのを\n　手伝ってくれたトトリとアーシャの二人くらい）	Valeria	(The only people who came to visit were Totori and Ayesha, and they were the ones who helped us get away in the first place.)	瓦莱莉娅	（会来这里看我们的也只有\n　协助我们逃离鸦的托托莉和爱夏两个人。）	瓦萊莉婭	（若要說有來找我們的人，頂多就是幫助我們\n　逃離烏鴉的托托莉與愛夏了。）
TalkEvent_04_001ID	11	Valeria	ヴァレリア	（二人も念のため今はアトリエに身を隠してる。療養の\n　手助けもしてくれて……ホント世話になりっぱなし）	Valeria	(They've been lying low at the atelier, just in case. Plus, they've been treating my injuries, too... I don't think I'll ever stop owing them.)	瓦莱莉娅	（为以防万一，她们两个现在也藏身在炼金工房中，\n　还为我的疗养出了些力……真是麻烦了她们太多。）	瓦萊莉婭	（為了保險起見，她們倆也藏身於鍊金工房，\n　還幫助我養傷……真的一直受到她們的照顧。）
TalkEvent_04_001ID	12	Heidi	ハイディ	あの戦いの時、月影の会の会長が言ってたんだよね。\n「制裁は済んだ」ってさ	Heidi	I mean, the director did say that we'd been punished enough, so...	海蒂	战斗的时候，月影会的会长不是说过吗，\n“制裁已经结束”。	海蒂	在那場戰鬥中，月影會的會長說過\n「制裁結束了」這句話吧？
TalkEvent_04_001ID	13	Heidi	ハイディ	あいつらにとってはもう終わった話ってことなのかも。\n依頼の期限もとっくに過ぎちゃってるし	Heidi	That might have actually been the end of it. The deadline for the request has come and gone, too.	海蒂	对那帮家伙来说这件事情可能已经结束了。\n委托期限也早就过了。	海蒂	對他們來說，事情可能已經結束了吧。\n而且委託的期限也早就過了。
TalkEvent_04_001ID	14	Lanze	ランツェ	警戒しとくに越したこたあねえよ。\nま、それでここにはお世話になっちまってるんだが……	Lanze	Eh, you never can be too careful. Still, we've definitely been imposing on the folks here.	兰泽	但长个心眼总是没错的。\n我们也是因此才一直待在这里给人添麻烦……	藍澤	保持警戒是不二法門喔。\n嗯，所以我才會在這裡受妳們照顧……
TalkEvent_04_001ID	15	Resna	レスナ	そんなこと気にしないでください！\nまずはケガを治すのが先決なんですから	Resna	Don't even worry about that! What matters most is that everyone's getting the rest they need to recuperate!	蕾斯娜	别在意这些啦！\n先治好伤才最重要。	蕾斯娜	請你不用在意這種事！\n先把傷治好才是最重要的啊。
TalkEvent_04_001ID	16	Heidi	ハイディ	おっさんはまだボロボロみたいだしね。\n長年の酒浸り生活が祟ったな	Heidi	You still look pretty beat up, old-timer. All those years of drinking sure did you in, huh?	海蒂	大叔还遍体鳞伤呢。\n这么多年泡在酒坛子里遭报应了吧。	海蒂	因為大叔你好像還傷痕累累的嘛。\n這是你長期酗酒所種下的惡果吧。
TalkEvent_04_001ID	17	Lanze	ランツェ	お、俺は別に……なんともねえよ。健康なおっさんだ	Lanze	Hey! I'm still... Well, I've been better, but I've still got my health.	兰泽	我……我根本不痛不痒啊，大叔我可健康得很。	藍澤	我、我又……沒怎麼樣。大叔我很健康。
