romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Juna	ユナ	――夜になったか	Juna	So, night has fallen.	尤娜	——天黑了啊……	尤娜	──已經天黑了啊。
	熱血漢な騎士	ユナ隊長！　島内の布陣が完了しました！	Enthusiastic Knight	Commander Juna! Everyone on the island is in formation!	热血的骑士	尤娜队长！岛内已布阵完毕！	熱血的騎士	尤娜隊長！島內的布陣已經完成了！
Juna	ユナ	よし！　なんとか間に合った	Juna	Good! We managed to get everything ready in time.	尤娜	好！看来是赶上了。	尤娜	很好！總算趕上了。
	生真面目な騎士	"報告します！
頂獣ウェルテックスが海中より現れました！"	Earnest Knight	Reporting in! The Apexi Weltex has emerged from the sea!	一本正经的骑士	"报告！
顶兽威尔特克斯已浮出海面！"	一板一眼的騎士	"報告！
頂獸威爾特庫斯從海中現身了！"
Juna	ユナ	"来たか……！
ここでヤツを討ち取れればそれでよし！"	Juna	The time has come! We'll slay that beast here and now!	尤娜	"来了吗……！
若是能在这里打倒它自然最好！"	尤娜	"來了嗎……！
如果能在此直接擊敗這傢伙，就沒問題了！"
Juna	ユナ	"それが叶わなかった場合は、攻撃でヤツを引き付け
砦に誘導する！　行くぞ！　"	Juna	If the current plan fails, then we'll draw it back to the fortress! Let's move out!　	尤娜	"若是不行，就用攻击诱导它前往要塞！
我们上！　"	尤娜	"如果失敗了，就用攻擊把那傢伙
引誘到要塞！我們上！　"
	騎士たち	ユナ隊長に続け！！	Knights	Lead on, Commander Juna!	骑士们	跟上尤娜队长！！	騎士們	跟上尤娜隊長的腳步！！
Escha	エスカ	いよいよですね……	Escha	Here we go...	爱丝卡	终于要开战了啊……	愛絲卡	終於開始了……
Logy	ロジー	ああ。気を引き締めていこう	Logy	Yeah. Time to get to business.	罗吉	嗯，小心行事吧。	羅吉	是啊。得謹慎點才行。
Rorona	ロロナ	"ライザさん、避難してきた人たちのお食事、
配り終わりました！"	Rorona	Ryza, I finished passing out the food to the evacuees!	萝乐娜	莱莎小姐，避难人员的餐食已分发完毕！	蘿樂娜	"萊莎小姐，給避難民眾的食物
已經發放完畢了！"
Ryza	ライザ	うん、ありがとうロロナ	Ryza	Great! Thanks, Rorona.	莱莎	嗯，谢谢你，萝乐娜。	萊莎	嗯。謝謝妳，蘿樂娜。
	住民Ａ	向こうはいったいどうなっているんだろうか……	Citizen A	I wonder what's happening in Kur...	居民A	那边情况究竟怎么样了啊……	居民A	那邊到底情況如何呢……
	住民Ｂ	せ、先祖代々の畑は無事じゃろうか……	Citizen B	Those fields have been in my family for generations. I hope they're still in decent shape...	居民B	不知道祖祖辈辈传下来的田地能保住吗……	居民B	家、家裡代代相傳的田地應該沒事吧……
	住民Ｃ	"村や家はどうなっちまうんだろう……。
あたしゃ、家財道具を一切合切、置いてきたんだよ"	Citizen C	And what about the village? I left everything I own behind.	居民C	"村子和房子会不会有事啊……
我所有的家当都留在那了。"	居民C	"不曉得村子和家裡狀況如何……
我的所有財產都還放在家裡呢。"
Ryza	ライザ	大丈夫だよ！　きっとみんなが頂獣を撃退してくれる！	Ryza	Everything will be fine! I'm sure they'll drive the Apexi away!	莱莎	别担心！大家一定会击退顶兽的！	萊莎	別擔心！大家一定會擊退頂獸的！
Ryza	ライザ	"向こうには騎士や冒険者たち……
それに頼れる王子様だっているんだから！"	Ryza	There are so many knights and adventurers there, and a really dependable prince, too!	莱莎	"那边有骑士和冒险者……
还有可靠的王子殿下在啊！"	萊莎	"因為除了騎士和冒險者們……
還有可靠的王子殿下！"
	住民Ｂ	お、王子までが……！	Citizen B	Even a member of the royal family's gone to fight?!	居民B	连、连王子都……！	居民B	連、連王子也……！
Rorona	ロロナ	"そうですよ！　それに、この国は９年前だって
頂獣を撃退したんですから！"	Rorona	You bet! And don't forget that people won against this Apexi nine years ago!	萝乐娜	"是啊！而且这个国家在9年前
也曾击退过顶兽不是吗！"	蘿樂娜	沒錯！而且這個國家9年前也擊退過頂獸！
Ryza	ライザ	"だからさ、戦ってるみんなが無事に帰ってくるように
みんなで祈ろうよ！"	Ryza	But still, let's pray for everyone out there fighting to make it home safely!	莱莎	"所以，我们就一起祈祷
前线的各位能平安归来吧！"	萊莎	"所以讓我們大家一起祈禱，
希望正在戰鬥的人們能平安歸來！"
