romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Marion	マリオン	今のところ特に手掛かりはなし……か	Marion	Hm, I'm not seeing much in the way of clues around here.	玛丽翁	目前没有找到什么线索……	瑪麗翁	目前還沒找到什麼特別的線索嗎……？
Shallistera	シャリステラ	"この海底洞窟、元は極夜の錬金党の拠点として
使われていたんですよね"	Shallistera	The Polar Night Alchemists used this underwater cave as a base before, though, didn't they?	夏莉丝堤拉	"这个海底洞窟，
原本是极夜的炼金党的据点吧？"	夏莉絲堤菈	"這座海底洞窟原本是極夜的鍊金黨
作為據點使用的地方對吧？"
Marion	マリオン	"ええ。ただ、レスナやヴァレリアたちが
ある程度調べた後ではあるのよね"	Marion	Yes, but Resna and Valeria have already done a sweep.	玛丽翁	"嗯，不过在我们之前，
蕾斯娜和瓦莱莉娅她们已经大致调查过了。"	瑪麗翁	"對。不過，蕾斯娜和瓦萊莉婭她們
已經做過一定程度的調查了。"
Marion	マリオン	やっぱり、無駄足だったかしら……	Marion	So this might be a bit of a fool's errand.	玛丽翁	还是白跑了一趟吗……	瑪麗翁	果然白跑一趟了嗎……？
Shallistera	シャリステラ	"でも、まだ奥に続いてますし、
もう少し調べてみましょうよ"	Shallistera	Oh, but there are still parts we haven't seen yet. Let's keep looking.	夏莉丝堤拉	"我们还没走到头呢，
再调查一下吧。"	夏莉絲堤菈	但裡面還有路，再多調查一下吧。
Rorona	ロロナ	"そうですよ！　今回はレスナちゃんが作ってくれた
道具も持ってきてますし、新しい発見があるかも！"	Rorona	Yeah! Plus, we've got this great tool that Resna made! We might find something new!	萝乐娜	"就是啊！这次我们还带了蕾斯娜做的道具，
说不定会有新发现！"	蘿樂娜	"對呀！我們這次還帶了蕾斯娜幫大家做的道具，
說不定會有新發現！"
Marion	マリオン	……そうね。もう少し粘ってみましょう	Marion	True. I suppose it wouldn't hurt to spend a little more time here.	玛丽翁	也是……再调查一会儿吧。	瑪麗翁	……也對，再稍微堅持一下好了。
Marion	マリオン	"この間の戦いではあまり戦力になれなかった分、
これから挽回していかないとね"	Marion	Besides, I wasn't much help in the previous battle. I'd like to make up for that.	玛丽翁	"我们在上次的战斗中没怎么帮上忙，
接下来可要好好发挥。"	瑪麗翁	"我在前陣子的戰鬥中沒能成為多大的戰力，
接下來得扳回一城才行。"
Shallistera	シャリステラ	"そうですね……。わたしも魔物の襲撃にあって、
身動きが取れなくなってしまっていました"	Shallistera	I know what you mean. There was a monster attack, and I couldn't even do anything about it.	夏莉丝堤拉	是啊……当时我也遭遇魔物袭击，没办法行动。	夏莉絲堤菈	對呀……我之前也因為魔物襲擊，整個人動彈不得。
Rorona	ロロナ	"わたしは襲撃に備えてカフェでじっとしてて、
準備とかぜんぜん手伝えなかったよ"	Rorona	I was stuck in the cafe the whole time, so I missed out on pretty much everything!	萝乐娜	"我是在咖啡厅里为防御袭击做准备什么的，
完全没能帮上忙。"	蘿樂娜	"我一直乖乖待在咖啡廳以防襲擊，
結果準備工作完全沒能幫上忙。"
