id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
300100	バトルアクス	Battle Axe	战斧	戰斧	物理攻撃スキルダメージ+{0}%	Boosts physical skill damage by {0}%.	物理攻击的技能伤害+{0}%。	物理攻擊技能傷害+{0}%。
300101	レザープロテクター	Leather Protector	护身皮甲	護身皮甲	魔法攻撃スキルダメージ+{0}%	Boosts magic skill damage by {0}%.	魔法攻击的技能伤害+{0}%。	魔法攻擊技能傷害+{0}%。
300102	モノクログラス	Monochrome Glasses	黑白眼镜	黑白眼鏡	物理攻撃から受けるダメージ-{0}%	Reduces damage received from physical attacks by {0}%.	来自物理攻击的伤害-{0}%。	所受物理攻擊傷害-{0}%。
300103	軽い鉄の杖	Light Iron Staff	轻巧铁杖	輕巧鐵杖	魔法攻撃ブレイクダメージ+{0}%	Boosts magic stun damage by {0}%.	魔法攻击的破防伤害+{0}%。	魔法攻擊破防傷害+{0}%。
300104	ハードコート	Hard Coat	坚硬外套	硬質外套	物理攻撃ブレイクダメージ+{0}%	Boosts physical stun damage by {0}%.	物理攻击的破防伤害+{0}%。	物理攻擊破防傷害+{0}%。
300105	ルーンストーン	Runestone	符文石	符文石	魔法攻撃から受けるダメージ-{0}%	Reduces damage received from magic attacks by {0}%.	来自魔法攻击的伤害-{0}%。	所受魔法攻擊傷害-{0}%。
300106	鉄鉤	Iron Claws	铁钩	鐵鉤	与えるマイナス効果量+{0}%	Boosts potency of negative effects inflicted by {0}%.	给予的负面效果量+{0}%。	賦予減弱效果量+{0}%。
300107	ボルダースケイル	Border Scale	巨鳞铠甲	巨鱗鎧甲	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
300108	精霊の首飾り	Spirit Necklace	精灵的项链	精靈的項鍊	単体物理攻撃から受けるダメージ-{0}%	Reduces physical damage received from single-target attacks by {0}%.	来自单体物理攻击的伤害-{0}%。	所受單體物理攻擊傷害-{0}%。
300109	癒しの杖	Healing Staff	治愈之杖	治癒之杖	与えるHP回復量+{0}%	Boosts HP recovery given by {0}%.	给予的HP恢复量+{0}%。	賦予HP回復量+{0}%。
300110	風来人のシャツ	Wanderer's Shirt	浪人衬衫	浪人襯衫	受けるHP回復量+{0}%	Boosts HP recovery received by {0}%.	所受HP恢复量+{0}%。	所受HP回復量+{0}%。
300111	クォーツネックレス	Quartz Necklace	石英项链	石英項鍊	全体攻撃から受けるダメージ-{0}%	Reduces damage received from attacks that hit all allies by {0}%.	来自全体攻击的伤害-{0}%。	所受全體攻擊傷害-{0}%。
300112	闘志のマフラー	Battle Scarf	斗志围巾	鬥志圍巾	自身がアタッカーの時、受けるダメージ-{0}%	While equipped to an Attacker, reduces damage received by {0}%.	自身为攻击者时，所受伤害-{0}%。	自身為攻擊者時，所受傷害-{0}%。
300113	闘志のマフラー	Battle Scarf	斗志围巾	鬥志圍巾	自身がアタッカーの時、受けるダメージ-{0}%	While equipped to an Attacker, reduces damage received by {0}%.	自身为攻击者时，所受伤害-{0}%。	自身為攻擊者時，所受傷害-{0}%。
300114	白銀の双剣	Silver Twin Swords	白银双剑	白銀雙劍	得意属性が斬属性の時、スキルダメージ+{0}%	While equipped to a character with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性时，技能伤害+{0}%。	自身屬性為斬屬性時，技能傷害+{0}%。
300115	白銀の双剣	Silver Twin Swords	白银双剑	白銀雙劍	得意属性が斬属性の時、スキルダメージ+{0}%	While equipped to a character with Slash affinity, boosts skill damage by {0}%.	自身属性为斩击属性时，技能伤害+{0}%。	自身屬性為斬屬性時，技能傷害+{0}%。
300116	魔獣の革鎧	Beast Armor	魔兽皮甲	魔獸皮甲	与えるHP回復量+{0}%	Boosts HP recovery given by {0}%.	给予的HP恢复量+{0}%。	賦予HP回復量+{0}%。
300117	魔獣の革鎧	Beast Armor	魔兽皮甲	魔獸皮甲	与えるHP回復量+{0}%	Boosts HP recovery given by {0}%.	给予的HP恢复量+{0}%。	賦予HP回復量+{0}%。
300118	ハッスルベルト	Hustle Belt	干劲腰带	幹勁腰帶	自身がブレイカーの時、受けるダメージ-{0}%	While equipped to a Breaker, reduces damage received by {0}%.	自身为破坏者时，所受伤害-{0}%。	自身為破壞者時，所受傷害-{0}%。
300119	ハッスルベルト	Hustle Belt	干劲腰带	幹勁腰帶	自身がブレイカーの時、受けるダメージ-{0}%	While equipped to a Breaker, reduces damage received by {0}%.	自身为破坏者时，所受伤害-{0}%。	自身為破壞者時，所受傷害-{0}%。
300120	シュペーヴァイス	Spee Weiss	银光之戟	銀光之戟	得意属性が突属性の時、スキルダメージ+{0}%	While equipped to a character with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性时，技能伤害+{0}%。	自身屬性為突屬性時，技能傷害+{0}%。
300121	シュペーヴァイス	Spee Weiss	银光之戟	銀光之戟	得意属性が突属性の時、スキルダメージ+{0}%	While equipped to a character with Stab affinity, boosts skill damage by {0}%.	自身属性为突刺属性时，技能伤害+{0}%。	自身屬性為突屬性時，技能傷害+{0}%。
300122	ナイトシェイド	Night Shade	夜影	暗黑夜影	自身がアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker, boosts skill damage by {0}%.	自身为攻击者时，技能伤害+{0}%。	自身為攻擊者時，技能傷害+{0}%。
300123	ナイトシェイド	Night Shade	夜影	暗黑夜影	自身がアタッカーの時、スキルダメージ+{0}%	While equipped to an Attacker, boosts skill damage by {0}%.	自身为攻击者时，技能伤害+{0}%。	自身為攻擊者時，技能傷害+{0}%。
300124	熱血はちまき	Hot-Blooded Bandana	热血头巾	熱血頭巾	自身がディフェンダーの時、受けるダメージ-{0}%	While equipped to a Defender, reduces damage received by {0}%.	自身为防御者时，所受伤害-{0}%。	自身為防禦者時，所受傷害-{0}%。
300125	熱血はちまき	Hot-Blooded Bandana	热血头巾	熱血頭巾	自身がディフェンダーの時、受けるダメージ-{0}%	While equipped to a Defender, reduces damage received by {0}%.	自身为防御者时，所受伤害-{0}%。	自身為防禦者時，所受傷害-{0}%。
300126	クレアエンパシー	Clairempathy	灵感锤	靈感錘	得意属性が打属性の時、スキルダメージ+{0}%	While equipped to a character with Strike affinity, boosts skill damage by {0}%.	自身属性为打击属性时，技能伤害+{0}%。	自身屬性為打屬性時，技能傷害+{0}%。
300127	クレアエンパシー	Clairempathy	灵感锤	靈感錘	得意属性が打属性の時、スキルダメージ+{0}%	While equipped to a character with Strike affinity, boosts skill damage by {0}%.	自身属性为打击属性时，技能伤害+{0}%。	自身屬性為打屬性時，技能傷害+{0}%。
300128	鋲打ちの皮鎧	Riveted Leather Armor	铆钉皮铠	鉚釘皮鎧	自身がブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker, boosts skill damage by {0}%.	自身为破坏者时，技能伤害+{0}%。	自身為破壞者時，技能傷害+{0}%。
300129	鋲打ちの皮鎧	Riveted Leather Armor	铆钉皮铠	鉚釘皮鎧	自身がブレイカーの時、スキルダメージ+{0}%	While equipped to a Breaker, boosts skill damage by {0}%.	自身为破坏者时，技能伤害+{0}%。	自身為破壞者時，技能傷害+{0}%。
300130	エンゼルチャーム	Angel Charm	天使吊饰	天使吊飾	自身がサポーターの時、受けるダメージ-{0}%	While equipped to a Supporter, reduces damage received by {0}%.	自身为支援者时，所受伤害-{0}%。	自身為支援者時，所受傷害-{0}%。
300131	エンゼルチャーム	Angel Charm	天使吊饰	天使吊飾	自身がサポーターの時、受けるダメージ-{0}%	While equipped to a Supporter, reduces damage received by {0}%.	自身为支援者时，所受伤害-{0}%。	自身為支援者時，所受傷害-{0}%。
300132	精霊の杖・火	Spirit Staff - Fire	精灵之杖·火	精靈之杖‧火	得意属性が火属性の時、スキルダメージ+{0}%	While equipped to a character with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性时，技能伤害+{0}%。	自身屬性為火屬性時，技能傷害+{0}%。
300133	精霊の杖・火	Spirit Staff - Fire	精灵之杖·火	精靈之杖‧火	得意属性が火属性の時、スキルダメージ+{0}%	While equipped to a character with Fire affinity, boosts skill damage by {0}%.	自身属性为火属性时，技能伤害+{0}%。	自身屬性為火屬性時，技能傷害+{0}%。
300134	極彩色のローブ	Colorful Robes	极亮彩外袍	極亮彩外袍	火氷雷風いずれかの属性キャラに与えるHP回復量+{0}%	Boosts HP recovery by {0}% when healing characters with the Fire, Ice, Bolt, or Air attribute.	给予火冰雷风其中任一属性角色的HP恢复量+{0}%。	對火冰雷風任一屬性角色賦予HP回復量+{0}%。
300135	極彩色のローブ	Colorful Robes	极亮彩外袍	極亮彩外袍	火氷雷風いずれかの属性キャラに与えるHP回復量+{0}%	Boosts HP recovery by {0}% when healing characters with the Fire, Ice, Bolt, or Air attribute.	给予火冰雷风其中任一属性角色的HP恢复量+{0}%。	對火冰雷風任一屬性角色賦予HP回復量+{0}%。
300136	エンゼルリボン	Angel Ribbon	天使缎带	天使緞帶	自身のHPが70%以上の時、受けるダメージ-{0}%	Reduces damage received by {0}% when own HP is at 70% or higher.	自身HP不低于70%时，所受伤害-{0}%。	自身的HP在70%以上時，所受傷害-{0}%。
