id	name	name_en	name_zh-CN	name_zh-TW
80001	青ぷに	Blue Puni	蓝噗尼	藍噗尼
80002	緑ぷに	Green Puni	绿噗尼	綠噗尼
80003	でかぷに	Big Puni	巨大噗尼	巨大噗尼
80004	オオイタチ	Giant Weasel	大鼬	大鼬
80005	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
80006	サベージアサシン	Savage Assassin	野性刺客	野性刺客
80007	麗しの霊獣	Elegant Spirit Beast	秀丽灵兽	秀麗靈獸
80008	つのひつじ	Horned Sheep	角绵羊	角綿羊
80009	ミニワイバーン	Mini Wyvern	迷你双足飞龙	迷你雙足飛龍
80010	ウィンドフェザー	Zephyr Feather	风羽	風羽
80011	キングオブストーム	King of Storms	风暴之王	風暴之王
80012	キバコオモリ	Fang Bat	利齿蝙蝠	利齒蝙蝠
80013	六角ガメ	Hexagon Turtle	六角龟	六角龜
80014	マンオーウォー	Man o' War	僧帽水母	僧帽水母
80015	花の精	Flower Pixie	花精	花精
80016	ゼファーピクシー	Zephyr Pixie	微风仙子	微風仙子
80017	ナメルダケ	Lickshroom	舔舔菇	舔舔菇
80018	魔石の傀儡	Fairystone Puppet	魔石傀儡	魔石傀儡
80019	メテオライトドール	Meteorite Doll	陨石魔偶	隕石魔偶
80020	ウッドゴーレム	Wood Golem	木魔巨人	木魔巨人
80021	動く甲冑	Living Armor	移动盔甲	移動盔甲
80022	イモータルナイト	Immortal Knight	永世的骑士	不朽騎士
80023	ゴースト	Ghost	鬼魂	鬼魂
80025	アポステル	Aphostol	使徒	使徒
80026	赤ぷに	Red Puni	红噗尼	紅噗尼
80027	砂漠ガメ	Desert Turtle	沙漠龟	沙漠龜
80030	ロックゴーレム	Rock Golem	石魔巨人	石魔巨人
80031	金剛ゴーレム	Diamond Golem	金刚魔巨人	金剛魔巨人
80034	森林クラゲ	Forest Jellyfish	森林水母	森林水母
80035	兇翼 ブリード	Bleed, Wings of Calamity	凶翼　喋血	凶翼 喋血
80038	巨像の兵士	Colossus Soldier	巨像士兵	巨像士兵
80039	スプリントバード	Sprinting Bird	快跑鸟	快跑鳥
80040	ワイルドクレスト	Wild Crest	野生大冠鸡	野生大冠雞
80042	マルシュホルン	Marshorn	腐毒角虫	腐毒角蟲
80044	ジェロン	Geron	杰隆	傑隆
80045	ララ	Lara	拉拉	拉拉
80046	ブラストウィング	Blastwing	爆裂飞翼	爆破之翼
80047	ワイバーン	Wyvern	双足飞龙	雙足飛龍
80048	ヴァンプヴァレット	Vampvalet	吸血鬼侍从	吸血鬼侍從
80049	フライングブレード	Flying Blade	飞剑	飛刃
80050	鴉	Crow	鸦	烏鴉
