id	description	description_en	description_zh-CN	description_zh-TW
10001010	・仲間を回復	- Heals allies	·为友方恢复	‧回復夥伴
10002011	・仲間を回復	- Heals allies	·为友方恢复	‧回復夥伴
10002022	・仲間を回復\n・強力な攻撃を使用	- Heals allies\n- Attacks with a powerful attack	·为友方恢复\n·使用强力的攻击	‧回復夥伴\n‧使用強力的攻擊
10004004	・ターンを遅らせる	- Delays turn	·推迟回合	‧推遲行動回合
10005013	・与ダメージUP付与\n・相手のターンを遅らせる\n・行動するたび、確率で自身のターンを早める	- Boosts Dealt Damage Up\n- Delays turn of opponents\n- Chance to advance own turn each turn	·赋予造成伤害提升\n·推迟对手的回合\n·每次行动时，有概率提前自身回合	‧賦予給予傷害上升\n‧推遲對象行動回合\n‧每次行動時，以一定機率加快自身的行動回合
10005014	・与ダメージUPを付与\n・相手のターンを遅らせる\n・行動するたび、確率で自身のターンを早める			
10009011	・麻痺を確率で付与\n・ブレイク時、自身に与ダメージUPを付与\n・ブレイク時、自身に被ダメージDOWNを付与	- Chance to inflict Paralysis\n- When stunned, boosts own damage dealt\n- When stunned, reduces own damage received	·一定概率赋予麻痹\n·破防时，赋予自身造成伤害提升\n·破防时，赋予自身所受伤害下降	‧一定機率賦予麻痺\n‧破防時，賦予自身給予傷害上升\n‧破防時，賦予自身所受傷害下降
10009015	・麻痺を確率で付与\n・ブレイク後、与ダメージ上昇\n・ブレイク後、被ダメージ上昇	- Chance to inflict Paralysis\n- Increases damage dealt after being stunned\n- Receives increased damage after stun	·一定概率赋予麻痹\n·破防后造成伤害提升\n·破防后，所受伤害提升	‧一定機率賦予麻痺\n‧破防後，給予傷害上升\n‧破防後，所受傷害上升
10012008	・毒を付与	- Inflicts Poison	·赋予中毒	‧賦予中毒
10013004	・ヒントはありません	- No tips available.	·暂无提示	‧沒有提示
10014007	・プラス効果無効を付与\n・カウンター\n・毒を付与	- Inflicts Nullify Positive Effects\n- Counters\n- Inflicts Poison	·赋予正面效果无效\n·还击\n·赋予中毒	‧賦予加強效果無效\n‧還擊\n‧賦予中毒
10016007	・仲間を回復	- Heals allies	·为友方恢复	‧回復夥伴
10017002	・確率でカウンター\n・毒を付与\n・仲間に再生を付与\n・回復無効を付与	- Chance to counter\n- Inflicts Poison\n- Grants Regen to allies\n- Inflicts Nullify Recovery	·有概率还击\n·赋予中毒\n·赋予友方再生\n·赋予恢复无效	‧以一定機率還擊\n‧賦予中毒\n‧賦予夥伴再生\n‧賦予回復無效
10017004	・確率でカウンター\n・仲間に再生を付与\n・相手に回復無効を付与	- Chance to counter\n- Grants Regen to allies\n- Inflicts Nullify Recovery on opponents	·有概率还击\n·赋予友方再生\n·赋予目标恢复无效	‧以一定機率還擊\n‧賦予夥伴再生\n‧賦予對象回復無效
10017005	・確率でカウンター\n・毒を付与\n・仲間に再生を付与			
10019010	・仲間を回復\n・強力な攻撃を使用	- Heals allies\n- Attacks with a powerful attack	·为友方恢复\n·使用强力的攻击	‧回復夥伴\n‧使用強力的攻擊
10019011	・仲間を回復	- Heals allies	·为友方恢复	‧回復夥伴
10021001	・かばう\n・行動後、自身のブレイクゲージを回復	- Protection\n- After turn, restores stun gauge	·掩护\n·行动后恢复自身破防槽	‧守護\n‧行動後，回復自身的破防量表
10025003	・眠り攻撃	- Sleep attack	·睡眠攻击	‧睡眠攻擊
10025006	・眠りを付与\n・強力な攻撃を使用	- Inflicts Sleep\n- Attacks with a powerful attack	·赋予睡眠\n·使用强力的攻击	‧賦予睡眠\n‧使用強力的攻擊
10026001	・戦闘不能時、仲間全体に与ダメージUPと被ダメージUPを付与\n・火傷を付与\n・仲間に被ダメージDOWNを付与\n・相手に与ダメージDOWNを付与			
10026002	・戦闘不能時、仲間全体の与ダメージ上昇\n・戦闘不能時、仲間全体の被ダメージ上昇\n・火傷を付与	- Boosts all allies' damage dealt when KO'd\n- Boosts all allies' damage received when KO'd\n- Inflicts Burn	·无法战斗时，友方全体造成伤害提升\n·无法战斗时，友方全体所受伤害提升\n·赋予火伤	‧無法戰鬥時，所有夥伴給予傷害上升\n‧無法戰鬥時，所有夥伴所受傷害上升\n‧賦予燒傷
10027001	・ウェーブ開始時、自身に被ダメージDOWNを付与\n・ウェーブ開始時、自身に与ダメージDOWNを付与	- At the start of a wave, reduces own damage received\n- At the start of a wave, reduces own damage dealt	·WAVE开始时，赋予自身所受伤害下降\n·WAVE开始时，赋予自身造成伤害下降	‧WAVE開始時，賦予自身所受傷害下降\n‧WAVE開始時，賦予自身給予傷害下降
10030001	・WAVE開始時、被ダメージDOWNを付与\n・物理属性攻撃を受けた時、自身に与ダメージUPと被ダメージUPを付与\n・魔法属性攻撃を受けた時、自身に与ダメージDOWNと被ダメージDOWNを付与	- At the start of the wave, reduces damage received\n- When hit by a physical attack, boosts own damage dealt and damage received\n- When hit by a magic attack, reduces own damage dealt and damage received	·WAVE开始时，赋予所受伤害下降\n·受到物理属性攻击时，赋予自身造成伤害提升和所受伤害提升\n·受到魔法属性攻击时，赋予自身造成伤害下降和所受伤害下降	‧WAVE開始時，賦予所受傷害下降\n‧受到物理屬性攻擊時，賦予自身給予傷害上升與所受傷害上升\n‧受到魔法屬性攻擊時，賦予自身給予傷害下降與所受傷害下降
10034005	・かばう\n・仲間に再生を付与\n・仲間のパネルをバーストパネルへ変更\n・素早さDOWNを付与\n・素早さDOWNを持つ相手に眠りを付与	- Protection\n- Grants Regen to allies\n- Converts allies' panels into burst panels\n- Reduces SPD\n- Inflicts Sleep on opponents that have reduced SPD	·掩护\n·赋予友方再生\n·友方面板变换为爆发面板\n·赋予敏捷下降\n·对手被赋予敏捷下降时，赋予睡眠	‧守護\n‧賦予夥伴再生\n‧將夥伴的面板變更為爆發面板\n‧賦予敏捷下降\n‧對象被賦予敏捷下降時，賦予睡眠
10034007	・かばう\n・自身に再生を付与\n・自身に行動するたびブレイクゲージ回復を付与\n・素早さDOWNを持つ相手に眠りを付与\n・仲間のパネルをバーストパネルへ変更			
10038001	・被クリティカルダメージ上昇\n・ブレイク復帰時、複数のプラス効果を付与\n・再生を付与\n・麻痺を付与\n・ターンを遅らせる\n・一定ターン以降、強力な攻撃を使用	- Receives increased critical damage\n- Grants multiple positive effects when recovering from being stunned\n- Grants Regen\n- Inflict Paralysis\n- Delays turn\n- Attacks with a powerful attack after a certain number of turns	·所受暴击伤害提升\n·破防恢复时，赋予多个正面效果\n·赋予再生\n·赋予麻痹\n·推迟回合\n·一定回合数后，使用强力的攻击	‧所受重擊傷害上升\n‧從破防狀態恢復時，賦予複數個加強效果\n‧賦予再生\n‧賦予麻痺\n‧推遲行動回合\n‧一定行動回合以後，使用強力的攻擊
10039006	・挑発を付与\n・挑発状態の相手に対し与ダメージ上昇\n・麻痺を付与\n・仲間に再生を付与	- Inflicts Taunt\n- Deals increased damage to opponents with Taunt\n- Inflicts Paralysis\n- Grants Regen to allies	·赋予对象挑衅\n·对挑衅状态的敌方造成伤害提升\n·赋予麻痹\n·赋予友方再生	‧賦予挑釁\n‧對挑釁狀態的對象給予傷害上升\n‧賦予麻痺\n‧賦予夥伴再生
10039009	・挑発を付与\n・麻痺攻撃\n・挑発状態に対し与ダメージ上昇\n・仲間に再生を付与	- Inflicts Taunt on target\n- Paralyzing attack\n- Increases damage dealt to taunted targets\n- Grants Regen to allies	·赋予对象挑衅\n·麻痹攻击\n·对挑衅状态造成伤害提升\n·赋予友方再生	‧賦予目標挑釁\n‧麻痺攻擊\n‧面對挑釁狀態，給予傷害上升\n‧賦予夥伴再生
10040002	・プラス効果無効を付与	- Inflicts Nullify Positive Effects	·赋予正面效果无效	‧賦予加強效果無效
10040003	・ヒントはありません	- No tips available.	·暂无提示	‧沒有提示
10044001	・行動するたび、相手に挑発を付与	- Inflicts Taunt on opponents each turn.	·每次行动时赋予对手挑衅	‧每次行動時，賦予對象挑釁
10044002	・行動するたびに挑発\n・麻痺＋パネルから付与される効果を無効	- Taunts with each turn\n- Nullifies effects of Paralysis+ panels	·每次行动时挑衅\n·麻痹+面板所赋予的效果无效	‧每次行動時挑釁\n‧使被麻痺+面板賦予的效果無效
