id	name	name_en	name_zh-CN	name_zh-TW	fullname	fullname_en	fullname_zh-CN	fullname_zh-TW	another_name	another_name_en	another_name_zh-CN	another_name_zh-TW	description	description_en	description_zh-CN	description_zh-TW	acquisition_text	acquisition_text_en	acquisition_text_zh-CN	acquisition_text_zh-TW
10101	マリー	Marie	玛莉	瑪莉	マルローネ	Marlone	玛洛娜	瑪洛娜	【Lovely Bomber】	Lovely Bomber	【Lovely Bomber】	【Lovely Bomber】	活発でおてんばな錬金術士。\nある街のアカデミーで錬金術を学んでいた。現在は錬金術の真理を追い求め、ランターナ大陸の各地を旅している。\n明るくお人好しだが、面倒くさがりでずぼら。\n困難を爆弾で解決しようとする節があり、周囲から爆弾魔と呼ばれていたことも。	An energetic, tomboyish alchemist who studied alchemy at the academy in a certain town. She now travels across the regions of Lantarna in search of the truth of alchemy. While she is bright and friendly, she can be lazy and a little careless at times. Her tendency to solve problems with bombs has also earned her a reputation as a bomb enthusiast.	活泼调皮的炼金术士。\n曾在某个小镇的学院学习炼金术。为追寻炼金术的真理，目前正在兰塔纳大陆各地游历。\n性格开朗善良，但同时也有着怕麻烦且懒散的一面。\n遇到困难就想用炸弹来解决，因此被周围的人称为炸弹魔。	活潑又淘氣的鍊金術士。\n曾經在某個城鎮的學院學習鍊金術。為了追求鍊金術的真理，正於蘭塔納大陸的各地旅行。\n個性開朗親切，但同時也有怕麻煩且懶散的一面。\n遇到困難就想用炸彈來解決，被周遭人們稱為炸彈魔。	錬金術には無限の可能性がある――\nあなたも一緒に探してみない？	Anything is possible through alchemy.\nShall we find out what we can accomplish together?	炼金术蕴含着无穷的可能性——\n你也一起来寻找吧？	鍊金術蘊含著無限的可能性──\n你想不想一起來追尋？
10102	マリー	Marie	玛莉	瑪莉	マルローネ	Marlone	玛洛娜	瑪洛娜	【Fortune Full Bloom】	Fortune Full Bloom	【Fortune Full Bloom】	【Fortune Full Bloom】	活発でおてんばな錬金術士。\n異なる世界からランターナ大陸へやって来た「異邦人」の一人。\nレスナと共に、新年の挨拶回りを兼ねてお守りを配ることになったマリーは、晴れやかな衣装を身に纏い、仲間たちの元へ向かう。	An energetic and adventurous alchemist from another world, Marie is one of the wanderers who came to Lantarna. Together with Resna, she has been given the task of handing out good luck charms as part of the New Year's greetings. Adorned in a bright outfit, she sets off to join her friends.	活泼顽皮的炼金术士。\n从其他世界来到兰塔纳大陆的“异邦人”之一。\n身穿节日盛装的玛莉与蕾斯娜一起前往伙伴们的所在之处。\n一边拜年一边送上包含祝福的护身符。	活潑淘氣的鍊金術士。\n從其他世界來到蘭塔納大陸的「異邦人」之一。\n與蕾斯娜一起拜年並分送護身符的瑪莉，盛裝打扮前往夥伴身邊。	気持ちを新たにして――\nさあ、思いっきり楽しみましょ！	Time for a fresh start!\nCome on, let's dive in and have some fun!	让心情焕然一新——\n尽情欢度佳节吧！	使心情煥然一新──\n來，讓我們盡情享受吧！
10103	マリー	Marie	玛莉	瑪莉	マルローネ	Marlone	玛洛娜	瑪洛娜	【Violent Beauty】	Violent Beauty	【Violent Beauty】	【Violent Beauty】	おおらかで陽気な錬金術士。\nある街のアカデミーで錬金術を学んでいたが、その頃は落ちこぼれだった。今は立派な錬金術士だが、調子に乗りやすい部分は相変わらず。今も、とある大会に向けてこの衣装をまとい、すっかり優勝する気になっている。果たして、今回はそれが良い風に作用するのだろうか。	An easygoing and cheerful alchemist. She once studied alchemy at an academy in a certain town, but at that time ended up dropping out. Now a distinguished alchemist, she still tends to get carried away sometimes. She is dressed up ready for a certain tournament and fully expects to win. Will that confidence work in her favor this time?	豁达开朗的炼金术士。\n曾经在某个城镇的学院学习炼金术，但当时是学院吊车尾的学生。现在虽然成了厉害的炼金术士，但容易得意忘形这点还是和以往如出一辙。就说现在，她为某场大会准备了这身衣服，穿上后已然觉得自己就是冠军了。那么，这身衣服真的能帮她夺冠吗？	性格爽朗大方的鍊金術士。\n曾在某個城鎮的學院學習鍊金術，當時她只是個成績吊車尾的學生。如今雖然成了獨當一面的鍊金術士，但容易得意忘形的性格依舊沒變。現在也為了某個大會穿上這套服裝，展現出勝券在握的態度。究竟這麼做能不能為本次帶來正面影響呢？	錬金術士の華麗な戦いぶり、見せてあげる！\n……ところで、爆弾って使ってもいい？	Allow me to show you the graceful fighting style of an alchemist! ...By the way, can I use bombs?	就让你看看炼金术士战斗时那华丽的身姿吧！\n话说……我可以用炸弹吗？	讓你瞧瞧鍊金術士華麗的戰鬥方式吧！\n……話說回來，可以用炸彈嗎？
10104	マリー	Marie	玛莉	瑪莉	マルローネ	Marlone	玛洛娜	瑪洛娜	【Bomber Cat】	Bomber Cat	【Bomber Cat】	【Bomber Cat】	おおらかで陽気な錬金術士。\n学生時代は落ちこぼれで、「爆弾娘」の名で知られていたが、今では立派な錬金術士となった。\nこの衣装は錬金党との戦いに向け、爆弾の扱いやすさを考慮して作られたもの。\n今までの経験ゆえ、爆弾の調合やレシピ調整には光るものがある。	A cheerful and easygoing alchemist. Though she was once a school dropout known as the Bomberwoman, she has since become a skilled alchemist. This outfit was designed for the battle against the Polar Night Alchemists, making it easier to handle bombs. Thanks to her experience, her bomb synthesis and recipe adjustments are second to none.	豁达开朗的炼金术士。\n学生时代是吊车尾，有着“炸弹女孩”的名号，但现在已经是独当一面的炼金术士了。\n这身服装是面向炼金党的战斗，为方便使用炸弹而制作的。\n凭借至今积累起来的经验，她在炸弹调合与配方调整方面可圈可点。	性格爽朗大方的鍊金術士。\n學生時代的成績總是吊車尾，以「炸彈女孩」之名廣為人知，如今卻已成為出色的鍊金術士。\n這身服裝是為了迎戰鍊金黨，考量到使用炸彈時的方便性所製作而成。\n由於過去累積的經驗，特別專精於調合炸彈與調整配方。	ここはあたしに任せて！\nみんなのために、道を切り開いてあげるわ！	Just leave this to me! I'll clear the way for everyone!	这里就包在我身上吧！\n我会为了大家开辟道路！	這裡就交給我吧！\n由我來為大家開路！
10201	シア				シア・ドナースターク				【One And Only】				温和な名家のお嬢様。\nマリーの幼馴染で、無二の親友。この世界でもその関係性は変わらず、一緒に採取に出かけたり、マリーの部屋を掃除しに行ってあげたりしている。\n優しく大人しい性格だが、時折天然の毒舌が飛び出してしまうことも。				今までたくさんの人に助けてもらったわ。\n今度は、私が助ける番！			
10301	ミュー	Mu	缪羽	繆羽	ミュー・セクスタンス	Mu Seqstanse	缪羽·塞克丝坦斯	繆羽‧塞克絲坦斯	【南国の冒険者】	The Southern Adventurer	【南国的冒险者】	【南國冒險者】	各地を放浪している冒険者。\n面白いことを求めて、自由気ままに色々な場所を旅している。\n能天気でつかみ所がない性格だが、依頼された仕事はキッチリこなす。暖かい地方で生まれたからか寒い場所は苦手。	A free-spirited adventurer who wanders the land looking for fun and interesting things to do. Though she can seem reckless and hard to pin down, she will see any task given to her through to the end. She dislikes cold places, probably because she was born in a warm climate.	在世界各地流浪的冒险者。\n为寻找有趣的事情而随心所欲地云游四方。\n性格乐天且难以捉摸，但接手的工作会认真完成。出生于温暖的地方，因此很怕冷。	在世界各地流浪的冒險者。\n為追求有趣的事物，隨心所欲地雲遊四海。\n個性輕浮且難以捉摸，但總能確實達成受託的任務。或許是因為出生於溫暖地區，所以很怕冷。	なんか面白そう。\nエヘヘ、あたしもついてっていい？	Sounds like fun.\nHeheh. Mind if I come along?	好像很有趣。\n嘿嘿，我也可以一起去吗？	感覺很有趣。\n嘿嘿，我也可以跟去嗎？
10701	ルーウェン	Ruven	路温	路溫	ルーウェン・フィルニール	Ruven Filnir	路温·芬尔尼鲁	路溫‧芬爾尼魯	【熱血の冒険者】	Hot-Blooded Adventurer	【热血冒险者】	【熱血冒險者】	威勢のいい冒険者の青年。\n冒険者として生計を立てるため、王都を拠点に様々な依頼をこなしている。\n元気がよく前向き。駆け出しの頃はドジを踏むこともあったが、経験を経て成長している。	A spirited young adventurer who makes his living in the capital by fulfilling all kinds of requests. He is energetic and optimistic. Though he suffered many setbacks at first, he has grown through his experiences.	风华正茂的年轻冒险者。\n为了以冒险者的身份维持生计，以王都为据点承接各式各样的委托。\n精力充沛，乐观向上。在新手时期也经历过不少失败，但随着经验的积累而不断成长。	威風凜凜的年輕冒險者。\n為了以冒險者的身分維持生計，遂以王都為根據地而承接著各種委託。\n精力充沛且樂觀向上。初出茅廬時雖曾不慎失誤，但持續積累經驗不斷地成長著。	護衛を探してるのかい？\nそれならオレが適任だぜ！	Looking for a bodyguard?\nYou can count on me!	你在找护卫吗？\n那我就是合适的人选！	你正在找護衛嗎？\n那找我就對了！
12001	エリー	Elie	艾莉	艾莉	エルフィール・トラウム	Elfir Traum	艾菲尔·特劳姆	艾菲爾‧特勞姆	【チーズケーキの申し子】	Cheesecake Connoisseur	【奶酪蛋糕之神的宠儿】	【乳酪蛋糕的奇才】	甘党の錬金術士。\n幼い頃に病気を治してくれた錬金術士に憧れて、自身も錬金術の道を志す。\n真面目で几帳面な性格だが、ちょっとあわてんぼうな一面も。甘いものが大好きで、特にチーズケーキに対しては強いこだわりがある。	A sweet-toothed alchemist. Having been cured of illness as a child through alchemy, she has since devoted herself to its study. While she is serious and precise, she can also get rather flustered at times. A lover of desserts, cheesecakes are a particular weakness of hers.	爱吃甜食的炼金术士。\n因崇拜儿时为自己治病的炼金术士而立志走上炼金术之路。\n平时认真严谨，偶尔也会表现出急躁的一面。喜爱甜食，尤其对奶酪蛋糕颇有讲究。	喜愛甜食的鍊金術士。\n對小時候為自己治病的鍊金術士心生崇拜，於是她也立志成為一名鍊金術士。\n性格認真又一絲不苟，但也有冒失的一面。非常喜歡甜食，尤其對乳酪蛋糕情有獨鍾。	あの人のような、立派な錬金術士になりたい\n――それが私の夢なんです	I want to become a wonderful alchemist, just like that person. That's my dream.	我想成为和那人一样优秀的炼金术士——\n这是我的梦想。	我想成為像她那樣出色的鍊金術士。\n──這就是我的夢想。
13401	リリー	Lilie	莉莉	莉莉	リリー	Lilie	莉莉	莉莉	【Birth of The Legend】	Birth of The Legend	【Birth of The Legend】	【Birth of The Legend】	前向きでおてんばな錬金術士。\nかつてある地方で錬金術の学校の建設に関わっていた。現在は錬金術を一から学び直そうと旅をしている。\n何事にも熱中しやすい性格だが、それがもとで失敗することも。甘いもの全般に目がない。	An optimistic, tomboyish alchemist who was once involved in the establishment of a school for alchemy in a certain area, but is currently on a journey to rebuild her skills from the ground up. While she is quick to get fired up about things, that personality trait is also her downfall. She loves any and all sweet treats.	阳光向上、活泼灵动的炼金术士。\n曾经在某地区参与炼金术学校的建设，现在则为了再次从头学习炼金术而踏上了旅途。\n做任何事都非常容易投入，但也常常因此犯错。热爱所有甜食。	天性樂觀又淘氣的鍊金術士。\n曾經在某個地區參與過鍊金術學校的建設。現在為了從頭開始學習鍊金術而踏上旅途。\n個性很容易對任何事入迷，但有時候也會因此而失敗。對所有甜食都毫無抵抗力。	準備はいいかしら？\nそれでは、授業を始めます――！	Is everyone ready? Well then, let's start the lesson!	准备好了吗？\n那就开始上课——！	準備好了嗎？\n那麼，開始上課──！
15101	ユーディー	Judie	优蒂	優蒂	ユーディット・フォルトーネ	Judith Volltone	优蒂托·弗尔特	優蒂‧佛爾特	【Hero of Tempest】	Hero of Tempest	【Hero of Tempest】	【Hero of Tempest】	おっちょこちょいな錬金術士。\n「竜の砂時計」という道具を作るため、各地を回りながら色々調べているが、資金繰りが厳しく苦労している。\n逆境でも悩んだりせず、即行動に移す決断力を持つが、考えなしに突っ走って騒動を呼んでしまうことも。	A carefree alchemist.\nShe travels the world researching ways to create a special item called the Dragon's Hourglass, but has a hard time finding the funds to do so.\nShe's decisive and doesn't let adversity drag her down. However, her tendency to act without thinking can also land her in trouble.	冒冒失失的炼金术士。\n为了制作道具“龙之沙漏”奔走于各地调查研究，但常因经费捉襟见肘而犯难。\n行事果断，即便身处逆境也不会迷惘，但也曾因行动鲁莽而惹出麻烦。	毛毛躁躁的鍊金術士。\n為製作道具「龍之沙漏」，輾轉各地進行許多調查，但因資金周轉困難，吃盡了苦頭。\n面臨逆境時依然樂觀以對，且擁有當機立斷，即刻採取行動的能力，但有時也會因不經思考就貿然行事而引發騷動。	ここで会えたのも何かの運命かも！\nあたしも一緒に連れてってよ！	It must be fate that we've met here!\nTake me with you, too!	在这里相遇说不定是命中注定！\n带我一起走吧！	或許能在這裡相遇也是一種命運的安排！\n帶我一起走吧！
