id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
1	アトリエ解放	Atelier Unlocked	炼金工房解锁	解鎖鍊金工房	アトリエが解放されました。	The Atelier has been unlocked.	炼金工房已解锁。	已解鎖鍊金工房。
2	レシピ発想解放	Recipes Unlocked	构思配方解锁	解鎖構思配方	レシピ発想が解放されました。	Recipes have been unlocked.	构思配方已解锁。	已解鎖構思配方。
3	クエスト解放	Quests Unlocked	挑战解锁	解鎖挑戰	クエストが解放されました。	Quests have been unlocked.	挑战已解锁。	已解鎖挑戰。
4	グロウボード解放	Growboards Unlocked	成长星图解锁	解鎖成長星圖	グロウボードと光玉クエストが解放されました。	Growboards and Glowing Orb Quests have been unlocked.	成长星图和光玉挑战已解锁。	已解鎖成長星圖及光玉挑戰。
5	ダンジョン解放	Dungeons Unlocked	迷宫解锁	解鎖迷宮	ダンジョンが解放されました。\nダンジョンでは、調合素材を獲得できます。	Dungeons have been unlocked. \nYou can find synthesis materials in dungeons.	迷宫已解锁。\n探索迷宫可以获得调合素材。	已解鎖迷宮。\n在迷宮中可獲得調合素材。
6	ピースクエスト解放	Piece Quests Unlocked	碎片挑战解锁	解鎖碎片挑戰	ピースクエストが解放されました。\nクエスト内の育成クエストから移動できます。	Piece Quests have been unlocked. You can select these through the Training Quests at Quests.	“碎片挑战”已解锁。\n可以从挑战内的育成挑战中进行挑战。	已解鎖碎片挑戰。\n可從挑戰內的育成挑戰移動過去。
7	研究解放	Unlocking Research	研究解锁	解鎖研究	研究が解放されました。\nアトリエから移動できます。	Research has been unlocked. You can select it at the Atelier.	研究已解锁。\n可以从炼金工房前往。	已解鎖研究。\n可從鍊金工房移動過去。
8	極秘クエスト解放	Unlocking Secret Quests	秘密挑战解锁	解鎖極密挑戰	極秘クエストが解放されました。\nクエストから移動できます。	Secret Quests have been unlocked. You can select them at Quests.	秘密挑战已解锁。\n可以从挑战前往。	已解鎖極密挑戰。\n可從挑戰移動過去。
9	育成研究解放	Training Research Unlocked	育成研究解锁	解鎖育成研究	育成研究が解放されました。\nアトリエの研究から移動できます。	Training Research has been unlocked.\nYou can access it from the Atelier's Research section.	育成研究已解锁。\n可以从炼金工房的研究处前往。	已解鎖育成研究。\n可從鍊金工房的研究移動過去。
501	レシピ発想	Recipes	构思配方	構思配方	ここでは条件を満たして発想したレシピを修得することができます。\nレシピを習得すると報酬を獲得することができます。\nレシピの発想条件はアイコンをタップすると確認できます。	You can unlock new recipes when you meet certain conditions. You will also earn rewards when unlocking new recipes. Tap on the recipe icons to check the Idea Requirements for each recipe.	在这里可以学习满足条件并构思完成的配方。\n学习配方可以获得报酬。\n点击图标可以查看配方的构思条件。	在這裡可以習得在滿足條件下構思的配方。\n習得配方後能獲得報酬。\n點擊圖示即可查看配方的構思條件。
502	レシピ発想数報酬	Total Recipe Rewards	配方构思数量报酬	配方構思數量報酬	また、レシピの修得数に応じて獲得できる報酬もあります。	There are also rewards based on the total number of recipes you have unlocked.	此外，学习的配方达到一定数量也可以获得相应报酬。	此外，也有能根據配方的習得數量獲得的報酬。
503	レシピ発想報酬	Recipes Rewards	构思配方报酬	構思配方報酬	レシピを修得すると報酬を獲得することができます。\nまた、レシピの修得数に応じて獲得できる報酬もあります。	There are rewards for obtaining recipes, as well as rewards based on the total number of recipes you have obtained.	学习配方可以获得报酬。\n此外，学习的配方达到一定数量也可以获得相应报酬。	習得配方就能獲得報酬。\n此外，也有根據配方的習得數量能獲得的報酬。
601	パーティ編成	Editing Your Party	编成队伍	編輯隊伍	バトルに出撃するキャラと戦闘アイテムの編成ができます。\n編成中のキャラもしくは＋ボタンをタップすることで、\n編成したいキャラを選択することができます。	Here, you can change the characters in your party and the battle items that you take with you into battle. Tap on a selected character or the + button to change the characters in your party.	可以编成战斗中出击的角色和战斗道具。\n点击已编成的角色或＋按钮，\n可以选择想编成的角色。	能夠編輯參加戰鬥的出擊角色及戰鬥道具。\n點擊組隊中的角色或點擊＋按鈕，\n便能選擇想要組隊的角色。
602	リーダー	Leader	队长	隊長	パーティでは1名のキャラがリーダーに任命されます。\nリーダーはリーダースキルを発動し、パーティを強化します。\nパーティ編成と同じように、リーダーも変更することができます。	You can select one character as the leader of your party. The leader will activate their Leader Skill, increasing the strength of your party. You can change your leader at any time you can change your party lineup.	可在队伍中任命1名角色为队长。\n队长可发动队长技能，强化队伍。\n与队伍编成一样，队长也可以更换。	隊伍中可指派1名角色擔任隊長。\n隊長可發動隊長技能強化隊伍。\n和編輯隊伍一樣，也可變更隊長人選。
603	装備	Equipment	装备	裝備	右上のボタンをタップすることで\nキャラの装備を変更することができます。\nここで変更した装備は他のパーティには影響しません。	Tap the button on the top right of the screen to change your Characters' equipment. Any equipment changed here will not affect other parties.	点击右上方的按钮可以更换角色装备。\n在这里更换装备不会影响其他队伍。	點擊右上方的按鈕，\n就能變更角色的裝備。\n在這裡變更的裝備不會影響其他隊伍。
604	マイセット	Saved Set	自定义套装	自訂組合	装備変更ダイアログ内の右端にあるマイセットボタンを使うことで、\n登録したメモリア・装備アイテムのセットを\n呼び出して装備することができます。	"By using the ""Saved Set"" button on the far right of the equipment change dialog, you can load and equip a saved set of Memoria and equipment."	使用更换装备对话框右侧的“自定义套装”按钮，\n可以调出已保存的回忆和装备道具套装\n进行装备。	點擊變更裝備視窗內右側的自訂組合按鈕，\n即可套用並裝備\n已登錄的回憶和裝備道具組合。
605	アイテム編成	Editing Your Items	编成道具	編輯道具	左下のボタンをタップすることで、\nバトルに持っていくアイテムを選択することができます。\n通常クエストとダンジョンで編成できるアイテムの数は異なります。	Tap the button on the lower left of the screen to select the battle items you will take into battle. Normal quests and dungeons will allow for different quantities.	点击左下的按钮，\n可以选择带去战斗的道具。\n普通挑战和迷宫中可编成的道具数量不同。	只要點擊左下方的按鈕，\n就能選擇要帶到戰鬥中使用的道具。\n能在戰鬥中使用的道具數量會依普通挑戰與迷宮而異。
606	おまかせ選択	Auto Select	自动选择	自動選擇	「おまかせ選択」ボタンをタップすると、\n自動でキャラやアイテム、装備品を編成することができます。	By tapping the Auto Select button, you can automatically select characters, items, and equipment for your party.	点击“自动选择”按钮，\n可以自动编成角色、道具和装备。	點擊「自動選擇」按鈕，\n就能自動編輯隊伍中的角色、道具及裝備。
