id	description	description_en	description_zh-CN	description_zh-TW	popup_text	popup_text_en	popup_text_zh-CN	popup_text_zh-TW
1034								
1035								
1039								
1040								
3000001	突属性のダメージ{0}%アップ	Boosts Stab damage by {0}%.	突刺属性的伤害提升{0}%。	突屬性傷害上升{0}%。				
3000002	斬属性のダメージ{0}%アップ	Boosts Slash damage by {0}%.	斩击属性的伤害提升{0}%。	斬屬性傷害上升{0}%。				
3000003	打属性のダメージ{0}%アップ	Boosts Strike damage by {0}%.	打击属性的伤害提升{0}%。	打屬性傷害上升{0}%。				
3000004	火属性のダメージ{0}%アップ	Boosts Fire damage by {0}%.	火属性的伤害提升{0}%。	火屬性傷害上升{0}%。				
3000005	氷属性のダメージ{0}%アップ	Boosts Ice damage by {0}%.	冰属性的伤害提升{0}%。	冰屬性傷害上升{0}%。				
3000006	雷属性のダメージ{0}%アップ	Boosts Bolt damage by {0}%.	雷属性的伤害提升{0}%。	雷屬性傷害上升{0}%。				
3000007	風属性のダメージ{0}%アップ	Boosts Air damage by {0}%.	风属性的伤害提升{0}%。	風屬性傷害上升{0}%。				
3000008	物理攻撃のダメージ{0}%アップ	Boosts physical attack damage by {0}%.	物理攻击的伤害提升{0}%。	物理攻擊傷害上升{0}%。				
3000009	魔法攻撃のダメージ{0}%アップ	Boosts magic attack damage by {0}%.	魔法攻击的伤害提升{0}%。	魔法攻擊傷害上升{0}%。				
3000010	スキル威力{0}%アップ	Boosts skill power by {0}%.	技能威力提升{0}%。	技能威力上升{0}%。				
3000011	スキルダメージ{0}%アップ	Boosts skill damage by {0}%.	技能伤害提升{0}%。	技能傷害上升{0}%。				
3000012	ブレイクダメージ{0}%アップ	Boosts stun damage by {0}%.	破防伤害提升{0}%。	破防傷害上升{0}%。				
3000013	物理属性攻撃のブレイクダメージ{0}%アップ	Boosts physical stun damage by {0}%.	物理属性攻击的破防伤害提升{0}%。	物理屬性攻擊破防傷害上升{0}%。				
3000014	魔法属性攻撃のブレイクダメージ{0}%アップ	Boosts magic stun damage by {0}%.	魔法属性攻击的破防伤害提升{0}%。	魔法屬性攻擊破防傷害上升{0}%。				
3000015	HPが50%以下の時、ブレイクダメージ{0}%アップ	Boosts stun damage by {0}% when HP is 50% or lower.	HP不高于50%时，破防伤害提升{0}%。	HP在50%以下時，破防傷害上升{0}%。				
3000016	HPが最大の時、ブレイクダメージ{0}%アップ	Boosts stun damage by {0}% when at full HP.	HP为最大值时，破防伤害提升{0}%。	HP達最大值時，破防傷害上升{0}%。				
3000017	アタッカーへのダメージバフ{0}%アップ	Boosts effects of damage buffs to Attackers by {0}%.	对攻击者的伤害增益提升{0}%。	對攻擊者的傷害增益上升{0}%。				
