id	description	description_en	description_zh-CN	description_zh-TW
1003	ララは回復し、自身の能力を高めた！	Lara recovered and enhanced her abilities!	拉拉恢复并提升了自身能力！	拉拉已回復，並提高自身的能力！
1004	鴉は感覚を研ぎ澄ませ、自身の能力を高めている！	Crow sharpened her senses and enhanced her abilities!	鸦集中感觉，提升了自身能力！	烏鴉使感覺清澄犀利，提高自身的能力！
1005	魔石の傀儡はみんなを回復させた！	The Fairystone Puppet recovered everyone!	魔石傀儡为同伴进行了恢复！	魔石傀儡讓大家都回復了！
1006	仲間を失い怒っている！	Went into a rage after losing an ally!	因为失去同伴而狂暴化了！	為失去夥伴而憤怒！
1007	魔王の攻撃は苛烈を極めていく	The Demon King's attacks are getting more ferocious.	魔王的攻击愈发猛烈。	魔王的攻擊變得極其猛烈。
1008	自身の能力を高めた！	Enhanced own abilities!	自身能力提升了！	已提高自身的能力！
1009	苦手な攻撃を受けてびっくりした！	Startled by a dreaded attack!	弱点遭到攻击，吓了一跳！	受到不擅於應付的攻擊，嚇了一跳！
1010	赤ぷには仲間を強化した！	The Red Puni enhanced its allies!	红噗尼强化了友方！	紅噗尼強化了夥伴！
1011	体勢が変化した！	Changed stance!	架势发生改变！	態勢改變了！
1012	ボスは不思議な力を放出している！	The boss is emitting a mysterious power!	头目发动了神奇之力！	頭目正散發出神奇之力！
1014	この……王の前に跪きなさい！	Why you...! Kneel before your Queen!	向本王……俯首称臣吧！	可惡……在王的面前還不跪下！
1015	花ぷにが瘴気をばら撒いた！	The Flower Puni dispersed miasma!	花噗尼散发出了瘴气！	花噗尼四處噴發了瘴氣！
1016	体勢を崩した！	Downed!	已打乱架势！	失去平衡了！
1017	味方のクリティカル発生確率がUP！	Boosted critical rate for allies!	我方发动暴击概率提升！	我方的重擊發生率上升！
1018	ゴーレムは慌てている！	The Golem is panicked!	魔巨人陷入了慌乱！	魔巨人陷入驚慌！
1019	猛攻を仕掛けてくる！	A fierce attack is coming!	即将发动猛攻！	即將發動猛攻！
1020	本体は不思議な力で守られている…	The body is protected by a mysterious force...	主体被神奇之力保护着……	本體受到神奇之力保護著……
1021	右腕が破壊され、力が少し弱まった！	Right arm destroyed, power slightly weakened!	右臂被破坏，力量减弱了一点！	右臂遭到破壞，力量稍微減弱了！
1022	左腕が破壊され、防御が少し弱まった！	Left arm destroyed, defenses slightly weakened!	左臂被破坏，防御减弱了一点！	左臂遭到破壞，防禦稍微減弱了！
1023	本体の守りが解けた！	The protection around the body has fallen!	主体的保护解除了！	本體解除守備了！
1024	とても強い力が放出された！	A tremendous power has been unleashed!	释放出了非常强大的力量！	釋放出了極為強大的力量！
1025	今の攻撃が効いているようだ！	That attack seemed quite effective!	刚才的攻击似乎奏效了！	剛才的攻擊似乎很有效！
1026	動きが鈍くなった！	Its movements have slowed down!	动作变得迟钝了！	行動變遲鈍了！
1027	不思議な力を放出した！	Emits a mysterious power!	释放了神奇的力量！	釋放出了神奇之力！
1028	ピリピリした空気が辺りを包む…！	A crackling tension envelops the area!	令人刺痛的空气覆盖了这一带……！	周遭籠罩著帶電的空氣……！
