id	name	name_en	name_zh-CN	name_zh-TW
10001004	青ぷに	Blue Puni	蓝噗尼	藍噗尼
10001005	青ぷに	Blue Puni	蓝噗尼	藍噗尼
10001006	青ぷに	Blue Puni	蓝噗尼	藍噗尼
10001007	青ぷに	Blue Puni	蓝噗尼	藍噗尼
10001008	青ぷに	Blue Puni	蓝噗尼	藍噗尼
10001009	青ぷに	Blue Puni	蓝噗尼	藍噗尼
10001010	青ぷに	Blue Puni	蓝噗尼	藍噗尼
10001011	青ぷに	Blue Puni	蓝噗尼	藍噗尼
10001012	青ぷに			
10001013	青ぷに			
10001014	青ぷに			
10001015	青ぷに			
10002001	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002002	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002003	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002004	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002005	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002006	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002007	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002008	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002009	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002010	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002011	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002012	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002013	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002014	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002015	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002016	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002017	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002018	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002019	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002020	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002021	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002022	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002023	緑ぷに	Green Puni	绿噗尼	綠噗尼
10002024	緑ぷに	Green Puni	绿噗尼	綠噗尼
10004001	オオイタチ	Giant Weasel	大鼬	大鼬
10004002	オオイタチ	Giant Weasel	大鼬	大鼬
10004003	オオイタチ	Giant Weasel	大鼬	大鼬
10004004	オオイタチ	Giant Weasel	大鼬	大鼬
10004005	オオイタチ	Giant Weasel	大鼬	大鼬
10004006	オオイタチ	Giant Weasel	大鼬	大鼬
10004007	オオイタチ	Giant Weasel	大鼬	大鼬
10004008	オオイタチ			
10005001	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005002	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005003	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005004	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005005	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005006	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005007	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005008	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005009	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005010	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005011	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005012	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005013	ブルーフィン	Bluefin	蓝鳍鼬	藍鰭鼬
10005014	ブルーフィン			
10005015	ブルーフィン			
10008001	つのひつじ	Horned Sheep	角绵羊	角綿羊
10008002	つのひつじ	Horned Sheep	角绵羊	角綿羊
10008003	つのひつじ	Horned Sheep	角绵羊	角綿羊
