id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
1	ダメージコンテスト 斬属性	Damage Contest: Slash	伤害竞赛 斩击属性	傷害競賽 斬屬性				
2	ダメージコンテスト 雷属性	Damage Contest: Bolt	伤害竞赛 雷属性	傷害競賽 雷屬性				
3	ダメージコンテスト 風属性	Damage Contest: Air	伤害竞赛 风属性	傷害競賽 風屬性				
4	ダメージコンテスト 打属性	Damage Contest: Strike	伤害竞赛 打击属性	傷害競賽 打屬性				
5	ダメージコンテスト 氷属性	Damage Contest: Ice	伤害竞赛 冰属性	傷害競賽 冰屬性				
6	ダメージコンテスト 突属性	Damage Contest: Stab	伤害竞赛 突刺属性	傷害競賽 突屬性				
7	ダメージコンテスト 火属性	Damage Contest: Fire	伤害竞赛 火属性	傷害競賽 火屬性				
104	決戦！戦士の大鎧	To Battle! Heavy Warrior Armor	决战！战士的大铠	決戰！戰士的大鎧				
105	決戦！戦士の大鎧	To Battle! Heavy Warrior Armor	决战！战士的大铠	決戰！戰士的大鎧				
201	ザールブルグの錬金術士　～受け継がれる思い～	The Alchemist of Salburg: Inherited Feelings	萨尔布鲁克的炼金术士 ～思念传承～	薩爾布魯克的鍊金術士　～被繼承的意念～	「異邦人」としてフリーゲンの村へやって来た\n錬金術士リリーは、病に苦しむ人を救うため\nレスナと共に奔走する。その途中、同じく\n錬金術士であるエリーと出会う。どうやら\n彼女もリリーと同じ世界から来たようだが――？	The alchemist Lilie arrives in the village of Friegen as a wanderer, where she and Resna find the villagers plagued by a debilitating illness. While helping the people of Friegen, they encounter Elie, another alchemist, who appears to be from Lilie's world...	“异邦人”炼金术士莉莉来到了弗里根村。\n莉莉和蕾斯娜联手为救治被病痛折磨的患者四处奔波，\n途中结识了另一位炼金术士——艾莉。\n而艾莉似乎与莉莉来自同一个世界……？	鍊金術士莉莉以「異邦人」的身分來到弗里岡村，\n為了拯救遭受病痛折磨的人們，\n與蕾斯娜一起四處奔波。\n途中，她們遇到了同為鍊金術士的艾莉。\n她似乎和莉莉也是來自同一個世界──？
203	ザールブルグの錬金術士　～受け継がれる思い～	The Alchemist of Salburg: Inherited Feelings	萨尔布鲁克的炼金术士 ～思念传承～	薩爾布魯克的鍊金術士　～被繼承的意念～				
205	ザールブルグの錬金術士 ～受け継がれる思い～	The Alchemist of Salburg: Inherited Feelings	萨尔布鲁克的炼金术士 ～思念传承～	薩爾布魯克的鍊金術士～被繼承的意念～				
301	勇者レスナの大冒険　～囚われの姫君～	Resna the Hero's Great Adventure: The Imprisoned Princess	勇者蕾斯娜的大冒险 ～被囚禁的公主～	勇者蕾斯娜的大冒險　～被囚禁的公主～	これは、遠いどこかの物語ーー。\n魔王に連れ去られてしまったメルル姫。\n姫を助けるべく、かつての勇者の弟子である\nレスナが仲間を集めて魔王討伐へ！\n無事姫を助け出すことができるのか！？	Hark! A tale from a distant land... Princess Meruru has been spirited away. The mantle of hero falls upon Resna, a former hero's disciple, to enlist the help of noble allies to vanquish the demon king and rescue the princess! Will she prove triumphant?	这个故事发生在遥远的地方ーー\n公主梅露露被魔王掳走。为了拯救公主，前勇者的徒弟蕾斯娜集结同伴，前去讨伐魔王！\n一行人能够平安救出公主吗？！	這是發生在某個遙遠之地的故事──\n梅露露公主遭到魔王擄走。\n為了拯救公主，身為前任勇者之弟子的蕾斯娜，\n召集夥伴，前往討伐魔王！\n她能順利救出公主嗎！？
302	魔封じの遺跡	Ruins of the Sealed Demon	封魔遗迹	封印魔王的遺跡	かつて伝説の勇者が訪れたとされる洞窟。先へ進むほど暗く険しくなっていき、その最奥には「とこしえの霊剣」に必要な素材「聖銀石」が眠っているらしい。	Within the deepest, darkest depths of a cave once graced by the footsteps of a hero is the fabled resting place of a rare Celestial Silver Stone: the key to forging the Eternal Sword.	传闻称这是传说中的勇者曾到访过的洞窟。越往里走，洞窟就愈发深邃难行。据说洞窟的最深处沉睡着打造“悠久灵剑”所需的素材“圣银石”。	相傳從前的傳說勇者曾經來過這個洞窟。此處越是往前邁進，就越是陰暗險峻，而最深處似乎就沉眠著「永恆靈劍」所需的素材「聖銀石」。
305	勇者レスナの大冒険 ～囚われの姫君～	Resna the Hero's Great Adventure: The Imprisoned Princess	勇者蕾斯娜的大冒险 ～被囚禁的公主～	勇者蕾斯娜的大冒險　～被囚禁的公主～				
