id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
1	フランベルジュ	Flamberge	焰形剑	波焰劍	追加効果なし	No additional effects.	无额外效果。	無追加效果。
2	旅人のベスト	Traveler's Vest	旅人背心	旅人背心	追加効果なし	No additional effects.	无额外效果。	無追加效果。
3	エナジーペンダント	Energy Pendant	能量坠饰	能量墜飾	追加効果なし	No additional effects.	无额外效果。	無追加效果。
4	お手製の杖	Handmade Staff	手工杖	手工手杖	追加効果なし	No additional effects.	无额外效果。	無追加效果。
5	混合毛のシャツ	Mixed Fur Shirt	混合毛衬衫	混毛襯衫	追加効果なし	No additional effects.	无额外效果。	無追加效果。
6	ウサギのシッポ	Bunny Tail	兔子的尾巴	兔子的尾巴	追加効果なし	No additional effects.	无额外效果。	無追加效果。
7	蒼穹の弓	Blue Sky Bow	苍穹之弓	蒼穹之弓	追加効果なし	No additional effects.	无额外效果。	無追加效果。
8	ノーブルチュニック	Noble Tunic	贵族外衣	尊貴上衣	追加効果なし	No additional effects.	无额外效果。	無追加效果。
9	うに型チャーム	Uni Charm	海胆挂饰	海膽掛飾	追加効果なし	No additional effects.	无额外效果。	無追加效果。
10	バトルアクス	Battle Axe	战斧	戰斧	物理攻撃スキルダメージ+{0}%	Boosts physical skill damage by {0}%.	物理攻击的技能伤害+{0}%。	物理攻擊技能傷害+{0}%。
11	レザープロテクター	Leather Protector	护身皮甲	護身皮甲	魔法攻撃スキルダメージ+{0}%	Boosts magic skill damage by {0}%.	魔法攻击的技能伤害+{0}%。	魔法攻擊技能傷害+{0}%。
12	モノクログラス	Monochrome Glasses	黑白眼镜	黑白眼鏡	物理攻撃から受けるダメージ-{0}%	Reduces damage received from physical attacks by {0}%.	来自物理攻击的伤害-{0}%。	所受物理攻擊傷害-{0}%。
13	軽い鉄の杖	Light Iron Staff	轻巧铁杖	輕巧鐵杖	魔法攻撃ブレイクダメージ+{0}%	Boosts magic stun damage by {0}%.	魔法攻击的破防伤害+{0}%。	魔法攻擊破防傷害+{0}%。
14	ハードコート	Hard Coat	坚硬外套	硬質外套	物理攻撃ブレイクダメージ+{0}%	Boosts physical stun damage by {0}%.	物理攻击的破防伤害+{0}%。	物理攻擊破防傷害+{0}%。
15	ルーンストーン	Runestone	符文石	符文石	魔法攻撃から受けるダメージ-{0}%	Reduces damage received from magic attacks by {0}%.	来自魔法攻击的伤害-{0}%。	所受魔法攻擊傷害-{0}%。
16	鉄鉤	Iron Claws	铁钩	鐵鉤	与えるマイナス効果量+{0}%	Boosts potency of negative effects inflicted by {0}%.	给予的负面效果量+{0}%。	賦予減弱效果量+{0}%。
17	ボルダースケイル	Border Scale	巨鳞铠甲	巨鱗鎧甲	与える強化効果量+{0}%	Boosts potency of buff effects given by {0}%.	给予的强化效果量+{0}%。	賦予強化效果量+{0}%。
18	精霊の首飾り	Spirit Necklace	精灵的项链	精靈的項鍊	単体物理攻撃から受けるダメージ-{0}%	Reduces physical damage received from single-target attacks by {0}%.	来自单体物理攻击的伤害-{0}%。	所受單體物理攻擊傷害-{0}%。
19	癒しの杖	Healing Staff	治愈之杖	治癒之杖	与えるHP回復量+{0}%	Boosts HP recovery given by {0}%.	给予的HP恢复量+{0}%。	賦予HP回復量+{0}%。
20	風来人のシャツ	Wanderer's Shirt	浪人衬衫	浪人襯衫	受けるHP回復量+{0}%	Boosts HP recovery received by {0}%.	所受HP恢复量+{0}%。	所受HP回復量+{0}%。
21	クォーツネックレス	Quartz Necklace	石英项链	石英項鍊	全体攻撃から受けるダメージ-{0}%	Reduces damage received from attacks that hit all allies by {0}%.	来自全体攻击的伤害-{0}%。	所受全體攻擊傷害-{0}%。
22	闘志のマフラー	Battle Scarf	斗志围巾	鬥志圍巾	自身がアタッカーの時、受けるダメージ-{0}%	While equipped to an Attacker, reduces damage received by {0}%.	自身为攻击者时，所受伤害-{0}%。	自身為攻擊者時，所受傷害-{0}%。
23	闘志のマフラー	Battle Scarf	斗志围巾	鬥志圍巾	自身がアタッカーの時、受けるダメージ-{0}%	While equipped to an Attacker, reduces damage received by {0}%.	自身为攻击者时，所受伤害-{0}%。	自身為攻擊者時，所受傷害-{0}%。
