id	name	name_en	name_zh-CN	name_zh-TW
1	決戦！戦士の大鎧	To Battle! Heavy Warrior Armor	决战！战士的大铠	決戰！戰士的大鎧
2	ザールブルグの錬金術士 ～受け継がれる思い～	The Alchemist of Salburg: Inherited Feelings	萨尔布鲁克的炼金术士 ～思念传承～	薩爾布魯克的鍊金術士～被繼承的意念～
3	300万DL記念	5M Worldwide DL Celebration	全球500万次下载纪念	全球500萬次下載紀念
4	決戦！ハロウィンぷに	Showdown! Halloween Puni	决战！万圣节噗尼	決戰！萬聖節噗尼
5	リディー＆スールの日常 〜ふたりが描く家族の思い出〜	Lydie & Suelle's Everyday Lives ~A Shared Canvas of Memories~	莉迪＆苏瑞的日常～两人细数家人的回忆～	莉迪＆蘇瑞的日常～兩人描繪的家族回憶～
6	忘却の賢者と秘密の楽園	Sage of Oblivion & the Secret Paradise	忘却的贤者与秘密的乐园	忘卻的賢者與秘密的樂園
7	ライザからの挑戦状	Ryza's Challenge	莱莎的挑战书	萊莎的挑戰書
8	星降る夜の贈りもの	Gifts on a Starry Night	繁星之夜的礼物	繁星灑落之夜的贈禮
9	マリーの招福大作戦！	Marie's Fortune Frenzy!	玛莉的招福大作战！	瑪莉的招福大作戰！
10	大量コールを手に入れろ！ゴールドぷにチャレンジ	Get a Ton of Cole! The Gold Puni Challenge	获得大量克尔吧！金噗尼挑战	來獲得大量克隆吧！挑戰金噗尼
11	二人のシャリーと母の願い	Two Shallies and a Mother's Wish	两个夏莉与母亲的心愿	兩個夏莉與母親的願望
12	週末！クッキーミッション	Weekend! Cookie Missions	周末！曲奇任务	週末！餅乾任務
13	乙女たちのチョコレートミックス	Valentine's Chocolate Mix	少女们的混合巧克力	少女們的綜合巧克力
14	アーランドの錬金術士 〜迷子の少女と雪の帰り道〜	The Alchemist of Arland: The Lost Girl & the Snowy Road Home	亚兰德之炼金术士 ～迷路的少女和皑皑回家路～	亞蘭德之鍊金術士 ～迷路少女與雪中歸途～
15	半周年前夜祭！調合ボーナスキャンペーン	Half-Year Anniversary Prelude! Synthesis Bonus Campaign	半周年前夜祭！调合奖励活动	半週年前夜祭！調合獎勵活動
16	アイテム大戦 第1弾	Item War: Part 1	道具大战 第1弹	道具大戰 第1彈
17	半周年記念プレゼントバトル	Half-Year Anniversary Present Battle	半周年纪念赠礼战斗	半週年紀念獻禮戰鬥
18	チャレンジバトル ジェロン	Challenge Battle: Geron	挑战战斗 杰隆	挑戰戰鬥 傑隆
20	チャレンジバトル ララ	Challenge Battle: Lara	挑战战斗 拉拉	挑戰戰鬥 拉拉
21	アイテム大戦 第2弾	Item War: Part 2	道具大战 第2弹	道具大戰 第2彈
22	チャレンジバトル 鴉	Challenge Battle: Crow	挑战战斗 鸦	挑戰戰鬥 烏鴉
23	アイテム大戦 第3弾	Item War: Part 3	道具大战 第3弹	道具大戰 第3彈
24	半周年記念 目指せ100回！調合チャレンジ	Half-Year Anniversary: Aim for 100! Synthesis Challenge	半周年纪念 冲击100次！调合挑战	半週年紀念 目標100次！調合挑戰
25	全員必修！マリオン先生の特別試験！	Mandatory for All! Ms. Marion's Special Exam!	全员必修！玛丽翁老师的特别考试！	全員必修！瑪麗翁老師的特別考試！
26	レスレリ学園 ～退学！？　いきなり大ピンチ～	Resleriana Academy - Expelled?! Suddenly in Big Trouble!	蕾斯莱莉娅娜学园 ～退学？！突如其来的危机～	蕾斯萊莉婭娜學園 ～退學！？　突如其來的巨大危機～
27	マリー先生の放課後ミッション！	Ms. Marie's After-School Missions!	玛莉老师的课外任务！	瑪莉老師的課後任務！
28	ザスキア先生の新入生歓迎ミッション！	Ms. Saskia's Welcome Missions for New Students!	萨丝琪亚老师的迎新任务！	薩絲琪亞老師的迎新任務！
29	アイテム大戦 〜学園錬金祭編〜	Item War – Academy Alchemy Festival Edition	道具大战 ～学园炼金庆典篇～	道具大戰 ～學園鍊金祭篇～
30	【初級】空まで届け！ロケットコンテスト！	[Easy] To the Skies! Rocket Contest!	【初级】触摸天空！火箭大赛！	【初級】衝向高空！火箭競賽！
31	【中級】天まで届け！ロケットコンテスト！	[Normal] To the Heavens! Rocket Contest!	【中级】直冲云霄！火箭大赛！	【中級】飛向天際！火箭競賽！
32	【上級】火山まで届け！ロケットコンテスト！	[Hard] To the Volcano! Rocket Contest!	【高级】直冲火山！火箭大赛！	【上級】奔向火山！火箭競賽！
33	【超級】宇宙まで届け！ロケットコンテスト！	[Elite] Shoot for the Stars! Rocket Contest!	【超级】直冲太空！火箭大赛！	【超級】飛向宇宙！火箭競賽！
34	レスレリ学園 ～激闘の錬金祭！～	Resleriana Academy - An Intense Alchemy Festival!	蕾斯莱莉娅娜学园 ～难解难分的炼金庆典！～	蕾斯萊莉婭娜學園 ～激戰的鍊金祭！～
