id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
201	いざ、海の家作り！	Let's Build a Beach House!	来建造海边小屋吧！	開始打造海之家！	海でのバカンスを満喫すべく、ヴァレリア、ライザ先輩、クラウディアさんとハイネ州の海を訪れることになりました。ところが、海辺に魔物が現れるせいで観光客が寄り付かなくなってしまい、花火大会の実施が危ぶまれているとのこと。そこで、皆さんと協力して観光客が戻ってくるよう、錬金術で海の家を作って盛り上げることになりました！\nまずは水着のお披露目会。ライザ先輩は、先輩らしい健康的でかわいい水着。ヴァレリアとクラウディアさんは、それぞれ違う方向性のかっこいい水着。私も、イザナちゃんに選んでもらった水着を披露しちゃいました。\nまずは大きな日傘から作ることに！　頑張るぞ！（レスナ）	Valeria, Ryza, Klaudia and I have decided to visit the sea in Haine to enjoy a vacation by the beach. However, due to the appearance of monsters on the shore, tourists are staying away, and the fireworks festival is in danger of being canceled. We've decided to work together and use alchemy to build a beach house to bring the tourists back!\nFirst, we held a swimsuit fashion show. Ryza wore a cute swimsuit that suited her perfectly, while Valeria and Klaudia both wore more stylish swimsuits that matched their unique styles. I also showed off the swimsuit Izana picked out for me.\nWe decided to start by making a large beach umbrella! Now let's work at making the Beach House bigger and better! (Resna)	为尽情享受海滨假日，我和瓦莱莉娅、莱莎前辈、科洛蒂娅小姐一起来到了海涅州的海边。可是，海边出现了魔物，游客们都不敢靠近，影响到了烟花大会的正常举办。于是大家决定用炼金术联手建造海边小屋，炒热气氛来吸引游客回归！\n首先是泳装展示会。莱莎前辈的泳装很有她的风格，健康而又可爱。而瓦莱莉娅和科洛蒂娅小姐各自穿上了不同风格的帅气泳装。我也展示了一下伊札娜帮我挑选的泳装。\n我们的第一个任务是制作一把大遮阳伞！我要加油！（蕾斯娜）	我與瓦萊莉婭、萊莎前輩、科洛蒂婭小姐造訪了海涅州的海岸，想盡情享受海邊假期。沒想到海邊卻出現了魔物，遊客都不敢靠近，煙火大會也快要辦不成了。所以我們決定和大家同心協力，使用鍊金術打造海之家炒熱氣氛，讓遊客重返海邊！\n大家先換上了自己的泳裝。萊莎前輩的泳裝充滿活力又可愛，很有前輩的風格。瓦萊莉婭與科洛蒂婭小姐的泳裝都很帥氣，兩人的主題各自不同，而我也穿上了伊札娜為我挑選的泳裝。\n決定要先做一把很大的陽傘！　我要加油！（蕾斯娜）
202	日差しに打ち勝て！	Conquer the Sun!	战胜烈日！	戰勝陽光吧！	ヴァレリアと海で遊んでたら、人間みたいな顔の魚を捕獲！　そしたら「私も見たい」って声が聞こえてきた。\n振り返ると、レスナとクラウディアが日傘の下に。二人で日陰に入って休んでたんだって。\n二人もあたしたちに合流して一緒に遊ぶことになったんだけど、その後もレスナはちょくちょく日傘の下で休憩してたみたい。もうちょっと日差しに強くなりたいって言ってたけど、心配しなくても大丈夫だよ！\n毎日遊んでたらすぐに慣れる！　島育ちが言うんだから間違いない！（ライザ）	"While playing on the beach with Valeria, we caught a fish with a face that looked almost human! After we caught it, we heard a voice say, ""Let me see!""\nWe turned around and saw Resna and Klaudia resting under the beach umbrella.\nThey joined us at first, but Resna kept wanting to take breaks under the umbrella. She said she wished she could handle the sun better, but she shouldn't worry!\nIf you play in the sun every day, you get used to it in no time! That's coming from someone who grew up on an island, so you can trust me on this! (Ryza)"	和瓦莱莉娅在海里戏水的时候，抓到了长着人脸的鱼！然后就听到有人在喊“也给我看看”。\n回头一看，之前在阴凉处休息的蕾斯娜和科洛蒂娅打着遮阳伞走了过来。\n她们两个来跟我们会合后，大家决定一起做游戏，可蕾斯娜动不动就躲去遮阳伞底下休息。蕾斯娜说想克服怕日晒的弱点，我说这点小事不用担心！\n每天这么玩，很快就会习惯的！我可是在岛上长大的，我的话准没错！（莱莎）	我和瓦萊莉婭在海裡玩水時，抓到了一條臉長得像人的魚！　這時我們身後傳來「我也想看看」的聲音。\n轉過頭，看見蕾斯娜與科洛蒂婭待在陽傘下，原來她們躲在陰涼處休息啊。\n雖然兩人之後也過來和我們一起玩，但蕾斯娜好像時不時便會躲到陽傘下休息。她曾說過想要更耐曬一點，不過我覺得不必擔心！\n只要每天玩耍，馬上就會習慣了！　我是在島上長大的，聽我的準沒錯！（萊莎）
203	いけない気分	Teasing Touch	不可言喻的感受	感覺不太妙	錬金術で日焼け止め用の軟膏を作ったところ、クラウディアさんに「背中に塗ってほしい」と頼まれてしまいました！\n最初は畏れ多いと緊張していたのですが……手が背中に触れるたびにびくっと反応するので、面白くなってついくすぐってしまいました。クラウディアさんはくすぐったがりみたいです。\nおかげで仲良くなれた気がしますが、「明日は私がお返しで塗りますね」と言われてしまいました。\nまずい、やり返されちゃう……！（レスナ）	"I made some sunscreen using alchemy, and Klaudia asked me to put some on her back!\nAt first I was nervous, but seeing her twitch every time my hand touched her back was quite funny, so I ended up tickling her a little. Turns out Klaudia is very ticklish!\nI feel like we really bonded over it, but she said, ""I'll return the favor tomorrow.""\nOh no, she's going to get back at me! (Resna)"	我用炼金术做了防晒霜，科洛蒂娅小姐来问我能不能帮她涂一下背！\n一开始我还有点紧张，担心冒犯她……但每次手碰到她的背，她就会抽动一下，实在太有意思了，我不自主地就开始挠她痒痒。科洛蒂娅小姐好像喜欢被人挠痒痒。\n感觉经过这件事，我们的关系拉近了不少。不过她说明天她也要帮我涂……\n完了，要被报复了……！（蕾斯娜）	我用鍊金術做出防曬用的軟膏後，科洛蒂婭小姐拜託我「幫她塗在背後」！\n一開始實在太過惶恐，所以非常緊張……但每當我的手碰到她的背時，科洛蒂婭小姐都會嚇到縮一下。出於玩心，我忍不住搔了她癢。科洛蒂婭小姐似乎很怕癢的樣子。\n多虧這件事，我感覺和她變得更要好了，但她卻跟我說：「做為謝禮，明天換我幫妳塗。」\n糟糕，她要來報復我了……！（蕾斯娜）
204	魔法の椅子？	Magical Chair?	魔法椅子？	魔法椅子？	クラウディアとデッキチェアでゆったり過ごしたわ。\nレスナとライザがやたらこっちを見てくるからどうしたのかと思ったら、「普段よりも大人の雰囲気が漂っている」「確かに、なんだか絵になってるかも」だって。\nまさかそんな風に見えてたなんて。会話の内容はぜんぜん大人っぽくなかったんだけど……。\nあの椅子は座るだけで大人っぽく見えるみたい。それなら私でも簡単だわ（ヴァレリア）	"I spent some time relaxing on a deck chair with Klaudia.\nResna and Ryza kept looking over and saying things like, ""You two look so mature,"" and, ""It's like a scene from a painting.""\nI never realized that we looked anything like that. Our conversations certainly weren't mature at all...\nI guess just sitting in that chair made us look more mature or something. If that's all it takes, I guess it's easier than I thought! (Valeria)"	我和科洛蒂娅在沙滩椅上悠闲地休息了一下。\n蕾斯娜和莱莎不知为什么总往我这边看，还说什么“有种不同于平时的成熟魅力”“是啊，像一幅画一样”。\n原来她们是这么看我的吗？我们聊的内容一点都不成熟啊……\n好像坐在那种椅子上就会散发出成熟气质。这么说，就算是我也能轻松装成熟了。（瓦莱莉娅）	我和科洛蒂婭在沙灘椅上度過了悠閒的時光。\n不過蕾斯娜和萊莎一直往我們這裡看，原本不曉得怎麼一回事，結果她們說：「妳們看起來比平常更成熟耶」、「確實，總覺得看起來像一幅畫」。\n真沒想到她們會這麼認為，畢竟我和科洛蒂婭的對話和成熟完全沾不上邊……\n但似乎只要坐上那張椅子，就會顯得很成熟。那樣的話，我也能輕鬆做到了。（瓦萊莉婭）
205	大人への道	The Road to Adulthood	成熟之路	邁向大人的道路	クラウディアたちを真似して、レスナも大人っぽくデッキチェアで読書してみたとか。\n最初は優雅に過ごしてたらしいんだけど、本の内容から錬金術の新しいレシピを思いついて、とめどなく溢れてきちゃって……。\nいてもたってもいられなくなって、読書を中断して素材の採取に出かけちゃったんだって。\nあたしもデッキチェアで読書に挑戦したんだけど、気付いたら寝ちゃってた。\n大人への道は、まだまだ長いね……（ライザ）	Imitating Klaudia, Resna tried reading one of her books on a deck chair to appear more mature.\nAt first, she looked quite elegant as she read, but then the book gave her an idea for a new alchemy recipe, and she got so excited that she put down her book and ran out to gather materials.\nI tried reading on a deck chair too, but I ended up falling asleep.\nI guess the road to adulthood is still pretty long for us... (Ryza)	蕾斯娜也模仿科洛蒂娅她们那样，躺在沙滩椅上看书装成熟。\n她一开始倒是表现得挺优雅，可是从书中得到了新的炼金术配方灵感后，就开始心思活络……\n最后实在坐不住，放下书出去采集素材了。\n我也试着在沙滩椅上读了会书，结果没多久就睡着了。\n想变得成熟还真不容易啊……（莱莎）	蕾斯娜模仿科洛蒂婭她們，也在沙灘椅上成熟地看起了書。\n雖說一開始看起來的確很優雅，但她從書中想到了鍊金術的新配方後，靈感便源源不絕地湧現……\n結果她再也坐不住，丟下書後就跑去採集素材了。\n我也試著在沙灘椅上看書，但回過神時才發現自己睡著了。\n看來我要邁向成熟大人的道路，還很漫長呢……（萊莎）
206	年上の娘	Childlike Charm	大小孩	年長的女兒	海の家で売る飲み物作りを手伝ったわ。不器用だからかなり手こずったけど、最後はお店に出せるくらいのものを作れるようになって、レスナにほめてもらっちゃった！\nレスナのほめ方、とっても優しくて上手だからついつい頑張っちゃうのよね。\nレスナ曰く「ヴァレリアは多分私より年上だけど、ときどき子どもみたいにかわいく見えることがある」んだって。\nもし私にお母さんがいたらこんな感じなのかしら？（ヴァレリア）	"I helped make drinks to sell at the Beach House today. I'm clumsy, so I struggled a lot, but eventually I managed to make some drinks that were good enough to serve, and Resna praised me!\nResna's way of giving compliments is so kind and encouraging that I couldn't help but try my best.\nResna also said, ""Valeria, you're probably older than me, but sometimes you have this childlike cuteness about you!""\nIf I had a mother, I wonder if she'd be like this... (Valeria)"	我在海边小屋帮忙制作要出售的饮料，因为笨手笨脚，过程非常不顺利，但总算是做出了点能拿来卖的东西，还被蕾斯娜夸了！\n蕾斯娜夸人的方式又温柔又有效，得到她的鼓舞让我不禁想努力做得更好。\n蕾斯娜说我看上去应该比她大一点，但她有时候会觉得我像个小孩子一样很可爱。\n不知道我的妈妈会不会也是这样想的呢？（瓦莱莉娅）	我幫忙做了要在海之家販售的飲料。雖然我笨手笨腳，費了不少功夫，但最後終於做出能在店裡賣的商品，而且還被蕾斯娜誇獎了！\n蕾斯娜很會稱讚人，說話也非常溫柔，總會讓我不知不覺就努力起來。\n據蕾斯娜本人表示：「瓦萊莉婭可能比我年長，但有時會露出像孩子般可愛的一面」。\n假如我有媽媽的話，大概就像她那樣吧？（瓦萊莉婭）
207	魅惑の特等席	A Captivating Headrest	魅惑人心的特等席	誘人的頂級躺枕	かき氷で頭がキーンとなってしまったところ、ライザ先輩から「辛いなら横になったほうがいいよ。あたしの膝、貸してあげるからさ」と思いもよらぬ申し出が。ライザ先輩のお膝をお借りするなど、失礼千万、恐悦至極、驚天動地……。\nそんな感じで動揺しているうちに、気付いたら治ってしまいました。\n後からヴァレリアが「そんなに遠慮するなら、私が借りようかしら」と言っていましたが、それは許しません！\nだってズルすぎるもん！　元気な人は借りちゃダメ！（レスナ）	"While eating shaved ice, I got a brain freeze, which made Ryza make an offer I never expected. She said, ""If it hurts, you should lie down. I'll lend you my lap."" Borrowing Ryza's lap seemed unthinkable—so inappropriate, yet so gratifying—how was I supposed to react?!\nWhile I was worrying about what to do, my brain freeze fixed itself, and I never got to experience Ryza's lap...\nValeria later teased, ""If you're that hesitant, maybe I should borrow it instead.""\nNo! That's no allowed! Only people with sore heads are allowed! (Resna)"	吃了刨冰之后脑袋生疼，结果莱莎前辈竟然和我说，如果不舒服就躺下，还要借大腿给我当枕头。拿莱莎前辈的腿来当枕头真是诚惶诚恐感激涕零惊天动地……\n还没等我心中这些波澜平息，脑袋就突然不疼了。\n背后瓦莱莉娅还说，要是我这么客气，还不如借她枕。这怎么可以呢！\n太厚脸皮了！才不借给健健康康的人呢！（蕾斯娜）	正當我吃刨冰吃到頭痛時，萊莎前輩對我說：「不舒服的話還是躺下來比較好哦。來，我的腿借妳躺」，這可是我連做夢都想不到的提議。躺在萊莎前輩的腿上，這種行為是何等傲慢不遜、受寵若驚、驚天地泣鬼神……\n就在我為這些情緒陷入混亂時，發現頭已經不痛了。\n後來瓦萊莉婭說：「既然妳這麼客氣，不如我來躺吧」，但我絕對不允許！\n因為太狡猾了嘛！　活蹦亂跳的人不可以躺啦！（蕾斯娜）
208	疲れたときは甘い物	Sweet Relief	累了就要吃甜食	疲憊就靠甜食消除	接客の合間に、ライザにかき氷を食べさせてもらいました。お客さんの前では極力疲れた顔を見せないようにしていたのですが、ライザには気付かれていたみたいです。\nライザは「たまたまクラウディアが好きな味を食べてたから」と言っていましたが、本当はどうなんでしょう？\nその後、みんなで何味のかき氷が好きかという話をしたのですが、ヴァレリアさんが「私は青いやつ！　『ぷに味』だったかしら？」と言い出して……多分、恐らく、色が似てるから間違えただけだと思うのですが、ぷにの味を知ってるの？　と一瞬、動揺してしまいました。ごめんなさい、でも、あのヴァレリアさんなので、つい……（クラウディア）	"During a break from serving customers, Ryza fed me some shaved ice. Although I tried not to show my fatigue in front of the customers, Ryza had definitely noticed.\nShe played it off by saying she just happened to have my favorite flavor, but I know she was worried.\nLater, we were all talking about our favorite shaved ice flavors, and Valeria said, ""I like the blue one! Puni flavor, I think?"" We were all startled for a moment, wondering if she really knew what Puni taste like, or if she was just associating the color with them. Sorry, Valeria, we just never know with you... (Klaudia)"	刚招待完一批客人，莱莎来给我吃了些刨冰，虽然我在客人面前尽量不表现出疲态，但还是被莱莎察觉到了。\n莱莎说她只是刚好吃到了我喜欢的味道才拿给我的，也不知是真是假。\n之后大家聊了聊各自喜欢吃什么味道的刨冰，瓦莱莉娅小姐竟然说她喜欢吃蓝色的“噗尼味”……大概是因为颜色相似所以误会了吧，但我刚听时吓了一跳，还以为她真的吃过噗尼呢。真对不起。不过瓦莱莉娅小姐就是会让人忍不住这样揣测……（科洛蒂娅）	在招待客人的空檔，萊莎讓我吃了刨冰。我已經盡可能不在客人面前露出疲憊的表情，但萊莎好像還是注意到了。\n萊莎是告訴我：「我剛好吃到科洛蒂婭喜歡的口味」，不過真的是這樣嗎？\n在那之後，我們大家一起討論自己喜歡的刨冰口味，這時瓦萊莉婭小姐說道：「我喜歡藍色的那個！　記得是『噗尼』口味對吧？」。我想……她大概只是因為顏色太相像才搞錯了而已，但我當下還是很震驚──　難道她知道噗尼吃起來是什麼味道嗎？我知道這樣很失禮，但畢竟她是瓦萊莉婭小姐，我忍不住……（科洛蒂婭）
209	最高の看板娘	The Best Poster Girl	最棒的招牌女店员	最棒的招牌姑娘	ライザは星の繭での接客経験を活かし、炎天下でも大活躍。「最高の看板娘だよ」ってほめたら、ちょっと照れていました。\n「いつも自信があって堂々としているライザ先輩の赤面は貴重かもしれません。照れてる先輩も素敵です！」とレスナさんが感激していたから、「レスナさんもいっぱいほめてあげてください。もっとかわいい顔がたくさんあるので」と教えてあげました。\n案の定「ちょっとクラウディア！　余計なこと言わないで！」と言われちゃいましたけど、いたずら心が勝っちゃいました（クラウディア）	"Ryza made great use of her experience from the Star's Cocoon to handle customers expertly, even under the scorching sun. When I praised her as the best poster girl, she blushed a little.\nSeeing this, Resna got really excited and said, ""Ryza is always so confident and composed, so to see her blush is such a rare treat! She looks so cute when she's embarrassed!"" I then suggested to Resna, ""You should compliment her more. She has a lot of cute expressions, you know.""\nAs I expected, Ryza retorted, ""Klaudia, stop putting ideas into Resna's head!"" I guess my mischievous side won this time! (Klaudia)"	莱莎运用在星之茧积累的待客经验，在炎热夏日中表现活跃，被誉为“最棒的招牌女店员”，她稍稍有点害羞。\n蕾斯娜小姐一脸感动地说总是自信又落落大方的莱莎前辈会脸红很稀奇，但这样的表情也魅力十足。于是我建议她再多夸夸莱莎，还能看到更多可爱的表情。\n结果不出所料，莱莎训了一顿，让我别多嘴，但想要恶作剧的欲望还是战胜了理智啊。（科洛蒂娅）	萊莎活用了在星之繭的待客經驗，在炎熱的天氣下也大顯身手了一番。我稱讚她是「最棒的招牌姑娘」時，她顯得有點害羞。\n「見到一向充滿自信又坦蕩大方的萊莎前輩臉紅，感覺好珍貴。害羞的前輩也好迷人！」蕾斯娜小姐感動地這麼說道，於是我就告訴她：「也請蕾斯娜小姐多多稱讚她吧，她還有許多更可愛的表情喔。」\n果不其然萊莎對我說：「等等，科洛蒂婭！　妳不要多嘴啦！」但我還是輸給了想惡作劇的心情。（科洛蒂婭）
210	手作りスイカ	Homemade Watermelon	自制西瓜	手工西瓜	レスナがスイカを持ってきてくれたよ。どうやって調達したのか聞いたら「作りました！」って……。材料を聞いたらとても食べ物になりそうには思えなかったんだけど、食べたらちゃんと美味しかったんだよね。不思議……。\nヴァレリアはぜんぜん気にしてなくて、「レスナ、また作ってきて。どうにか浜辺の端から端まで種を飛ばせるようになりたいの」って言ってた。\nそれってもう種というより弾じゃないの？（ライザ）	"Resna brought a watermelon. When I asked where she got it, she said, ""I made it!"" I then asked her what it was made of, and none of the ingredients seemed edible, but somehow it turned out to be delicious anyway. How strange...\nValeria didn't seem to mind at all, and even said, ""Resna, make another one. I want to practice spitting the seeds from one end of the beach to the other!""\nAt that point, aren't they more like bullets than seeds? (Ryza)"	蕾斯娜带了西瓜来，我问她是从哪里弄来的，她居然说“是我自己做的”……我问她是用什么材料做的，结果全是些怎么想都不能吃的东西，但试着吃了一口西瓜居然很好吃，真不可思议……\n瓦莱莉娅倒是一点都不在乎，还叫蕾斯娜多做几个，她想把瓜子弹满整个海滩。\n她已经把瓜子当成子弹了吧？（莱莎）	蕾斯娜帶了西瓜來。我問她是怎麼弄到的，結果她說：「是我做出來的！」這樣……我問了她材料，那些東西聽起來實在不太可能做成食物，但吃起來確實相當美味呢，真不可思議……\n瓦萊莉婭則是完全不在意，還說「蕾斯娜，再做一些來吧。我想要設法讓種子能從海灘的一端飛到另一端。」\n那樣已經不是種子，而是子彈了吧？（萊莎）
