id	name	name_en	name_zh-CN	name_zh-TW
1	桜瀬琥姫	Kohime Ohse	Kohime Ohse	Kohime Ohse
3	双羽純	Jun Futaba	Jun Futaba	Jun Futaba
4	芳住和之	Kazuyuki Yoshizumi	Kazuyuki Yoshizumi	Kazuyuki Yoshizumi
5	岸田メル	Mel Kishida	Mel Kishida	Mel Kishida
6	左	Hidari	Hidari	Hidari
7	NOCO＆ゆーげん	NOCO＆Yuugen	NOCO＆Yuugen	NOCO＆Yuugen
8	NOCO	NOCO	NOCO	NOCO
9	ゆーげん	Yuugen	Yuugen	Yuugen
10	咲の字。	sakinoji	sakinoji	sakinoji
11	からながれ	Karanagare	Karanagare	Karanagare
12	えすけー	sk_kun	sk_kun	sk_kun
13	ふぬゅ	Funuyu	Funuyu	Funuyu
15	ギンカ	Ginka	Ginka	Ginka
16	やみや	Yamiya	Yamiya	Yamiya
17	露茶	tsuyutya	tsuyutya	tsuyutya
18	トリダモノ	Toridamono	Toridamono	Toridamono
19	藤ちょこ	Fuzichoco	Fuzichoco	Fuzichoco
20	magako	magako	magako	magako
21	冬野ユウキ	Yuki Fuyuno	Yuki Fuyuno	Yuki Fuyuno
22	春夏冬ゆう	Yu Akinashi	Yu Akinashi	Yu Akinashi
23	林けゐ	Kewi Hayashi	Kewi Hayashi	Kewi Hayashi
24	Nardack	Nardack	Nardack	Nardack
25	Meij	Meij	Meij	Meij
26	ネコメガネ	Nekomegane	Nekomegane	Nekomegane
27	くにみつ	kunimitsu	kunimitsu	kunimitsu
28	mono	mono	mono	mono
29	コーエーテクモゲームス	KOEI TECMO GAMES CO., LTD.	KOEI TECMO GAMES CO., LTD.	KOEI TECMO GAMES CO., LTD.
30	藤実なんな	Nanna Fujimi	Nanna Fujimi	Nanna Fujimi
31	四々九	Yoshiku	Yoshiku	Yoshiku
32	ほみなみあ	Hominamia	Hominamia	Hominamia
33	めふぃすと	Mephisto	Mephisto	Mephisto
34	巻羊	Makihitsuji	Makihitsuji	Makihitsuji
35	コダマ	kodama_GS	kodama_GS	kodama_GS
36	necomi	necomi	necomi	necomi
37	Nagu	Nagu	Nagu	Nagu
38	優子鈴	Yukoring	Yukoring	Yukoring
39	はんくり	hncl	hncl	hncl
40	ぶくろて	Bukurote	Bukurote	Bukurote
41	海鵜げそ＆tokki＆NOCO	Umiu Geso/tokki/NOCO	Umiu Geso/tokki/NOCO	Umiu Geso/tokki/NOCO
42	u介	u_suke	u_suke	u_suke
43	SHACHI	SHACHI	SHACHI	SHACHI
44	あすぱら	aspara	aspara	aspara
45	イコモチ	Icomochi	Icomochi	Icomochi
46	海鵜げそ	Umiu Geso	Umiu Geso	Umiu Geso
47	海鵜げそ＆tokki	Umiu Geso/tokki	Umiu Geso/tokki	Umiu Geso/tokki
48	フライ	Fly	Fly	Fly
49	8	8	8	8
50	アシマ	アシマ	アシマ	アシマ
51	NAY	NAY	NAY	NAY
52	en	en	en	en
53	べにたま	Benitama	Benitama	Benitama
54	tokki	tokki	tokki	tokki
55	薫子	Kaoruko	Kaoruko	Kaoruko
56	黒井ススム	Susumu Kuroi	Susumu Kuroi	Susumu Kuroi
57	YeoNwa	YeoNwa	YeoNwa	YeoNwa
58	タカヤマトシアキ	Toshiaki Takayama	Toshiaki Takayama	Toshiaki Takayama
59	hncl	hncl	hncl	hncl
60	江田島電気	Edajimadenki	Edajimadenki	Edajimadenki
61	吟			
62	SAIPACo.			
63	はねこと			
64	日向悠二			
