id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
10001	錬金術士マルローネ	Marlone the Alchemist	炼金术士玛洛娜	鍊金術士瑪洛娜	彼女の名はマルローネ。面倒くさがりでそそっかしい性格が災いしアカデミーの課題は失敗続き。そうするうちに落第生の烙印を押されてしまう。\nしかし、彼女には秘めた才能がある。いずれ伝説的な存在になれるほどの錬金術の才能が。\n……その気になれば、の話だが。	Her name is Marlone. She is careless and quick to complain, not to mention an academic disaster. This has earned her a reputation as a scholastic failure.\nHowever, there is talent hidden deep within. Perhaps enough to see her someday become a legendary alchemist.\nIf she ever feels like it, that is.	她的名字是玛洛娜。因为性格粗枝大叶、不喜应对细致的工作，导致在学院课题上屡战屡败，并因此被打上了留级生的标签。\n然而她内心其实深藏着成为传奇炼金术士的才能。\n……前提是她本人得有那个意思。	她的名字是瑪洛娜。怕麻煩又粗心的性格導致她屢次未能完成學院的課題，就這樣被貼上了留級生的標籤。\n不過，她有著未被發掘的才能。她擁有的鍊金術才能甚至足以讓她成為傳奇般的存在。\n……前提是她要有這份決心。
10002	私がいないとダメね	You're Hopeless Without Me	没有我不行呢	沒有我不行呢	「ん～……ねえアイゼル。こっちとこっち、どっちの薬がいいかな？」\n「はあ？　エルフィール、そんなことも分からないの？　このレシピで使うなら――」\n文句を言いつつも優しく教えてくれる。だからつい甘えちゃうんだよね。	"""Hmm. Hey, Eisel, which of these medicines should I use?""\n""What? You seriously don't know, Elfir? For this recipe you've got to use―""\nShe may complain, but she is always kind as she explains. And that's how she wound up so spoiled."	“唔……我问你哦，艾赛尔。你说这两种药哪一种更好？”\n“啊？艾菲尔，你连这个都不知道吗？如果要用在这个配方里——”\n因为她在抱怨的同时也会耐心讲解，所以才总是忍不住向她撒娇吧。	「唔……艾賽兒啊。這個和這個，哪一種藥比較好呀？」\n「什麼？艾菲爾，妳連這個都分不出來嗎？如果要用在這個配方裡──」\n她雖然嘴上發著牢騷，但仍會溫柔地教導我，所以我總是忍不住依賴她呢。
10003	先生をかけて！	A Contest for Teacher!	用老师比赛！	以老師之名！	ひょんなことから始まった、敬愛するリリー先生の似顔絵対決。\n「ヘルミーナ、あんたには負けないわ！」\n「それはこっちのセリフよ、イングリド！」\n「「あたしのほうが上手に描けるんだから！」」\n二人の才能は、芸術の分野でも炸裂するのか――	"As though out of the blue, the two students suddenly decide to compete to see which of them can draw the best portrait of their beloved teacher, Lilie.\n""I don't plan on losing, Hermina!""\n""That's my line, Ingrid!""\n""I'm the best artist here!""\nHow will this battle of raw talent play out in the world of art?!"	给敬爱的莉莉老师画肖像画的比赛因为一点小事而展开。\n“赫尔米娜，我不会输给你的！”\n“那是我的台词，英格莉特！”\n“我会比你画得更好！”\n二人的才能在艺术领域也会绽放光彩吗——	以敬愛的莉莉老師為主題，莫名其妙開始的肖像畫對決。\n「赫爾米娜，我是不會輸給妳的！」\n「那是我的台詞吧，英格莉特！」\n兩人：「一定是我畫得比較好！」\n在藝術的領域，兩人也有辦法展現過人才能嗎──
10004	逃げろユーディット！	Run, Judith!	快逃啊尤蒂托！	快逃啊，優蒂！	「あわわわわわ！」\n空飛ぶほうきに跨って、遺跡の中を飛んでいく。\n後ろから迫るのは魔物の唸り声。\n「出口どっちだっけー！？」\n逃げろユーディット！\n大事な素材を無事に持ち帰るために！	"""Whoa whoa whoa!""\nA girl flies through some ruins, straddling her broom.\nThe roars of monsters follow close behind.\n""Where was that exit?!""\nRun, Judith!\nYou've got to get home safely with those materials!"	“哇啊啊啊啊啊！”\n骑上飞天扫帚，从遗迹中飞过。\n魔物的低吼声在身后紧追不舍。\n“出口在哪边来着？！”\n为了把重要的素材平安地带回去！\n快逃啊尤蒂托！	「啊哇哇哇哇哇！」\n跨上飛天掃把，飛進遺跡之中。\n魔物的低吼聲從後方逼近。\n「出口是在哪一邊！？」\n快逃啊，優蒂！\n帶著重要的素材平安回家吧！
10005	ニンジンの名産地	The Land of Carrots	胡萝卜名产地	知名胡蘿蔔產地	カロッテ村。特産品のニンジン以外は見るべき場所も特にない、寂れた農村だ。過疎化が進むこの村を救うためには――\n「ん～！　いいツヤ！　いい香り！　やっぱりこの村のニンジンが一番だね！」\nきっと、一途に故郷を想う心が必要なのだろう。	"Karotte Village. A desolate place with very little aside from endless carrot fields. One girl seeks to save her village from decline.\n""Mmm, just look at that gloss! Get a whiff of that fragrance! Karotte really does have the best carrots around!""\nShe will no doubt need to focus her energies if she's to save her poor hometown."	卡洛特村是一座不起眼的村庄，除了特产胡萝卜以外乏善可陈。为了拯救日渐冷清的村庄——\n需要一颗对故乡饱含热情的心。\n“嗯～！漂亮的光泽！诱人的芳香！这个村子的胡萝卜真是绝品！”	卡洛特村是個蕭條的農村，除了特產胡蘿蔔以外，沒有值得一看之處。為了拯救這個人口不斷流失的村莊──\n「嗯～！光澤不錯！充滿香氣！這個村莊的胡蘿蔔果然是最棒的！」\n想必需要一份愛故鄉的堅定心意。
10006	日向ぼっこだニャ	The Meowst Sunny Spot	晒日光浴喵	曬太陽喵	心地よい陽気の中で目覚めたノルン。\n「ふわぁ～よく寝たニャ～！」\n「ニャ？　お前もここで寝てたのニャ？」\n「人の足を勝手に使うとは不届きな奴ニャ！」\n「……まあ、こんなぽかぽかした日はしょうがないよニャ～」	"Norn awakens in a comfortable patch of sunlight.\n""Yaaaawn, that was a great nap, meow!""\n""Meow? Oh, you were taking a nap here too, meow?""\n""Don't go using people's legs as a pillow without permission, meow!""\n""Meow well, I guess I can't blame you on a sunny day like this."""	诺伦从温暖的阳光中醒来。\n“哈欠～睡饱了喵～！”\n“喵？你也在这里睡觉喵？”\n“居然擅自睡在别人腿上，真是个没礼貌的家伙喵！”\n“……不过在这种暖洋洋的天气里想睡也正常喵～”	諾倫在風和日麗的天氣中醒來。\n「呼啊～睡得好舒服喵～！」\n「喵？妳也在這裡睡覺喵？」\n「竟然擅自睡在別人的腳上，真是沒規矩的傢伙喵！」\n「……不過，天氣這麼暖和，這也沒辦法喵～」
10007	無邪気な水音	Innocent Sound of Water	无忧无虑的水声	天真無邪的水聲	「あははっ！　お姉ちゃん、早くー！」\n雨上がりの階段を駆け下りていく小さな影。無邪気な足取りに合わせて、はねた水が音を立てる。\n「イリス！　走ったら危ないよ！」\nヴィーゼは心配しつつも楽しそうにその後を追う。仲良しな二人を空から虹が見守っていた。	"""Ahaha! Hurry up!""\nA small figure runs down steps still damp with rain. Her innocent footfalls make droplets of water splash and dance.\n""Iris! Slow down, it's dangerous!""\nViese follows behind. Despite her concern, a smile adorns her face. A rainbow hangs overhead, as though watching over them."	“啊哈哈！姐姐，快点来！”\n一个小小的身影从雨后的台阶上跑下。无忧无虑的脚步溅起水花，发出哗啦啦的水声。\n“伊莉丝！当心摔跤！”\n薇洁追在她身后，担心的同时也乐在其中。天边的彩虹守护着亲密的两个人。	「哈哈！姊姊，快點嘛～！」\n雨後，一道小小身影從階梯跑下來，天真無邪的步伐濺起了水花聲。\n「伊莉絲！用跑的很危險啦！」\n薇潔雖然擔憂卻也洋溢著笑容，追在她的身後。天際的彩虹靜靜地守護著感情融洽的兩人。
10008	同級生	Classmates	同学	同學	「こほっ、こほっ……ヴェインくんもニケちゃんもごめんね、わたしのために……」\n「フィロ、休んでなきゃダメだよ」\n「そーそー。バッチリ効くお薬作っちゃうから、うちらに任せといて！」\n大事な友達のためならこれくらいお安いご用だ。	"""*Cough* *Cough* Vayne, Nikki... Sorry you had to stop for me.""\n""Come on, Jess, you need your rest.""\n""That's right! We'll whip you up some great medicine that'll have you right as rain!""\nThis much is hardly a bother when it's for the sake of a dear friend."	“咳咳、咳咳……维因、妮可，对不起，都是因为我……”\n“斐萝，你要好好休息才行！”\n“对啊对啊，我们会做出管用的药的，就交给我们吧！”\n为了重要的朋友，这点小事不算什么。	「咳咳……維因，妮可，真是對不起，讓你們為了我……」\n「斐蘿，妳得好好休息才行喔。」\n「沒錯～交給我們吧！我們會做出非常有效的藥。」\n為了重要的朋友，這點小事情算不了什麼。
10009	ぷにぷにあーげる	Puni for You!	给你噗尼噗尼	給～你噗尼噗尼	「ああ……ぷにぷに……柔らかい……」\nリリアにとって、ぷにぷにを撫でているこの時間は、心を癒す至福のひとときである。\n「リリアちゃん、これもあーげる！」\n「きゃっ！　やめなさいエト！　ああでも……」\nそんなイタズラも、彼女には幸福のスパイスだ。	"""Ah, Puni are so soft.""\nFor Lily, nuzzling Puni is the best way to heal her heart and soul.\n""Here, Lily, you can have these too!""\n""Ahhh! Quit it, Et! Oh, actually...""\nEven Et's pranks add some joyful spice to things."	“啊……噗尼噗尼……好柔软……”\n对莉莉亚来说，抚摸噗尼噗尼可以带来心灵的抚慰，这是她最幸福的时刻。\n“小莉莉亚，这个也给你～！”\n“哎呀！别这样，埃朵！啊，不过……”\n这样的恶作剧对她来说也是幸福的调味料。	「啊……噗尼噗尼……好柔軟……」\n對莉莉亞而言，撫摸噗尼噗尼的這段時間可以療癒心靈，是一段無比幸福的時光。\n「莉莉亞，這個也給妳！」\n「呀啊！埃朵別這樣啦！啊，不過……」\n對她來說，連這種惡作劇也是幸福的泉源。
10010	師匠の暇つぶし	Teacher's Cure for Boredom	师父的消遣	師父的消遣	「師匠、なんですかこの耳！」\n「ふふ、ロロナ。よく似合っているぞ」\n「これじゃ恥ずかしくて接客できませんよー！」\nそう文句を言いつつ、健気に働くロロナ。この世界でも、アストリッドには逆らえないのだった。\n「ふう……。眼福だな」	"""What are these ears for, Teacher?""\n""Heehee, they look great on you, Rorona.""\n""They're embarrassing! I can't greet guests with these on!""\nShe complains, but Rorona admirably gets back to work. Even in this world, she can't seem to go against Astrid.\n""Heh... Truly a beautiful sight."""	“师父，这耳朵是怎么回事！”\n“呵呵呵，萝乐娜。很适合你哦。”\n“这样太让人难为情了，我都不好意思去接待客人了！”\n虽然嘴上这么抱怨，但萝乐娜仍勤快地工作着。她在这个世界也无法违背亚斯特丽德的意思。\n“呼……真是大饱眼福啊。”	「師父，這對耳朵是怎麼回事！」\n「呵呵，蘿樂娜，很適合妳喔。」\n「這樣太羞恥了，沒辦法接待客人啦～！」\n蘿樂娜嘴上抱怨的同時，依然辛勤地工作。就算在這個世界，她也沒辦法反抗亞斯特麗德。\n「呼……真是大飽眼福呢。」
