id	name	name_en	name_zh-CN	name_zh-TW
1	マリーのアトリエ ～ザールブルグの錬金術士～	Atelier Marie: The Alchemist of Salburg	玛莉的炼金工房 ～萨尔布鲁克的炼金术士～	瑪莉的鍊金工房 ～薩爾布魯克的鍊金術士～
2	エリーのアトリエ ～ザールブルグの錬金術士２～	Atelier Elie: The Alchemist of Salburg 2	艾莉的炼金工房 ～萨尔布鲁克的炼金术士２～	艾莉的鍊金工房 ～薩爾布魯克的鍊金術士２～
3	リリーのアトリエ ～ザールブルグの錬金術士３～	Atelier Lilie: The Alchemist of Salburg 3	莉莉的炼金工房 ～萨尔布鲁克的炼金术士３～	莉莉的鍊金工房 ～薩爾布魯克的鍊金術士３～
4	ユーディーのアトリエ ～グラムナートの錬金術士～	Atelier Judie: The Alchemist of Gramnad	优蒂的炼金工房 ～葛拉姆奈特的炼金术士～	優蒂的鍊金工房 ～葛拉姆奈特的鍊金術士～
5	ヴィオラートのアトリエ ～グラムナートの錬金術士２～	Atelier Viorate: The Alchemist of Gramnad 2	薇欧拉的炼金工房 ～葛拉姆奈特的炼金术士２～	薇歐拉的鍊金工房 ～葛拉姆奈特的鍊金術士２～
6	イリスのアトリエ エターナルマナ	ATELIER IRIS: ETERNAL MANA	伊莉丝的炼金工房 永恒玛那	伊莉絲的鍊金工房 永恆瑪那
7	イリスのアトリエ エターナルマナ２　	ATELIER IRIS 2: The Azoth of Destiny	伊莉丝的炼金工房 永恒玛那２	伊莉絲的鍊金工房 永恆瑪那２
8	イリスのアトリエ グランファンタズム　	ATELIER IRIS 3: GRAND PHANTASM	伊莉丝的炼金工房 浩瀚幻象	伊莉絲的鍊金工房 浩瀚幻象
9	マナケミア ～学園の錬金術士たち～	Mana Khemia: Alchemists of Al-Revis	玛那学园 ～学园的炼金术士们～	瑪那學園 ～學園的鍊金術士們～
10	マナケミア２ ～おちた学園と錬金術士たち～	Mana Khemia 2: Fall of Alchemy	玛那学园２ ～没落学园与炼金术士们～	瑪那學園２ ～沒落學園與鍊金術士們～
11	ロロナのアトリエ ～アーランドの錬金術士～	Atelier Rorona ~The Alchemist of Arland~	萝乐娜的炼金工房 ～亚兰德之炼金术士～	蘿樂娜的鍊金工房 ～亞蘭德之鍊金術士～
12	トトリのアトリエ ～アーランドの錬金術士２～	Atelier Totori ~The Adventurer of Arland~	托托莉的炼金工房 ～亚兰德之炼金术士2～	托托莉的鍊金工房 ～亞蘭德之鍊金術士2～
13	メルルのアトリエ ～アーランドの錬金術士３～	Atelier Meruru ~The Apprentice of Arland~	梅露露的炼金工房 ～亚兰德之炼金术士3～	梅露露的鍊金工房 ～亞蘭德之鍊金術士3～
14	アーシャのアトリエ ～黄昏の大地の錬金術士～	Atelier Ayesha ~The Alchemist of Dusk~	爱夏的炼金工房 ～黄昏大地之炼金术士～	愛夏的鍊金工房 ～黃昏大地之鍊金術士～
