id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
101	斬裂祭	Slash Division	斩裂会场	斬裂祭				
102	斬裂祭	Slash Division	斩裂会场	斬裂祭				
103	斬裂祭	Slash Division	斩裂会场	斬裂祭				
201	雷電祭	Bolt Division	雷电会场	雷電祭				
202	雷電祭	Bolt Division	雷电会场	雷電祭				
203	雷電祭	Bolt Division	雷电会场	雷電祭				
301	嵐風祭	Air Division	狂风会场	嵐風祭				
302	嵐風祭	Air Division	狂风会场	嵐風祭				
303	嵐風祭	Air Division	狂风会场	嵐風祭				
401	砕打祭	Strike Division	碎打会场	碎打祭				
402	砕打祭	Strike Division	碎打会场	碎打祭				
403	砕打祭	Strike Division	碎打会场	碎打祭				
501	氷凍祭	Ice Division	冰冻会场	冰凍祭				
502	氷凍祭	Ice Division	冰冻会场	冰凍祭				
503	氷凍祭	Ice Division	冰冻会场	冰凍祭				
601	刺突祭	Stab Division	刺突会场	突刺祭				
602	刺突祭	Stab Division	刺突会场	突刺祭				
603	刺突祭	Stab Division	刺突会场	突刺祭				
701	火炎祭	Fire Division	火焰会场	火焰祭				
702	火炎祭	Fire Division	火焰会场	火焰祭				
703	火炎祭	Fire Division	火焰会场	火焰祭				
104001	決戦！戦士の大鎧１	To Battle! Heavy Warrior Armor - 1	决战！战士的大铠1	決戰！戰士的大鎧1				
104002	決戦！戦士の大鎧２	To Battle! Heavy Warrior Armor - 2	决战！战士的大铠2	決戰！戰士的大鎧2				
104003	決戦！戦士の大鎧３	To Battle! Heavy Warrior Armor - 3	决战！战士的大铠3	決戰！戰士的大鎧3				
104004	決戦！戦士の大鎧４	To Battle! Heavy Warrior Armor - 4	决战！战士的大铠4	決戰！戰士的大鎧4				
104005	決戦！戦士の大鎧５	To Battle! Heavy Warrior Armor - 5	决战！战士的大铠5	決戰！戰士的大鎧5				
104006	決戦！戦士の大鎧６	To Battle! Heavy Warrior Armor - 6	决战！战士的大铠6	決戰！戰士的大鎧6				
104007	決戦！戦士の大鎧７	To Battle! Heavy Warrior Armor - 7	决战！战士的大铠7	決戰！戰士的大鎧7				
104008	決戦！戦士の大鎧８	To Battle! Heavy Warrior Armor - 8	决战！战士的大铠8	決戰！戰士的大鎧8				
104009	決戦！戦士の大鎧９	To Battle! Heavy Warrior Armor - 9	决战！战士的大铠9	決戰！戰士的大鎧9				
104010	決戦！戦士の大鎧１０	To Battle! Heavy Warrior Armor - 10	决战！战士的大铠10	決戰！戰士的大鎧10				
105011	決戦！戦士の大鎧EX１	To Battle! Heavy Warrior Armor EX1	决战！战士的大铠EX1	決戰！戰士的大鎧EX1				
105012	決戦！戦士の大鎧EX２	To Battle! Heavy Warrior Armor EX2	决战！战士的大铠EX2	決戰！戰士的大鎧EX2				
110401	二人のシャリーと母の願い１	Two Shallies and a Mother's Wish 1	两个夏莉与母亲的心愿1	兩個夏莉與母親的願望1				
110402	二人のシャリーと母の願い２	Two Shallies and a Mother's Wish 2	两个夏莉与母亲的心愿2	兩個夏莉與母親的願望2				
110403	二人のシャリーと母の願い３	Two Shallies and a Mother's Wish 3	两个夏莉与母亲的心愿3	兩個夏莉與母親的願望3				
110404	二人のシャリーと母の願い４	Two Shallies and a Mother's Wish 4	两个夏莉与母亲的心愿4	兩個夏莉與母親的願望4				
110405	二人のシャリーと母の願い５	Two Shallies and a Mother's Wish 5	两个夏莉与母亲的心愿5	兩個夏莉與母親的願望5				
110406	二人のシャリーと母の願い６	Two Shallies and a Mother's Wish 6	两个夏莉与母亲的心愿6	兩個夏莉與母親的願望6				
110407	二人のシャリーと母の願い７	Two Shallies and a Mother's Wish 7	两个夏莉与母亲的心愿7	兩個夏莉與母親的願望7				
110408	二人のシャリーと母の願い８	Two Shallies and a Mother's Wish 8	两个夏莉与母亲的心愿8	兩個夏莉與母親的願望8				
110409	二人のシャリーと母の願い９	Two Shallies and a Mother's Wish 9	两个夏莉与母亲的心愿9	兩個夏莉與母親的願望9				
110410	二人のシャリーと母の願い１０	Two Shallies and a Mother's Wish 10	两个夏莉与母亲的心愿10	兩個夏莉與母親的願望10				
