id	name	name_en	name_zh-CN	name_zh-TW	abbreviation	abbreviation_en	abbreviation_zh-CN	abbreviation_zh-TW
1	第1章	Chapter 1	第1章	第1章	1	1	1	1
2	第2章	Chapter 2	第2章	第2章	2	2	2	2
3	第3章	Chapter 3	第3章	第3章	3	3	3	3
4	第3章 エクストラ	Chapter 3 Extra	第3章EXTRA	第3章EXTRA	1	1	1	1
5	第4章	Chapter 4	第4章	第4章	4	4	4	4
6	第4章 エクストラ	Chapter 4 Extra	第4章EXTRA	第4章EXTRA	2	2	2	2
7	ザールブルグの錬金術士	The Alchemist of Salburg	萨尔布鲁克的炼金术士	薩爾布魯克的鍊金術士	ザールブルグ\nの錬金術士	The Alchemist\nof Salburg	萨尔布鲁克的\n炼金术士	薩爾布魯克的\n鍊金術士
8	300万DL記念	5M Worldwide DL Celebration	全球500万次下载纪念	全球500萬次下載紀念	300万DL記念	5M Worldwide DL Celebration	全球500万次下载纪念	全球500萬次下載紀念
9	決戦！ ハロウィンぷに	Showdown! Halloween Puni	决战！万圣节噗尼	決戰！萬聖節噗尼	決戦！\nハロウィンぷに	Showdown!\nHalloween Puni	决战！\n万圣节噗尼	決戰！\n萬聖節噗尼
10	第5章	Chapter 5	第5章	第5章	5	5	5	5
11	第5章 エクストラ	Chapter 5 Extra	第5章EXTRA	第5章EXTRA	3	3	3	3
12	リディー＆スールの日常	Lydie & Suelle's Everyday Lives	莉迪＆苏瑞的日常	莉迪＆蘇瑞的日常	リディー＆スール\nの日常	Lydie & Suelle's\nEveryday Lives	莉迪＆苏瑞\n的日常	莉迪＆蘇瑞\n的日常
13	忘却の賢者と秘密の楽園	Sage of Oblivion & the Secret Paradise	忘却的贤者与秘密的乐园	忘卻的賢者與秘密的樂園	忘却の賢者と\n秘密の楽園	Sage of Oblivion\n& the \nSecret Paradise	忘却贤者与\n秘密的乐园	忘卻的賢者與\n秘密的樂園
14	ライザからの挑戦状	Ryza's Challenge	莱莎的挑战书	萊莎的挑戰書	ライザからの\n挑戦状	Ryza's\nChallenge	莱莎的\n挑战书	萊莎的\n挑戰書
15	第6章	Chapter 6	第6章	第6章	6	6	6	6
16	第6章 エクストラ	Chapter 6 Extra	第6章EXTRA	第6章EXTRA	4	4	4	4
17	属性塔	Affinity Tower	属性塔	屬性塔	属性塔	Affinity Tower	属性塔	屬性塔
18	星降る夜の贈りもの	Gifts on a Starry Night	繁星之夜的礼物	繁星灑落之夜的贈禮	星降る夜の\n贈りもの	Gifts on a\nStarry Night	繁星之夜的\n礼物	繁星灑落之夜\n的贈禮
19	マリーの招福大作戦！	Marie's Fortune Frenzy!	玛莉的招福大作战！	瑪莉的招福大作戰！	マリーの\n招福大作戦！	Marie's\nFortune Frenzy!	玛莉的\n招福大作战！	瑪莉的\n招福大作戰！
20	第7章	Chapter 7	第7章	第7章	7	7	7	7
21	第7章 エクストラ	Chapter 7 Extra	第7章EXTRA	第7章EXTRA	5	5	5	5
22	二人のシャリーと母の願い	Two Shallies and a Mother's Wish	两个夏莉与母亲的心愿	兩個夏莉與母親的願望	二人のシャリーと\n母の願い	Two Shallies and a Mother's Wish	两个夏莉与\n母亲的心愿	兩個夏莉與母親的願望
23	第8章	Chapter 8	第8章	第8章	8	8	8	8
24	第8章 エクストラ	Chapter 8 Extra	第8章EXTRA	第8章EXTRA	6	6	6	6
