id	name	name_en	name_zh-CN	name_zh-TW
1	序章　先輩、お初にお目にかかります	Prologue - It's a Pleasure to Meet You	序章·前辈，初次见面	序章　前輩您好，初次見面
2	第１章　王都にて	Chapter 1 - In the Royal Capital	第1章·在王都	第1章　王都之中
3	第２章　月影の会	Chapter 2 - The Moonlight Society	第2章·月影会	第2章　月影會
4	第３章　レスナとヴァレリア	Chapter 3 - Resna and Valeria	第3章·蕾斯娜与瓦莱莉娅	第3章　蕾斯娜和瓦萊莉婭
5	第４章　ヴァレリアの願い	Chapter 4 - Valeria's Wish	第4章·瓦莱莉娅的心愿	第4章　瓦萊莉婭的心願
6	第５章　外の世界	Chapter 5 - The Outside World	第5章·外面的世界	第5章　外面的世界
7	第６章　私のとなり	Chapter 6 - Beside Me	第6章·我的身旁	第6章　我的身旁
8	第７章　浪漫の果てに	Chapter 7 - At the Edge of Romance	第7章·在浪漫的尽头	第7章　在浪漫的盡頭
9	第８章　騎士たち	Chapter 8 - The Knights	第8章·骑士们	第8章　騎士們
10	第９章　目覚めた災厄	Chapter 9 - The Awakened Calamity	第9章·苏醒的灾厄	第9章　覺醒的災厄
11	第１０章　それぞれの覚悟	Chapter 10 - Everyone's Resolve	第10章·各自的决心	第10章　各自的決心
12	第１１章　ランターナ最後の日	Chapter 11 - The Last Day - Lantarna	第11章·兰塔纳终结之日	第11章　蘭塔納最後一日
13	第１２章　親と子と	Chapter 12 - Parent and Child	第12章·亲子	第12章　與父母和孩子
14	第１３章　三つ巴	Chapter 13 - Three-Way Battle	第13章·三股势力	第13章　三足鼎立
15	第１４章　堕ちた羽	Chapter 14 - Fallen Feather	第14章·坠落的羽翼	第14章　墮落之翼
16	第１５章　君が生まれた日	Chapter 15 - The Day You Were Born	第15章·你诞生的日子	第15章　妳誕生的那一天
17	第１６章　錬金術士たちの晩餐	Chapter 16 - The Alchemists' Grand Feast	第16章·炼金术士们的晚餐	第16章　鍊金術士們的晚餐
18	第１７章　進軍頂獣兵団	Chapter 17 - March of the Apexi Corps	第17章·进军顶兽军团	第17章　進軍頂獸兵團
19	第１８章　交錯する運命	Chapter 18 - Intersecting Fates	第18章·交叉的命运	第18章　命運交錯
20	第１９章　許されたもの	Chapter 19 - The Forgiven	第19章·被原谅之人	第19章　受允許的事物
21	第２０章　約束	Chapter 20 - A Promise	第20章·约定	第20章　約定
22	第２１章　ヴァレリア	Chapter 21 - Valeria	第21章·瓦莱莉娅	第21章　瓦萊莉婭
23	第２２章　抗う者たち			
