id	name	name_en	name_zh-CN	name_zh-TW
1	見習い錬金術士 レスナ	Apprentice Alchemist Resna	见习炼金术士 蕾斯娜	見習鍊金術士　蕾斯娜
2	いきなりピンチ！？	A Sudden Predicament!	突如其来的危机？！	突如其來的危機！？
3	頼もしい背中	Reliable Figure	可靠的伙伴	可靠的背影
4	先輩錬金術士	An Established Alchemist	前辈炼金术士	鍊金術士前輩
5	アトリエに集う者たち	Gathering at the Atelier	聚集于炼金工房的众人	集結於鍊金工房的人們
6	みんなで調合	Synthesizing Together	大家一起调合	大家一起調合
7	前途多難な再出発	A Grim Restart	前途坎坷的重新出发	前途坎坷的重新出發
8	錬金術士を目指す理由	Why I Want to be an Alchemist	想成为炼金术士的理由	想成為鍊金術士的理由
9	ハンマー使い イザナ	Hammer-User Izana	舞锤者 伊札娜	舞錘者　伊札娜
10	いざ、参らん！	Now, Onwards!	出发吧！	好，那就出發吧！
11	初めての王都	First Time in the Capital	初到王都	第一次到王都
12	師匠の課題	Miss Saskia's Assignment	师父的课题	師父的課題
13	親切な人	A Kind Person	热心的人	親切的人
14	「星の繭」	The Star's Cocoon	“星之茧”	「星之繭」
15	初めての依頼	The First Request	第一次的委托	第一次的委託
16	改めてようこそ！	A Renewed Warm Welcome!	再次欢迎！	再次歡迎！
17	今度は自分で	On My Own This Time	下次你自己来	下次妳自己來
18	順調順調！	Smooth Sailing!	无比顺利！	非常順利！
19	街を回ろう	Around Town	在城里逛逛吧！	在城裡逛逛吧！
20	レスナの騎士	Resna's Knight	蕾斯娜的骑士	蕾斯娜的騎士
21	オスカーとの出会い	A Run-In With Oskar	邂逅奥斯卡	與奧斯卡的相遇
22	フロッケのお店	Flocke's Shop	芙洛可的商店	芙洛可的店
23	受けたい依頼	A Welcome Request	想接受的委托	想承接的委託
24	道中も宝の山	Treasure-Filled Journey	路途中也遍地是宝	路途中也遍地是寶
25	ちょっと休憩	A Quick Break	小憩	休息一下
26	パイで元気に！	Pies for a Pick-Me-Up!	吃点派打起精神来！	用派來打起精神！
27	湿地到着	Reaching the Wetlands	抵达湿地	抵達濕地
28	先輩直伝の冒険の秘訣	Secret Adventuring Tips from Seasoned Pros	前辈亲传的冒险秘诀	前輩親自傳授的冒險秘訣
29	頑張りすぎには注意	Don't Work Too Hard	切勿过分努力	小心別努力過頭
30	植物の声	Voices of the Plants	植物的声音	植物之聲
31	素材集め完了！	Materials Obtained!	素材收集完毕！	素材收集完畢！
32	いざ、調合！	Time to Synthesize!	开始调合！	開始調合！
33	初めての納品報告	First Delivery Report	第一次交付报告	第一次交付回報
34	やりたいこと	What I Want to Do	想做的事	想做的事
35	アラルさんを探そう	Looking for Allar	寻找阿拉尔吧	尋找亞拉爾先生
36	恥ずかしいよ！	That's So Embarrassing!	好丢人！	好丟臉喔！
37	図書館を調べよう	Library Research	调查图书馆吧	調查圖書館
38	視点を変える	A New Perspective	转换视角	改變觀點
39	手分けして探そう	Split Up and Search	分头寻找吧	分頭尋找
40	オススメの研磨剤	A Recommended Polishing Powder	推荐的研磨剂	推薦的研磨劑
41	本名は違う？	A Different Name?	另有真名？	本名不同嗎？
42	知らない作家	The Unknown Author	无人知晓的作家	不認識的作家
43	いつか会えると	When We Meet Someday	终会相见	終將相會
44	いらっしゃいませパーティー！	Welcome to the Party!	欢迎派对！	歡迎派對！
45	目覚めるヴァレリア	Valeria Wakes Up	苏醒的瓦莱莉娅	覺醒的瓦萊莉婭
46	親切な誰か	A Considerate Someone	热心的某人	親切的某人
47	最強のコンビ？	The Ultimate Team?	最强组合？	最強的搭檔？
48	その程度？	Is That It?	就这点能耐？	就這點能耐？
49	最強コンビ！	The Ultimate Team!	最强组合！	最強搭檔！
50	ささやかな幸せ	A Little Happiness	小小的幸福	微小的幸福
51	二人が見る夜空	Under the Same Night Sky	两人眼中的夜空	兩人所見的夜空
52	騎士への憧れ	Admiration for Knighthood	对骑士的憧憬	對騎士的憧憬
53	尊い空間だ！	A Precious Atmosphere!	幸福无比的空间！	至福空間！
54	依頼 新種の植物の調達	Request: New Varieties of Plants	委托 准备新品种植物	委託　取得新品種植物
55	植物からの情報	Reports from Plants	植物告知的信息	來自植物的信息
56	奇妙な静けさ	A Strange Silence	奇妙的安静	奇妙的寂靜
57	イザナの悩み？	Izana's Worries?	伊札娜的烦恼？	伊札娜的煩惱？
58	もうちょっとだけ……！	Just a Little More...!	还差一点……！	還差一點點……！
59	揺れる湿地	Quaking Wetlands	摇晃的湿地	搖晃的濕地
60	誰だって失敗しているんです	Everyone Makes Mistakes	任谁都会失败	人非聖賢
61	七転び八起き	If at First You Don't Succeed...	百折不挠	百折不撓
62	自分の信じる道	The Path You Believe In	自己坚信的道路	自己堅信的道路
63	私に足りないもの	What I Lack	我所欠缺的东西	我所欠缺之物
64	異邦人の来客	A New Wanderer	异邦来客	異邦來客
65	仕事好き？ のマリオンさん	Marion's Love of Work?	热爱工作？的玛丽翁小姐	喜歡工作？ 的瑪麗翁小姐
66	これからよろしく	Doing Our Best, Together	今后请多关照	今後請多指教
67	これもいい経験……？	It's Good Experience...?	这也是有益的经验……？	這也是一次不錯的經驗……？
68	マリオンさんの目的	Marion's Objective	玛丽翁的目的	瑪麗翁小姐的目的
69	新しい依頼	A New Request	新的委托	新的委託
70	いざ、洞窟へ	To the Cave!	前往洞窟	出發前往洞窟
71	謎めいた不審者 ロマン	Roman, the Most Mysterious	神秘的可疑人物 罗曼	神秘的可疑份子　羅曼
72	険しい山道	Steep Mountain Passes	险峻的山路	險峻的山道
73	水晶が煌めく洞窟	A Cave With Glittering Crystals	水晶闪耀的洞窟	水晶閃耀的洞窟
74	腕の立つ不審者 ロマン	Roman, the Suspiciously Skilled	技术高超的可疑人物 罗曼	有實力的可疑分子　羅曼
75	同志認定！	Kindred Spirits!	认定为同志！	認可為同伴！
76	白夜の騎士	Knight of the Midnight Sun	白夜骑士	白夜騎士
77	役に立つ冒険者 ロマン	Roman, the Reliable Adventurer	有用的冒险者 罗曼	有用的冒險者　羅曼
78	お土産を探して	Shopping for Souvenirs	寻找伴手礼	尋找伴手禮
79	湾岸地区の日常	Day-to-Day by the Bay	海岸地区的日常	海灣地區的日常
80	故郷へ出発！	Heading to My Hometown!	前往故乡！	往故鄉出發！
81	２つの月	The Two Moons	两轮月亮	兩個月亮
82	師匠へ報告！	Report Back to Teacher!	向师父报告！	向師父報告！
83	道のりは遠く	The Road is Long	道阻且长	前路漫漫
84	さまよう心	A Wavering Heart	彷徨的心	徬徨的心
85	宝箱の外へ	Beyond the Treasure Chest	宝箱之外	寶箱之外
86	力を貸してください！	Lend Me Your Strength!	请助我一臂之力！	請助我一臂之力！
87	酔っぱらいの元船乗り？	A Drunken Ex-Sailor?	醉酒的前船员？	醉鬼前船員？
88	オイシイ案件	A Sweet Deal	划算的买卖	划算的交易
89	鴉の目	Crow's Eye	鸦的眼睛	烏鴉之眼
90	相棒との出会い	Let's Stick Together	邂逅搭档	與搭檔的相逢
91	天使の寝顔	The Angel's Sleeping Face	天使的睡脸	天使的睡臉
92	月影の依頼	A Moonlit Request	月影的委托	月影的委託
93	最後の課題に向けて	Working Towards the Last Task	准备最后的课题	面對最後的課題
94	気難しい錬金術士	A Picky Alchemist	坏脾气的炼金术士	難以伺候的鍊金術士
95	頼りになる協力者	A Reliable Ally	可靠的帮手	可靠的合作者
96	道案内のロマン	Roman Leads the Way	向导罗曼	嚮導羅曼
97	重なる星	Star-Crossed	星中之星	重疊的星星
98	一緒に行きませんか！	Why Don't You Join Us?	不如一起去吧！	要不要一起去！
99	ちゃんと知りたい	I Want to Know	想要了解	想好好了解
100	住めば都？	Home Is Where the Heart Is?	久居为安？	住久就習慣了？
101	ヴァレリアたちの目的	Valeria and Her Friends' Goals	瓦莱莉娅一行的目的	瓦萊莉婭等人的目的
102	ランタナの花	Lanterna Blossoms	兰塔花	蘭塔花
103	極夜に揺れる花	Flowers Swaying in the Polar Night	于极夜摇曳之花	搖曳於極夜的花朵
104	幕引き	Curtain Call	落幕	落幕
105	垣間見たもの	Glimpses of the Unseen	窥见之事	窺見一二
106	奪われた花	Stolen Blossoms	被夺走的花	被奪走的花朵
107	視線の先に	Within Sight	视线所望之处	在視線的前方
108	帰りは恐い	The Terrifying Journey Back	可怕的归途	害怕回去
109	しっかり掴まっててね！	Hold on Tight!	抓紧了！	要抓好喔！
110	注意事項が！	Important Notice!	注意事项！	注意事項！
111	初めて見る調合	First Synthesis	第一次见识调合	第一次見到的調合
112	通じ合う心	A Meeting of Minds	心有灵犀	心有靈犀
113	また一緒に	Together Again	下次一起	之後再一起
114	次なる目標	The Next Goal	下一个目标	下一個目標
115	次なる依頼	The Next Request	下一个委托	下一個委託
116	二人の選択	Their Decision	二人的选择	兩人的選擇
117	期待したのに……	I Was Looking Forward to That...	期待落空……	本來很期待的……
118	お仕事中です	While at Work	正在工作	正在工作中
119	錬金術士の事情	Incident with an Alchemist	调查炼金术士	關於鍊金術士
120	怪しい組織	A Suspicious Organization	可疑的组织	可疑的組織
121	初めての海	First Time Seeing the Sea	第一次去海边	第一次到海邊
122	思わぬ再会	An Unexpected Reunion	意想不到的重逢	意外的重逢
123	海といえば……	Speaking of the Sea...	提到大海……	說到海……
124	ロジーさんに聞いてみよう	Let's Ask Logy	问问罗吉吧	問問看羅吉先生吧
125	海に眠るモノ	What Sleeps Beneath the Waves	沉睡于大海之物	沉眠於大海之物
126	見つけた！	Found You!	找到了！	找到了！
127	逃亡	Escape	逃亡	逃亡
128	覚悟を決めろ	Prepare Yourselves!	做好准备	做好準備
129	ランタナの貝の探し方	How to Search for Lanterna Shells	寻找兰塔贝的方法	如何尋找蘭塔貝
130	海辺の夜景	Night View from the Seaside	海边的夜景	海邊的夜景
131	思わぬ援軍	Unexpected Reinforcements	意料之外的援军	意想不到的援軍
132	地下通路へ	To the Underground Passage	前往地下通道	前往地下通路
133	唯一の脱出法	Only One Way Out	唯一的逃脱方法	唯一的逃脫方法
134	状況報告	Status Report	报告情况	狀況報告
135	ランタナの貝の秘密	The Secret of Lanterna Shells	兰塔贝的秘密	蘭塔貝的秘密
136	マルローネ先輩のとっておき	Marlone's Specialty	玛洛娜前辈的秘制美味	瑪洛娜前輩的壓箱寶
137	ランツェの過去	Lanze's Past	兰泽的过去	藍澤的過去
138	決死の航海	Sail or Die	拼死航行	賭命出海
139	地道に探そう	Search with Patience	沉下心来寻找吧	土法煉鋼地找吧
140	マルローネの思い出	Marlone's Memories	玛洛娜的回忆	瑪洛娜的回憶
141	切り開く力	The Power to Carve Through	开创之力	開闢的力量
142	ロジー先生！	Logy's Lesson	罗吉老师！	羅吉老師！
143	彼らの影	Their Shadows	他们的影子	他們的影子
144	最悪な再会	The Worst Reunion Ever	糟透了的重逢	最糟糕的重逢
145	取引	A Proposal	交易	交易
146	決着	Resolution	了断	了結
147	制裁	Punishment	制裁	制裁
148	助けなきゃ！	I Have to Help!	必须救她！	得幫忙才行！
149	みんなで	Together	大家一起	齊心協力
150	レスレリアーナのアトリエ	Atelier Resleriana	蕾斯莱莉娅娜的炼金工房	蕾斯萊莉婭娜的鍊金工房
151	有力情報？	Useful Information?	可靠的情报？	可信資訊？
152	再出発	A Fresh Start	重新出发	再出發
153	新しい仲間たち	New Friends	新的伙伴	新夥伴們
154	一人前になれた？	I'm a Real Alchemist Now?	能独当一面了吗？	能獨當一面了嗎？
155	ヴァレリアの視線	Valeria's Gaze	瓦莱莉娅的视线	瓦萊莉婭的視線
156	退治を終えて	Monsters Managed	结束讨伐之后	退敵之後
157	ヴァレリアの挑戦	Valeria's Attempt	瓦莱莉娅的挑战	瓦萊莉婭的挑戰
158	秘めたる才能？	A Hidden Talent?	隐藏的才能？	潛藏的才能？
159	それぞれの道	Everyone's Paths	各自的道路	各自的道路
160	戦士の休日	Warriors at Rest	战士的休息日	戰士假日
161	聞き込み開始	Gathering Information	调查开始	開始打聽
162	イザナの調査結果	Izana's Investigation Results	伊札娜的调查结果	伊札娜的調查結果
163	悩める少女	The Worried Girl	苦恼的少女	苦惱的少女
164	潮の香りに引かれて	Drawn by the Scent of the Sea	海潮气息的指引	受潮水之香吸引
165	ロマンの調査結果	Roman's Investigation Results	罗曼的调查结果	羅曼的調查結果
166	調査終了	Investigation Over	调查结束	調查結束
167	結果報告	Reporting Back	结果报告	結果報告
168	ランツェの決意	Lanze's Resolve	兰泽的决心	藍澤的決心
169	私たちの新居	Our New Home	我们的新家	我們的新家
170	フロッケの想い	Flocke's Feelings	芙洛可的思念	芙洛可的思念
171	新生活	A New Life	新生活	新生活
172	来客	A Visitor	来客	訪客
173	あなたの夢	Your Dream	你的梦想	妳的夢想
174	改めまして	A Second Time	再次致意	再來一次
175	クラウディアの依頼	Klaudia's Request	科洛蒂娅的委托	科洛蒂婭的委託
176	心強い助っ人	Reliable Backup	可靠的帮手	可靠的幫手
177	クラウディアの特技	Klaudia's Special Skill	科洛蒂娅的特技	科洛蒂婭的特技
178	運命の場所	A Fated Meeting Place	命运之地	命運之地
179	記憶を辿って	Retracing Memories	回溯记忆	回溯記憶
180	二人の絆	Their Bond	两个人的友情	兩人的羈絆
181	調子はどう？	How Are You Feeling?	状态如何？	狀況如何？
182	遭遇	The Encounter	不期而遇	遭遇
183	作戦会議	Strategy Meeting	作战会议	作戰會議
184	痺れる道具を調合しよう	Synthesize the Paralyzing Tool	调合麻痹道具	調合麻痺道具吧
185	いざ試運転	Trial Run	试运行	來試用看看
186	商人たち	The Merchants	商人们	商人們
187	お悩み相談	Consultation Session	倾听烦恼	煩惱諮詢
188	見つからないね	Can't Be Found	找不到啊	找不到耶
189	音のした方へ	Towards the Sound	循声而去	朝著聲音的來源前進
190	待ち受けていたモノ	An Expected Appearance	等待已久的东西	等候已久的事物
191	あなたのために	For Your Sake	为了你	為了妳
192	約束	A Promise	约定	約定
193	新たな一歩	A New Step Forward	崭新的一步	嶄新的一步
194	夢への道筋	Path to Dreams	寻梦之路	通往夢想的道路
195	船乗りの夢	Sailor's Dream	船员的梦	船員之夢
196	失ったもの	What Was Lost	失去之物	失去的東西
197	一歩ずつ	One Step at a Time	一步一个脚印	一步一步
198	とんがり帽子の少女	The Girl with the Pointy Hat	尖帽子少女	戴著尖帽子的少女
199	早速の再会	A Quick Reunion	迅速来临的重逢	短時間內的再會
200	仲良し姉妹	Close Sisters	相亲相爱的姐妹	親密姊妹
201	「外」の依頼	A Distant Request	“外面”的委托	「外面」的委託
202	よかったら！	If You'd Like!	如果方便的话！	可以的話！
203	結束の宴	Feast of Unity	团结之宴	團結之宴
204	もっと強く	Stronger Still	变得更强	還要更強
205	長い旅の始まり	Beginning of a Long Journey	漫长旅行的开始	漫長旅程的開始
206	過保護かも……	A Little Overprotective...	也许有点过度保护……	也許是保護過度……
207	魔法使いウィルベル	Wilbell the Witch	魔法师薇尔贝儿	魔法師薇爾貝兒
208	初めての土地へ	To Unfamiliar Lands	前往没去过的地方	前往陌生的土地
209	野営をしましょう！	Let's Camp!	去野营吧！	來露營吧！
210	レジナの特技	Regina's Special Skill	瑞吉娜的特技	瑞吉娜的特技
211	流れ星の降る湖畔	Shooting Stars by the Lake	观看流星雨的湖畔	流星落下的湖畔
212	レスナの試練	Resna's Trial	蕾斯娜的试炼	蕾斯娜的試煉
213	灼熱の世界	Blazing World	灼热的世界	熾熱的世界
214	無理はしないで	Don't Overdo It	不要强撑	別逞強
215	ヴァレリアの提案	Valeria's Plan	瓦莱莉娅的提议	瓦萊莉婭的提議
216	火山の伝承	The Volcano's Lore	火山的传说	火山的傳承
217	協力者求む	Seeking Allies	寻求帮手	尋求合作者
218	二人の相棒	Their Partners	两个搭档	兩人的搭檔
219	原因調査	Surveying the Land	调查原因	調查原因
220	必要なものとは	What Is Needed	需要之物	什麼是必要的東西
221	次なる課題	The Next Challenge	下一个课题	下一個課題
222	溶岩をどかすには	How to Move Lava	如何移开熔岩	移除熔岩的方法
223	採取完了！	Gathering Complete!	采集完毕！	完成採集！
224	冷気の爆弾	Chilling Bomb	冷气炸弹	寒氣炸彈
225	道を切り開く	Blazing a Trail	开辟道路	開闢道路
226	発掘屋	The Excavation Expert	采矿工	採礦工
227	悩めるヴァレリア	Valeria's Worries	烦恼的瓦莱莉娅	苦惱的瓦萊莉婭
228	山に眠る痕跡	Traces in the Mountains	沉睡于山中的痕迹	沉眠山中的痕跡
229	火山の頂にて	The Summit of the Volcano	于火山之巅	在火山頂峰
230	息を合わせて！	Get in Sync!	让步调一致！	數到三！
231	次の目的地へ	To the Next Destination	前往下一个目的地	前往下一個目的地
232	イザナの想い	Izana's Feelings	伊札娜的思绪	伊札娜的心聲
233	忍び寄る闇	Creeping Darkness	潜伏的暗影	悄悄靠近的黑暗
234	彼らの目的	Their Goal	他们的目的	他們的目的
235	翡翠の煌水の在処	Where to Find Jade Water	翡翠煌水的所在地	翡翠煌水的所在之處
236	王たる者として	As a Queen	身为国王	身為王者
237	ハイネ大原野	Haine Wilderness	海涅大原野	海涅大原野
238	信頼感	Sense of Trust	信赖感	信賴感
239	デキるお姉さん	The Capable Older Sister	能干的姐姐	能幹的姐姐
240	気合を入れて	Gearing Up	鼓足干劲	卯足勁
241	危うきこと	Perilous Matters	危险的事	危險時刻
242	助っ人	Backup	帮手	幫手
243	リラの実力	Lila's True Strength	莉拉的实力	莉拉的實力
244	手合わせ	A Bout	切磋	合力
245	隣に立つために	To Stand Beside You	为了能够并肩	為了站在妳身邊
246	立ち止まっていられない	Can't Stand Still	不能停滞不前	我不能在原地踏步
247	レスナの作戦	Resna's Strategy	蕾斯娜的作战计划	蕾斯娜的作戰
248	張り切る二人	Two Eager Beavers	两个人的拼搏	幹勁十足的兩人
249	あなたらしく	Be Yourself	保持你的风格	做妳自己
250	冒険の予感	Premonition of Adventure	冒险的预感	冒險的預感
251	調査は順調？	Investigation Going Well?	调查顺利？	調查順利嗎？
252	修行	Training	修行	修行
253	魚の縁	Fishy Bonds	鱼之缘	因為魚建立的緣分
254	１日でも早く	Even One Day Faster	越快越好	越快越好
255	落ち着かない気持ち	Restless Feelings	心里很乱	無法平靜的心
256	ついに見つけた？	Finally Found It?	终于找到了？	終於找到了？
257	罪と罰	Crime and Punishment	罪与罚	罪與罰
258	帰還	Homecoming	归来	回歸
259	あなたなんかに	Can't Lose to You	不会输给你这种人	像妳這種人
260	良き錬金術士	The Good Alchemist	善良的炼金术士	好的鍊金術士
261	あなたのとなり	At Your Side	你的身旁	妳的身旁
262	長い旅の終わり	End of a Long Journey	漫长旅行的结束	漫長旅途的終點
263	騎士の誓い	A Knight's Vow	骑士的誓约	騎士的誓約
264	情報提供	Information Delivery	提供情报	提供情報
265	動き始めた世界	The World Begins to Move	世界开始运转	開始運轉的世界
266	遠征を終えて	Expedition's End	结束远征	遠征之後
267	招待状	Invitation	邀请函	邀請函
268	怠惰な戦士	The Lazy Warrior	懒惰的战士	懶惰的戰士
269	意外な再会	An Unexpected Reunion	意料之外的重逢	意外的重逢
270	王宮薬士	Royal Apothecary	王宫药师	王宮藥師
271	なんの採掘場？	What Kind of Mine?	这是什么采掘场？	挖掘什麼的地方？
272	心配アーシャ	Worried Ayesha	爱担心的爱夏	擔心的愛夏
273	甘党な人形	Sweet-Toothed Doll	爱吃甜食的人偶	嗜甜的人偶
274	不穏な気配	Ominous Presence	危险的气息	危險的氣息
