id	name	name_en	name_zh-CN	name_zh-TW
1	アタッカー戦闘研究1	Attacker Combat Research 1	攻击者战斗研究1	攻擊者戰鬥研究1
2	ブレイカー戦闘研究1	Breaker Combat Research 1	破坏者战斗研究1	破壞者戰鬥研究1
3	ディフェンダー戦闘研究1	Defender Combat Research 1	防御者战斗研究1	防禦者戰鬥研究1
4	サポーター戦闘研究1	Supporter Combat Research 1	支援者战斗研究1	支援者戰鬥研究1
5	アタッカー戦闘研究2	Attacker Combat Research 2	攻击者战斗研究2	攻擊者戰鬥研究2
6	ブレイカー戦闘研究2	Breaker Combat Research 2	破坏者战斗研究2	破壞者戰鬥研究2
7	ディフェンダー戦闘研究2	Defender Combat Research 2	防御者战斗研究2	防禦者戰鬥研究2
8	サポーター戦闘研究2	Supporter Combat Research 2	支援者战斗研究2	支援者戰鬥研究2
9	アタッカー戦闘研究3	Attacker Combat Research 3	攻击者战斗研究3	攻擊者戰鬥研究3
10	ブレイカー戦闘研究3	Breaker Combat Research 3	破坏者战斗研究3	破壞者戰鬥研究3
11	ディフェンダー戦闘研究3	Defender Combat Research 3	防御者战斗研究3	防禦者戰鬥研究3
12	サポーター戦闘研究3	Supporter Combat Research 3	支援者战斗研究3	支援者戰鬥研究3
13	アタッカー戦闘研究4	Attacker Combat Research 4	攻击者战斗研究4	攻擊者戰鬥研究4
14	ブレイカー戦闘研究4	Breaker Combat Research 4	破坏者战斗研究4	破壞者戰鬥研究4
15	ディフェンダー戦闘研究4	Defender Combat Research 4	防御者战斗研究4	防禦者戰鬥研究4
16	サポーター戦闘研究4	Supporter Combat Research 4	支援者战斗研究4	支援者戰鬥研究4
17	アタッカー戦闘研究5	Attacker Combat Research 5	攻击者战斗研究5	攻擊者戰鬥研究5
18	ブレイカー戦闘研究5	Breaker Combat Research 5	破坏者战斗研究5	破壞者戰鬥研究5
19	ディフェンダー戦闘研究5	Defender Combat Research 5	防御者战斗研究5	防禦者戰鬥研究5
20	サポーター戦闘研究5	Supporter Combat Research 5	支援者战斗研究5	支援者戰鬥研究5
21	アタッカー戦闘研究6	Attacker Combat Research 6	攻击者战斗研究6	攻擊者戰鬥研究6
22	ブレイカー戦闘研究6	Breaker Combat Research 6	破坏者战斗研究6	破壞者戰鬥研究6
23	ディフェンダー戦闘研究6	Defender Combat Research 6	防御者战斗研究6	防禦者戰鬥研究6
24	サポーター戦闘研究6	Supporter Combat Research 6	支援者战斗研究6	支援者戰鬥研究6
25	アタッカー戦闘研究7	Attacker Combat Research 7	攻击者战斗研究7	攻擊者戰鬥研究7
26	ブレイカー戦闘研究7	Breaker Combat Research 7	破坏者战斗研究7	破壞者戰鬥研究7
27	ディフェンダー戦闘研究7	Defender Combat Research 7	防御者战斗研究7	防禦者戰鬥研究7
28	サポーター戦闘研究7	Supporter Combat Research 7	支援者战斗研究7	支援者戰鬥研究7
29	アタッカー戦闘研究8	Attacker Combat Research 8	攻击者战斗研究8	攻擊者戰鬥研究8
