id	name	name_en	name_zh-CN	name_zh-TW
1	星導石購入	Purchase Lodestar Gems	购买星导石	購買星導石
2	コール	Cole	克尔	克隆
3	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
4	その他	Others	其他	其他
5	LEGENDメダル	Legend Medal	LEGEND币	LEGEND幣
8	願いの輝石	Brilliant Wishing Stone	祈愿辉石	祈願輝石
9	パック商品	Bundles	礼包商品	組合商品
10	コール	Cole	克尔	克隆
11	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
12	その他	Others	其他	其他
14	コール	Cole	克尔	克隆
15	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
16	その他	Others	其他	其他
17	コール	Cole	克尔	克隆
18	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
19	その他	Others	其他	其他
20	チャプター	Chapter	章节	章節
21	コール	Cole	克尔	克隆
22	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
23	その他	Others	其他	其他
24	コール	Cole	克尔	克隆
25	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
26	その他	Others	其他	其他
27	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
28	コール	Cole	克尔	克隆
29	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
30	その他	Others	其他	其他
31	コール	Cole	克尔	克隆
32	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
33	その他	Others	其他	其他
34	コール	Cole	克尔	克隆
35	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
36	その他	Others	其他	其他
37	コール	Monthly	月常	每月
38	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
39	その他	Others	其他	其他
40	コール	Monthly	月常	每月
41	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
42	その他	Others	其他	其他
43	思い出の輝き	Spark of Memories	记忆辉石	回憶光輝
44	コール	Cole	克尔	克隆
45	キラキラコイン	Shiny Coins	闪亮硬币	閃亮硬幣
46	その他	Others	其他	其他
47	マンスリー	Monthly	月常	每月
48	デイリー	Daily	日常	每日
49	マンスリー	Monthly	月常	每月
50	マンスリー	Monthly	月常	每月
51	マンスリー			
52	マンスリー			
53	マンスリー			
54	マンスリー			
101	期間限定	Limited	限时	期間限定
106	記憶の断片	Memory Fragment	记忆片段	記憶片段
107	フロッケチケット			
1000	星祈石			
100001				
100002				
100003				
100004				
100005				
100006				
100007				
100008				
100010				
100012				
100013				
100015				
100016				
100017				
100018				
100019				
100020				
100021				
100022				
100023				
100024				
100025				
100026				
100039				
100040				
100041				
100042				
100043				
100044				
100045				
100046				
100047				
100048				
100049				
100050				
100051				
100052				
100053				
100054				
100055				
100057				
100058				
100059				
100060				
100062				
100063				
100065				
100066				
