id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
31549	ヒーリングサルヴ	Healing Salve	治愈软膏	治癒軟膏	HPが最も減っている味方1人のHPを回復	Restores HP to the ally with the lowest HP.	恢复HP最低的1名我方的HP。	回復我方HP最低的1人的HP。
31550	フラム	Bomb	炎烧	炎燒	現在HPが最も高い敵1体に火属性ダメージ	Deals Fire damage to the enemy with the highest current HP.	对当前HP最多的1名敌人造成火属性伤害。	對目前敵方HP最高的1名造成火屬性傷害。
31551	うに袋	Uni Bag	海胆袋	海膽袋	敵全体に突属性ダメージ	Deals Stab damage to all enemies.	对敌方全体造成突刺属性伤害。	對敵方全體造成突屬性傷害。
31552	ドライビスク	Dry Biscuit	饼干	餅乾	味方全員のHPを回復	Restores HP to all allies.	恢复我方全体HP。	回復全體HP。
31553	魔女の秘薬	Witch's Potion	魔女的秘药	魔女的秘藥	敵全体に「火氷雷風属性耐性-{0}%」を2回攻撃を受けるまで付与	Reduces all enemies' Fire/Ice/Bolt/Air resistance by {0}% for 2 attacks.	赋予敌方全体“火冰雷风属性耐性-{0}%”，受到2次攻击后失效。	賦予敵方全體「火冰雷風屬性耐性-{0}%」，直到受2次攻擊為止。
31554	ナントカの秘薬	Secret Remedy	总有办法秘药	總有辦法祕藥	味方全員に「火氷雷風属性スキルダメージ+{0}%」を2回行動終了するまで付与	All allies deal {0}% more Fire/Ice/Bolt/Air skill damage for 2 turns.	赋予我方全体“火冰雷风属性技能伤害+{0}%”，2次行动结束后失效。	賦予我方全體「火冰雷風屬性技能傷害+{0}%」，直到行動結束2次為止。
31555	クラフト	Craft	诡雷	卡夫	現在HPが最も高い敵1体に突属性ダメージ	Deals Stab damage to the enemy with the highest HP.	对当前HP最多的1名敌人造成突刺属性伤害。	對目前敵方HP最高的1名造成突屬性傷害。
31556	ドナーストーン	Lightning Bomb	电导之石	電導之石	現在HPが最も高い敵1体に雷属性ダメージ	Deals Bolt damage to the enemy with the highest current HP.	对当前HP最多的1名敌人造成雷属性伤害。	對目前敵方HP最高的1名造成雷屬性傷害。
31557	ヒーリングベル	Healing Bell	治愈之铃	治癒之鈴	味方全員のHPを10%回復	Restores 10% HP to all allies.	恢复我方全体10%的HP。	回復我方全體HP10%。
31558	暗黒水	Dark Water	暗黑水	暗黑水	敵全体に「受ける魔法攻撃スキルダメージ+{0}%」を2回攻撃を受けるまで付与	All enemies receive {0}% more M. ATK skill damage for 2 attacks.	赋予敌方全体“所受魔法攻击技能伤害+{0}%”，受到2次攻击后失效。	賦予敵方全體「所受魔法攻擊技能傷害+{0}%」，直到受2次攻擊為止。
31559	素朴な焼き菓子	Simple Cookies	朴素烘焙点心	樸素烘焙點心	味方全員に「受ける物理攻撃スキルダメージ-{0}%」を2回攻撃を受けるまで付与	All allies receive {0}% less P. ATK skill damage for 2 attacks.	赋予我方全体“所受物理攻击技能伤害-{0}%”，受到2次攻击后失效。	賦予我方全體「所受物理攻擊技能傷害-{0}%」，直到受2次攻擊為止。
31560	神秘の羽衣	Mystic Robe	神秘的羽衣	神秘的羽衣	味方全員に「受ける魔法攻撃スキルダメージ-{0}%」を2回攻撃を受けるまで付与	All allies receive {0}% less M. ATK skill damage for 2 attacks.	赋予我方全体“所受魔法攻击技能伤害-{0}%”，受到2次攻击后失效。	賦予我方全體「所受魔法攻擊技能傷害-{0}%」，直到受2次攻擊為止。
31561	ウォーパウダー	War Powder	金创粉	金創粉	味方全員に「クリティカル確率+{0}%」を2回行動終了するまで付与	Boosts all allies' critical rates by {0}% for 2 turns.	赋予我方全体“暴击率+{0}%”，2次行动结束后失效。	賦予我方全體「重擊率+{0}%」，直到行動結束2次為止。
31860	たたかう魔剣	Magic Sword	战斗魔剑	戰鬥魔劍	現在HPが最も低い敵1体に斬属性ダメージ	Deals Slash damage to the enemy with the lowest current HP.	对当前HP最少的1名敌人造成斩击属性伤害。	對目前敵方HP最低的1名造成斬屬性傷害。
31861	たたかう魔剣	Magic Sword	战斗魔剑	戰鬥魔劍	現在HPが最も低い敵1体に斬属性ダメージ	Deals Slash damage to the enemy with the lowest current HP.	对当前HP最少的1名敌人造成斩击属性伤害。	對目前敵方HP最低的1名造成斬屬性傷害。
31862	ローゼフラム	Rose Bomb	玫瑰炎烧	玫瑰炎燒	現在HPが最も高い敵1体に火属性ダメージ	Deals Fire damage to the enemy with the highest current HP.	对当前HP最多的1名敌人造成火属性伤害。	對目前敵方HP最高的1名造成火屬性傷害。
31863	ローゼフラム	Rose Bomb	玫瑰炎烧	玫瑰炎燒	現在HPが最も高い敵1体に火属性ダメージ	Deals Fire damage to the enemy with the highest current HP.	对当前HP最多的1名敌人造成火属性伤害。	對目前敵方HP最高的1名造成火屬性傷害。
31864	エネルジアニカ	Energianica	形意口琴	形意口琴	最大HPが最も高い味方1人に「ターン開始時HP{0}%回復」を2回行動開始するまで付与	Restores {0}% HP at turn start to ally with the highest max HP for 2 turns.	赋予HP上限最高的1名我方“回合开始时HP恢复{0}%”，回合开始2次后失效。	賦予我方HP最大值最高的1人「回合開始時回復HP{0}%」，直到行動開始2次為止。
31865	エネルジアニカ	Energianica	形意口琴	形意口琴	最大HPが最も高い味方1人に「ターン開始時HP{0}%回復」を2回行動開始するまで付与	Restores {0}% HP at turn start to ally with the highest max HP for 2 turns.	赋予HP上限最高的1名我方“回合开始时HP恢复{0}%”，回合开始2次后失效。	賦予我方HP最大值最高的1人「回合開始時回復HP{0}%」，直到行動開始2次為止。
31866	不幸の瓶詰め	Bottled Misfortune	不幸之瓶	不幸瓶	最大HPが最も高い敵1体に「斬属性耐性-{0}%」を2回攻撃を受けるまで付与	Reduces Slash resistance by {0}% of enemy with the highest max HP for 2 attacks.	赋予HP上限最高的1名敌人“斩击属性耐性-{0}%”，受到2次攻击后失效。	賦予敵方HP最大值最高的1名「斬屬性耐性-{0}%」，直到受2次攻擊為止。
31867	不幸の瓶詰め	Bottled Misfortune	不幸之瓶	不幸瓶	最大HPが最も高い敵1体に「斬属性耐性-{0}%」を2回攻撃を受けるまで付与	Reduces Slash resistance by {0}% of enemy with the highest max HP for 2 attacks.	赋予HP上限最高的1名敌人“斩击属性耐性-{0}%”，受到2次攻击后失效。	賦予敵方HP最大值最高的1名「斬屬性耐性-{0}%」，直到受2次攻擊為止。
31868	燃える水	Flame Aqua	可燃烧的水	可燃燒的水	最大HPが最も高い敵1体に「火属性耐性-{0}%」を2回攻撃を受けるまで付与	Reduces Fire resistance by {0}% of enemy with the highest max HP for 2 attacks.	赋予HP上限最高的1名敌人“火属性耐性-{0}%”，受到2次攻击后失效。	賦予敵方HP最大值最高的1名「火屬性耐性-{0}%」，直到受2次攻擊為止。
31869	燃える水	Flame Aqua	可燃烧的水	可燃燒的水	最大HPが最も高い敵1体に「火属性耐性-{0}%」を2回攻撃を受けるまで付与	Reduces Fire resistance by {0}% of enemy with the highest max HP for 2 attacks.	赋予HP上限最高的1名敌人“火属性耐性-{0}%”，受到2次攻击后失效。	賦予敵方HP最大值最高的1名「火屬性耐性-{0}%」，直到受2次攻擊為止。
31870	妙薬ドラッヘン	Drachen Elixir	妙药龙液	妙藥龍液	魔攻が最も高い味方1人に「バーストスキルダメージ+{0}%」を2回行動終了するまで付与	Ally with highest M. ATK deals {0}% more burst skill damage for 2 turns.	赋予魔攻最高的1名我方“爆发技能伤害+{0}%”，2次行动结束后失效。	賦予我方魔攻最高的1人「爆發技能傷害+{0}%」，直到行動結束2次為止。
31871	妙薬ドラッヘン	Drachen Elixir	妙药龙液	妙藥龍液	魔攻が最も高い味方1人に「バーストスキルダメージ+{0}%」を2回行動終了するまで付与	Ally with highest M. ATK deals {0}% more burst skill damage for 2 turns.	赋予魔攻最高的1名我方“爆发技能伤害+{0}%”，2次行动结束后失效。	賦予我方魔攻最高的1人「爆發技能傷害+{0}%」，直到行動結束2次為止。
31872	黄金エキススープ	Golden Extract Soup	黄金精华汤	黃金精華湯	味方全員に「クリティカル確率+{0}%」を2回行動終了するまで付与	Boosts all allies' critical rates by {0}% for 2 turns.	赋予我方全体“暴击率+{0}%”，2次行动结束后失效。	賦予我方全體「重擊率+{0}%」，直到行動結束2次為止。
31873	黄金エキススープ	Golden Extract Soup	黄金精华汤	黃金精華湯	味方全員に「クリティカル確率+{0}%」を2回行動終了するまで付与	Boosts all allies' critical rates by {0}% for 2 turns.	赋予我方全体“暴击率+{0}%”，2次行动结束后失效。	賦予我方全體「重擊率+{0}%」，直到行動結束2次為止。
31874	スモークミート	Smoked Meat	熏肉	燻肉	味方全員に「物理攻撃スキルダメージ+{0}%」を2回行動終了するまで付与	All allies deal {0}% more P. ATK skill damage for 2 turns.	赋予我方全体“物理攻击技能伤害+{0}%”，2次行动结束后失效。	賦予我方全體「物理攻擊技能傷害+{0}%」，直到行動結束2次為止。
31875	スモークミート	Smoked Meat	熏肉	燻肉	味方全員に「物理攻撃スキルダメージ+{0}%」を2回行動終了するまで付与	All allies deal {0}% more P. ATK skill damage for 2 turns.	赋予我方全体“物理攻击技能伤害+{0}%”，2次行动结束后失效。	賦予我方全體「物理攻擊技能傷害+{0}%」，直到行動結束2次為止。
31876	錬金キャンディ	Alchemy Candy	炼金糖果	鍊金糖果	味方全員に「魔法攻撃スキルダメージ+{0}%」を2回行動終了するまで付与	All allies deal {0}% more M. ATK skill damage for 2 turns.	赋予我方全体“魔法攻击技能伤害+{0}%”，2次行动结束后失效。	賦予我方全體「魔法攻擊技能傷害+{0}%」，直到行動結束2次為止。
31877	錬金キャンディ	Alchemy Candy	炼金糖果	鍊金糖果	味方全員に「魔法攻撃スキルダメージ+{0}%」を2回行動終了するまで付与	All allies deal {0}% more M. ATK skill damage for 2 turns.	赋予我方全体“魔法攻击技能伤害+{0}%”，2次行动结束后失效。	賦予我方全體「魔法攻擊技能傷害+{0}%」，直到行動結束2次為止。
31878	創世の槌	Genesis Hammer	创世之槌	創世之槌	現在HPが最も高い敵1体に打属性ダメージ	Deals Strike damage to the enemy with the highest HP.	对当前HP最多的1名敌人造成打击属性伤害。	對目前敵方HP最高的1名造成打屬性傷害。
