id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
510001	ひと夏のオーバーラン	Overshooting Summer	驶过短暂夏天	跑過頭的夏天	スキルで撃破時、スキルダメージ+{value}%(上限30%)	Boosts skill damage by {value}% when defeating an enemy with a skill. (MAX 30%)	使用技能击败目标时，技能伤害+{value}%（上限30%）。	以技能擊破時，技能傷害+{value}%（上限30%）。
510002	なんでこっちくるのー！	Why Me?!	怎么过来了啊——！	為什麼要來我這～！	HPが50%以上の時、受けるダメージ-{value}%	Reduces damage received by {value}% when HP is 50% or higher.	HP不低于50%时，所受伤害-{value}%。	HP在50%以下時，所受傷害-{value}%。
510003	被ダメージUP	Received Damage Up	所受伤害提升	所受傷害上升	受けるダメージ+{value}%	Boosts damage received by {value}%.	所受伤害+{value}%。	所受傷害+{value}%。
510004	プリンセスの躍進	Princess Rush	公主的跃进	公主的躍進	スキルで撃破時、魔攻+{value}%(上限20%)	Boosts M. ATK by {value}% when defeating an enemy with a skill. (MAX 20%)	使用技能击败目标时，魔攻+{value}%（上限20%）。	以技能擊破時，魔攻+{value}%（上限20%）。
510005	プリンセスの躍進	Princess Rush	公主的跃进	公主的躍進	スキルで撃破時、魔防+{value}%(上限20%)	Boosts M. DEF by {value}% when defeating an enemy with a skill. (MAX 20%)	使用技能击败目标时，魔防+{value}%（上限20%）。	以技能擊破時，魔防+{value}%（上限20%）。
510006	アタシはもっと強くなる！	I'll Become Even Stronger!	我要变得更强！	我要變得更強！	スキルで撃破時、クリティカルダメージ+{value}%(上限100%)	Boosts critical damage by {value}% when defeating an enemy with a skill. (MAX 100%)	用技能击败对手时，暴击伤害+{value}%（上限100%）。	以技能擊破時，重擊傷害+{value}%（上限100%）。
510008	使者の転身	Envoy's Switch	使者变身	使者變身	受けるダメージ-{value}%(上限20%)	Reduces damage received by {value}%. (MAX 20%)	所受伤害-{value}%（上限20%）。	所受傷害-{value}%（上限20%）。
510009	チャンスの後に福来る	Fortune Follows Opportunity	伴随机遇而来的好运	良機之後福將至	クリティカル攻撃後、スキルダメージ+{value}%(上限30%)	After critical attack, boosts skill damage by {value}%. (MAX 30%)	暴击后，技能伤害+{value}%（上限30%）。	重擊攻擊後，技能傷害+{value}%（上限30%）。
510010	与ダメージUP	Dealt Damage Up	造成伤害提升	給予傷害上升	スキルダメージ+{value}%(上限120%)	Boosts skill damage by {value}%. (MAX 120%)	技能伤害+{value}%（上限120%）。	技能傷害+{value}%（上限120%）。
510011	マイナス効果解除	Removes negative effects.	解除负面效果	解除減弱效果	ターン開始時、自身に付与されているマイナス効果解除	Removes own negative effects at the start of the turn.	回合开始时，解除自身被赋予的负面效果。	回合開始時，解除自身被賦予的減弱效果。
510012	ロッテにおまかせ！	Leave It to Lotte!	交给罗蒂吧！	包在羅蒂身上！	攻撃対象がブレイク時、物攻+{value}%(上限30%)	When attack target is stunned, boosts P. ATK by {value}%. (MAX 30%)	攻击目标破防时，物攻+{value}%”（上限30%）。	攻擊目標處於破防狀態時，物攻+{value}%（上限30%）。
510014	我が刃、一日にして成らず	My Blade Was Not Forged in a Day	吾之利刃非一日之功	吾之刃，非一蹴可幾	スキルで撃破時、物攻+{value}%(上限30%)	Boosts P. ATK by {value}% when defeating an enemy with a skill. (MAX 30%)	使用技能击败目标时，物攻+{value}%”（上限30%）。	以技能擊破時，物攻+{value}%（上限30%）。
510016	攻撃対象BG50%以上時ブレイクダメージUP	SG ≥ 50% Stun Damage Up	攻击目标BG不低于50%时，破防伤害提升	攻擊目標BG在50%以上時，破防傷害上升	攻撃対象のブレイクゲージが50%以上の時、ブレイクダメージ+{value}%	When attack target's stun gauge is 50% or higher, boosts stun damage by {value}%.	攻击目标的破防槽不低于50%时，破防伤害+{value}%。	攻擊目標的破防量表在50%以上時，破防傷害+{value}%。
510017	被ダメージDOWN	Received Damage Down	所受伤害下降	所受傷害下降	受けるダメージ-{value}%(上限20%)	Reduces damage received by {value}%. (MAX 20%)	所受伤害-{value}%（上限20%）。	所受傷害-{value}%（上限20%）。
510018	ブレイクダメージUP	Stun Damage Up	破防伤害提升	破防傷害上升	ブレイクダメージ+{value}%(上限20%)	Boosts stun damage by {value}%. (MAX 20%)	破防伤害+{value}%（上限20%）。	破防傷害+{value}%（上限20%）。
510020	戦姫開花Lv5以上時バーストダメージUP	Battle Maiden Bloom Lv.5+ Burst Damage Up	战姬开花不低于Lv.5时爆发伤害提升	戰姬開花Lv5以上時爆發傷害上升	Lv5以上：バーストスキルダメージ+{value}%	When level 5 or higher, boosts burst skill damage by {value}%.	不低于Lv.5时：爆发技能伤害+{value}%。	Lv5以上：爆發技能傷害+{value}%。
510021	戦姫開花Lv10以上時バーストダメージUP	Battle Maiden Bloom Lv.10+ Burst Damage Up	战姬开花不低于Lv.10时爆发伤害提升	戰姬開花Lv10以上時爆發傷害上升	Lv10以上：バーストスキルダメージ+{value}%	When level 10 or higher, boosts burst skill damage by {value}%.	不低于Lv.10时：爆发技能伤害+{value}%。	Lv10以上：爆發技能傷害+{value}%。
510023	戦姫開花のLvに応じクリティカルダメージUP	Critical Damage Up (Battle Maiden Bloom Lv.)	根据战姬开花的Lv.提升暴击伤害	根據戰姬開花的Lv提升重擊傷害	戦姫開花のLvに応じ、クリティカルダメージ+{value}%	Boosts critical damage by {value}% depending on the level of Battle Maiden Bloom.	根据战姬开花的Lv.，暴击伤害+{value}%。	根據戰姬開花的Lv，重擊傷害+{value}%。
510024	戦姫開花Lv3以上時バーストダメージUP	Battle Maiden Bloom Lv.3+ Burst Damage Up	战姬开花不低于Lv.3时爆发伤害提升	戰姬開花Lv3以上時爆發傷害上升	Lv3以上：バーストスキルダメージ+{value}%	When level 3 or higher, boosts burst skill damage by {value}%.	不低于Lv.3时：爆发技能伤害+{value}%。	Lv3以上：爆發技能傷害+{value}%。
510025	痛いのはダメです！	No Hurting Me!	我怕痛！	痛痛走開！	味方が戦闘アイテム使用後、自身に「回避(確率{value}%)」を1回攻撃されるまで付与<br>※アイテムを複数同時に使用しても発動は1回	After an ally uses a battle item, has a {value}% chance to grant Evasion to self for 1 attack.<br>Note: Even when using multiple items at the same time, this effect will only activate once.	我方使用战斗道具后，赋予自身“回避（概率{value}%）”，受到1次攻击后失效。<br>※即使同时使用多个道具，此效果也只发动1次。	我方使用戰鬥道具後，賦予自身「迴避（機率{value}%）」，直到受1次攻擊為止。<br>※即使同時使用多個道具也只會發動1次。
510026	カチコチ攻撃(1回)	Brittle Attack (1 Attack)	僵直攻击（1次）	僵硬攻擊（1次）	攻撃後、対象に「カチコチ」を1回攻撃を受けるまで超高確率で付与	After attacking, there is a very high chance to inflict Brittle on the target for 1 attack.	攻击后，超高概率赋予目标“僵直”，受到1次攻击后失效。	攻擊後，有超高機率賦予目標「僵硬」，直到受1次攻擊為止。
