id	name	name_en	name_zh-CN	name_zh-TW
100202701	イザナの話を聞こう	Talk to Izana.	听听伊札娜说什么	與伊札娜交談
100202702	シャリステラの話を聞こう	Talk to Shallistera.	听听夏莉丝堤拉说什么	與夏莉絲堤菈交談
100202703	ライザの話を聞こう	Talk to Ryza.	听听莱莎说什么	與萊莎交談
100202704	再度イザナの話を聞こう	Talk to Izana again.	再听听伊札娜说什么	再次與伊札娜交談
100202705	中流地区に移動して再度ライザの話を聞こう	Talk to Ryza again in the Central Area.	移动至中流地区再听听莱莎说什么	移動至中流地區，再次與萊莎交談
100202706	再度シャリステラの話を聞こう	Talk to Shallistera again.	再听听夏莉丝堤拉说什么	再次與夏莉絲堤菈交談
100400701	ランツェの話を聞こう	Talk to Lanze.	听听兰泽说什么	與藍澤交談
100400702	フロッケの話を聞こう	Talk to Flocke.	听听芙洛可说什么	與芙洛可交談
100400703	アーシャたちの話を聞こう	Talk to Ayesha and the others.	听听爱夏她们说什么	與愛夏一行人交談
100501601	中流地区を調査しよう	Investigate the Central Area	调查中流地区吧	調查中流地區吧
100501602	さらに中流地区を調査しよう	Further Investigate the Central Area	进一步调查中流地区吧	進一步調查中流地區吧
100501603	湾岸地区に移動しよう	Head to the Bay Area	移动至海岸地区吧	移動至海灣地區吧
100501604	湾岸地区を調査しよう	Investigate the Bay Area	调查海岸地区吧	調查海灣地區吧
